Date,GS,Price
2005-07-08,35,105.65
2005-07-15,33,108.50
2005-07-22,35,109.13
2005-07-29,36,107.48
2005-08-05,34,109.70
2005-08-12,34,113.65
2005-08-19,35,111.27
2005-08-26,35,109.75
2005-09-02,33,113.21
2005-09-09,34,116.17
2005-09-16,36,118.40
2005-09-23,33,119.47
2005-09-30,34,121.58
2005-10-07,34,117.57
2005-10-14,36,114.55
2005-10-21,32,118.77
2005-10-28,34,124.56
2005-11-04,34,130.96
2005-11-11,37,130.00
2005-11-18,35,131.58
2005-11-25,35,134.12
2005-12-02,37,131.08
2005-12-09,38,129.66
2005-12-16,37,126.50
2005-12-23,37,128.11
2005-12-30,39,127.71
2006-01-06,38,128.84
2006-01-13,40,133.26
2006-01-20,40,131.44
2006-01-27,41,138.94
2006-02-03,45,142.74
2006-02-10,43,140.81
2006-02-17,39,145.54
2006-02-24,41,144.16
2006-03-03,41,146.00
2006-03-10,43,141.53
2006-03-17,40,150.36
2006-03-24,47,152.17
2006-03-31,44,156.96
2006-04-07,43,161.02
2006-04-14,47,
2006-04-21,53,165.89
2006-04-28,49,160.29
2006-05-05,46,164.39
2006-05-12,48,156.11
2006-05-19,66,149.41
2006-05-26,48,152.94
2006-06-02,48,154.09
2006-06-09,47,149.89
2006-06-16,43,144.00
2006-06-23,46,147.92
2006-06-30,46,150.43
2006-07-07,45,148.51
2006-07-14,47,140.10
2006-07-21,47,142.04
2006-07-28,48,151.72
2006-08-04,46,152.99
2006-08-11,48,151.11
2006-08-18,46,154.68
2006-08-25,51,150.07
2006-09-01,50,149.14
2006-09-08,51,149.80
2006-09-15,52,162.71
2006-09-22,51,167.52
2006-09-29,49,169.17
2006-10-06,50,175.65
2006-10-13,48,183.85
2006-10-20,48,180.40
2006-10-27,48,188.67
2006-11-03,50,187.13
2006-11-10,47,187.06
2006-11-17,48,195.04
2006-11-24,49,201.60
2006-12-01,54,194.50
2006-12-08,55,205.10
2006-12-15,48,199.84
2006-12-22,50,198.09
2006-12-29,55,199.35
2007-01-05,49,199.05
2007-01-12,49,213.99
2007-01-19,50,210.29
2007-01-26,51,213.50
2007-02-02,50,213.43
2007-02-09,48,213.28
2007-02-16,52,216.92
2007-02-23,50,216.50
2007-03-02,51,195.67
2007-03-09,50,201.70
2007-03-16,51,199.00
2007-03-23,51,211.89
2007-03-30,48,206.63
2007-04-06,49,
2007-04-13,47,206.50
2007-04-20,48,220.00
2007-04-27,49,224.28
2007-05-04,53,227.34
2007-05-11,53,227.50
2007-05-18,60,230.34
2007-05-25,55,225.53
2007-06-01,51,230.71
2007-06-08,55,225.06
2007-06-15,56,226.19
2007-06-22,65,222.40
2007-06-29,65,216.75
2007-07-06,61,223.64
2007-07-13,61,222.18
2007-07-20,62,205.94
2007-07-27,57,192.65
2007-08-03,60,179.68
2007-08-10,60,180.50
2007-08-17,69,175.00
2007-08-24,60,179.73
2007-08-31,67,176.01
2007-09-07,57,178.98
2007-09-14,54,190.59
2007-09-21,60,209.98
2007-09-28,64,216.74
2007-10-05,69,228.50
2007-10-12,57,233.56
2007-10-19,52,217.69
2007-10-26,56,235.92
2007-11-02,59,229.60
2007-11-09,64,211.33
2007-11-16,56,225.25
2007-11-23,62,216.48
2007-11-30,73,226.64
2007-12-07,78,217.89
2007-12-14,66,210.67
2007-12-21,66,209.60
2007-12-28,65,211.94
2008-01-04,64,199.93
2008-01-11,62,198.74
2008-01-18,64,187.21
2008-01-25,64,191.37
2008-02-01,67,207.78
2008-02-08,73,187.07
2008-02-15,67,178.41
2008-02-22,72,177.71
2008-02-29,81,169.63
2008-03-07,69,160.07
2008-03-14,61,156.86
2008-03-21,67,
2008-03-28,62,164.45
2008-04-04,65,175.40
2008-04-11,68,167.30
2008-04-18,65,179.93
2008-04-25,72,192.00
2008-05-02,98,200.27
2008-05-09,100,188.09
2008-05-16,89,187.14
2008-05-23,72,172.64
2008-05-30,67,176.41
2008-06-06,70,169.44
2008-06-13,68,178.29
2008-06-20,65,183.77
2008-06-27,62,174.56
2008-07-04,72,
2008-07-11,70,162.48
2008-07-18,74,182.84
2008-07-25,76,178.66
2008-08-01,74,182.00
2008-08-08,77,175.95
2008-08-15,78,163.18
2008-08-22,76,159.81
2008-08-29,95,163.97
2008-09-05,72,163.24
2008-09-12,66,154.21
2008-09-19,79,129.80
2008-09-26,77,137.99
2008-10-03,79,128.00
2008-10-10,72,88.80
2008-10-17,64,114.30
2008-10-24,81,100.40
2008-10-31,73,92.50
2008-11-07,77,77.78
2008-11-14,93,66.73
2008-11-21,69,53.31
2008-11-28,72,78.99
2008-12-05,69,70.72
2008-12-12,69,67.74
2008-12-19,69,80.73
2008-12-26,83,75.97
2009-01-02,67,86.76
2009-01-09,64,83.92
2009-01-16,66,73.05
2009-01-23,66,74.91
2009-01-30,63,80.73
2009-02-06,69,96.57
2009-02-13,64,96.45
2009-02-20,62,84.59
2009-02-27,98,91.08
2009-03-06,71,75.65
2009-03-13,79,98.80
2009-03-20,85,97.32
2009-03-27,63,108.08
2009-04-03,56,119.40
2009-04-10,71,
2009-04-17,87,120.60
2009-04-24,62,121.30
2009-05-01,60,127.08
2009-05-08,56,139.59
2009-05-15,58,134.40
2009-05-22,59,136.35
2009-05-29,63,144.57
2009-06-05,68,149.01
2009-06-12,68,145.64
2009-06-19,67,143.13
2009-06-26,71,146.74
2009-07-03,70,
2009-07-10,71,141.87
2009-07-17,71,156.84
2009-07-24,73,164.72
2009-07-31,88,163.30
2009-08-07,82,163.65
2009-08-14,69,162.73
2009-08-21,76,163.51
2009-08-28,78,164.42
2009-09-04,68,162.97
2009-09-11,69,174.70
2009-09-18,75,183.18
2009-09-25,63,179.50
2009-10-02,62,179.61
2009-10-09,58,189.30
2009-10-16,53,184.37
2009-10-23,69,180.36
2009-10-30,81,170.17
2009-11-06,64,171.78
2009-11-13,54,176.76
2009-11-20,54,170.01
2009-11-27,54,164.16
2009-12-04,55,167.24
2009-12-11,57,166.00
2009-12-18,56,163.19
2009-12-25,56,
2010-01-01,55,
2010-01-08,54,174.31
2010-01-15,57,165.21
2010-01-22,63,154.12
2010-01-29,67,148.72
2010-02-05,63,154.16
2010-02-12,54,153.93
2010-02-19,65,156.18
2010-02-26,69,156.35
2010-03-05,56,167.18
2010-03-12,55,174.96
2010-03-19,55,177.90
2010-03-26,64,172.87
2010-04-02,73,
2010-04-09,56,179.12
2010-04-16,58,160.70
2010-04-23,57,157.40
2010-04-30,59,145.20
2010-05-07,55,142.99
2010-05-14,54,143.23
2010-05-21,60,140.62
2010-05-28,52,144.26
2010-06-04,54,142.25
2010-06-11,54,135.64
2010-06-18,51,138.18
2010-06-25,53,139.66
2010-07-02,52,131.08
2010-07-09,59,138.06
2010-07-16,65,146.17
2010-07-23,74,147.38
2010-07-30,66,150.82
2010-08-06,66,155.18
2010-08-13,60,148.08
2010-08-20,66,148.24
2010-08-27,69,139.75
2010-09-03,69,147.29
2010-09-10,53,150.39
2010-09-17,56,150.98
2010-09-24,50,147.28
2010-10-01,55,147.70
2010-10-08,49,152.66
2010-10-15,48,150.69
2010-10-22,62,157.76
2010-10-29,66,161.13
2010-11-05,50,171.07
2010-11-12,53,165.83
2010-11-19,47,166.67
2010-11-26,49,158.22
2010-12-03,54,162.31
2010-12-10,48,168.47
2010-12-17,46,164.04
2010-12-24,52,
2010-12-31,54,168.16
2011-01-07,61,170.69
2011-01-14,70,175.00
2011-01-21,63,166.20
2011-01-28,54,161.77
2011-02-04,50,164.83
2011-02-11,52,166.66
2011-02-18,47,168.04
2011-02-25,47,165.12
2011-03-04,48,161.00
2011-03-11,47,160.68
2011-03-18,76,159.96
2011-03-25,51,157.97
2011-04-01,47,160.23
2011-04-08,47,160.96
2011-04-15,49,155.13
2011-04-22,49,
2011-04-29,47,151.01
2011-05-06,44,150.10
2011-05-13,50,141.46
2011-05-20,54,134.99
2011-05-27,59,138.66
2011-06-03,53,135.33
2011-06-10,54,135.92
2011-06-17,59,137.23
2011-06-24,52,130.91
2011-07-01,53,136.65
2011-07-08,54,134.08
2011-07-15,49,130.16
2011-07-22,58,135.49
2011-07-29,61,134.97
2011-08-05,50,125.18
2011-08-12,53,116.47
2011-08-19,58,111.76
2011-08-26,57,111.75
2011-09-02,49,107.06
2011-09-09,51,102.25
2011-09-16,50,107.49
2011-09-23,49,95.18
2011-09-30,47,94.55
2011-10-07,47,92.69
2011-10-14,44,96.73
2011-10-21,49,102.09
2011-10-28,45,115.86
2011-11-04,46,105.04
2011-11-11,45,101.66
2011-11-18,42,91.91
2011-11-25,48,88.75
2011-12-02,46,97.25
2011-12-09,69,101.45
2011-12-16,53,90.10
2011-12-23,47,93.79
2011-12-30,46,90.43
2012-01-06,54,93.42
2012-01-13,53,98.96
2012-01-20,49,108.74
2012-01-27,52,111.77
2012-02-03,53,117.53
2012-02-10,52,114.12
2012-02-17,50,115.91
2012-02-24,49,115.87
2012-03-02,57,119.96
2012-03-09,53,117.29
2012-03-16,72,122.93
2012-03-23,57,126.18
2012-03-30,54,124.37
2012-04-06,48,
2012-04-13,53,115.09
2012-04-20,60,112.44
2012-04-27,69,114.41
2012-05-04,58,108.99
2012-05-11,82,102.13
2012-05-18,76,95.49
2012-05-25,51,96.70
2012-06-01,50,92.64
2012-06-08,49,94.54
2012-06-15,49,95.66
2012-06-22,47,93.63
2012-06-29,48,95.86
2012-07-06,47,95.47
2012-07-13,64,97.43
2012-07-20,62,94.16
2012-07-27,55,101.64
2012-08-03,57,100.98
2012-08-10,62,103.02
2012-08-17,64,103.60
2012-08-24,53,104.96
2012-08-31,64,105.72
2012-09-07,58,116.33
2012-09-14,51,121.36
2012-09-21,65,116.72
2012-09-28,52,113.68
2012-10-05,55,119.31
2012-10-12,47,120.20
2012-10-19,45,123.62
2012-10-26,48,119.44
2012-11-02,45,123.25
2012-11-09,56,116.15
2012-11-16,47,115.84
2012-11-23,57,120.31
2012-11-30,49,117.79
2012-12-07,57,116.57
2012-12-14,50,119.36
2012-12-21,70,128.44
2012-12-28,50,125.52
2013-01-04,45,134.51
2013-01-11,53,137.13
2013-01-18,52,144.45
2013-01-25,62,144.46
2013-02-01,67,149.90
2013-02-08,51,151.60
2013-02-15,58,154.99
2013-02-22,67,154.09
2013-03-01,56,150.53
2013-03-08,49,152.98
2013-03-15,65,154.84
2013-03-22,50,146.60
2013-03-29,50,
2013-04-05,77,143.69
2013-04-12,67,149.12
2013-04-19,53,138.72
2013-04-26,49,144.11
2013-05-03,52,145.37
2013-05-10,64,149.10
2013-05-17,69,158.18
2013-05-24,53,158.72
2013-05-31,49,162.08
2013-06-07,48,166.01
2013-06-14,47,162.92
2013-06-21,45,154.25
2013-06-28,43,151.25
2013-07-05,45,153.24
2013-07-12,46,160.11
2013-07-19,49,164.36
2013-07-26,49,165.26
2013-08-02,50,167.62
2013-08-09,49,162.13
2013-08-16,55,160.66
2013-08-23,50,158.65
2013-08-30,51,152.13
2013-09-06,47,156.66
2013-09-13,49,164.00
2013-09-20,56,169.75
2013-09-27,68,159.85
2013-10-04,59,156.55
2013-10-11,45,160.00
2013-10-18,42,158.69
2013-10-25,56,162.09
2013-11-01,50,162.05
2013-11-08,48,163.17
2013-11-15,57,164.40
2013-11-22,43,168.10
2013-11-29,53,168.94
2013-12-06,48,167.21
2013-12-13,59,168.39
2013-12-20,49,175.16
2013-12-27,51,176.35
2014-01-03,44,178.15
2014-01-10,50,178.39
2014-01-17,51,176.28
2014-01-24,47,167.64
2014-01-31,50,164.12
2014-02-07,59,161.93
2014-02-14,48,163.72
2014-02-21,57,164.50
2014-02-28,68,166.45
2014-03-07,49,174.26
2014-03-14,48,165.35
2014-03-21,52,166.95
2014-03-28,46,162.30
2014-04-04,44,163.24
2014-04-11,61,152.72
2014-04-18,52,
2014-04-25,45,158.24
2014-05-02,55,
