Date,buy EL,Price
2008-11-21,35,25.65
2008-11-28,41,27.90
2008-12-05,41,28.11
2008-12-12,50,29.60
2008-12-19,40,29.63
2008-12-26,41,29.52
2009-01-02,43,32.65
2009-01-09,34,30.57
2009-01-16,36,26.11
2009-01-23,32,25.30
2009-01-30,35,26.25
2009-02-06,36,28.12
2009-02-13,31,26.89
2009-02-20,39,24.73
2009-02-27,30,22.65
2009-03-06,28,20.66
2009-03-13,30,22.14
2009-03-20,33,23.21
2009-03-27,37,25.72
2009-04-03,31,26.68
2009-04-10,40,
2009-04-17,31,27.98
2009-04-24,27,29.28
2009-05-01,31,31.13
2009-05-08,30,33.90
2009-05-15,33,32.08
2009-05-22,32,32.40
2009-05-29,35,33.08
2009-06-05,37,33.72
2009-06-12,40,33.93
2009-06-19,39,31.44
2009-06-26,35,32.82
2009-07-03,36,
2009-07-10,37,30.27
2009-07-17,35,33.21
2009-07-24,36,35.62
2009-07-31,34,36.44
2009-08-07,38,37.21
2009-08-14,30,36.08
2009-08-21,39,35.84
2009-08-28,37,36.57
2009-09-04,37,34.58
2009-09-11,38,34.25
2009-09-18,26,36.79
2009-09-25,46,35.83
2009-10-02,33,36.34
2009-10-09,35,39.68
2009-10-16,35,41.11
2009-10-23,43,42.00
2009-10-30,31,42.50
2009-11-06,38,46.75
2009-11-13,46,46.63
2009-11-20,38,47.86
2009-11-27,59,46.99
2009-12-04,49,48.81
2009-12-11,48,49.30
2009-12-18,50,47.49
2009-12-25,56,
2010-01-01,40,
2010-01-08,37,49.31
2010-01-15,37,49.76
2010-01-22,34,53.17
2010-01-29,36,52.52
2010-02-05,35,55.40
2010-02-12,39,56.66
2010-02-19,36,58.83
2010-02-26,40,60.13
2010-03-05,30,61.66
2010-03-12,42,63.51
2010-03-19,37,63.13
2010-03-26,38,63.92
2010-04-02,40,
2010-04-09,36,65.46
2010-04-16,37,67.89
2010-04-23,37,69.50
2010-04-30,40,65.92
2010-05-07,45,58.53
2010-05-14,37,61.04
2010-05-21,36,58.90
2010-05-28,34,58.27
2010-06-04,36,55.34
2010-06-11,37,57.86
2010-06-18,41,59.94
2010-06-25,39,56.23
2010-07-02,37,57.39
2010-07-09,44,62.19
2010-07-16,49,63.47
2010-07-23,47,62.67
2010-07-30,37,62.25
2010-08-06,47,63.46
2010-08-13,43,57.82
2010-08-20,46,57.39
2010-08-27,38,57.36
2010-09-03,45,59.12
2010-09-10,47,58.64
2010-09-17,43,58.87
2010-09-24,43,61.41
2010-10-01,43,63.29
2010-10-08,41,65.66
2010-10-15,39,67.23
2010-10-22,40,66.26
2010-10-29,42,71.17
2010-11-05,40,72.16
2010-11-12,49,71.78
2010-11-19,47,75.37
2010-11-26,69,75.79
2010-12-03,57,77.33
2010-12-10,52,78.09
2010-12-17,55,79.30
2010-12-24,77,
2010-12-31,61,80.70
2011-01-07,50,80.62
2011-01-14,45,83.99
2011-01-21,49,83.74
2011-01-28,44,80.08
2011-02-04,46,93.00
2011-02-11,48,94.15
2011-02-18,48,94.48
2011-02-25,44,92.99
2011-03-04,41,92.40
2011-03-11,41,92.87
2011-03-18,41,89.35
2011-03-25,48,94.47
2011-04-01,46,95.93
2011-04-08,45,95.06
2011-04-15,42,96.38
2011-04-22,45,
2011-04-29,49,97.00
2011-05-06,48,98.06
2011-05-13,46,100.17
2011-05-20,47,100.65
2011-05-27,44,100.42
2011-06-03,46,98.09
2011-06-10,49,96.08
2011-06-17,48,97.32
2011-06-24,45,100.85
2011-07-01,48,105.08
2011-07-08,44,105.89
2011-07-15,48,105.16
2011-07-22,46,107.23
2011-07-29,49,104.91
2011-08-05,49,95.47
2011-08-12,47,100.85
2011-08-19,49,88.57
2011-08-26,52,95.91
2011-09-02,52,96.03
2011-09-09,51,94.39
2011-09-16,49,101.70
2011-09-23,48,95.14
2011-09-30,50,87.84
2011-10-07,50,91.67
2011-10-14,47,97.97
2011-10-21,50,96.96
2011-10-28,50,101.41
2011-11-04,45,117.94
2011-11-11,55,115.06
2011-11-18,100,112.53
2011-11-25,83,107.23
2011-12-02,65,116.08
2011-12-09,57,109.25
2011-12-16,66,108.12
2011-12-23,72,113.43
2011-12-30,67,112.32
2012-01-06,58,111.50
2012-01-13,54,112.16
2012-01-20,54,116.03
2012-01-27,55,57.98
2012-02-03,53,57.48
2012-02-10,52,56.90
2012-02-17,53,56.04
2012-02-24,48,56.84
2012-03-02,50,58.35
2012-03-09,54,59.07
2012-03-16,48,63.67
2012-03-23,48,62.25
2012-03-30,48,61.94
2012-04-06,45,
2012-04-13,45,62.96
2012-04-20,44,64.03
2012-04-27,37,65.23
2012-05-04,43,60.72
2012-05-11,43,58.16
2012-05-18,45,54.54
2012-05-25,44,54.96
2012-06-01,45,52.43
2012-06-08,42,55.01
2012-06-15,44,55.07
2012-06-22,47,54.92
2012-06-29,47,54.12
2012-07-06,44,54.65
2012-07-13,49,51.63
2012-07-20,48,53.21
2012-07-27,52,54.70
2012-08-03,47,53.09
2012-08-10,52,55.62
2012-08-17,51,61.61
2012-08-24,46,60.10
2012-08-31,46,59.95
2012-09-07,49,61.00
2012-09-14,47,61.23
2012-09-21,48,61.82
2012-09-28,47,61.57
2012-10-05,42,64.00
2012-10-12,47,63.01
2012-10-19,45,62.93
2012-10-26,53,60.79
2012-11-02,47,60.03
2012-11-09,57,57.49
2012-11-16,82,56.62
2012-11-23,84,59.62
2012-11-30,61,58.25
2012-12-07,57,60.67
2012-12-14,59,60.93
2012-12-21,69,59.82
2012-12-28,71,57.93
2013-01-04,55,62.69
2013-01-11,51,64.13
2013-01-18,42,62.85
2013-01-25,46,63.25
2013-02-01,47,62.72
2013-02-08,43,62.75
2013-02-15,45,63.11
2013-02-22,49,63.31
2013-03-01,45,64.47
2013-03-08,50,65.70
2013-03-15,41,63.34
2013-03-22,43,63.89
2013-03-29,45,
2013-04-05,39,63.17
2013-04-12,41,68.24
2013-04-19,40,69.67
2013-04-26,42,68.88
2013-05-03,40,71.23
2013-05-10,42,71.05
2013-05-17,44,70.85
2013-05-24,46,70.95
2013-05-31,45,67.78
2013-06-07,39,68.12
2013-06-14,44,68.41
2013-06-21,42,65.79
2013-06-28,43,65.77
2013-07-05,48,67.93
2013-07-12,44,68.46
2013-07-19,48,67.57
2013-07-26,48,66.20
2013-08-02,46,66.89
2013-08-09,44,66.59
2013-08-16,47,67.25
2013-08-23,45,68.15
2013-08-30,46,65.36
2013-09-06,42,67.58
2013-09-13,38,70.80
2013-09-20,44,71.75
2013-09-27,42,70.42
2013-10-04,42,69.98
2013-10-11,41,71.01
2013-10-18,41,72.05
2013-10-25,46,71.51
2013-11-01,44,69.94
2013-11-08,50,70.96
2013-11-15,72,73.67
2013-11-22,58,75.01
2013-11-29,75,74.96
2013-12-06,60,73.71
2013-12-13,54,72.64
2013-12-20,62,74.35
2013-12-27,58,74.45
2014-01-03,50,73.65
2014-01-10,43,74.05
2014-01-17,43,72.57
2014-01-24,44,68.79
2014-01-31,43,68.74
2014-02-07,38,66.50
2014-02-14,44,67.98
2014-02-21,38,67.65
2014-02-28,46,68.84
2014-03-07,43,70.02
2014-03-14,41,69.30
2014-03-21,44,68.37
2014-03-28,43,66.73
2014-04-04,40,66.98
2014-04-11,39,68.18
2014-04-18,39,
2014-04-25,43,72.20
2014-05-02,38,
