Date,Lilly (Eli) & Co.,Price
2005-12-23,40,57.70
2005-12-30,29,56.59
2006-01-06,38,57.82
2006-01-13,42,57.95
2006-01-20,45,56.90
2006-01-27,54,57.55
2006-02-03,44,55.86
2006-02-10,50,56.18
2006-02-17,44,55.84
2006-02-24,46,56.02
2006-03-03,46,55.71
2006-03-10,43,57.25
2006-03-17,44,57.09
2006-03-24,38,58.86
2006-03-31,41,55.30
2006-04-07,47,53.54
2006-04-14,49,
2006-04-21,56,52.93
2006-04-28,42,52.92
2006-05-05,47,52.94
2006-05-12,40,50.44
2006-05-19,42,51.01
2006-05-26,41,52.27
2006-06-02,36,52.03
2006-06-09,52,51.74
2006-06-16,44,54.25
2006-06-23,37,54.30
2006-06-30,49,55.27
2006-07-07,32,56.24
2006-07-14,40,54.56
2006-07-21,43,54.65
2006-07-28,38,56.91
2006-08-04,38,56.27
2006-08-11,36,54.36
2006-08-18,40,55.03
2006-08-25,42,55.06
2006-09-01,36,56.00
2006-09-08,31,55.26
2006-09-15,40,54.80
2006-09-22,36,55.93
2006-09-29,44,57.00
2006-10-06,32,57.56
2006-10-13,43,57.37
2006-10-20,43,57.24
2006-10-27,45,57.03
2006-11-03,40,56.08
2006-11-10,47,54.14
2006-11-17,45,54.55
2006-11-24,27,53.90
2006-12-01,38,53.40
2006-12-08,39,54.00
2006-12-15,39,54.52
2006-12-22,33,51.35
2006-12-29,23,52.10
2007-01-05,37,52.04
2007-01-12,44,52.60
2007-01-19,43,52.96
2007-01-26,43,52.79
2007-02-02,41,54.60
2007-02-09,40,54.23
2007-02-16,39,54.99
2007-02-23,49,54.21
2007-03-02,32,51.77
2007-03-09,43,52.59
2007-03-16,33,52.18
2007-03-23,32,53.81
2007-03-30,47,53.71
2007-04-06,35,
2007-04-13,41,56.88
2007-04-20,49,60.56
2007-04-27,43,59.61
2007-05-04,32,59.54
2007-05-11,30,58.43
2007-05-18,30,59.37
2007-05-25,30,59.36
2007-06-01,35,58.94
2007-06-08,35,57.02
2007-06-15,39,57.72
2007-06-22,34,55.80
2007-06-29,33,55.88
2007-07-06,31,56.64
2007-07-13,39,56.92
2007-07-20,34,56.03
2007-07-27,42,55.02
2007-08-03,39,54.13
2007-08-10,29,57.16
2007-08-17,35,55.81
2007-08-24,31,56.61
2007-08-31,31,57.35
2007-09-07,33,56.17
2007-09-14,36,56.82
2007-09-21,35,57.62
2007-09-28,51,56.93
2007-10-05,41,59.47
2007-10-12,34,58.53
2007-10-19,41,56.06
2007-10-26,35,52.68
2007-11-02,37,52.67
2007-11-09,36,51.51
2007-11-16,29,51.81
2007-11-23,30,50.79
2007-11-30,38,52.95
2007-12-07,33,54.30
2007-12-14,30,53.71
2007-12-21,28,54.23
2007-12-28,17,54.05
2008-01-04,23,51.80
2008-01-11,33,56.81
2008-01-18,32,53.71
2008-01-25,33,50.74
2008-02-01,35,51.66
2008-02-08,33,50.23
2008-02-15,39,50.82
2008-02-22,34,50.51
2008-02-29,39,50.02
2008-03-07,35,49.70
2008-03-14,40,47.81
2008-03-21,28,
2008-03-28,33,50.29
2008-04-04,36,52.28
2008-04-11,35,51.93
2008-04-18,35,52.07
2008-04-25,38,49.36
2008-05-02,34,49.38
2008-05-09,31,48.25
2008-05-16,35,48.95
2008-05-23,25,47.57
2008-05-30,27,48.14
2008-06-06,26,48.42
2008-06-13,29,48.33
2008-06-20,26,46.93
2008-06-27,28,45.61
2008-07-04,27,
2008-07-11,29,47.67
2008-07-18,30,47.91
2008-07-25,28,47.81
2008-08-01,29,47.04
2008-08-08,33,48.51
2008-08-15,29,48.78
2008-08-22,29,48.03
2008-08-29,26,46.65
2008-09-05,27,45.44
2008-09-12,31,46.60
2008-09-19,26,46.69
2008-09-26,37,46.82
2008-10-03,34,41.31
2008-10-10,46,31.36
2008-10-17,40,32.20
2008-10-24,34,31.73
2008-10-31,33,33.82
2008-11-07,33,34.20
2008-11-14,29,32.06
2008-11-21,32,30.43
2008-11-28,22,34.15
2008-12-05,30,34.94
2008-12-12,27,36.41
2008-12-19,25,38.26
2008-12-26,14,37.98
2009-01-02,19,40.57
2009-01-09,28,38.48
2009-01-16,34,38.13
2009-01-23,32,37.42
2009-01-30,34,36.82
2009-02-06,31,38.18
2009-02-13,33,35.43
2009-02-20,32,33.24
2009-02-27,30,29.38
2009-03-06,27,27.98
2009-03-13,29,30.64
2009-03-20,29,32.55
2009-03-27,30,33.75
2009-04-03,29,33.01
2009-04-10,28,
2009-04-17,29,33.75
2009-04-24,32,33.01
2009-05-01,24,33.49
2009-05-08,24,35.95
2009-05-15,26,34.17
2009-05-22,27,34.34
2009-05-29,26,34.57
2009-06-05,24,34.77
2009-06-12,23,34.29
2009-06-19,25,33.71
2009-06-26,23,35.28
2009-07-03,22,
2009-07-10,27,33.32
2009-07-17,25,33.53
2009-07-24,24,34.68
2009-07-31,26,34.89
2009-08-07,26,34.89
2009-08-14,30,32.88
2009-08-21,26,33.45
2009-08-28,24,33.60
2009-09-04,25,33.00
2009-09-11,19,32.82
2009-09-18,40,32.86
2009-09-25,31,32.68
2009-10-02,27,32.51
2009-10-09,29,33.78
2009-10-16,24,34.44
2009-10-23,28,33.96
2009-10-30,27,34.01
2009-11-06,22,34.50
2009-11-13,27,35.36
2009-11-20,27,36.59
2009-11-27,20,36.90
2009-12-04,27,37.39
2009-12-11,25,34.97
2009-12-18,23,35.72
2009-12-25,14,
2010-01-01,14,
2010-01-08,25,35.00
2010-01-15,26,35.82
2010-01-22,24,35.52
2010-01-29,24,35.20
2010-02-05,28,34.52
2010-02-12,27,33.95
2010-02-19,22,34.24
2010-02-26,29,34.34
2010-03-05,25,35.09
2010-03-12,26,35.93
2010-03-19,37,36.17
2010-03-26,28,35.42
2010-04-02,22,
2010-04-09,28,36.84
2010-04-16,22,36.54
2010-04-23,23,35.46
2010-04-30,24,34.97
2010-05-07,20,34.62
2010-05-14,22,33.92
2010-05-21,24,33.12
2010-05-28,19,32.79
2010-06-04,21,32.37
2010-06-11,23,33.67
2010-06-18,21,34.61
2010-06-25,24,33.94
2010-07-02,21,33.67
2010-07-09,21,35.17
2010-07-16,23,34.64
2010-07-23,24,35.17
2010-07-30,22,35.60
2010-08-06,21,36.87
2010-08-13,25,35.70
2010-08-20,25,34.17
2010-08-27,23,34.20
2010-09-03,18,34.66
2010-09-10,21,35.43
2010-09-17,24,35.79
2010-09-24,23,36.10
2010-10-01,26,36.54
2010-10-08,23,37.07
2010-10-15,25,37.76
2010-10-22,25,35.40
2010-10-29,22,35.20
2010-11-05,20,35.72
2010-11-12,24,34.76
2010-11-19,23,34.50
2010-11-26,18,34.07
2010-12-03,22,34.14
2010-12-10,19,34.98
2010-12-17,18,35.01
2010-12-24,14,
2010-12-31,12,35.04
2011-01-07,20,34.90
2011-01-14,25,34.91
2011-01-21,22,34.76
2011-01-28,26,34.77
2011-02-04,24,35.53
2011-02-11,23,34.52
2011-02-18,22,34.60
2011-02-25,20,34.09
2011-03-04,24,34.60
2011-03-11,21,34.86
2011-03-18,22,34.48
2011-03-25,23,34.48
2011-04-01,21,34.99
2011-04-08,24,35.69
2011-04-15,22,36.01
2011-04-22,23,
2011-04-29,23,37.01
2011-05-06,23,38.39
2011-05-13,24,38.95
2011-05-20,20,38.44
2011-05-27,21,37.85
2011-06-03,20,37.05
2011-06-10,23,37.05
2011-06-17,20,37.33
2011-06-24,21,36.76
2011-07-01,22,37.67
2011-07-08,22,37.71
2011-07-15,22,38.33
2011-07-22,21,38.70
2011-07-29,21,38.30
2011-08-05,18,36.24
2011-08-12,19,34.86
2011-08-19,20,35.01
2011-08-26,18,35.77
2011-09-02,20,36.44
2011-09-09,21,36.13
2011-09-16,20,37.81
2011-09-23,23,36.07
2011-09-30,21,36.97
2011-10-07,19,37.92
2011-10-14,22,38.29
2011-10-21,25,38.07
2011-10-28,23,38.28
2011-11-04,20,37.94
2011-11-11,21,37.85
2011-11-18,21,36.89
2011-11-25,16,35.58
2011-12-02,18,37.37
2011-12-09,20,39.27
2011-12-16,19,40.53
2011-12-23,14,41.64
2011-12-30,14,41.56
2012-01-06,19,39.88
2012-01-13,17,39.94
2012-01-20,18,39.81
2012-01-27,21,39.20
2012-02-03,22,39.51
2012-02-10,20,39.31
2012-02-17,18,39.26
2012-02-24,18,39.05
2012-03-02,22,39.48
2012-03-09,18,39.56
2012-03-16,19,40.20
2012-03-23,18,39.87
2012-03-30,17,40.27
2012-04-06,16,
2012-04-13,19,39.18
2012-04-20,19,39.91
2012-04-27,19,41.30
2012-05-04,17,41.28
2012-05-11,19,41.26
2012-05-18,16,40.44
2012-05-25,16,41.11
2012-06-01,15,40.16
2012-06-08,17,41.53
2012-06-15,17,41.99
2012-06-22,17,42.07
2012-06-29,16,42.91
2012-07-06,14,42.66
2012-07-13,18,43.26
2012-07-20,16,44.17
2012-07-27,18,44.37
2012-08-03,16,44.15
2012-08-10,16,43.60
2012-08-17,17,42.42
2012-08-24,21,43.86
2012-08-31,18,44.91
2012-09-07,18,46.65
2012-09-14,18,46.72
2012-09-21,18,47.46
2012-09-28,19,47.41
2012-10-05,16,48.23
2012-10-12,20,50.45
2012-10-19,17,52.86
2012-10-26,19,50.21
2012-11-02,14,48.55
2012-11-09,17,47.47
2012-11-16,16,45.91
2012-11-23,13,47.74
2012-11-30,17,49.04
2012-12-07,17,49.63
2012-12-14,17,47.79
2012-12-21,14,49.55
2012-12-28,9,48.60
2013-01-04,12,51.56
2013-01-11,19,53.11
2013-01-18,17,53.77
2013-01-25,17,53.21
2013-02-01,18,54.20
2013-02-08,17,53.72
2013-02-15,16,53.59
2013-02-22,17,54.27
2013-03-01,16,54.78
2013-03-08,15,55.16
2013-03-15,17,55.13
2013-03-22,17,55.57
2013-03-29,16,
2013-04-05,14,56.48
2013-04-12,19,57.51
2013-04-19,16,57.42
2013-04-26,15,56.46
2013-05-03,15,54.99
2013-05-10,16,54.82
2013-05-17,15,55.90
2013-05-24,13,54.14
2013-05-31,14,53.16
2013-06-07,15,52.49
2013-06-14,15,52.05
2013-06-21,16,49.91
2013-06-28,16,49.12
2013-07-05,13,50.58
2013-07-12,15,51.45
2013-07-19,16,50.60
2013-07-26,16,53.36
2013-08-02,16,53.88
2013-08-09,16,54.18
2013-08-16,15,52.86
2013-08-23,15,52.62
2013-08-30,15,51.40
2013-09-06,14,52.41
2013-09-13,17,53.27
2013-09-20,19,53.93
2013-09-27,18,50.50
2013-10-04,18,48.38
2013-10-11,17,48.88
2013-10-18,16,49.56
2013-10-25,16,50.66
2013-11-01,16,50.38
2013-11-08,15,50.63
2013-11-15,17,51.01
2013-11-22,15,51.23
2013-11-29,13,50.22
2013-12-06,14,50.63
2013-12-13,14,49.39
2013-12-20,13,50.20
2013-12-27,8,51.25
2014-01-03,12,51.10
2014-01-10,16,51.93
2014-01-17,15,55.16
2014-01-24,16,54.12
2014-01-31,16,54.01
2014-02-07,14,53.21
2014-02-14,17,54.20
2014-02-21,17,57.96
2014-02-28,17,59.61
2014-03-07,16,58.59
2014-03-14,14,58.87
2014-03-21,17,57.78
2014-03-28,15,57.61
2014-04-04,15,59.01
2014-04-11,20,58.45
2014-04-18,17,
2014-04-25,23,58.50
2014-05-02,18,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
