Date,Ross Stores,Price
2006-06-30,74,28.05
2006-07-07,56,25.64
2006-07-14,49,24.54
2006-07-21,63,24.46
2006-07-28,62,24.91
2006-08-04,80,23.25
2006-08-11,73,22.99
2006-08-18,70,23.86
2006-08-25,77,23.69
2006-09-01,72,24.91
2006-09-08,54,24.97
2006-09-15,53,25.96
2006-09-22,62,25.50
2006-09-29,50,25.41
2006-10-06,58,28.52
2006-10-13,50,30.36
2006-10-20,61,29.77
2006-10-27,66,29.64
2006-11-03,60,30.77
2006-11-10,50,31.38
2006-11-17,55,30.41
2006-11-24,57,29.97
2006-12-01,73,30.31
2006-12-08,70,30.19
2006-12-15,75,30.61
2006-12-22,74,29.65
2006-12-29,46,29.30
2007-01-05,57,31.41
2007-01-12,53,33.29
2007-01-19,49,32.35
2007-01-26,41,32.00
2007-02-02,35,32.60
2007-02-09,40,32.76
2007-02-16,37,34.81
2007-02-23,40,34.12
2007-03-02,47,32.32
2007-03-09,48,32.47
2007-03-16,48,31.62
2007-03-23,55,34.49
2007-03-30,58,34.40
2007-04-06,64,
2007-04-13,66,33.59
2007-04-20,44,34.65
2007-04-27,59,33.71
2007-05-04,61,33.24
2007-05-11,63,33.70
2007-05-18,51,34.52
2007-05-25,52,32.26
2007-06-01,47,32.85
2007-06-08,50,31.35
2007-06-15,51,31.18
2007-06-22,51,31.31
2007-06-29,64,30.80
2007-07-06,62,31.13
2007-07-13,73,31.86
2007-07-20,65,30.99
2007-07-27,67,29.25
2007-08-03,72,27.58
2007-08-10,75,28.35
2007-08-17,57,27.53
2007-08-24,51,27.93
2007-08-31,50,27.83
2007-09-07,51,26.52
2007-09-14,55,26.62
2007-09-21,47,26.54
2007-09-28,46,25.64
2007-10-05,50,27.51
2007-10-12,60,29.00
2007-10-19,57,26.14
2007-10-26,53,26.42
2007-11-02,57,25.82
2007-11-09,57,25.04
2007-11-16,51,26.00
2007-11-23,76,26.22
2007-11-30,76,26.38
2007-12-07,72,27.54
2007-12-14,58,25.01
2007-12-21,70,25.88
2007-12-28,67,25.34
2008-01-04,55,23.14
2008-01-11,40,24.36
2008-01-18,43,25.03
2008-01-25,49,26.44
2008-02-01,53,29.89
2008-02-08,61,27.53
2008-02-15,56,27.52
2008-02-22,59,28.32
2008-02-29,59,27.85
2008-03-07,75,27.74
2008-03-14,65,28.15
2008-03-21,68,
2008-03-28,70,29.17
2008-04-04,73,31.38
2008-04-11,75,31.32
2008-04-18,76,33.40
2008-04-25,70,34.24
2008-05-02,71,34.22
2008-05-09,82,34.96
2008-05-16,71,35.51
2008-05-23,70,35.35
2008-05-30,53,36.62
2008-06-06,52,36.55
2008-06-13,73,37.30
2008-06-20,71,37.28
2008-06-27,71,36.39
2008-07-04,79,
2008-07-11,79,37.77
2008-07-18,74,38.92
2008-07-25,82,37.36
2008-08-01,77,37.75
2008-08-08,70,39.57
2008-08-15,52,39.32
2008-08-22,50,39.53
2008-08-29,49,40.21
2008-09-05,54,40.21
2008-09-12,56,39.04
2008-09-19,55,37.44
2008-09-26,55,36.90
2008-10-03,56,33.72
2008-10-10,53,28.26
2008-10-17,52,28.99
2008-10-24,68,28.78
2008-10-31,53,32.69
2008-11-07,59,29.27
2008-11-14,72,26.23
2008-11-21,63,23.65
2008-11-28,87,26.50
2008-12-05,84,29.33
2008-12-12,75,27.96
2008-12-19,70,29.21
2008-12-26,80,29.21
2009-01-02,69,30.81
2009-01-09,44,30.00
2009-01-16,37,30.84
2009-01-23,48,31.21
2009-01-30,37,29.42
2009-02-06,52,32.58
2009-02-13,49,30.70
2009-02-20,56,30.79
2009-02-27,50,29.52
2009-03-06,50,29.45
2009-03-13,45,33.01
2009-03-20,45,33.93
2009-03-27,49,36.68
2009-04-03,50,36.95
2009-04-10,52,
2009-04-17,42,39.15
2009-04-24,48,39.03
2009-05-01,52,37.99
2009-05-08,52,36.47
2009-05-15,48,35.19
2009-05-22,44,38.98
2009-05-29,38,39.16
2009-06-05,38,39.36
2009-06-12,39,39.43
2009-06-19,49,38.66
2009-06-26,40,38.35
2009-07-03,46,
2009-07-10,44,40.84
2009-07-17,48,43.42
2009-07-24,44,44.49
2009-07-31,52,44.07
2009-08-07,53,45.49
2009-08-14,56,44.40
2009-08-21,49,46.80
2009-08-28,47,47.14
2009-09-04,43,46.99
2009-09-11,42,46.55
2009-09-18,37,47.39
2009-09-25,39,47.03
2009-10-02,43,46.01
2009-10-09,50,45.20
2009-10-16,38,45.72
2009-10-23,43,46.12
2009-10-30,38,44.01
2009-11-06,39,45.62
2009-11-13,49,46.01
2009-11-20,43,43.81
2009-11-27,56,44.29
2009-12-04,48,43.63
2009-12-11,49,43.53
2009-12-18,48,42.90
2009-12-25,59,
2010-01-01,50,
2010-01-08,37,45.06
2010-01-15,33,44.88
2010-01-22,32,43.83
2010-01-29,33,45.93
2010-02-05,35,45.97
2010-02-12,36,46.43
2010-02-19,32,47.10
2010-02-26,33,48.92
2010-03-05,32,51.14
2010-03-12,40,52.92
2010-03-19,43,54.07
2010-03-26,38,53.61
2010-04-02,36,
2010-04-09,44,55.88
2010-04-16,37,56.42
2010-04-23,32,58.51
2010-04-30,37,56.00
2010-05-07,36,51.50
2010-05-14,39,52.29
2010-05-21,34,52.55
2010-05-28,32,52.40
2010-06-04,42,54.63
2010-06-11,42,57.33
2010-06-18,39,57.31
2010-06-25,34,54.51
2010-07-02,33,54.26
2010-07-09,38,54.09
2010-07-16,46,53.05
2010-07-23,46,55.65
2010-07-30,45,52.66
2010-08-06,46,50.22
2010-08-13,50,49.03
2010-08-20,46,49.81
2010-08-27,36,50.95
2010-09-03,37,52.60
2010-09-10,40,52.15
2010-09-17,36,53.91
2010-09-24,38,56.44
2010-10-01,41,55.02
2010-10-08,38,55.74
2010-10-15,41,56.79
2010-10-22,39,57.62
2010-10-29,36,58.99
2010-11-05,41,64.25
2010-11-12,48,63.89
2010-11-19,38,64.05
2010-11-26,56,65.67
2010-12-03,47,65.13
2010-12-10,47,65.12
2010-12-17,61,62.96
2010-12-24,57,
2010-12-31,54,63.25
2011-01-07,38,63.95
2011-01-14,35,63.85
2011-01-21,36,64.92
2011-01-28,37,65.46
2011-02-04,37,69.89
2011-02-11,35,71.77
2011-02-18,43,71.82
2011-02-25,60,71.67
2011-03-04,59,71.91
2011-03-11,56,71.70
2011-03-18,45,69.60
2011-03-25,41,70.23
2011-04-01,42,71.55
2011-04-08,49,70.60
2011-04-15,48,71.21
2011-04-22,51,
2011-04-29,56,73.69
2011-05-06,49,78.19
2011-05-13,48,82.64
2011-05-20,54,80.79
2011-05-27,51,81.71
2011-06-03,52,79.11
2011-06-10,53,76.23
2011-06-17,50,75.18
2011-06-24,46,77.60
2011-07-01,53,81.27
2011-07-08,55,80.08
2011-07-15,52,77.67
2011-07-22,56,78.16
2011-07-29,54,75.77
2011-08-05,60,73.56
2011-08-12,56,71.68
2011-08-19,61,70.03
2011-08-26,49,73.65
2011-09-02,49,73.60
2011-09-09,52,74.09
2011-09-16,50,80.67
2011-09-23,51,79.53
2011-09-30,49,78.69
2011-10-07,61,81.99
2011-10-14,52,85.00
2011-10-21,54,87.21
2011-10-28,55,87.57
2011-11-04,54,89.41
2011-11-11,60,89.77
2011-11-18,61,86.10
2011-11-25,80,85.43
2011-12-02,59,92.42
2011-12-09,55,93.58
2011-12-16,55,47.00
2011-12-23,76,48.24
2011-12-30,65,47.53
2012-01-06,47,50.74
2012-01-13,44,51.15
2012-01-20,45,51.53
2012-01-27,45,51.09
2012-02-03,41,51.76
2012-02-10,46,51.95
2012-02-17,47,51.83
2012-02-24,52,52.79
2012-03-02,52,53.90
2012-03-09,51,55.98
2012-03-16,50,55.79
2012-03-23,59,57.11
2012-03-30,53,58.10
2012-04-06,54,
2012-04-13,56,59.06
2012-04-20,47,60.03
2012-04-27,55,62.22
2012-05-04,55,62.44
2012-05-11,55,61.59
2012-05-18,51,60.66
2012-05-25,56,62.47
2012-06-01,52,61.59
2012-06-08,48,64.50
2012-06-15,55,66.61
2012-06-22,52,66.48
2012-06-29,69,62.47
2012-07-06,75,67.12
2012-07-13,73,68.21
2012-07-20,79,67.41
2012-07-27,82,67.26
2012-08-03,88,68.12
2012-08-10,83,67.16
2012-08-17,74,69.47
2012-08-24,76,69.89
2012-08-31,65,69.19
2012-09-07,62,68.13
2012-09-14,69,68.04
2012-09-21,64,65.91
2012-09-28,60,64.59
2012-10-05,68,66.10
2012-10-12,58,61.73
2012-10-19,52,61.88
2012-10-26,55,60.92
2012-11-02,52,56.87
2012-11-09,56,55.22
2012-11-16,64,53.74
2012-11-23,73,55.91
2012-11-30,60,57.08
2012-12-07,65,55.49
2012-12-14,66,53.20
2012-12-21,67,53.93
2012-12-28,73,53.21
2013-01-04,55,57.95
2013-01-11,48,56.57
2013-01-18,50,58.22
2013-01-25,46,61.09
2013-02-01,47,59.43
2013-02-08,47,61.06
2013-02-15,53,59.91
2013-02-22,50,58.16
2013-03-01,50,58.13
2013-03-08,60,56.20
2013-03-15,58,56.28
2013-03-22,58,59.21
2013-03-29,63,
2013-04-05,57,59.32
2013-04-12,51,64.67
2013-04-19,49,62.86
2013-04-26,52,65.12
2013-05-03,61,65.70
2013-05-10,64,65.85
2013-05-17,57,65.59
2013-05-24,60,65.84
2013-05-31,66,64.32
2013-06-07,63,64.87
2013-06-14,68,64.86
2013-06-21,65,63.80
2013-06-28,69,64.81
2013-07-05,69,66.12
2013-07-12,67,67.05
2013-07-19,74,66.79
2013-07-26,69,67.14
2013-08-02,71,68.93
2013-08-09,75,67.01
2013-08-16,79,64.76
2013-08-23,72,69.86
2013-08-30,63,67.26
2013-09-06,69,68.76
2013-09-13,60,70.15
2013-09-20,57,71.58
2013-09-27,57,72.55
2013-10-04,57,73.48
2013-10-11,68,72.75
2013-10-18,62,74.30
2013-10-25,67,75.87
2013-11-01,62,77.63
2013-11-08,67,78.09
2013-11-15,69,81.64
2013-11-22,72,75.67
2013-11-29,91,76.46
2013-12-06,70,72.14
2013-12-13,76,71.74
2013-12-20,83,74.02
2013-12-27,100,73.75
2014-01-03,70,74.33
2014-01-10,49,74.65
2014-01-17,48,71.39
2014-01-24,49,67.83
2014-01-31,49,67.91
2014-02-07,46,69.36
2014-02-14,55,69.42
2014-02-21,54,67.45
2014-02-28,57,72.80
2014-03-07,68,72.05
2014-03-14,62,72.67
2014-03-21,57,72.97
2014-03-28,62,72.10
2014-04-04,57,72.38
2014-04-11,61,69.05
2014-04-18,68,
2014-04-25,67,67.77
2014-05-02,60,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
