Date,MAC,Price
2008-06-13,68,67.25
2008-06-20,68,66.18
2008-06-27,68,62.10
2008-07-04,67,
2008-07-11,71,57.49
2008-07-18,72,56.62
2008-07-25,69,55.69
2008-08-01,68,55.42
2008-08-08,91,60.93
2008-08-15,100,62.60
2008-08-22,77,58.58
2008-08-29,73,61.93
2008-09-05,73,64.11
2008-09-12,75,65.39
2008-09-19,74,67.81
2008-09-26,75,65.10
2008-10-03,74,48.12
2008-10-10,73,43.00
2008-10-17,74,33.70
2008-10-24,73,22.09
2008-10-31,72,29.42
2008-11-07,74,29.26
2008-11-14,73,17.11
2008-11-21,71,10.75
2008-11-28,74,13.46
2008-12-05,74,10.93
2008-12-12,76,14.29
2008-12-19,74,20.84
2008-12-26,86,20.27
2009-01-02,81,18.41
2009-01-09,83,17.26
2009-01-16,76,16.77
2009-01-23,76,16.07
2009-01-30,76,14.74
2009-02-06,75,15.09
2009-02-13,74,13.54
2009-02-20,74,11.20
2009-02-27,77,11.42
2009-03-06,78,7.17
2009-03-13,75,8.54
2009-03-20,75,6.19
2009-03-27,72,5.80
2009-04-03,71,9.84
2009-04-10,73,
2009-04-17,72,15.36
2009-04-24,68,16.28
2009-05-01,69,16.67
2009-05-08,69,19.30
2009-05-15,69,15.02
2009-05-22,69,15.96
2009-05-29,66,16.88
2009-06-05,69,20.71
2009-06-12,72,19.62
2009-06-19,71,18.44
2009-06-26,67,17.61
2009-07-03,68,
2009-07-10,71,14.96
2009-07-17,69,17.13
2009-07-24,72,18.93
2009-07-31,70,19.67
2009-08-07,73,27.40
2009-08-14,73,26.33
2009-08-21,75,25.72
2009-08-28,83,30.04
2009-09-04,86,26.18
2009-09-11,84,29.45
2009-09-18,82,33.69
2009-09-25,79,30.52
2009-10-02,77,27.88
2009-10-09,76,29.99
2009-10-16,77,29.16
2009-10-23,80,31.02
2009-10-30,79,29.80
2009-11-06,79,29.99
2009-11-13,78,32.50
2009-11-20,77,30.02
2009-11-27,80,28.44
2009-12-04,80,30.34
2009-12-11,80,31.21
2009-12-18,79,32.89
2009-12-25,85,
2010-01-01,87,
2010-01-08,83,32.84
2010-01-15,78,32.78
2010-01-22,78,31.55
2010-01-29,82,30.85
2010-02-05,79,31.31
2010-02-12,77,30.85
2010-02-19,76,33.64
2010-02-26,75,35.64
2010-03-05,76,38.58
2010-03-12,75,39.19
2010-03-19,73,39.40
2010-03-26,73,39.28
2010-04-02,75,
2010-04-09,76,41.99
2010-04-16,72,39.83
2010-04-23,72,45.00
2010-04-30,75,44.71
2010-05-07,73,40.75
2010-05-14,78,43.31
2010-05-21,75,40.33
2010-05-28,72,41.36
2010-06-04,76,37.81
2010-06-11,75,40.96
2010-06-18,73,42.91
2010-06-25,74,40.27
2010-07-02,72,36.59
2010-07-09,70,39.58
2010-07-16,70,37.51
2010-07-23,70,40.12
2010-07-30,75,41.45
2010-08-06,74,41.73
2010-08-13,75,39.29
2010-08-20,78,39.79
2010-08-27,77,40.81
2010-09-03,77,44.00
2010-09-10,78,42.21
2010-09-17,77,43.34
2010-09-24,76,43.27
2010-10-01,77,43.87
2010-10-08,76,43.64
2010-10-15,77,43.45
2010-10-22,83,44.63
2010-10-29,85,44.58
2010-11-05,85,49.40
2010-11-12,83,45.73
2010-11-19,82,45.20
2010-11-26,81,46.32
2010-12-03,79,48.24
2010-12-10,79,44.94
2010-12-17,79,45.10
2010-12-24,85,
2010-12-31,91,47.37
2011-01-07,91,46.43
2011-01-14,84,47.14
2011-01-21,83,46.31
2011-01-28,80,47.91
2011-02-04,80,48.39
2011-02-11,80,49.37
2011-02-18,78,49.27
2011-02-25,80,48.62
2011-03-04,81,48.36
2011-03-11,82,48.24
2011-03-18,77,47.87
2011-03-25,80,48.01
2011-04-01,79,49.11
2011-04-08,76,47.67
2011-04-15,77,49.88
2011-04-22,78,
2011-04-29,78,52.82
2011-05-06,79,49.97
2011-05-13,76,50.66
2011-05-20,76,52.15
2011-05-27,77,52.89
2011-06-03,78,52.84
2011-06-10,77,49.91
2011-06-17,79,50.54
2011-06-24,78,51.49
2011-07-01,72,54.18
2011-07-08,76,56.20
2011-07-15,76,53.92
2011-07-22,89,54.86
2011-07-29,89,53.13
2011-08-05,85,45.94
2011-08-12,84,49.00
2011-08-19,87,45.28
2011-08-26,85,46.04
2011-09-02,83,45.67
2011-09-09,81,45.06
2011-09-16,83,48.05
2011-09-23,82,44.08
2011-09-30,81,42.63
2011-10-07,82,41.51
2011-10-14,84,44.53
2011-10-21,87,47.26
2011-10-28,84,50.00
2011-11-04,82,50.24
2011-11-11,85,50.45
2011-11-18,83,49.04
2011-11-25,83,46.04
2011-12-02,84,48.86
2011-12-09,82,49.96
2011-12-16,81,49.20
2011-12-23,82,51.18
2011-12-30,90,50.60
2012-01-06,86,51.68
2012-01-13,83,52.00
2012-01-20,83,54.50
2012-01-27,80,55.01
2012-02-03,80,55.12
2012-02-10,80,55.02
2012-02-17,81,55.47
2012-02-24,79,54.34
2012-03-02,79,54.90
2012-03-09,79,54.43
2012-03-16,75,56.01
2012-03-23,73,55.63
2012-03-30,73,57.75
2012-04-06,78,
2012-04-13,74,57.86
2012-04-20,75,59.54
2012-04-27,73,61.90
2012-05-04,74,61.96
2012-05-11,71,60.80
2012-05-18,72,55.86
2012-05-25,69,57.96
2012-06-01,70,55.38
2012-06-08,73,57.27
2012-06-15,75,56.17
2012-06-22,74,56.92
2012-06-29,73,59.05
2012-07-06,70,59.68
2012-07-13,73,58.82
2012-07-20,72,57.11
2012-07-27,77,58.36
2012-08-03,78,58.71
2012-08-10,77,57.27
2012-08-17,78,57.72
2012-08-24,80,59.65
2012-08-31,80,59.57
2012-09-07,81,60.82
2012-09-14,79,61.34
2012-09-21,78,58.92
2012-09-28,81,57.23
2012-10-05,78,58.43
2012-10-12,74,59.03
2012-10-19,73,58.91
2012-10-26,76,57.06
2012-11-02,74,57.54
2012-11-09,72,56.00
2012-11-16,71,55.38
2012-11-23,75,56.97
2012-11-30,73,56.50
2012-12-07,73,57.90
2012-12-14,72,57.85
2012-12-21,71,58.48
2012-12-28,77,57.60
2013-01-04,75,59.00
2013-01-11,74,57.94
2013-01-18,71,58.61
2013-01-25,73,59.34
2013-02-01,73,60.46
2013-02-08,72,61.64
2013-02-15,70,61.53
2013-02-22,69,60.50
2013-03-01,68,60.11
2013-03-08,69,62.01
2013-03-15,71,62.61
2013-03-22,69,62.87
2013-03-29,71,
2013-04-05,69,65.06
2013-04-12,67,67.54
2013-04-19,65,67.18
2013-04-26,65,68.80
2013-05-03,67,70.42
2013-05-10,64,70.24
2013-05-17,63,70.41
2013-05-24,62,66.86
2013-05-31,62,64.91
2013-06-07,62,62.75
2013-06-14,72,62.25
2013-06-21,66,58.45
2013-06-28,63,60.97
2013-07-05,63,61.40
2013-07-12,60,63.78
2013-07-19,64,65.35
2013-07-26,61,63.63
2013-08-02,61,61.85
2013-08-09,63,61.81
2013-08-16,65,56.72
2013-08-23,67,56.72
2013-08-30,66,56.28
2013-09-06,66,56.61
2013-09-13,67,57.20
2013-09-20,66,58.12
2013-09-27,65,57.26
2013-10-04,65,55.68
2013-10-11,67,56.25
2013-10-18,66,59.09
2013-10-25,75,59.76
2013-11-01,73,59.93
2013-11-08,69,56.56
2013-11-15,68,58.89
2013-11-22,67,57.67
2013-11-29,68,56.94
2013-12-06,66,60.49
2013-12-13,67,58.51
2013-12-20,67,58.96
2013-12-27,71,59.17
2014-01-03,70,58.69
2014-01-10,69,58.91
2014-01-17,67,58.04
2014-01-24,67,57.10
2014-01-31,68,56.60
2014-02-07,67,59.23
2014-02-14,66,60.90
2014-02-21,66,60.67
2014-02-28,66,60.13
2014-03-07,66,60.25
2014-03-14,63,59.97
2014-03-21,62,60.56
2014-03-28,65,61.69
2014-04-04,65,62.67
2014-04-11,64,63.09
2014-04-18,64,
2014-04-25,62,63.92
2014-05-02,63,
