Date,Johnson Controls,Price
2008-09-12,55,32.93
2008-09-19,62,33.65
2008-09-26,56,31.08
2008-10-03,57,25.83
2008-10-10,59,22.07
2008-10-17,55,18.50
2008-10-24,56,16.31
2008-10-31,58,17.73
2008-11-07,55,17.18
2008-11-14,57,15.36
2008-11-21,58,15.63
2008-11-28,56,17.66
2008-12-05,59,17.29
2008-12-12,61,18.22
2008-12-19,54,17.99
2008-12-26,36,16.94
2009-01-02,36,19.32
2009-01-09,56,19.10
2009-01-16,61,16.21
2009-01-23,59,13.71
2009-01-30,57,12.51
2009-02-06,60,14.18
2009-02-13,54,13.66
2009-02-20,60,12.00
2009-02-27,54,11.38
2009-03-06,59,9.13
2009-03-13,56,9.81
2009-03-20,58,11.25
2009-03-27,66,12.54
2009-04-03,62,15.57
2009-04-10,54,
2009-04-17,60,17.33
2009-04-24,62,19.54
2009-05-01,53,18.68
2009-05-08,57,20.23
2009-05-15,56,18.25
2009-05-22,54,18.72
2009-05-29,56,19.93
2009-06-05,53,21.65
2009-06-12,50,21.57
2009-06-19,59,20.60
2009-06-26,47,21.31
2009-07-03,53,
2009-07-10,56,19.79
2009-07-17,56,21.52
2009-07-24,58,24.95
2009-07-31,55,25.88
2009-08-07,56,26.90
2009-08-14,56,25.30
2009-08-21,57,25.49
2009-08-28,55,25.09
2009-09-04,54,24.73
2009-09-11,50,26.95
2009-09-18,57,27.38
2009-09-25,56,24.99
2009-10-02,53,23.77
2009-10-09,54,26.89
2009-10-16,55,26.45
2009-10-23,57,26.54
2009-10-30,58,23.92
2009-11-06,51,26.23
2009-11-13,51,27.13
2009-11-20,59,26.86
2009-11-27,47,26.93
2009-12-04,50,27.01
2009-12-11,51,27.37
2009-12-18,52,27.58
2009-12-25,35,
2010-01-01,34,
2010-01-08,53,28.63
2010-01-15,60,29.31
2010-01-22,56,29.48
2010-01-29,54,27.83
2010-02-05,63,28.06
2010-02-12,56,28.54
2010-02-19,51,29.89
2010-02-26,57,31.10
2010-03-05,53,32.38
2010-03-12,51,31.62
2010-03-19,53,31.82
2010-03-26,57,32.89
2010-04-02,51,
2010-04-09,55,32.11
2010-04-16,53,32.69
2010-04-23,58,34.50
2010-04-30,57,33.59
2010-05-07,56,29.68
2010-05-14,54,30.62
2010-05-21,63,28.19
2010-05-28,55,28.53
2010-06-04,58,27.53
2010-06-11,54,27.56
2010-06-18,59,28.87
2010-06-25,52,27.76
2010-07-02,51,26.88
2010-07-09,50,28.62
2010-07-16,57,28.51
2010-07-23,54,29.11
2010-07-30,57,28.81
2010-08-06,52,29.55
2010-08-13,56,27.37
2010-08-20,59,28.03
2010-08-27,53,27.24
2010-09-03,49,29.17
2010-09-10,57,28.43
2010-09-17,59,28.92
2010-09-24,59,29.88
2010-10-01,59,30.54
2010-10-08,54,31.80
2010-10-15,53,32.74
2010-10-22,57,34.18
2010-10-29,52,35.12
2010-11-05,54,36.80
2010-11-12,51,36.45
2010-11-19,54,36.67
2010-11-26,48,37.09
2010-12-03,56,39.19
2010-12-10,55,37.96
2010-12-17,50,38.65
2010-12-24,39,
2010-12-31,38,38.20
2011-01-07,58,40.36
2011-01-14,58,40.45
2011-01-21,55,38.52
2011-01-28,59,37.69
2011-02-04,54,38.19
2011-02-11,54,41.41
2011-02-18,56,42.40
2011-02-25,53,40.68
2011-03-04,55,41.31
2011-03-11,51,40.76
2011-03-18,51,39.50
2011-03-25,55,41.40
2011-04-01,59,42.08
2011-04-08,54,40.30
2011-04-15,55,39.16
2011-04-22,51,
2011-04-29,52,41.00
2011-05-06,52,39.62
2011-05-13,57,38.62
2011-05-20,57,38.35
2011-05-27,54,39.06
2011-06-03,47,37.65
2011-06-10,53,35.81
2011-06-17,55,37.11
2011-06-24,58,39.17
2011-07-01,55,42.40
2011-07-08,51,42.47
2011-07-15,57,40.85
2011-07-22,54,40.01
2011-07-29,60,36.95
2011-08-05,53,33.15
2011-08-12,55,32.45
2011-08-19,52,28.83
2011-08-26,54,30.25
2011-09-02,51,29.86
2011-09-09,59,28.90
2011-09-16,57,30.19
2011-09-23,59,26.73
2011-09-30,59,26.37
2011-10-07,58,28.54
2011-10-14,53,32.34
2011-10-21,57,32.69
2011-10-28,57,33.62
2011-11-04,51,32.55
2011-11-11,54,31.85
2011-11-18,52,29.76
2011-11-25,48,27.59
2011-12-02,53,31.73
2011-12-09,53,31.95
2011-12-16,50,28.96
2011-12-23,43,31.05
2011-12-30,29,31.26
2012-01-06,48,33.17
2012-01-13,53,35.05
2012-01-20,58,31.50
2012-01-27,57,31.66
2012-02-03,51,33.62
2012-02-10,57,32.95
2012-02-17,53,35.16
2012-02-24,51,33.19
2012-03-02,51,33.26
2012-03-09,54,32.31
2012-03-16,48,32.66
2012-03-23,49,32.08
2012-03-30,47,32.48
2012-04-06,48,
2012-04-13,45,32.57
2012-04-20,48,31.96
2012-04-27,46,32.33
2012-05-04,45,31.61
2012-05-11,49,31.82
2012-05-18,45,29.55
2012-05-25,48,30.54
2012-06-01,44,29.03
2012-06-08,48,29.46
2012-06-15,49,28.21
2012-06-22,51,26.95
2012-06-29,50,27.71
2012-07-06,39,27.03
2012-07-13,50,27.56
2012-07-20,48,25.28
2012-07-27,49,25.06
2012-08-03,44,24.59
2012-08-10,48,26.11
2012-08-17,45,27.38
2012-08-24,47,26.98
2012-08-31,50,27.21
2012-09-07,49,27.77
2012-09-14,49,29.20
2012-09-21,49,28.45
2012-09-28,49,27.40
2012-10-05,49,27.85
2012-10-12,48,25.87
2012-10-19,55,26.19
2012-10-26,49,25.81
2012-11-02,44,26.25
2012-11-09,46,25.52
2012-11-16,48,25.09
2012-11-23,40,27.22
2012-11-30,44,27.54
2012-12-07,44,28.14
2012-12-14,46,28.20
2012-12-21,41,30.12
2012-12-28,28,30.11
2013-01-04,38,31.39
2013-01-11,48,31.67
2013-01-18,48,31.01
2013-01-25,50,30.94
2013-02-01,48,31.24
2013-02-08,50,31.15
2013-02-15,46,32.14
2013-02-22,49,31.31
2013-03-01,45,31.49
2013-03-08,52,33.73
2013-03-15,47,34.97
2013-03-22,47,34.79
2013-03-29,46,
2013-04-05,48,33.02
2013-04-12,49,34.07
2013-04-19,47,32.64
2013-04-26,49,35.09
2013-05-03,43,34.89
2013-05-10,45,36.47
2013-05-17,48,37.54
2013-05-24,43,37.03
2013-05-31,43,37.36
2013-06-07,48,37.62
2013-06-14,49,37.57
2013-06-21,45,35.29
2013-06-28,46,35.79
2013-07-05,45,35.61
2013-07-12,46,36.91
2013-07-19,46,40.95
2013-07-26,48,40.96
2013-08-02,44,41.30
2013-08-09,42,41.43
2013-08-16,46,40.54
2013-08-23,46,41.63
2013-08-30,43,40.53
2013-09-06,44,41.02
2013-09-13,44,42.17
2013-09-20,46,42.67
2013-09-27,44,42.53
2013-10-04,45,41.14
2013-10-11,45,42.10
2013-10-18,43,43.11
2013-10-25,48,43.01
2013-11-01,43,45.94
2013-11-08,46,47.66
2013-11-15,43,49.45
2013-11-22,44,50.68
2013-11-29,41,50.51
2013-12-06,44,50.41
2013-12-13,46,50.00
2013-12-20,44,50.31
2013-12-27,25,50.66
2014-01-03,31,50.52
2014-01-10,45,51.59
2014-01-17,47,51.06
2014-01-24,47,48.21
2014-01-31,44,46.12
2014-02-07,44,46.67
2014-02-14,44,49.00
2014-02-21,48,49.72
2014-02-28,48,49.40
2014-03-07,40,48.98
2014-03-14,40,45.81
2014-03-21,42,47.01
2014-03-28,40,46.55
2014-04-04,40,47.63
2014-04-11,43,45.64
2014-04-18,41,
2014-04-25,41,44.49
2014-05-02,37,
