Date,GE,Price
2005-09-23,76,33.40
2005-09-30,78,33.67
2005-10-07,81,34.22
2005-10-14,80,34.34
2005-10-21,77,33.73
2005-10-28,77,34.05
2005-11-04,79,34.02
2005-11-11,81,34.65
2005-11-18,81,35.75
2005-11-25,77,36.20
2005-12-02,83,35.50
2005-12-09,80,35.53
2005-12-16,76,36.06
2005-12-23,73,35.42
2005-12-30,76,35.05
2006-01-06,81,35.47
2006-01-13,79,35.10
2006-01-20,79,33.37
2006-01-27,81,32.95
2006-02-03,79,32.85
2006-02-10,79,33.28
2006-02-17,76,33.61
2006-02-24,79,33.14
2006-03-03,80,33.06
2006-03-10,76,33.65
2006-03-17,76,34.51
2006-03-24,77,33.95
2006-03-31,77,34.78
2006-04-07,78,34.03
2006-04-14,76,
2006-04-21,77,33.97
2006-04-28,80,34.59
2006-05-05,75,35.16
2006-05-12,79,34.28
2006-05-19,76,34.16
2006-05-26,73,34.33
2006-06-02,78,34.66
2006-06-09,77,34.07
2006-06-16,78,33.93
2006-06-23,80,33.16
2006-06-30,76,32.96
2006-07-07,76,33.30
2006-07-14,80,32.11
2006-07-21,84,32.25
2006-07-28,86,33.02
2006-08-04,81,32.80
2006-08-11,79,32.50
2006-08-18,80,34.00
2006-08-25,81,33.84
2006-09-01,81,34.14
2006-09-08,75,34.01
2006-09-15,80,34.85
2006-09-22,76,34.40
2006-09-29,76,35.30
2006-10-06,78,36.14
2006-10-13,80,35.98
2006-10-20,78,35.47
2006-10-27,77,35.21
2006-11-03,77,34.77
2006-11-10,78,35.17
2006-11-17,78,36.25
2006-11-24,76,35.69
2006-12-01,81,35.28
2006-12-08,76,35.27
2006-12-15,75,37.36
2006-12-22,74,37.57
2006-12-29,71,37.21
2007-01-05,78,37.56
2007-01-12,79,37.89
2007-01-19,84,36.95
2007-01-26,81,36.07
2007-02-02,79,36.27
2007-02-09,80,35.53
2007-02-16,75,35.87
2007-02-23,79,35.10
2007-03-02,76,34.87
2007-03-09,77,34.32
2007-03-16,79,34.36
2007-03-23,77,35.82
2007-03-30,77,35.36
2007-04-06,75,
2007-04-13,78,35.38
2007-04-20,76,35.13
2007-04-27,75,36.84
2007-05-04,72,37.15
2007-05-11,74,36.97
2007-05-18,95,36.96
2007-05-25,83,37.56
2007-06-01,79,37.45
2007-06-08,81,37.32
2007-06-15,76,38.12
2007-06-22,79,38.24
2007-06-29,78,38.28
2007-07-06,77,38.48
2007-07-13,84,39.50
2007-07-20,80,40.12
2007-07-27,82,38.79
2007-08-03,82,38.06
2007-08-10,80,38.23
2007-08-17,79,38.45
2007-08-24,79,39.41
2007-08-31,78,38.87
2007-09-07,75,38.75
2007-09-14,76,40.35
2007-09-21,78,41.25
2007-09-28,76,41.40
2007-10-05,78,41.77
2007-10-12,78,41.03
2007-10-19,76,40.04
2007-10-26,74,40.38
2007-11-02,78,40.33
2007-11-09,78,38.38
2007-11-16,77,38.65
2007-11-23,86,37.67
2007-11-30,89,38.29
2007-12-07,100,37.23
2007-12-14,76,36.91
2007-12-21,73,37.14
2007-12-28,69,37.34
2008-01-04,76,36.04
2008-01-11,79,35.17
2008-01-18,78,34.31
2008-01-25,78,34.00
2008-02-01,77,36.16
2008-02-08,75,33.84
2008-02-15,75,34.37
2008-02-22,77,33.55
2008-02-29,78,33.14
2008-03-07,74,32.23
2008-03-14,75,33.82
2008-03-21,74,
2008-03-28,73,36.61
2008-04-04,77,37.56
2008-04-11,78,32.05
2008-04-18,80,32.69
2008-04-25,76,33.33
2008-05-02,74,33.34
2008-05-09,74,32.27
2008-05-16,76,32.13
2008-05-23,75,30.43
2008-05-30,74,30.72
2008-06-06,73,30.02
2008-06-13,78,29.15
2008-06-20,76,27.38
2008-06-27,78,26.26
2008-07-04,74,
2008-07-11,81,27.66
2008-07-18,81,28.00
2008-07-25,79,28.71
2008-08-01,77,28.21
2008-08-08,77,29.64
2008-08-15,75,29.80
2008-08-22,73,29.12
2008-08-29,74,28.10
2008-09-05,71,27.88
2008-09-12,71,26.75
2008-09-19,79,26.62
2008-09-26,79,25.25
2008-10-03,84,21.57
2008-10-10,86,21.50
2008-10-17,84,19.63
2008-10-24,77,17.83
2008-10-31,77,19.51
2008-11-07,75,18.86
2008-11-14,77,16.02
2008-11-21,82,14.03
2008-11-28,73,17.17
2008-12-05,78,17.85
2008-12-12,75,17.11
2008-12-19,72,16.50
2008-12-26,66,15.97
2009-01-02,72,17.07
2009-01-09,75,16.00
2009-01-16,75,13.96
2009-01-23,79,12.03
2009-01-30,75,12.13
2009-02-06,79,11.10
2009-02-13,75,11.44
2009-02-20,79,9.38
2009-02-27,82,8.51
2009-03-06,89,7.06
2009-03-13,87,9.62
2009-03-20,85,9.54
2009-03-27,81,10.78
2009-04-03,79,10.94
2009-04-10,75,
2009-04-17,78,12.39
2009-04-24,78,12.11
2009-05-01,76,12.69
2009-05-08,76,14.53
2009-05-15,75,12.86
2009-05-22,72,13.10
2009-05-29,71,13.48
2009-06-05,71,13.54
2009-06-12,70,13.51
2009-06-19,72,12.10
2009-06-26,69,11.75
2009-07-03,69,
2009-07-10,75,10.78
2009-07-17,74,11.65
2009-07-24,73,12.03
2009-07-31,73,13.40
2009-08-07,72,14.70
2009-08-14,72,13.92
2009-08-21,71,14.21
2009-08-28,73,14.08
2009-09-04,71,13.87
2009-09-11,68,14.67
2009-09-18,70,16.50
2009-09-25,70,16.37
2009-10-02,68,15.36
2009-10-09,68,16.18
2009-10-16,72,16.08
2009-10-23,68,15.20
2009-10-30,66,14.26
2009-11-06,69,15.33
2009-11-13,70,15.66
2009-11-20,68,15.59
2009-11-27,67,15.94
2009-12-04,71,16.20
2009-12-11,69,15.92
2009-12-18,66,15.59
2009-12-25,59,
2010-01-01,65,
2010-01-08,67,16.60
2010-01-15,67,16.44
2010-01-22,65,16.11
2010-01-29,66,16.08
2010-02-05,66,15.79
2010-02-12,63,15.55
2010-02-19,65,16.17
2010-02-26,65,16.06
2010-03-05,66,16.35
2010-03-12,64,17.04
2010-03-19,63,18.07
2010-03-26,62,18.34
2010-04-02,63,
2010-04-09,61,18.52
2010-04-16,67,18.97
2010-04-23,64,19.07
2010-04-30,64,18.86
2010-05-07,61,16.88
2010-05-14,60,17.64
2010-05-21,62,16.42
2010-05-28,61,16.35
2010-06-04,62,15.71
2010-06-11,62,15.56
2010-06-18,59,15.95
2010-06-25,60,14.91
2010-07-02,61,13.88
2010-07-09,61,14.95
2010-07-16,64,14.55
2010-07-23,65,15.71
2010-07-30,63,16.12
2010-08-06,65,16.45
2010-08-13,63,15.38
2010-08-20,63,15.03
2010-08-27,61,14.71
2010-09-03,59,15.39
2010-09-10,63,15.98
2010-09-17,64,16.29
2010-09-24,63,16.66
2010-10-01,63,16.36
2010-10-08,65,17.12
2010-10-15,62,16.30
2010-10-22,65,16.06
2010-10-29,61,16.02
2010-11-05,62,16.73
2010-11-12,65,16.25
2010-11-19,65,16.22
2010-11-26,64,15.80
2010-12-03,64,16.78
2010-12-10,66,17.72
2010-12-17,61,17.70
2010-12-24,58,
2010-12-31,60,18.29
2011-01-07,66,18.43
2011-01-14,63,18.82
2011-01-21,67,19.74
2011-01-28,64,20.20
2011-02-04,63,20.56
2011-02-11,65,21.33
2011-02-18,64,21.44
2011-02-25,63,20.82
2011-03-04,62,20.37
2011-03-11,61,20.36
2011-03-18,64,19.25
2011-03-25,65,19.75
2011-04-01,67,20.34
2011-04-08,68,20.19
2011-04-15,63,20.04
2011-04-22,64,
2011-04-29,66,20.45
2011-05-06,70,20.01
2011-05-13,64,19.89
2011-05-20,62,19.62
2011-05-27,63,19.44
2011-06-03,63,18.82
2011-06-10,60,18.32
2011-06-17,61,18.49
2011-06-24,62,17.97
2011-07-01,61,19.20
2011-07-08,61,18.99
2011-07-15,62,18.41
2011-07-22,62,19.04
2011-07-29,63,17.91
2011-08-05,64,16.51
2011-08-12,62,15.88
2011-08-19,60,15.09
2011-08-26,62,15.54
2011-09-02,61,15.76
2011-09-09,58,15.09
2011-09-16,63,16.33
2011-09-23,63,15.21
2011-09-30,64,15.22
2011-10-07,63,15.50
2011-10-14,61,16.60
2011-10-21,65,16.31
2011-10-28,62,17.25
2011-11-04,62,16.39
2011-11-11,64,16.30
2011-11-18,63,15.65
2011-11-25,65,14.70
2011-12-02,66,16.09
2011-12-09,66,16.84
2011-12-16,63,17.01
2011-12-23,61,18.23
2011-12-30,58,17.91
2012-01-06,63,18.65
2012-01-13,61,18.84
2012-01-20,62,19.15
2012-01-27,62,19.03
2012-02-03,63,19.02
2012-02-10,63,18.88
2012-02-17,66,19.28
2012-02-24,63,19.24
2012-03-02,64,18.97
2012-03-09,64,19.04
2012-03-16,62,20.20
2012-03-23,60,19.78
2012-03-30,61,20.07
2012-04-06,62,
2012-04-13,59,18.88
2012-04-20,60,19.36
2012-04-27,59,19.78
2012-05-04,60,19.34
2012-05-11,58,19.01
2012-05-18,59,18.95
2012-05-25,60,19.20
2012-06-01,59,18.54
2012-06-08,59,19.20
2012-06-15,57,20.00
2012-06-22,58,19.81
2012-06-29,60,20.84
2012-07-06,59,20.00
2012-07-13,60,19.77
2012-07-20,59,19.87
2012-07-27,59,20.92
2012-08-03,60,20.96
2012-08-10,66,21.10
2012-08-17,62,21.00
2012-08-24,60,20.80
2012-08-31,58,20.71
2012-09-07,59,21.59
2012-09-14,60,22.11
2012-09-21,59,22.53
2012-09-28,58,22.71
2012-10-05,60,23.12
2012-10-12,58,22.48
2012-10-19,58,22.03
2012-10-26,58,21.11
2012-11-02,55,21.31
2012-11-09,59,21.00
2012-11-16,58,20.15
2012-11-23,58,21.04
2012-11-30,58,21.13
2012-12-07,58,21.46
2012-12-14,57,21.62
2012-12-21,57,20.88
2012-12-28,52,20.44
2013-01-04,55,21.20
2013-01-11,58,21.13
2013-01-18,57,22.04
2013-01-25,59,22.29
2013-02-01,56,22.62
2013-02-08,56,22.50
2013-02-15,57,23.29
2013-02-22,55,23.39
2013-03-01,55,23.19
2013-03-08,56,23.77
2013-03-15,56,23.44
2013-03-22,54,23.37
2013-03-29,55,
2013-04-05,55,22.93
2013-04-12,54,23.46
2013-04-19,55,21.75
2013-04-26,56,22.21
2013-05-03,55,22.57
2013-05-10,57,22.90
2013-05-17,54,23.46
2013-05-24,54,23.53
2013-05-31,53,23.32
2013-06-07,54,23.86
2013-06-14,54,23.52
2013-06-21,54,23.36
2013-06-28,53,23.19
2013-07-05,56,23.24
2013-07-12,57,23.76
2013-07-19,57,24.72
2013-07-26,55,24.65
2013-08-02,55,24.70
2013-08-09,52,24.25
2013-08-16,52,23.95
2013-08-23,52,23.78
2013-08-30,54,23.14
2013-09-06,54,23.16
2013-09-13,53,23.78
2013-09-20,53,24.01
2013-09-27,53,24.05
2013-10-04,54,24.05
2013-10-11,54,24.40
2013-10-18,55,25.55
2013-10-25,53,25.88
2013-11-01,54,26.54
2013-11-08,55,27.05
2013-11-15,58,27.20
2013-11-22,57,27.08
2013-11-29,57,26.66
2013-12-06,56,26.94
2013-12-13,54,26.84
2013-12-20,54,27.36
2013-12-27,49,27.83
2014-01-03,53,27.48
2014-01-10,55,26.96
2014-01-17,57,26.58
2014-01-24,55,24.95
2014-01-31,54,25.13
2014-02-07,54,25.19
2014-02-14,56,25.74
2014-02-21,56,24.94
2014-02-28,55,25.47
2014-03-07,54,26.13
2014-03-14,54,25.11
2014-03-21,53,25.40
2014-03-28,53,25.88
2014-04-04,52,26.02
2014-04-11,55,25.43
2014-04-18,53,
2014-04-25,54,26.60
2014-05-02,56,
