Date,HAR,Price
2006-08-11,30,77.88
2006-08-18,33,85.84
2006-08-25,31,80.07
2006-09-01,35,81.14
2006-09-08,36,79.80
2006-09-15,37,82.44
2006-09-22,39,80.70
2006-09-29,38,83.44
2006-10-06,38,86.32
2006-10-13,38,91.00
2006-10-20,35,88.85
2006-10-27,36,105.62
2006-11-03,38,101.71
2006-11-10,39,105.26
2006-11-17,39,106.11
2006-11-24,39,106.82
2006-12-01,39,104.68
2006-12-08,41,104.75
2006-12-15,40,102.20
2006-12-22,36,99.62
2006-12-29,33,99.91
2007-01-05,35,98.50
2007-01-12,39,103.01
2007-01-19,38,104.29
2007-01-26,42,95.90
2007-02-02,40,97.66
2007-02-09,40,101.55
2007-02-16,36,104.51
2007-02-23,36,103.26
2007-03-02,35,97.49
2007-03-09,39,98.57
2007-03-16,42,97.31
2007-03-23,38,99.59
2007-03-30,39,96.08
2007-04-06,34,
2007-04-13,39,98.55
2007-04-20,42,102.40
2007-04-27,40,122.59
2007-05-04,40,119.65
2007-05-11,41,119.62
2007-05-18,40,118.19
2007-05-25,44,117.94
2007-06-01,43,117.88
2007-06-08,37,117.95
2007-06-15,37,117.11
2007-06-22,34,116.77
2007-06-29,36,116.80
2007-07-06,33,116.85
2007-07-13,32,117.50
2007-07-20,33,117.50
2007-07-27,33,115.00
2007-08-03,36,115.20
2007-08-10,39,113.50
2007-08-17,37,111.68
2007-08-24,37,113.81
2007-08-31,38,113.39
2007-09-07,37,112.80
2007-09-14,39,112.73
2007-09-21,42,85.00
2007-09-28,42,86.52
2007-10-05,42,87.27
2007-10-12,43,86.60
2007-10-19,41,86.40
2007-10-26,41,84.12
2007-11-02,42,82.52
2007-11-09,41,75.52
2007-11-16,42,73.67
2007-11-23,46,73.61
2007-11-30,48,73.60
2007-12-07,51,73.83
2007-12-14,46,73.35
2007-12-21,44,73.77
2007-12-28,42,73.85
2008-01-04,40,68.49
2008-01-11,46,68.97
2008-01-18,44,37.08
2008-01-25,42,38.70
2008-02-01,45,48.00
2008-02-08,43,39.72
2008-02-15,43,42.99
2008-02-22,43,42.32
2008-02-29,45,41.20
2008-03-07,44,42.51
2008-03-14,45,42.58
2008-03-21,42,
2008-03-28,42,44.19
2008-04-04,47,44.21
2008-04-11,44,39.54
2008-04-18,43,39.27
2008-04-25,45,40.00
2008-05-02,42,41.55
2008-05-09,42,38.38
2008-05-16,42,43.37
2008-05-23,45,44.67
2008-05-30,46,44.72
2008-06-06,40,44.85
2008-06-13,43,45.12
2008-06-20,39,45.15
2008-06-27,40,41.55
2008-07-04,36,
2008-07-11,37,37.96
2008-07-18,39,41.63
2008-07-25,37,42.49
2008-08-01,38,39.82
2008-08-08,40,41.49
2008-08-15,38,37.00
2008-08-22,42,33.63
2008-08-29,44,34.03
2008-09-05,45,32.95
2008-09-12,43,33.60
2008-09-19,44,33.86
2008-09-26,44,35.21
2008-10-03,45,27.23
2008-10-10,45,19.80
2008-10-17,45,20.59
2008-10-24,44,16.74
2008-10-31,43,18.37
2008-11-07,46,17.29
2008-11-14,49,14.88
2008-11-21,49,11.94
2008-11-28,46,15.05
2008-12-05,48,15.20
2008-12-12,50,15.02
2008-12-19,47,16.56
2008-12-26,42,15.16
2009-01-02,45,18.20
2009-01-09,46,20.51
2009-01-16,47,18.65
2009-01-23,50,17.13
2009-01-30,49,16.09
2009-02-06,49,13.86
2009-02-13,48,12.00
2009-02-20,49,10.53
2009-02-27,52,10.62
2009-03-06,51,9.47
2009-03-13,52,11.65
2009-03-20,53,11.41
2009-03-27,54,14.14
2009-04-03,52,15.62
2009-04-10,46,
2009-04-17,51,17.94
2009-04-24,52,19.71
2009-05-01,50,19.53
2009-05-08,51,20.75
2009-05-15,52,16.51
2009-05-22,50,16.89
2009-05-29,51,18.64
2009-06-05,49,20.48
2009-06-12,48,23.04
2009-06-19,46,18.31
2009-06-26,44,18.63
2009-07-03,38,
2009-07-10,43,20.57
2009-07-17,44,25.18
2009-07-24,43,23.67
2009-07-31,44,24.68
2009-08-07,45,26.61
2009-08-14,50,26.53
2009-08-21,50,28.67
2009-08-28,51,30.92
2009-09-04,53,27.77
2009-09-11,54,29.13
2009-09-18,55,32.47
2009-09-25,53,30.12
2009-10-02,53,31.60
2009-10-09,54,35.38
2009-10-16,52,36.60
2009-10-23,54,35.55
2009-10-30,53,37.61
2009-11-06,54,38.09
2009-11-13,58,37.79
2009-11-20,55,36.17
2009-11-27,53,36.21
2009-12-04,55,36.35
2009-12-11,57,36.68
2009-12-18,54,36.11
2009-12-25,49,
2010-01-01,47,
2010-01-08,52,37.09
2010-01-15,53,37.88
2010-01-22,54,37.01
2010-01-29,52,35.55
2010-02-05,53,34.93
2010-02-12,52,44.20
2010-02-19,54,43.96
2010-02-26,50,43.14
2010-03-05,54,43.03
2010-03-12,54,43.51
2010-03-19,54,43.97
2010-03-26,54,47.21
2010-04-02,50,
2010-04-09,55,49.18
2010-04-16,56,49.13
2010-04-23,56,51.95
2010-04-30,55,39.48
2010-05-07,56,38.77
2010-05-14,53,37.62
2010-05-21,58,33.41
2010-05-28,57,32.30
2010-06-04,54,30.38
2010-06-11,53,32.40
2010-06-18,49,34.20
2010-06-25,48,32.98
2010-07-02,45,29.95
2010-07-09,45,32.12
2010-07-16,46,29.12
2010-07-23,44,31.34
2010-07-30,47,30.41
2010-08-06,51,29.88
2010-08-13,51,29.61
2010-08-20,58,30.71
2010-08-27,56,32.20
2010-09-03,56,35.10
2010-09-10,59,32.02
2010-09-17,59,32.92
2010-09-24,59,33.68
2010-10-01,58,33.12
2010-10-08,58,34.57
2010-10-15,58,36.12
2010-10-22,58,34.33
2010-10-29,59,33.55
2010-11-05,59,39.88
2010-11-12,62,40.80
2010-11-19,61,42.00
2010-11-26,61,44.19
2010-12-03,62,47.61
2010-12-10,63,48.37
2010-12-17,61,47.80
2010-12-24,55,
2010-12-31,55,46.30
2011-01-07,62,43.92
2011-01-14,63,46.00
2011-01-21,62,44.24
2011-01-28,64,42.74
2011-02-04,68,49.26
2011-02-11,65,51.58
2011-02-18,63,51.56
2011-02-25,62,48.95
2011-03-04,60,48.73
2011-03-11,62,49.37
2011-03-18,64,46.50
2011-03-25,67,47.14
2011-04-01,64,46.52
2011-04-08,65,45.88
2011-04-15,66,46.06
2011-04-22,59,
2011-04-29,66,48.53
2011-05-06,67,46.17
2011-05-13,67,48.73
2011-05-20,66,47.13
2011-05-27,69,47.60
2011-06-03,62,47.11
2011-06-10,61,43.07
2011-06-17,59,43.06
2011-06-24,61,43.59
2011-07-01,56,46.62
2011-07-08,55,47.83
2011-07-15,57,44.95
2011-07-22,55,45.81
2011-07-29,57,41.60
2011-08-05,58,34.34
2011-08-12,59,33.26
2011-08-19,76,31.74
2011-08-26,100,34.87
2011-09-02,87,34.29
2011-09-09,82,32.65
2011-09-16,78,33.93
2011-09-23,73,30.40
2011-09-30,72,28.58
2011-10-07,74,30.44
2011-10-14,70,37.47
2011-10-21,72,43.00
2011-10-28,75,44.78
2011-11-04,69,43.20
2011-11-11,70,42.10
2011-11-18,72,39.34
2011-11-25,72,36.72
2011-12-02,69,41.38
2011-12-09,74,40.75
2011-12-16,70,35.08
2011-12-23,66,37.59
2011-12-30,62,38.04
2012-01-06,67,39.52
2012-01-13,72,40.39
2012-01-20,72,43.85
2012-01-27,70,43.60
2012-02-03,72,44.71
2012-02-10,71,49.85
2012-02-17,70,51.11
2012-02-24,71,49.95
2012-03-02,70,48.80
2012-03-09,70,48.03
2012-03-16,69,48.18
2012-03-23,70,47.16
2012-03-30,67,46.81
2012-04-06,65,
2012-04-13,70,44.68
2012-04-20,70,45.95
2012-04-27,70,47.26
2012-05-04,69,45.52
2012-05-11,69,42.82
2012-05-18,67,38.91
2012-05-25,67,40.59
2012-06-01,70,38.01
2012-06-08,69,40.09
2012-06-15,66,37.23
2012-06-22,64,37.36
2012-06-29,61,39.60
2012-07-06,60,39.35
2012-07-13,59,38.03
2012-07-20,61,39.45
2012-07-27,58,40.89
2012-08-03,63,40.35
2012-08-10,66,45.68
2012-08-17,67,46.54
2012-08-24,70,45.45
2012-08-31,69,46.03
2012-09-07,72,48.04
2012-09-14,72,49.38
2012-09-21,73,48.79
2012-09-28,73,46.16
2012-10-05,74,46.27
2012-10-12,68,42.81
2012-10-19,69,43.78
2012-10-26,71,42.14
2012-11-02,66,42.31
2012-11-09,73,39.06
2012-11-16,72,37.35
2012-11-23,72,38.89
2012-11-30,69,39.56
2012-12-07,74,40.75
2012-12-14,73,42.08
2012-12-21,71,43.85
2012-12-28,64,43.32
2013-01-04,69,46.23
2013-01-11,71,49.90
2013-01-18,71,49.62
2013-01-25,73,50.25
2013-02-01,75,45.29
2013-02-08,73,45.59
2013-02-15,71,44.19
2013-02-22,79,43.46
2013-03-01,78,42.50
2013-03-08,82,43.96
2013-03-15,81,45.72
2013-03-22,81,44.36
2013-03-29,75,
2013-04-05,82,42.07
2013-04-12,80,44.91
2013-04-19,77,41.38
2013-04-26,77,44.64
2013-05-03,75,48.44
2013-05-10,73,49.58
2013-05-17,75,52.05
2013-05-24,75,51.62
2013-05-31,71,53.10
2013-06-07,70,52.99
2013-06-14,67,51.64
2013-06-21,66,49.60
2013-06-28,66,54.20
2013-07-05,66,54.48
2013-07-12,64,55.25
2013-07-19,65,56.06
2013-07-26,64,58.72
2013-08-02,68,60.67
2013-08-09,68,68.79
2013-08-16,71,67.11
2013-08-23,70,68.42
2013-08-30,73,64.02
2013-09-06,73,64.59
2013-09-13,76,66.46
2013-09-20,77,65.16
2013-09-27,75,66.20
2013-10-04,78,69.39
2013-10-11,83,67.79
2013-10-18,88,71.76
2013-10-25,96,72.63
2013-11-01,93,81.96
2013-11-08,89,77.78
2013-11-15,86,81.13
2013-11-22,87,81.35
2013-11-29,84,81.04
2013-12-06,86,81.28
2013-12-13,86,78.97
2013-12-20,84,83.39
2013-12-27,80,83.36
2014-01-03,82,80.70
2014-01-10,85,88.28
2014-01-17,83,90.48
2014-01-24,82,89.38
2014-01-31,85,103.43
2014-02-07,82,102.93
2014-02-14,80,104.79
2014-02-21,84,104.55
2014-02-28,86,104.73
2014-03-07,84,109.09
2014-03-14,80,104.53
2014-03-21,81,109.35
2014-03-28,84,105.44
2014-04-04,83,104.27
2014-04-11,84,102.09
2014-04-18,78,
2014-04-25,80,109.00
2014-05-02,83,
