Date,ACT,Price
2007-09-07,51,30.49
2007-09-14,59,31.11
2007-09-21,64,31.70
2007-09-28,62,32.40
2007-10-05,62,31.93
2007-10-12,60,30.80
2007-10-19,62,29.99
2007-10-26,64,30.01
2007-11-02,65,29.85
2007-11-09,62,28.77
2007-11-16,68,27.74
2007-11-23,61,27.87
2007-11-30,70,29.31
2007-12-07,72,28.78
2007-12-14,59,27.95
2007-12-21,50,27.61
2007-12-28,32,27.46
2008-01-04,45,26.08
2008-01-11,58,27.85
2008-01-18,56,26.56
2008-01-25,56,26.37
2008-02-01,60,26.01
2008-02-08,63,26.00
2008-02-15,59,27.94
2008-02-22,59,27.58
2008-02-29,63,27.81
2008-03-07,62,27.66
2008-03-14,60,27.56
2008-03-21,55,
2008-03-28,52,29.34
2008-04-04,59,29.26
2008-04-11,61,29.47
2008-04-18,60,29.82
2008-04-25,64,29.49
2008-05-02,63,29.49
2008-05-09,62,28.28
2008-05-16,56,28.53
2008-05-23,52,28.37
2008-05-30,47,28.56
2008-06-06,50,28.39
2008-06-13,52,27.64
2008-06-20,48,26.70
2008-06-27,49,26.95
2008-07-04,43,
2008-07-11,45,28.39
2008-07-18,46,29.90
2008-07-25,47,29.69
2008-08-01,46,29.41
2008-08-08,45,28.71
2008-08-15,46,30.66
2008-08-22,46,30.69
2008-08-29,46,30.31
2008-09-05,48,29.95
2008-09-12,55,29.81
2008-09-19,61,28.29
2008-09-26,62,28.80
2008-10-03,67,27.54
2008-10-10,62,21.23
2008-10-17,61,22.70
2008-10-24,64,21.61
2008-10-31,60,26.17
2008-11-07,62,24.82
2008-11-14,68,23.61
2008-11-21,63,22.03
2008-11-28,51,23.75
2008-12-05,62,23.60
2008-12-12,61,23.80
2008-12-19,51,24.39
2008-12-26,31,24.58
2009-01-02,38,26.30
2009-01-09,55,24.61
2009-01-16,56,24.68
2009-01-23,56,25.26
2009-01-30,61,27.28
2009-02-06,61,28.42
2009-02-13,59,29.05
2009-02-20,62,29.81
2009-02-27,66,28.27
2009-03-06,62,26.36
2009-03-13,61,28.57
2009-03-20,59,27.56
2009-03-27,62,28.76
2009-04-03,64,29.84
2009-04-10,56,
2009-04-17,62,30.36
2009-04-24,63,31.89
2009-05-01,63,30.19
2009-05-08,60,30.00
2009-05-15,59,30.00
2009-05-22,55,29.94
2009-05-29,49,30.25
2009-06-05,52,30.44
2009-06-12,56,29.91
2009-06-19,50,31.60
2009-06-26,51,33.39
2009-07-03,45,
2009-07-10,47,33.06
2009-07-17,47,33.24
2009-07-24,47,34.50
2009-07-31,48,34.73
2009-08-07,48,34.46
2009-08-14,46,34.37
2009-08-21,47,35.24
2009-08-28,47,35.35
2009-09-04,48,34.81
2009-09-11,54,36.43
2009-09-18,56,36.81
2009-09-25,57,35.98
2009-10-02,58,35.68
2009-10-09,57,37.12
2009-10-16,56,37.68
2009-10-23,61,35.81
2009-10-30,58,34.42
2009-11-06,60,35.37
2009-11-13,63,35.96
2009-11-20,61,35.15
2009-11-27,52,36.96
2009-12-04,59,37.90
2009-12-11,62,38.28
2009-12-18,54,38.09
2009-12-25,34,
2010-01-01,36,
2010-01-08,50,39.41
2010-01-15,53,40.90
2010-01-22,54,39.51
2010-01-29,55,38.37
2010-02-05,59,38.19
2010-02-12,54,38.08
2010-02-19,55,39.11
2010-02-26,59,39.79
2010-03-05,62,40.56
2010-03-12,58,41.37
2010-03-19,55,40.42
2010-03-26,59,41.31
2010-04-02,54,
2010-04-09,57,42.31
2010-04-16,59,42.55
2010-04-23,60,43.15
2010-04-30,62,42.82
2010-05-07,59,41.99
2010-05-14,56,42.75
2010-05-21,55,42.87
2010-05-28,52,44.16
2010-06-04,47,43.70
2010-06-11,52,42.67
2010-06-18,47,44.01
2010-06-25,47,42.59
2010-07-02,47,40.59
2010-07-09,43,42.58
2010-07-16,44,42.84
2010-07-23,46,41.64
2010-07-30,46,40.50
2010-08-06,46,41.22
2010-08-13,45,41.73
2010-08-20,46,42.19
2010-08-27,45,43.75
2010-09-03,45,44.61
2010-09-10,50,43.08
2010-09-17,56,43.29
2010-09-24,60,44.67
2010-10-01,59,43.37
2010-10-08,54,45.04
2010-10-15,54,47.36
2010-10-22,57,46.76
2010-10-29,53,46.65
2010-11-05,57,51.24
2010-11-12,61,50.41
2010-11-19,58,50.25
2010-11-26,49,49.18
2010-12-03,57,49.55
2010-12-10,72,49.40
2010-12-17,57,51.61
2010-12-24,40,
2010-12-31,35,51.65
2011-01-07,50,52.62
2011-01-14,51,51.87
2011-01-21,52,54.09
2011-01-28,53,53.54
2011-02-04,53,55.42
2011-02-11,60,57.16
2011-02-18,54,55.75
2011-02-25,53,55.65
2011-03-04,60,56.79
2011-03-11,55,56.89
2011-03-18,52,54.30
2011-03-25,55,55.63
2011-04-01,56,56.51
2011-04-08,58,57.51
2011-04-15,56,58.64
2011-04-22,51,
2011-04-29,55,62.02
2011-05-06,55,62.84
2011-05-13,54,62.96
2011-05-20,52,62.12
2011-05-27,51,63.99
2011-06-03,47,63.44
2011-06-10,50,63.21
2011-06-17,46,63.53
2011-06-24,47,65.66
2011-07-01,47,69.85
2011-07-08,42,69.85
2011-07-15,43,69.00
2011-07-22,43,70.48
2011-07-29,44,67.13
2011-08-05,44,63.70
2011-08-12,44,64.29
2011-08-19,44,61.59
2011-08-26,43,65.55
2011-09-02,43,66.33
2011-09-09,48,65.88
2011-09-16,55,67.28
2011-09-23,54,70.70
2011-09-30,54,68.25
2011-10-07,54,66.04
2011-10-14,56,68.24
2011-10-21,60,69.15
2011-10-28,52,69.35
2011-11-04,56,64.72
2011-11-11,59,65.73
2011-11-18,57,65.79
2011-11-25,49,63.42
2011-12-02,57,62.86
2011-12-09,62,61.52
2011-12-16,55,60.12
2011-12-23,40,62.08
2011-12-30,34,60.34
2012-01-06,47,63.21
2012-01-13,53,62.21
2012-01-20,56,58.14
2012-01-27,56,59.74
2012-02-03,56,58.01
2012-02-10,60,57.99
2012-02-17,55,60.18
2012-02-24,63,58.17
2012-03-02,69,59.68
2012-03-09,64,59.61
2012-03-16,57,58.81
2012-03-23,58,65.23
2012-03-30,61,67.06
2012-04-06,55,
2012-04-13,57,67.26
2012-04-20,57,69.36
2012-04-27,57,76.16
2012-05-04,62,73.65
2012-05-11,55,72.73
2012-05-18,54,69.91
2012-05-25,55,72.67
2012-06-01,52,69.75
2012-06-08,55,70.89
2012-06-15,52,69.02
2012-06-22,50,71.02
2012-06-29,55,73.99
2012-07-06,45,75.01
2012-07-13,46,76.76
2012-07-20,46,75.81
2012-07-27,45,79.77
2012-08-03,44,79.36
2012-08-10,43,79.86
2012-08-17,48,79.90
2012-08-24,47,83.32
2012-08-31,46,81.35
2012-09-07,53,83.59
2012-09-14,53,81.86
2012-09-21,55,83.90
2012-09-28,56,85.16
2012-10-05,56,87.86
2012-10-12,53,86.67
2012-10-19,59,86.91
2012-10-26,59,86.64
2012-11-02,53,86.73
2012-11-09,56,85.11
2012-11-16,56,83.40
2012-11-23,46,86.08
2012-11-30,54,88.01
2012-12-07,56,88.62
2012-12-14,53,87.74
2012-12-21,43,90.85
2012-12-28,31,89.04
2013-01-04,40,85.30
2013-01-11,50,83.71
2013-01-18,50,85.48
2013-01-25,50,84.27
2013-02-01,52,87.88
2013-02-08,55,87.45
2013-02-15,52,85.24
2013-02-22,50,83.44
2013-03-01,58,85.54
2013-03-08,58,87.56
2013-03-15,51,91.59
2013-03-22,51,90.31
2013-03-29,55,
2013-04-05,49,97.19
2013-04-12,56,97.33
2013-04-19,54,98.48
2013-04-26,54,100.94
2013-05-03,59,106.46
2013-05-10,51,119.86
2013-05-17,51,125.50
2013-05-24,46,127.23
2013-05-31,44,123.29
2013-06-07,48,124.12
2013-06-14,44,126.45
2013-06-21,42,121.52
2013-06-28,51,126.22
2013-07-05,40,126.37
2013-07-12,41,126.18
2013-07-19,42,125.42
2013-07-26,41,132.71
2013-08-02,40,135.89
2013-08-09,40,133.87
2013-08-16,41,134.52
2013-08-23,45,133.89
2013-08-30,44,135.18
2013-09-06,45,137.39
2013-09-13,47,135.59
2013-09-20,54,135.50
2013-09-27,57,144.30
2013-10-04,63,146.90
2013-10-11,60,141.71
2013-10-18,55,146.92
2013-10-25,59,148.15
2013-11-01,53,158.12
2013-11-08,55,156.73
2013-11-15,58,165.27
2013-11-22,56,164.83
2013-11-29,45,163.07
2013-12-06,53,166.73
2013-12-13,56,159.82
2013-12-20,46,162.51
2013-12-27,30,165.14
2014-01-03,37,168.02
2014-01-10,48,183.32
2014-01-17,50,183.28
2014-01-24,50,177.19
2014-01-31,53,188.98
2014-02-07,55,188.21
2014-02-14,52,191.88
2014-02-21,52,218.41
2014-02-28,60,220.82
2014-03-07,57,213.18
2014-03-14,53,214.52
2014-03-21,52,209.37
2014-03-28,54,203.77
2014-04-04,56,201.31
2014-04-11,57,188.83
2014-04-18,49,
2014-04-25,53,198.07
2014-05-02,50,
