Date,BWA,Price
2009-01-02,25,22.96
2009-01-09,35,22.87
2009-01-16,43,18.89
2009-01-23,38,17.62
2009-01-30,46,16.88
2009-02-06,41,21.05
2009-02-13,47,21.37
2009-02-20,39,17.77
2009-02-27,36,17.25
2009-03-06,45,15.18
2009-03-13,40,18.30
2009-03-20,34,18.61
2009-03-27,42,21.76
2009-04-03,43,24.63
2009-04-10,37,
2009-04-17,52,26.25
2009-04-24,44,28.33
2009-05-01,40,28.70
2009-05-08,44,31.09
2009-05-15,49,27.65
2009-05-22,28,29.24
2009-05-29,38,32.25
2009-06-05,40,35.00
2009-06-12,43,34.08
2009-06-19,46,32.57
2009-06-26,40,32.55
2009-07-03,38,
2009-07-10,41,30.14
2009-07-17,42,33.01
2009-07-24,39,35.85
2009-07-31,41,33.19
2009-08-07,35,32.40
2009-08-14,37,30.26
2009-08-21,44,30.37
2009-08-28,45,29.23
2009-09-04,48,31.60
2009-09-11,40,33.50
2009-09-18,44,30.86
2009-09-25,34,29.96
2009-10-02,42,27.85
2009-10-09,39,30.41
2009-10-16,45,31.55
2009-10-23,37,33.07
2009-10-30,33,30.32
2009-11-06,36,31.84
2009-11-13,35,32.03
2009-11-20,45,30.91
2009-11-27,39,30.42
2009-12-04,40,31.00
2009-12-11,40,31.25
2009-12-18,29,33.05
2009-12-25,22,
2010-01-01,17,
2010-01-08,32,36.51
2010-01-15,32,37.35
2010-01-22,39,36.47
2010-01-29,33,35.09
2010-02-05,37,34.71
2010-02-12,37,36.64
2010-02-19,40,37.35
2010-02-26,34,37.46
2010-03-05,41,37.65
2010-03-12,42,37.08
2010-03-19,45,36.54
2010-03-26,42,37.03
2010-04-02,35,
2010-04-09,33,38.19
2010-04-16,37,38.35
2010-04-23,34,41.16
2010-04-30,41,43.34
2010-05-07,44,37.09
2010-05-14,36,39.20
2010-05-21,42,36.23
2010-05-28,52,37.26
2010-06-04,48,37.60
2010-06-11,66,37.82
2010-06-18,49,41.31
2010-06-25,37,39.30
2010-07-02,38,37.47
2010-07-09,38,39.93
2010-07-16,40,40.43
2010-07-23,43,42.97
2010-07-30,44,43.86
2010-08-06,44,47.01
2010-08-13,40,45.31
2010-08-20,46,45.51
2010-08-27,44,44.09
2010-09-03,38,48.42
2010-09-10,34,46.38
2010-09-17,45,47.65
2010-09-24,39,49.68
2010-10-01,34,52.18
2010-10-08,36,52.82
2010-10-15,39,54.19
2010-10-22,45,54.06
2010-10-29,37,56.11
2010-11-05,39,59.26
2010-11-12,38,57.63
2010-11-19,36,59.88
2010-11-26,37,60.62
2010-12-03,38,66.43
2010-12-10,38,66.90
2010-12-17,37,71.05
2010-12-24,25,
2010-12-31,25,72.36
2011-01-07,38,69.97
2011-01-14,41,70.41
2011-01-21,41,68.00
2011-01-28,41,67.63
2011-02-04,40,67.03
2011-02-11,43,77.33
2011-02-18,39,80.23
2011-02-25,36,76.95
2011-03-04,40,77.75
2011-03-11,39,74.66
2011-03-18,41,74.45
2011-03-25,33,77.28
2011-04-01,35,81.03
2011-04-08,43,75.37
2011-04-15,36,71.98
2011-04-22,36,
2011-04-29,36,77.24
2011-05-06,39,76.27
2011-05-13,42,73.82
2011-05-20,39,70.63
2011-05-27,38,71.89
2011-06-03,33,68.91
2011-06-10,39,67.93
2011-06-17,34,71.52
2011-06-24,36,78.16
2011-07-01,38,80.74
2011-07-08,34,80.19
2011-07-15,37,76.48
2011-07-22,37,76.16
2011-07-29,39,79.62
2011-08-05,37,68.47
2011-08-12,43,69.70
2011-08-19,33,63.44
2011-08-26,34,68.44
2011-09-02,38,68.07
2011-09-09,37,65.82
2011-09-16,37,69.42
2011-09-23,42,59.89
2011-09-30,38,60.53
2011-10-07,42,64.39
2011-10-14,38,70.86
2011-10-21,37,72.24
2011-10-28,40,76.33
2011-11-04,38,75.75
2011-11-11,38,67.96
2011-11-18,35,63.86
2011-11-25,34,61.20
2011-12-02,36,67.11
2011-12-09,41,69.15
2011-12-16,36,62.35
2011-12-23,30,65.58
2011-12-30,25,63.74
2012-01-06,35,65.12
2012-01-13,38,73.70
2012-01-20,39,74.88
2012-01-27,37,74.72
2012-02-03,36,79.51
2012-02-10,42,77.05
2012-02-17,43,81.21
2012-02-24,38,82.43
2012-03-02,39,85.42
2012-03-09,42,83.85
2012-03-16,37,85.74
2012-03-23,35,83.84
2012-03-30,35,84.34
2012-04-06,32,
2012-04-13,44,81.80
2012-04-20,37,80.59
2012-04-27,35,79.72
2012-05-04,36,77.98
2012-05-11,35,77.58
2012-05-18,37,73.30
2012-05-25,36,74.33
2012-06-01,37,66.59
2012-06-08,34,68.13
2012-06-15,30,65.19
2012-06-22,36,65.50
2012-06-29,38,65.59
2012-07-06,33,65.26
2012-07-13,40,64.70
2012-07-20,37,63.99
2012-07-27,37,67.32
2012-08-03,36,65.93
2012-08-10,38,71.32
2012-08-17,40,71.25
2012-08-24,40,68.43
2012-08-31,40,68.78
2012-09-07,38,72.38
2012-09-14,38,78.08
2012-09-21,38,72.29
2012-09-28,36,69.11
2012-10-05,35,73.70
2012-10-12,34,66.57
2012-10-19,37,65.79
2012-10-26,38,63.71
2012-11-02,35,66.35
2012-11-09,33,63.23
2012-11-16,35,61.75
2012-11-23,38,65.30
2012-11-30,39,66.30
2012-12-07,32,67.25
2012-12-14,36,66.47
2012-12-21,36,68.64
2012-12-28,26,70.05
2013-01-04,26,73.79
2013-01-11,32,71.70
2013-01-18,33,75.63
2013-01-25,39,77.29
2013-02-01,39,74.51
2013-02-08,37,74.94
2013-02-15,36,76.11
2013-02-22,35,74.45
2013-03-01,35,75.07
2013-03-08,40,79.50
2013-03-15,33,79.76
2013-03-22,39,76.42
2013-03-29,30,
2013-04-05,34,73.22
2013-04-12,38,74.81
2013-04-19,38,72.69
2013-04-26,32,77.93
2013-05-03,34,79.34
2013-05-10,34,82.22
2013-05-17,38,85.35
2013-05-24,34,81.96
2013-05-31,34,81.07
2013-06-07,33,82.62
2013-06-14,33,84.54
2013-06-21,35,83.26
2013-06-28,35,86.15
2013-07-05,34,86.29
2013-07-12,37,89.30
2013-07-19,35,91.17
2013-07-26,37,92.53
2013-08-02,36,97.46
2013-08-09,38,95.77
2013-08-16,39,96.17
2013-08-23,36,98.42
2013-08-30,38,96.58
2013-09-06,37,97.77
2013-09-13,35,99.09
2013-09-20,34,100.86
2013-09-27,36,101.51
2013-10-04,34,103.49
2013-10-11,36,102.90
2013-10-18,33,105.66
2013-10-25,35,106.27
2013-11-01,36,102.64
2013-11-08,36,101.25
2013-11-15,38,104.32
2013-11-22,34,106.16
2013-11-29,30,107.17
2013-12-06,37,107.07
2013-12-13,32,107.57
2013-12-20,33,55.02
2013-12-27,25,55.83
2014-01-03,25,54.89
2014-01-10,33,56.75
2014-01-17,34,55.81
2014-01-24,35,53.71
2014-01-31,36,53.70
2014-02-07,38,53.91
2014-02-14,35,57.96
2014-02-21,34,61.16
2014-02-28,35,61.45
2014-03-07,34,61.31
2014-03-14,35,61.13
2014-03-21,34,61.74
2014-03-28,34,60.02
2014-04-04,36,62.10
2014-04-11,33,59.27
2014-04-18,35,
2014-04-25,33,61.64
2014-05-02,38,
