Date,WM,Price
2009-03-13,2,24.07
2009-03-20,2,25.11
2009-03-27,3,25.90
2009-04-03,3,26.43
2009-04-10,2,
2009-04-17,2,27.48
2009-04-24,3,26.89
2009-05-01,3,26.17
2009-05-08,3,27.00
2009-05-15,2,26.83
2009-05-22,2,28.23
2009-05-29,2,27.59
2009-06-05,2,28.28
2009-06-12,3,28.60
2009-06-19,2,28.22
2009-06-26,2,28.26
2009-07-03,2,
2009-07-10,2,26.87
2009-07-17,2,28.09
2009-07-24,2,29.39
2009-07-31,3,28.11
2009-08-07,3,28.57
2009-08-14,4,30.23
2009-08-21,8,30.06
2009-08-28,3,29.64
2009-09-04,3,30.08
2009-09-11,5,30.40
2009-09-18,2,30.75
2009-09-25,2,28.98
2009-10-02,2,29.15
2009-10-09,4,28.64
2009-10-16,5,31.22
2009-10-23,2,30.93
2009-10-30,3,29.88
2009-11-06,2,31.64
2009-11-13,3,32.18
2009-11-20,4,32.30
2009-11-27,2,33.06
2009-12-04,5,33.56
2009-12-11,3,33.21
2009-12-18,3,32.99
2009-12-25,2,
2010-01-01,3,
2010-01-08,3,34.24
2010-01-15,3,33.25
2010-01-22,3,32.86
2010-01-29,3,32.05
2010-02-05,3,31.82
2010-02-12,3,31.83
2010-02-19,3,33.38
2010-02-26,3,33.02
2010-03-05,4,33.86
2010-03-12,3,33.42
2010-03-19,3,34.16
2010-03-26,3,34.43
2010-04-02,3,
2010-04-09,3,34.77
2010-04-16,4,35.03
2010-04-23,5,35.53
2010-04-30,5,34.68
2010-05-07,9,32.86
2010-05-14,9,33.47
2010-05-21,12,32.40
2010-05-28,11,32.51
2010-06-04,15,31.56
2010-06-11,49,32.77
2010-06-18,100,33.53
2010-06-25,80,32.15
2010-07-02,57,31.81
2010-07-09,34,32.78
2010-07-16,13,32.44
2010-07-23,4,33.59
2010-07-30,3,33.95
2010-08-06,3,34.57
2010-08-13,3,33.01
2010-08-20,3,33.60
2010-08-27,3,33.62
2010-09-03,3,34.11
2010-09-10,3,34.00
2010-09-17,3,35.00
2010-09-24,2,35.76
2010-10-01,2,35.93
2010-10-08,2,36.35
2010-10-15,2,36.61
2010-10-22,2,36.79
2010-10-29,2,35.72
2010-11-05,2,35.51
2010-11-12,2,35.09
2010-11-19,2,35.22
2010-11-26,2,34.92
2010-12-03,3,34.80
2010-12-10,2,35.87
2010-12-17,2,36.28
2010-12-24,2,
2010-12-31,2,36.87
2011-01-07,3,36.21
2011-01-14,3,37.03
2011-01-21,6,37.43
2011-01-28,4,37.87
2011-02-04,2,37.72
2011-02-11,4,38.04
2011-02-18,4,38.04
2011-02-25,2,36.88
2011-03-04,3,37.21
2011-03-11,3,36.87
2011-03-18,2,36.52
2011-03-25,2,37.08
2011-04-01,2,37.65
2011-04-08,2,37.92
2011-04-15,2,37.85
2011-04-22,2,
2011-04-29,2,39.46
2011-05-06,4,38.71
2011-05-13,3,38.75
2011-05-20,2,38.87
2011-05-27,2,38.87
2011-06-03,2,37.92
2011-06-10,2,36.54
2011-06-17,3,36.74
2011-06-24,5,36.80
2011-07-01,11,37.54
2011-07-08,10,37.74
2011-07-15,6,36.16
2011-07-22,4,35.97
2011-07-29,2,31.49
2011-08-05,2,30.37
2011-08-12,2,30.79
2011-08-19,2,29.40
2011-08-26,2,32.34
2011-09-02,3,30.71
2011-09-09,2,30.48
2011-09-16,2,32.01
2011-09-23,2,30.81
2011-09-30,2,32.56
2011-10-07,2,32.93
2011-10-14,2,32.92
2011-10-21,2,33.91
2011-10-28,2,33.72
2011-11-04,1,31.50
2011-11-11,1,31.84
2011-11-18,2,30.97
2011-11-25,1,30.31
2011-12-02,1,31.23
2011-12-09,2,31.66
2011-12-16,1,31.00
2011-12-23,1,32.73
2011-12-30,2,32.71
2012-01-06,2,32.99
2012-01-13,1,33.40
2012-01-20,1,33.95
2012-01-27,1,34.81
2012-02-03,1,35.37
2012-02-10,1,35.21
2012-02-17,1,34.61
2012-02-24,2,35.64
2012-03-02,2,34.89
2012-03-09,3,34.90
2012-03-16,2,34.84
2012-03-23,1,34.95
2012-03-30,2,34.96
2012-04-06,2,
2012-04-13,1,35.14
2012-04-20,1,35.96
2012-04-27,1,34.25
2012-05-04,2,33.97
2012-05-11,2,33.48
2012-05-18,2,32.30
2012-05-25,2,32.96
2012-06-01,2,32.16
2012-06-08,3,32.48
2012-06-15,4,32.50
2012-06-22,3,32.37
2012-06-29,3,33.40
2012-07-06,2,33.00
2012-07-13,1,32.37
2012-07-20,1,32.95
2012-07-27,1,34.15
2012-08-03,1,34.77
2012-08-10,1,35.05
2012-08-17,1,35.66
2012-08-24,1,34.28
2012-08-31,1,34.58
2012-09-07,2,34.50
2012-09-14,2,33.96
2012-09-21,1,32.48
2012-09-28,1,32.08
2012-10-05,1,32.05
2012-10-12,2,32.09
2012-10-19,2,32.53
2012-10-26,1,32.54
2012-11-02,1,32.17
2012-11-09,1,31.82
2012-11-16,1,31.43
2012-11-23,1,32.36
2012-11-30,1,32.57
2012-12-07,1,34.12
2012-12-14,1,33.57
2012-12-21,1,33.85
2012-12-28,2,33.46
2013-01-04,2,34.08
2013-01-11,2,34.81
2013-01-18,4,35.25
2013-01-25,4,35.69
2013-02-01,2,36.30
2013-02-08,3,36.30
2013-02-15,3,36.69
2013-02-22,2,36.61
2013-03-01,2,36.90
2013-03-08,1,36.92
2013-03-15,1,37.52
2013-03-22,2,38.37
2013-03-29,2,
2013-04-05,1,38.51
2013-04-12,1,39.21
2013-04-19,1,38.70
2013-04-26,1,40.19
2013-05-03,2,41.12
2013-05-10,2,41.21
2013-05-17,3,42.39
2013-05-24,2,42.38
2013-05-31,1,41.93
2013-06-07,2,40.47
2013-06-14,1,39.68
2013-06-21,1,39.86
2013-06-28,1,40.33
2013-07-05,1,40.75
2013-07-12,1,42.07
2013-07-19,1,42.39
2013-07-26,1,42.05
2013-08-02,2,42.60
2013-08-09,2,43.20
2013-08-16,3,41.93
2013-08-23,2,42.12
2013-08-30,1,40.44
2013-09-06,2,39.92
2013-09-13,2,40.89
2013-09-20,1,42.09
2013-09-27,1,41.39
2013-10-04,1,40.80
2013-10-11,2,41.74
2013-10-18,3,42.45
2013-10-25,2,43.65
2013-11-01,1,43.69
2013-11-08,1,44.16
2013-11-15,2,45.21
2013-11-22,3,46.10
2013-11-29,1,45.68
2013-12-06,5,44.83
2013-12-13,3,43.62
2013-12-20,3,44.37
2013-12-27,2,44.91
2014-01-03,2,44.19
2014-01-10,2,43.61
2014-01-17,2,43.12
2014-01-24,2,41.64
2014-01-31,2,41.78
2014-02-07,2,42.84
2014-02-14,2,43.67
2014-02-21,2,40.99
2014-02-28,2,41.50
2014-03-07,2,41.38
2014-03-14,2,40.81
2014-03-21,2,40.73
2014-03-28,2,41.15
2014-04-04,3,41.83
2014-04-11,3,41.06
2014-04-18,2,
2014-04-25,3,43.04
2014-05-02,4,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
