Date,Harris Corporation,Price
2009-05-15,40,29.68
2009-05-22,24,30.23
2009-05-29,39,31.08
2009-06-05,32,30.98
2009-06-12,36,30.27
2009-06-19,25,28.81
2009-06-26,34,28.35
2009-07-03,25,
2009-07-10,31,27.59
2009-07-17,38,30.09
2009-07-24,48,31.45
2009-07-31,50,31.31
2009-08-07,36,31.36
2009-08-14,31,33.38
2009-08-21,35,35.23
2009-08-28,32,35.04
2009-09-04,23,34.99
2009-09-11,26,36.47
2009-09-18,53,36.57
2009-09-25,33,37.21
2009-10-02,37,36.00
2009-10-09,37,38.15
2009-10-16,36,39.88
2009-10-23,43,39.45
2009-10-30,37,41.72
2009-11-06,32,44.40
2009-11-13,42,44.43
2009-11-20,26,43.07
2009-11-27,17,43.84
2009-12-04,27,45.75
2009-12-11,28,45.44
2009-12-18,33,45.06
2009-12-25,14,
2010-01-01,14,
2010-01-08,41,48.69
2010-01-15,29,48.00
2010-01-22,39,45.78
2010-01-29,41,42.92
2010-02-05,38,44.73
2010-02-12,34,44.98
2010-02-19,38,47.23
2010-02-26,27,45.22
2010-03-05,40,46.35
2010-03-12,36,45.12
2010-03-19,40,46.05
2010-03-26,36,46.20
2010-04-02,34,
2010-04-09,34,48.88
2010-04-16,34,49.26
2010-04-23,43,50.30
2010-04-30,27,51.48
2010-05-07,27,46.80
2010-05-14,35,48.12
2010-05-21,28,46.18
2010-05-28,33,46.91
2010-06-04,33,45.58
2010-06-11,32,46.56
2010-06-18,24,48.49
2010-06-25,34,44.78
2010-07-02,35,41.18
2010-07-09,30,42.90
2010-07-16,36,43.34
2010-07-23,37,45.80
2010-07-30,36,44.53
2010-08-06,41,46.88
2010-08-13,28,43.82
2010-08-20,35,42.76
2010-08-27,37,42.87
2010-09-03,42,43.83
2010-09-10,35,42.92
2010-09-17,40,44.74
2010-09-24,34,45.37
2010-10-01,32,44.70
2010-10-08,37,43.73
2010-10-15,30,44.47
2010-10-22,31,43.80
2010-10-29,33,45.19
2010-11-05,35,47.33
2010-11-12,31,46.18
2010-11-19,32,46.43
2010-11-26,24,46.10
2010-12-03,32,45.57
2010-12-10,30,46.17
2010-12-17,21,46.40
2010-12-24,23,
2010-12-31,17,45.30
2011-01-07,32,46.36
2011-01-14,26,48.33
2011-01-21,31,47.56
2011-01-28,32,46.36
2011-02-04,34,47.36
2011-02-11,30,49.21
2011-02-18,35,48.65
2011-02-25,27,46.45
2011-03-04,28,46.18
2011-03-11,29,45.58
2011-03-18,23,46.52
2011-03-25,34,48.06
2011-04-01,26,50.05
2011-04-08,25,50.80
2011-04-15,24,50.05
2011-04-22,28,
2011-04-29,22,53.13
2011-05-06,27,48.16
2011-05-13,28,48.88
2011-05-20,25,49.48
2011-05-27,24,48.96
2011-06-03,24,46.75
2011-06-10,29,45.23
2011-06-17,30,44.34
2011-06-24,24,44.03
2011-07-01,23,45.55
2011-07-08,24,44.55
2011-07-15,34,42.52
2011-07-22,35,43.36
2011-07-29,36,39.87
2011-08-05,34,37.51
2011-08-12,34,36.70
2011-08-19,25,34.78
2011-08-26,35,37.69
2011-09-02,26,38.23
2011-09-09,24,38.51
2011-09-16,31,40.72
2011-09-23,35,35.54
2011-09-30,33,34.17
2011-10-07,35,34.54
2011-10-14,26,36.74
2011-10-21,31,36.79
2011-10-28,31,38.85
2011-11-04,23,37.99
2011-11-11,23,38.29
2011-11-18,29,36.53
2011-11-25,22,33.26
2011-12-02,19,35.87
2011-12-09,32,35.51
2011-12-16,23,34.29
2011-12-23,19,36.88
2011-12-30,18,36.04
2012-01-06,23,37.18
2012-01-13,27,38.41
2012-01-20,23,39.40
2012-01-27,27,39.70
2012-02-03,26,41.93
2012-02-10,27,42.18
2012-02-17,27,42.66
2012-02-24,27,43.11
2012-03-02,28,43.79
2012-03-09,24,43.62
2012-03-16,21,44.40
2012-03-23,29,44.05
2012-03-30,23,45.08
2012-04-06,21,
2012-04-13,17,44.42
2012-04-20,20,44.10
2012-04-27,26,45.64
2012-05-04,28,41.02
2012-05-11,21,41.23
2012-05-18,24,38.43
2012-05-25,21,39.37
2012-06-01,17,39.10
2012-06-08,22,40.86
2012-06-15,25,41.23
2012-06-22,22,41.39
2012-06-29,29,41.85
2012-07-06,19,41.96
2012-07-13,22,40.85
2012-07-20,23,41.25
2012-07-27,20,42.51
2012-08-03,24,43.27
2012-08-10,20,45.64
2012-08-17,24,46.35
2012-08-24,23,46.53
2012-08-31,26,47.03
2012-09-07,24,47.10
2012-09-14,23,50.52
2012-09-21,29,51.16
2012-09-28,25,51.22
2012-10-05,22,51.97
2012-10-12,18,48.84
2012-10-19,24,46.33
2012-10-26,17,47.14
2012-11-02,20,47.46
2012-11-09,21,48.65
2012-11-16,20,46.42
2012-11-23,16,46.83
2012-11-30,19,47.13
2012-12-07,23,48.49
2012-12-14,20,48.17
2012-12-21,20,49.67
2012-12-28,13,48.31
2013-01-04,15,49.88
2013-01-11,21,49.75
2013-01-18,24,49.94
2013-01-25,23,49.49
2013-02-01,18,46.28
2013-02-08,21,46.62
2013-02-15,17,47.61
2013-02-22,22,47.98
2013-03-01,19,47.71
2013-03-08,17,45.42
2013-03-15,18,44.36
2013-03-22,21,43.99
2013-03-29,21,
2013-04-05,22,44.52
2013-04-12,19,44.06
2013-04-19,16,41.98
2013-04-26,23,43.93
2013-05-03,15,46.47
2013-05-10,20,48.79
2013-05-17,20,50.46
2013-05-24,17,50.37
2013-05-31,18,50.13
2013-06-07,16,50.35
2013-06-14,16,49.82
2013-06-21,20,48.58
2013-06-28,16,49.25
2013-07-05,14,49.56
2013-07-12,23,51.76
2013-07-19,17,52.70
2013-07-26,18,52.74
2013-08-02,24,57.12
2013-08-09,21,57.65
2013-08-16,24,57.29
2013-08-23,18,56.97
2013-08-30,18,56.63
2013-09-06,15,57.28
2013-09-13,22,57.93
2013-09-20,17,58.15
2013-09-27,22,59.23
2013-10-04,21,59.59
2013-10-11,20,59.30
2013-10-18,20,59.50
2013-10-25,19,59.61
2013-11-01,19,61.72
2013-11-08,19,63.62
2013-11-15,17,64.42
2013-11-22,15,65.49
2013-11-29,13,64.51
2013-12-06,15,66.42
2013-12-13,18,65.55
2013-12-20,17,68.74
2013-12-27,8,70.16
2014-01-03,13,69.30
2014-01-10,18,68.96
2014-01-17,23,70.54
2014-01-24,21,68.06
2014-01-31,21,69.34
2014-02-07,16,70.92
2014-02-14,17,72.00
2014-02-21,18,72.85
2014-02-28,17,73.82
2014-03-07,23,74.72
2014-03-14,18,72.56
2014-03-21,21,73.55
2014-03-28,19,71.88
2014-04-04,18,72.43
2014-04-11,19,69.58
2014-04-18,17,
2014-04-25,21,71.62
2014-05-02,16,
