Date,DNB,Price
2005-08-12,15,64.86
2005-08-19,16,64.00
2005-08-26,21,63.52
2005-09-02,18,63.65
2005-09-09,17,64.52
2005-09-16,16,65.32
2005-09-23,20,64.57
2005-09-30,18,65.87
2005-10-07,16,64.51
2005-10-14,19,65.53
2005-10-21,18,66.53
2005-10-28,17,62.95
2005-11-04,17,64.38
2005-11-11,16,64.61
2005-11-18,17,65.60
2005-11-25,16,65.66
2005-12-02,18,64.97
2005-12-09,20,64.12
2005-12-16,21,65.37
2005-12-23,20,67.88
2005-12-30,17,66.96
2006-01-06,22,70.13
2006-01-13,18,73.21
2006-01-20,18,72.13
2006-01-27,20,72.18
2006-02-03,19,71.66
2006-02-10,19,71.33
2006-02-17,19,72.18
2006-02-24,20,72.46
2006-03-03,21,73.65
2006-03-10,18,74.55
2006-03-17,20,75.54
2006-03-24,19,75.65
2006-03-31,21,76.68
2006-04-07,20,76.41
2006-04-14,18,
2006-04-21,21,77.74
2006-04-28,21,77.02
2006-05-05,20,76.20
2006-05-12,22,74.90
2006-05-19,22,74.18
2006-05-26,21,73.26
2006-06-02,23,73.37
2006-06-09,22,70.94
2006-06-16,20,68.91
2006-06-23,26,68.27
2006-06-30,30,69.68
2006-07-07,61,68.26
2006-07-14,24,65.68
2006-07-21,20,65.50
2006-07-28,20,65.95
2006-08-04,21,67.73
2006-08-11,21,67.92
2006-08-18,24,69.57
2006-08-25,22,69.22
2006-09-01,25,70.77
2006-09-08,24,69.97
2006-09-15,23,74.02
2006-09-22,24,74.98
2006-09-29,23,74.99
2006-10-06,22,74.51
2006-10-13,24,74.93
2006-10-20,24,75.68
2006-10-27,22,76.76
2006-11-03,24,75.90
2006-11-10,21,79.94
2006-11-17,23,83.02
2006-11-24,27,82.70
2006-12-01,22,82.60
2006-12-08,24,83.07
2006-12-15,25,84.25
2006-12-22,27,82.78
2006-12-29,30,82.79
2007-01-05,21,82.69
2007-01-12,23,85.00
2007-01-19,24,84.80
2007-01-26,27,83.55
2007-02-02,25,84.53
2007-02-09,27,87.60
2007-02-16,26,89.77
2007-02-23,27,90.82
2007-03-02,24,88.45
2007-03-09,25,88.55
2007-03-16,27,88.87
2007-03-23,26,91.00
2007-03-30,26,91.20
2007-04-06,23,
2007-04-13,26,90.55
2007-04-20,26,90.30
2007-04-27,27,90.82
2007-05-04,27,95.10
2007-05-11,28,95.05
2007-05-18,26,95.28
2007-05-25,28,98.02
2007-06-01,25,100.88
2007-06-08,28,102.31
2007-06-15,29,100.17
2007-06-22,33,99.71
2007-06-29,40,102.98
2007-07-06,81,104.93
2007-07-13,27,105.78
2007-07-20,25,104.79
2007-07-27,24,96.11
2007-08-03,28,95.83
2007-08-10,26,91.02
2007-08-17,25,92.20
2007-08-24,27,97.70
2007-08-31,27,97.55
2007-09-07,26,96.33
2007-09-14,26,97.76
2007-09-21,26,99.75
2007-09-28,26,98.61
2007-10-05,27,99.15
2007-10-12,27,92.98
2007-10-19,32,91.88
2007-10-26,29,96.30
2007-11-02,30,95.00
2007-11-09,30,87.22
2007-11-16,31,89.49
2007-11-23,31,87.47
2007-11-30,33,89.23
2007-12-07,33,91.24
2007-12-14,31,91.40
2007-12-21,32,89.76
2007-12-28,28,88.75
2008-01-04,31,83.90
2008-01-11,32,86.03
2008-01-18,33,82.92
2008-01-25,32,86.94
2008-02-01,35,93.94
2008-02-08,33,88.40
2008-02-15,32,89.32
2008-02-22,33,91.17
2008-02-29,32,87.34
2008-03-07,29,84.18
2008-03-14,30,81.95
2008-03-21,33,
2008-03-28,32,82.39
2008-04-04,34,83.47
2008-04-11,34,80.44
2008-04-18,32,85.86
2008-04-25,33,85.42
2008-05-02,32,85.94
2008-05-09,32,86.96
2008-05-16,31,91.63
2008-05-23,33,90.94
2008-05-30,35,91.62
2008-06-06,34,90.65
2008-06-13,35,91.87
2008-06-20,38,89.60
2008-06-27,43,87.19
2008-07-04,54,
2008-07-11,98,89.91
2008-07-18,36,95.94
2008-07-25,35,94.85
2008-08-01,32,96.71
2008-08-08,34,98.71
2008-08-15,33,96.92
2008-08-22,35,94.78
2008-08-29,32,91.97
2008-09-05,33,92.62
2008-09-12,33,96.29
2008-09-19,37,95.72
2008-09-26,36,92.94
2008-10-03,39,88.35
2008-10-10,60,77.80
2008-10-17,42,76.00
2008-10-24,39,70.75
2008-10-31,39,73.69
2008-11-07,35,76.16
2008-11-14,36,72.73
2008-11-21,35,70.12
2008-11-28,34,80.00
2008-12-05,36,75.59
2008-12-12,38,71.73
2008-12-19,38,73.59
2008-12-26,33,73.21
2009-01-02,33,77.81
2009-01-09,39,75.14
2009-01-16,43,74.00
2009-01-23,40,71.98
2009-01-30,38,76.00
2009-02-06,39,81.40
2009-02-13,40,77.71
2009-02-20,40,73.82
2009-02-27,40,73.97
2009-03-06,44,71.76
2009-03-13,45,74.57
2009-03-20,41,73.77
2009-03-27,42,75.97
2009-04-03,39,78.44
2009-04-10,39,
2009-04-17,37,81.07
2009-04-24,39,80.67
2009-05-01,37,80.72
2009-05-08,38,82.01
2009-05-15,39,80.48
2009-05-22,36,80.74
2009-05-29,39,81.79
2009-06-05,39,84.00
2009-06-12,39,83.55
2009-06-19,40,80.11
2009-06-26,40,80.15
2009-07-03,47,
2009-07-10,100,78.33
2009-07-17,43,80.03
2009-07-24,38,80.90
2009-07-31,37,71.99
2009-08-07,38,74.09
2009-08-14,37,74.94
2009-08-21,38,74.63
2009-08-28,39,72.95
2009-09-04,38,74.55
2009-09-11,39,73.97
2009-09-18,36,74.26
2009-09-25,37,73.90
2009-10-02,35,73.26
2009-10-09,35,75.52
2009-10-16,45,75.99
2009-10-23,43,78.75
2009-10-30,39,76.56
2009-11-06,38,79.31
2009-11-13,39,80.80
2009-11-20,38,79.87
2009-11-27,39,78.67
2009-12-04,37,79.93
2009-12-11,39,81.85
2009-12-18,38,82.02
2009-12-25,36,
2010-01-01,37,
2010-01-08,37,81.74
2010-01-15,37,82.15
2010-01-22,38,79.77
2010-01-29,36,78.97
2010-02-05,38,73.92
2010-02-12,36,70.39
2010-02-19,39,71.32
2010-02-26,38,70.16
2010-03-05,38,69.95
2010-03-12,37,70.73
2010-03-19,37,74.25
2010-03-26,40,73.50
2010-04-02,39,
2010-04-09,36,74.49
2010-04-16,39,76.31
2010-04-23,37,78.82
2010-04-30,38,76.97
2010-05-07,39,74.10
2010-05-14,39,74.98
2010-05-21,40,73.33
2010-05-28,38,72.99
2010-06-04,41,70.49
2010-06-11,40,71.84
2010-06-18,39,73.23
2010-06-25,37,70.48
2010-07-02,48,66.37
2010-07-09,83,67.46
2010-07-16,41,67.94
2010-07-23,37,70.34
2010-07-30,36,68.36
2010-08-06,34,68.96
2010-08-13,37,67.57
2010-08-20,39,67.97
2010-08-27,37,67.37
2010-09-03,35,68.79
2010-09-10,38,68.45
2010-09-17,38,69.65
2010-09-24,37,73.80
2010-10-01,36,74.65
2010-10-08,37,75.08
2010-10-15,38,76.03
2010-10-22,36,75.22
2010-10-29,37,74.41
2010-11-05,35,76.94
2010-11-12,36,76.54
2010-11-19,34,76.20
2010-11-26,36,75.29
2010-12-03,36,77.80
2010-12-10,37,79.06
2010-12-17,36,81.56
2010-12-24,36,
2010-12-31,36,82.09
2011-01-07,36,82.87
2011-01-14,37,84.38
2011-01-21,37,85.15
2011-01-28,36,84.12
2011-02-04,36,85.36
2011-02-11,38,85.57
2011-02-18,38,85.03
2011-02-25,37,80.80
2011-03-04,38,79.87
2011-03-11,37,79.57
2011-03-18,38,77.84
2011-03-25,39,79.28
2011-04-01,40,80.91
2011-04-08,39,80.73
2011-04-15,40,81.46
2011-04-22,35,
2011-04-29,37,82.18
2011-05-06,36,81.83
2011-05-13,37,81.68
2011-05-20,37,81.03
2011-05-27,40,79.62
2011-06-03,38,76.78
2011-06-10,38,75.74
2011-06-17,40,74.99
2011-06-24,40,74.25
2011-07-01,59,76.17
2011-07-08,73,76.04
2011-07-15,43,74.54
2011-07-22,33,74.46
2011-07-29,34,72.55
2011-08-05,34,70.30
2011-08-12,36,66.64
2011-08-19,35,62.32
2011-08-26,37,65.56
2011-09-02,36,63.66
2011-09-09,37,61.76
2011-09-16,39,66.59
2011-09-23,41,61.61
2011-09-30,37,61.26
2011-10-07,38,61.76
2011-10-14,37,63.87
2011-10-21,37,64.36
2011-10-28,35,68.02
2011-11-04,34,66.45
2011-11-11,41,67.91
2011-11-18,44,67.92
2011-11-25,46,65.14
2011-12-02,46,70.64
2011-12-09,45,71.72
2011-12-16,46,70.77
2011-12-23,44,74.75
2011-12-30,41,74.83
2012-01-06,43,75.90
2012-01-13,44,78.78
2012-01-20,43,81.40
2012-01-27,41,82.66
2012-02-03,41,84.97
2012-02-10,45,78.77
2012-02-17,43,78.71
2012-02-24,44,82.36
2012-03-02,46,82.61
2012-03-09,46,84.63
2012-03-16,50,85.72
2012-03-23,49,83.82
2012-03-30,50,84.73
2012-04-06,50,
2012-04-13,49,82.16
2012-04-20,50,79.05
2012-04-27,52,78.81
2012-05-04,49,76.43
2012-05-11,54,66.59
2012-05-18,50,68.24
2012-05-25,48,67.14
2012-06-01,48,65.65
2012-06-08,53,66.98
2012-06-15,53,67.39
2012-06-22,52,68.44
2012-06-29,61,71.17
2012-07-06,60,70.61
2012-07-13,86,70.45
2012-07-20,47,71.07
2012-07-27,47,72.25
2012-08-03,48,74.49
2012-08-10,47,79.02
2012-08-17,50,82.14
2012-08-24,51,82.33
2012-08-31,50,80.95
2012-09-07,51,82.25
2012-09-14,52,84.16
2012-09-21,53,82.55
2012-09-28,56,79.62
2012-10-05,63,82.95
2012-10-12,54,82.01
2012-10-19,51,80.84
2012-10-26,53,81.58
2012-11-02,49,81.98
2012-11-09,52,81.33
2012-11-16,52,74.98
2012-11-23,49,78.06
2012-11-30,47,79.18
2012-12-07,49,81.05
2012-12-14,49,80.50
2012-12-21,52,82.28
2012-12-28,42,78.27
2013-01-04,50,78.17
2013-01-11,54,80.62
2013-01-18,55,79.98
2013-01-25,50,79.90
2013-02-01,50,82.71
2013-02-08,50,84.49
2013-02-15,51,81.75
2013-02-22,51,81.38
2013-03-01,51,80.46
2013-03-08,50,79.96
2013-03-15,49,81.98
2013-03-22,53,80.82
2013-03-29,43,
2013-04-05,48,82.75
2013-04-12,51,86.00
2013-04-19,54,84.72
2013-04-26,51,87.89
2013-05-03,54,90.00
2013-05-10,52,92.46
2013-05-17,54,98.98
2013-05-24,54,97.59
2013-05-31,55,98.14
2013-06-07,53,99.24
2013-06-14,58,98.76
2013-06-21,58,95.69
2013-06-28,66,97.45
2013-07-05,64,99.22
2013-07-12,90,107.59
2013-07-19,56,107.00
2013-07-26,47,103.12
2013-08-02,48,107.04
2013-08-09,51,107.11
2013-08-16,53,102.28
2013-08-23,53,104.12
2013-08-30,52,99.48
2013-09-06,52,100.74
2013-09-13,51,104.86
2013-09-20,52,103.87
2013-09-27,58,104.17
2013-10-04,54,103.57
2013-10-11,54,104.51
2013-10-18,54,106.57
2013-10-25,51,108.45
2013-11-01,52,108.49
2013-11-08,50,111.45
2013-11-15,53,113.43
2013-11-22,50,116.56
2013-11-29,48,116.85
2013-12-06,48,119.44
2013-12-13,54,115.19
2013-12-20,53,120.61
2013-12-27,42,123.42
2014-01-03,55,121.95
2014-01-10,53,122.98
2014-01-17,53,118.97
2014-01-24,51,113.30
2014-01-31,52,110.00
2014-02-07,51,97.76
2014-02-14,52,97.26
2014-02-21,48,95.54
2014-02-28,48,99.21
2014-03-07,49,99.24
2014-03-14,50,98.19
2014-03-21,52,101.59
2014-03-28,48,99.37
2014-04-04,50,101.27
2014-04-11,53,98.21
2014-04-18,47,
2014-04-25,51,103.99
2014-05-02,55,
