Date,C,Price
2011-07-15,77,38.38
2011-07-22,76,40.26
2011-07-29,78,38.34
2011-08-05,76,33.44
2011-08-12,75,29.85
2011-08-19,79,26.77
2011-08-26,78,29.84
2011-09-02,80,28.40
2011-09-09,81,26.74
2011-09-16,85,28.99
2011-09-23,87,24.98
2011-09-30,86,25.62
2011-10-07,89,24.63
2011-10-14,84,28.40
2011-10-21,86,30.30
2011-10-28,85,34.16
2011-11-04,84,30.34
2011-11-11,84,29.33
2011-11-18,86,26.28
2011-11-25,85,23.63
2011-12-02,83,28.17
2011-12-09,86,28.77
2011-12-16,81,26.03
2011-12-23,79,27.46
2011-12-30,76,26.31
2012-01-06,82,28.55
2012-01-13,83,30.74
2012-01-20,83,29.64
2012-01-27,80,30.87
2012-02-03,83,33.54
2012-02-10,82,32.93
2012-02-17,84,32.92
2012-02-24,83,32.35
2012-03-02,81,34.10
2012-03-09,83,34.20
2012-03-16,83,36.69
2012-03-23,82,37.13
2012-03-30,80,36.55
2012-04-06,78,
2012-04-13,78,33.41
2012-04-20,82,33.89
2012-04-27,81,33.50
2012-05-04,78,31.60
2012-05-11,80,29.35
2012-05-18,79,26.01
2012-05-25,79,26.47
2012-06-01,77,25.39
2012-06-08,76,27.77
2012-06-15,78,28.31
2012-06-22,80,27.99
2012-06-29,78,27.41
2012-07-06,74,26.36
2012-07-13,77,26.65
2012-07-20,76,25.87
2012-07-27,77,27.30
2012-08-03,75,27.40
2012-08-10,75,28.90
2012-08-17,77,29.03
2012-08-24,75,29.83
2012-08-31,77,29.71
2012-09-07,78,32.07
2012-09-14,80,34.79
2012-09-21,77,33.67
2012-09-28,80,32.72
2012-10-05,81,34.77
2012-10-12,77,34.75
2012-10-19,77,37.16
2012-10-26,82,36.60
2012-11-02,77,37.60
2012-11-09,79,35.93
2012-11-16,80,34.98
2012-11-23,78,36.03
2012-11-30,78,34.57
2012-12-07,76,37.64
2012-12-14,78,37.60
2012-12-21,73,39.49
2012-12-28,69,39.01
2013-01-04,73,42.43
2013-01-11,77,42.34
2013-01-18,76,41.66
2013-01-25,77,42.91
2013-02-01,77,43.02
2013-02-08,76,42.68
2013-02-15,75,43.84
2013-02-22,76,42.79
2013-03-01,78,42.11
2013-03-08,79,46.68
2013-03-15,79,47.26
2013-03-22,75,45.23
2013-03-29,76,
2013-04-05,74,43.01
2013-04-12,76,44.78
2013-04-19,75,45.03
2013-04-26,76,46.92
2013-05-03,72,46.97
2013-05-10,75,48.75
2013-05-17,74,51.45
2013-05-24,74,50.52
2013-05-31,75,51.99
2013-06-07,74,51.60
2013-06-14,75,49.22
2013-06-21,74,46.87
2013-06-28,71,47.97
2013-07-05,72,48.53
2013-07-12,73,50.81
2013-07-19,73,52.35
2013-07-26,73,52.21
2013-08-02,74,53.00
2013-08-09,70,51.32
2013-08-16,74,50.35
2013-08-23,72,49.83
2013-08-30,75,48.33
2013-09-06,75,49.22
2013-09-13,81,50.49
2013-09-20,79,51.21
2013-09-27,80,48.89
2013-10-04,80,49.14
2013-10-11,79,49.22
2013-10-18,78,51.15
2013-10-25,79,50.06
2013-11-01,79,48.74
2013-11-08,77,49.94
2013-11-15,78,50.40
2013-11-22,79,52.41
2013-11-29,77,52.92
2013-12-06,77,51.49
2013-12-13,78,50.97
2013-12-20,76,52.21
2013-12-27,71,52.26
2014-01-03,72,53.40
2014-01-10,77,54.72
2014-01-17,80,52.27
2014-01-24,78,49.33
2014-01-31,78,47.43
2014-02-07,78,49.34
2014-02-14,76,49.52
2014-02-21,76,48.26
2014-02-28,79,48.63
2014-03-07,78,49.62
2014-03-14,80,46.88
2014-03-21,77,50.08
2014-03-28,80,47.25
2014-04-04,78,47.11
2014-04-11,78,45.68
2014-04-18,79,
2014-04-25,79,47.75
2014-05-02,76,
