Date,MO,Price
2006-06-16,39,70.88
2006-06-23,40,71.25
2006-06-30,41,73.43
2006-07-07,39,77.80
2006-07-14,42,77.39
2006-07-21,43,79.67
2006-07-28,43,80.69
2006-08-04,43,79.90
2006-08-11,42,80.84
2006-08-18,42,83.97
2006-08-25,41,84.10
2006-09-01,39,83.81
2006-09-08,37,82.97
2006-09-15,38,83.14
2006-09-22,39,82.32
2006-09-29,38,76.55
2006-10-06,38,78.62
2006-10-13,38,79.63
2006-10-20,37,79.67
2006-10-27,37,81.85
2006-11-03,37,81.18
2006-11-10,37,80.93
2006-11-17,36,85.01
2006-11-24,30,83.75
2006-12-01,36,84.00
2006-12-08,36,84.83
2006-12-15,34,85.21
2006-12-22,36,84.78
2006-12-29,35,85.82
2007-01-05,38,87.15
2007-01-12,37,88.42
2007-01-19,37,87.26
2007-01-26,38,88.00
2007-02-02,38,86.56
2007-02-09,38,85.39
2007-02-16,38,86.20
2007-02-23,38,85.38
2007-03-02,38,83.48
2007-03-09,40,86.86
2007-03-16,40,84.73
2007-03-23,38,85.47
2007-03-30,39,87.81
2007-04-06,41,
2007-04-13,42,69.56
2007-04-20,40,69.55
2007-04-27,40,69.60
2007-05-04,41,69.36
2007-05-11,41,68.59
2007-05-18,41,69.95
2007-05-25,41,70.78
2007-06-01,40,71.82
2007-06-08,42,70.30
2007-06-15,42,70.67
2007-06-22,41,68.20
2007-06-29,43,70.14
2007-07-06,41,71.60
2007-07-13,45,71.70
2007-07-20,45,69.80
2007-07-27,44,65.17
2007-08-03,44,66.60
2007-08-10,43,67.39
2007-08-17,44,67.59
2007-08-24,44,69.19
2007-08-31,43,69.41
2007-09-07,39,67.39
2007-09-14,40,67.03
2007-09-21,40,68.54
2007-09-28,41,69.53
2007-10-05,41,69.56
2007-10-12,40,70.06
2007-10-19,40,70.50
2007-10-26,37,72.97
2007-11-02,40,72.11
2007-11-09,39,72.71
2007-11-16,40,73.18
2007-11-23,33,72.97
2007-11-30,39,77.56
2007-12-07,40,77.60
2007-12-14,41,76.82
2007-12-21,41,77.43
2007-12-28,39,75.96
2008-01-04,43,74.90
2008-01-11,44,79.02
2008-01-18,41,75.42
2008-01-25,40,73.95
2008-02-01,44,75.44
2008-02-08,43,73.09
2008-02-15,43,72.53
2008-02-22,43,73.60
2008-02-29,42,73.14
2008-03-07,44,74.52
2008-03-14,43,71.78
2008-03-21,45,
2008-03-28,45,73.83
2008-04-04,46,21.71
2008-04-11,46,21.37
2008-04-18,46,22.10
2008-04-25,45,21.70
2008-05-02,46,20.43
2008-05-09,46,20.94
2008-05-16,46,22.45
2008-05-23,44,22.28
2008-05-30,43,22.26
2008-06-06,45,21.53
2008-06-13,46,20.90
2008-06-20,49,20.78
2008-06-27,49,20.35
2008-07-04,47,
2008-07-11,49,21.26
2008-07-18,49,20.45
2008-07-25,51,21.07
2008-08-01,51,20.90
2008-08-08,51,20.95
2008-08-15,51,21.60
2008-08-22,49,20.92
2008-08-29,47,21.03
2008-09-05,43,20.95
2008-09-12,46,21.16
2008-09-19,47,20.54
2008-09-26,46,20.89
2008-10-03,45,20.29
2008-10-10,47,17.16
2008-10-17,45,19.32
2008-10-24,44,19.22
2008-10-31,44,19.19
2008-11-07,45,17.98
2008-11-14,44,16.26
2008-11-21,41,15.49
2008-11-28,36,16.08
2008-12-05,43,15.00
2008-12-12,44,15.34
2008-12-19,45,15.28
2008-12-26,40,15.06
2009-01-02,46,15.20
2009-01-09,46,15.48
2009-01-16,45,16.84
2009-01-23,44,16.84
2009-01-30,47,16.54
2009-02-06,47,16.96
2009-02-13,47,15.92
2009-02-20,47,15.46
2009-02-27,48,15.44
2009-03-06,48,15.72
2009-03-13,48,16.68
2009-03-20,48,16.78
2009-03-27,49,16.56
2009-04-03,49,16.16
2009-04-10,51,
2009-04-17,49,16.99
2009-04-24,48,16.92
2009-05-01,47,16.37
2009-05-08,51,17.10
2009-05-15,49,16.98
2009-05-22,48,16.64
2009-05-29,48,17.09
2009-06-05,49,17.03
2009-06-12,51,16.64
2009-06-19,50,16.41
2009-06-26,50,16.48
2009-07-03,49,
2009-07-10,51,16.47
2009-07-17,54,17.34
2009-07-24,56,17.34
2009-07-31,55,17.53
2009-08-07,54,17.71
2009-08-14,55,17.56
2009-08-21,54,18.04
2009-08-28,53,18.22
2009-09-04,51,18.50
2009-09-11,48,18.14
2009-09-18,50,17.96
2009-09-25,49,17.50
2009-10-02,47,17.47
2009-10-09,47,18.06
2009-10-16,47,18.27
2009-10-23,47,17.93
2009-10-30,47,18.11
2009-11-06,45,18.54
2009-11-13,46,19.26
2009-11-20,47,18.98
2009-11-27,40,19.00
2009-12-04,45,19.32
2009-12-11,45,19.52
2009-12-18,46,19.65
2009-12-25,44,
2010-01-01,49,
2010-01-08,48,20.11
2010-01-15,48,20.42
2010-01-22,48,19.71
2010-01-29,49,19.86
2010-02-05,52,19.38
2010-02-12,47,19.63
2010-02-19,46,20.16
2010-02-26,49,20.12
2010-03-05,49,20.71
2010-03-12,51,20.20
2010-03-19,51,20.34
2010-03-26,52,20.42
2010-04-02,52,
2010-04-09,53,20.93
2010-04-16,52,20.87
2010-04-23,53,21.36
2010-04-30,53,21.19
2010-05-07,52,20.76
2010-05-14,54,21.61
2010-05-21,53,21.01
2010-05-28,53,20.29
2010-06-04,51,20.02
2010-06-11,51,20.08
2010-06-18,52,20.02
2010-06-25,53,19.70
2010-07-02,54,20.31
2010-07-09,58,21.30
2010-07-16,61,21.26
2010-07-23,62,22.12
2010-07-30,63,22.16
2010-08-06,65,22.54
2010-08-13,61,22.35
2010-08-20,61,22.71
2010-08-27,60,22.54
2010-09-03,55,22.91
2010-09-10,56,23.84
2010-09-17,58,23.50
2010-09-24,57,24.00
2010-10-01,54,23.78
2010-10-08,55,24.51
2010-10-15,54,24.88
2010-10-22,56,24.92
2010-10-29,55,25.42
2010-11-05,56,26.11
2010-11-12,53,24.85
2010-11-19,54,24.74
2010-11-26,48,24.36
2010-12-03,52,23.81
2010-12-10,53,24.85
2010-12-17,55,24.99
2010-12-24,55,
2010-12-31,58,24.62
2011-01-07,56,24.39
2011-01-14,54,24.16
2011-01-21,55,24.09
2011-01-28,55,23.79
2011-02-04,53,24.00
2011-02-11,55,24.44
2011-02-18,57,24.79
2011-02-25,58,24.94
2011-03-04,57,25.32
2011-03-11,56,25.05
2011-03-18,57,24.80
2011-03-25,57,25.82
2011-04-01,59,25.98
2011-04-08,60,26.24
2011-04-15,61,27.01
2011-04-22,64,
2011-04-29,63,26.84
2011-05-06,60,26.96
2011-05-13,62,27.31
2011-05-20,60,27.74
2011-05-27,100,27.94
2011-06-03,66,27.60
2011-06-10,63,27.01
2011-06-17,63,27.08
2011-06-24,62,26.79
2011-07-01,65,26.53
2011-07-08,62,26.89
2011-07-15,67,26.69
2011-07-22,65,26.36
2011-07-29,69,26.30
2011-08-05,67,25.89
2011-08-12,67,25.20
2011-08-19,68,25.71
2011-08-26,61,26.30
2011-09-02,63,26.72
2011-09-09,61,26.37
2011-09-16,60,26.90
2011-09-23,60,25.77
2011-09-30,59,26.81
2011-10-07,59,27.43
2011-10-14,60,27.67
2011-10-21,58,27.45
2011-10-28,58,27.56
2011-11-04,59,27.37
2011-11-11,60,27.78
2011-11-18,59,27.64
2011-11-25,55,27.25
2011-12-02,59,28.41
2011-12-09,63,28.78
2011-12-16,60,29.14
2011-12-23,61,29.84
2011-12-30,63,29.65
2012-01-06,61,28.72
2012-01-13,61,28.96
2012-01-20,59,28.70
2012-01-27,58,28.14
2012-02-03,63,28.84
2012-02-10,62,29.21
2012-02-17,62,29.65
2012-02-24,64,29.99
2012-03-02,65,29.96
2012-03-09,62,30.46
2012-03-16,63,30.03
2012-03-23,63,30.40
2012-03-30,63,30.87
2012-04-06,64,
2012-04-13,63,31.49
2012-04-20,63,31.89
2012-04-27,62,32.13
2012-05-04,63,32.43
2012-05-11,64,31.79
2012-05-18,63,31.68
2012-05-25,64,32.11
2012-06-01,63,31.69
2012-06-08,65,32.91
2012-06-15,64,33.77
2012-06-22,66,33.87
2012-06-29,67,34.55
2012-07-06,67,34.97
2012-07-13,67,35.62
2012-07-20,68,35.91
2012-07-27,70,35.90
2012-08-03,73,35.92
2012-08-10,82,34.96
2012-08-17,79,35.41
2012-08-24,71,34.08
2012-08-31,67,33.96
2012-09-07,66,34.27
2012-09-14,66,32.94
2012-09-21,64,34.06
2012-09-28,61,33.39
2012-10-05,62,34.00
2012-10-12,66,33.12
2012-10-19,62,32.63
2012-10-26,65,31.76
2012-11-02,60,31.70
2012-11-09,64,31.48
2012-11-16,62,31.24
2012-11-23,56,33.48
2012-11-30,59,33.81
2012-12-07,59,33.47
2012-12-14,59,33.16
2012-12-21,61,31.85
2012-12-28,59,31.09
2013-01-04,63,32.54
2013-01-11,59,32.93
2013-01-18,58,33.27
2013-01-25,59,33.45
2013-02-01,58,34.20
2013-02-08,58,34.69
2013-02-15,59,34.38
2013-02-22,59,35.32
2013-03-01,62,33.49
2013-03-08,62,34.00
2013-03-15,62,33.68
2013-03-22,63,33.91
2013-03-29,61,
2013-04-05,61,34.84
2013-04-12,63,35.91
2013-04-19,61,35.02
2013-04-26,63,36.07
2013-05-03,63,36.51
2013-05-10,63,36.68
2013-05-17,60,37.44
2013-05-24,64,37.09
2013-05-31,64,36.10
2013-06-07,62,36.15
2013-06-14,63,35.58
2013-06-21,64,34.93
2013-06-28,65,34.99
2013-07-05,65,35.49
2013-07-12,66,36.92
2013-07-19,69,37.15
2013-07-26,69,35.90
2013-08-02,70,35.68
2013-08-09,72,35.37
2013-08-16,72,34.29
2013-08-23,67,34.28
2013-08-30,63,33.88
2013-09-06,61,34.40
2013-09-13,62,34.84
2013-09-20,60,35.55
2013-09-27,60,34.71
2013-10-04,59,34.65
2013-10-11,60,35.54
2013-10-18,64,35.86
2013-10-25,59,36.25
2013-11-01,62,37.33
2013-11-08,60,37.55
2013-11-15,59,38.00
2013-11-22,57,37.27
2013-11-29,53,36.98
2013-12-06,56,37.46
2013-12-13,58,37.10
2013-12-20,56,38.57
2013-12-27,56,38.31
2014-01-03,60,37.72
2014-01-10,59,37.26
2014-01-17,58,37.03
2014-01-24,57,37.30
2014-01-31,56,35.22
2014-02-07,57,35.30
2014-02-14,60,35.57
2014-02-21,61,35.37
2014-02-28,61,36.26
2014-03-07,62,36.81
2014-03-14,60,36.34
2014-03-21,62,36.45
2014-03-28,61,37.12
2014-04-04,62,37.57
2014-04-11,63,37.65
2014-04-18,65,
2014-04-25,64,39.11
2014-05-02,64,
