Date,MRO,Price
2007-12-07,34,59.23
2007-12-14,37,58.32
2007-12-21,36,61.41
2007-12-28,34,62.38
2008-01-04,31,59.57
2008-01-11,43,54.50
2008-01-18,41,47.49
2008-01-25,42,49.02
2008-02-01,37,49.09
2008-02-08,43,49.38
2008-02-15,38,50.85
2008-02-22,42,51.55
2008-02-29,38,53.16
2008-03-07,52,51.46
2008-03-14,39,50.67
2008-03-21,44,
2008-03-28,47,46.46
2008-04-04,49,48.80
2008-04-11,48,44.92
2008-04-18,41,48.79
2008-04-25,43,46.40
2008-05-02,47,50.80
2008-05-09,42,52.56
2008-05-16,39,55.05
2008-05-23,39,51.79
2008-05-30,52,51.39
2008-06-06,48,49.52
2008-06-13,40,51.39
2008-06-20,42,50.74
2008-06-27,40,51.22
2008-07-04,42,
2008-07-11,43,46.58
2008-07-18,41,43.38
2008-07-25,44,42.56
2008-08-01,44,47.81
2008-08-08,43,45.99
2008-08-15,37,44.85
2008-08-22,43,44.97
2008-08-29,39,45.07
2008-09-05,38,43.62
2008-09-12,44,46.04
2008-09-19,40,43.34
2008-09-26,52,40.83
2008-10-03,47,35.58
2008-10-10,39,25.56
2008-10-17,47,25.95
2008-10-24,38,23.56
2008-10-31,39,29.10
2008-11-07,38,28.60
2008-11-14,40,26.69
2008-11-21,36,22.52
2008-11-28,36,26.18
2008-12-05,37,22.31
2008-12-12,39,24.92
2008-12-19,39,25.95
2008-12-26,31,24.77
2009-01-02,29,28.98
2009-01-09,29,28.86
2009-01-16,35,28.46
2009-01-23,45,29.03
2009-01-30,40,27.23
2009-02-06,41,27.15
2009-02-13,41,27.00
2009-02-20,41,23.75
2009-02-27,35,23.27
2009-03-06,45,20.92
2009-03-13,40,23.63
2009-03-20,43,24.28
2009-03-27,39,27.31
2009-04-03,41,29.07
2009-04-10,40,
2009-04-17,42,30.02
2009-04-24,40,31.08
2009-05-01,31,30.84
2009-05-08,36,32.56
2009-05-15,34,28.63
2009-05-22,33,29.43
2009-05-29,35,31.88
2009-06-05,36,31.70
2009-06-12,37,32.42
2009-06-19,31,30.64
2009-06-26,32,29.52
2009-07-03,34,
2009-07-10,36,28.33
2009-07-17,36,30.26
2009-07-24,36,32.15
2009-07-31,36,32.25
2009-08-07,40,30.65
2009-08-14,34,31.02
2009-08-21,34,31.84
2009-08-28,35,31.51
2009-09-04,40,30.74
2009-09-11,34,32.25
2009-09-18,34,33.53
2009-09-25,38,31.64
2009-10-02,30,30.48
2009-10-09,32,32.32
2009-10-16,36,34.88
2009-10-23,31,34.01
2009-10-30,33,31.97
2009-11-06,37,33.68
2009-11-13,35,34.65
2009-11-20,30,33.02
2009-11-27,29,32.63
2009-12-04,30,31.63
2009-12-11,27,31.30
2009-12-18,26,30.91
2009-12-25,27,
2010-01-01,22,
2010-01-08,32,32.70
2010-01-15,32,31.64
2010-01-22,35,30.58
2010-01-29,29,29.81
2010-02-05,37,28.46
2010-02-12,33,28.61
2010-02-19,35,29.97
2010-02-26,29,28.95
2010-03-05,34,30.61
2010-03-12,34,31.48
2010-03-19,39,31.98
2010-03-26,41,30.84
2010-04-02,32,
2010-04-09,36,32.19
2010-04-16,39,32.02
2010-04-23,37,33.08
2010-04-30,33,32.15
2010-05-07,32,30.44
2010-05-14,31,31.29
2010-05-21,34,31.42
2010-05-28,30,31.09
2010-06-04,29,30.70
2010-06-11,26,32.37
2010-06-18,31,33.79
2010-06-25,27,32.75
2010-07-02,28,30.83
2010-07-09,27,32.08
2010-07-16,29,31.70
2010-07-23,33,32.88
2010-07-30,33,33.45
2010-08-06,32,34.39
2010-08-13,30,32.76
2010-08-20,28,31.52
2010-08-27,33,30.94
2010-09-03,27,32.16
2010-09-10,30,32.32
2010-09-17,32,31.61
2010-09-24,34,32.21
2010-10-01,35,33.81
2010-10-08,27,35.48
2010-10-15,29,35.75
2010-10-22,31,35.61
2010-10-29,33,35.57
2010-11-05,34,33.92
2010-11-12,35,33.74
2010-11-19,36,34.27
2010-11-26,26,33.48
2010-12-03,29,35.11
2010-12-10,31,35.15
2010-12-17,29,35.21
2010-12-24,30,
2010-12-31,23,37.03
2011-01-07,33,38.63
2011-01-14,38,42.59
2011-01-21,36,42.04
2011-01-28,35,44.76
2011-02-04,37,45.86
2011-02-11,33,46.48
2011-02-18,37,49.51
2011-02-25,34,48.62
2011-03-04,36,51.66
2011-03-11,35,50.17
2011-03-18,34,49.65
2011-03-25,38,51.70
2011-04-01,37,53.55
2011-04-08,39,52.76
2011-04-15,40,51.33
2011-04-22,31,
2011-04-29,32,54.04
2011-05-06,32,49.57
2011-05-13,33,51.10
2011-05-20,33,51.20
2011-05-27,31,53.37
2011-06-03,33,51.80
2011-06-10,32,50.25
2011-06-17,31,50.59
2011-06-24,34,49.55
2011-07-01,41,32.95
2011-07-08,37,32.67
2011-07-15,36,31.68
2011-07-22,34,32.01
2011-07-29,34,30.97
2011-08-05,40,26.12
2011-08-12,35,26.65
2011-08-19,39,25.17
2011-08-26,32,25.89
2011-09-02,31,25.78
2011-09-09,29,24.82
2011-09-16,34,25.33
2011-09-23,32,22.06
2011-09-30,34,21.58
2011-10-07,38,22.53
2011-10-14,29,24.55
2011-10-21,31,25.81
2011-10-28,29,27.97
2011-11-04,34,27.03
2011-11-11,32,28.33
2011-11-18,30,26.13
2011-11-25,31,24.66
2011-12-02,31,27.77
2011-12-09,28,28.33
2011-12-16,27,27.38
2011-12-23,28,29.22
2011-12-30,24,29.27
2012-01-06,31,30.69
2012-01-13,31,30.47
2012-01-20,33,32.04
2012-01-27,30,31.24
2012-02-03,33,32.30
2012-02-10,33,33.15
2012-02-17,33,33.77
2012-02-24,34,35.01
2012-03-02,33,33.52
2012-03-09,34,33.34
2012-03-16,31,34.61
2012-03-23,35,32.46
2012-03-30,34,31.70
2012-04-06,33,
2012-04-13,28,29.70
2012-04-20,30,29.47
2012-04-27,29,29.71
2012-05-04,29,26.80
2012-05-11,32,26.18
2012-05-18,30,24.13
2012-05-25,28,25.29
2012-06-01,29,23.89
2012-06-08,32,25.03
2012-06-15,29,24.87
2012-06-22,29,23.74
2012-06-29,28,25.57
2012-07-06,28,24.96
2012-07-13,31,24.87
2012-07-20,29,26.54
2012-07-27,27,27.03
2012-08-03,28,26.72
2012-08-10,42,27.90
2012-08-17,29,27.10
2012-08-24,31,27.84
2012-08-31,27,27.82
2012-09-07,30,28.61
2012-09-14,32,31.09
2012-09-21,31,30.78
2012-09-28,33,29.57
2012-10-05,32,29.54
2012-10-12,33,29.38
2012-10-19,30,30.59
2012-10-26,29,29.91
2012-11-02,29,29.95
2012-11-09,30,30.44
2012-11-16,26,30.86
2012-11-23,25,31.93
2012-11-30,27,30.85
2012-12-07,28,30.92
2012-12-14,30,30.82
2012-12-21,29,31.05
2012-12-28,21,29.81
2013-01-04,24,32.01
2013-01-11,30,32.15
2013-01-18,28,33.08
2013-01-25,33,33.78
2013-02-01,32,34.21
2013-02-08,30,34.53
2013-02-15,30,34.66
2013-02-22,30,34.71
2013-03-01,31,32.89
2013-03-08,31,33.51
2013-03-15,30,35.07
2013-03-22,31,34.16
2013-03-29,31,
2013-04-05,31,32.48
2013-04-12,33,32.54
2013-04-19,33,29.85
2013-04-26,30,31.72
2013-05-03,28,33.53
2013-05-10,28,34.35
2013-05-17,28,36.15
2013-05-24,28,35.15
2013-05-31,24,34.39
2013-06-07,27,34.73
2013-06-14,28,34.38
2013-06-21,26,34.27
2013-06-28,27,34.58
2013-07-05,23,35.62
2013-07-12,26,36.84
2013-07-19,31,37.48
2013-07-26,29,36.41
2013-08-02,28,37.56
2013-08-09,24,34.55
2013-08-16,26,34.26
2013-08-23,29,33.38
2013-08-30,28,34.43
2013-09-06,29,35.69
2013-09-13,30,35.57
2013-09-20,31,35.90
2013-09-27,34,34.90
2013-10-04,31,34.79
2013-10-11,30,34.86
2013-10-18,28,35.28
2013-10-25,29,35.59
2013-11-01,29,35.27
2013-11-08,27,36.39
2013-11-15,30,36.73
2013-11-22,28,37.61
2013-11-29,26,36.04
2013-12-06,26,36.56
2013-12-13,31,35.80
2013-12-20,28,35.16
2013-12-27,21,35.63
2014-01-03,20,34.52
2014-01-10,31,34.64
2014-01-17,30,33.96
2014-01-24,29,33.00
2014-01-31,29,32.79
2014-02-07,29,32.60
2014-02-14,29,33.22
2014-02-21,31,33.26
2014-02-28,33,33.50
2014-03-07,33,34.24
2014-03-14,36,33.08
2014-03-21,33,34.39
2014-03-28,33,35.22
2014-04-04,33,35.59
2014-04-11,34,35.07
2014-04-18,29,
2014-04-25,28,36.08
2014-05-02,24,
