Date,IR,Price
2005-07-22,52,76.70
2005-07-29,54,78.17
2005-08-05,51,78.44
2005-08-12,52,79.79
2005-08-19,51,79.06
2005-08-26,50,77.33
2005-09-02,51,40.21
2005-09-09,57,41.05
2005-09-16,56,39.58
2005-09-23,57,39.40
2005-09-30,58,38.23
2005-10-07,57,37.51
2005-10-14,61,36.79
2005-10-21,59,36.73
2005-10-28,61,37.51
2005-11-04,56,37.80
2005-11-11,60,39.44
2005-11-18,63,39.76
2005-11-25,62,40.00
2005-12-02,62,40.70
2005-12-09,65,39.96
2005-12-16,60,40.85
2005-12-23,52,41.08
2005-12-30,52,40.37
2006-01-06,54,41.00
2006-01-13,58,40.37
2006-01-20,60,38.69
2006-01-27,57,39.00
2006-02-03,59,39.58
2006-02-10,63,39.07
2006-02-17,56,40.81
2006-02-24,61,42.11
2006-03-03,63,41.45
2006-03-10,60,41.63
2006-03-17,60,43.02
2006-03-24,61,43.45
2006-03-31,61,41.79
2006-04-07,64,42.79
2006-04-14,64,
2006-04-21,60,44.01
2006-04-28,70,43.75
2006-05-05,55,47.02
2006-05-12,58,46.83
2006-05-19,59,44.93
2006-05-26,58,45.53
2006-06-02,58,44.27
2006-06-09,57,40.65
2006-06-16,54,41.25
2006-06-23,51,41.06
2006-06-30,52,42.78
2006-07-07,49,40.60
2006-07-14,50,37.25
2006-07-21,52,36.06
2006-07-28,52,35.86
2006-08-04,50,37.97
2006-08-11,51,36.99
2006-08-18,47,38.94
2006-08-25,50,37.27
2006-09-01,51,38.60
2006-09-08,57,38.35
2006-09-15,56,38.54
2006-09-22,55,36.89
2006-09-29,57,37.98
2006-10-06,59,40.20
2006-10-13,58,40.27
2006-10-20,58,38.10
2006-10-27,55,37.45
2006-11-03,58,36.87
2006-11-10,59,37.46
2006-11-17,58,38.40
2006-11-24,59,39.23
2006-12-01,61,38.30
2006-12-08,60,40.75
2006-12-15,59,39.18
2006-12-22,55,38.44
2006-12-29,51,39.13
2007-01-05,50,39.39
2007-01-12,58,40.69
2007-01-19,57,41.49
2007-01-26,59,41.74
2007-02-02,58,43.84
2007-02-09,56,42.27
2007-02-16,56,44.40
2007-02-23,59,45.20
2007-03-02,60,42.61
2007-03-09,62,42.56
2007-03-16,59,42.96
2007-03-23,60,45.42
2007-03-30,60,43.37
2007-04-06,59,
2007-04-13,59,44.74
2007-04-20,65,45.41
2007-04-27,67,46.05
2007-05-04,57,46.41
2007-05-11,61,46.64
2007-05-18,62,49.03
2007-05-25,58,48.75
2007-06-01,58,51.69
2007-06-08,61,51.15
2007-06-15,57,52.36
2007-06-22,53,55.73
2007-06-29,54,54.82
2007-07-06,57,54.89
2007-07-13,55,55.20
2007-07-20,53,54.67
2007-07-27,55,48.14
2007-08-03,56,50.09
2007-08-10,58,48.44
2007-08-17,52,48.44
2007-08-24,53,52.07
2007-08-31,56,51.93
2007-09-07,58,51.51
2007-09-14,62,52.32
2007-09-21,60,53.80
2007-09-28,60,54.47
2007-10-05,61,55.55
2007-10-12,63,53.08
2007-10-19,63,49.49
2007-10-26,61,50.94
2007-11-02,62,50.55
2007-11-09,65,48.91
2007-11-16,63,48.80
2007-11-23,75,48.70
2007-11-30,72,51.64
2007-12-07,73,51.87
2007-12-14,64,49.18
2007-12-21,60,45.88
2007-12-28,54,46.69
2008-01-04,59,42.61
2008-01-11,67,40.49
2008-01-18,67,37.14
2008-01-25,65,38.75
2008-02-01,67,39.20
2008-02-08,65,37.38
2008-02-15,66,39.31
2008-02-22,66,39.37
2008-02-29,70,41.86
2008-03-07,71,42.87
2008-03-14,68,43.15
2008-03-21,67,
2008-03-28,65,43.82
2008-04-04,68,46.58
2008-04-11,69,43.24
2008-04-18,69,45.90
2008-04-25,75,43.10
2008-05-02,70,44.99
2008-05-09,64,42.52
2008-05-16,67,45.85
2008-05-23,64,42.77
2008-05-30,64,44.04
2008-06-06,63,42.70
2008-06-13,64,39.76
2008-06-20,62,38.94
2008-06-27,57,36.87
2008-07-04,61,
2008-07-11,62,34.73
2008-07-18,62,36.00
2008-07-25,59,36.30
2008-08-01,58,36.92
2008-08-08,64,39.38
2008-08-15,58,40.17
2008-08-22,59,37.96
2008-08-29,61,36.93
2008-09-05,65,35.48
2008-09-12,66,35.95
2008-09-19,65,36.43
2008-09-26,66,32.02
2008-10-03,66,27.38
2008-10-10,68,20.17
2008-10-17,67,20.57
2008-10-24,68,17.07
2008-10-31,66,18.45
2008-11-07,65,17.00
2008-11-14,71,15.11
2008-11-21,69,12.84
2008-11-28,68,15.68
2008-12-05,70,15.44
2008-12-12,73,15.63
2008-12-19,66,16.33
2008-12-26,57,16.66
2009-01-02,58,18.82
2009-01-09,71,20.02
2009-01-16,74,18.00
2009-01-23,72,16.68
2009-01-30,72,16.21
2009-02-06,70,16.44
2009-02-13,71,17.39
2009-02-20,74,15.83
2009-02-27,73,14.18
2009-03-06,79,11.84
2009-03-13,75,13.87
2009-03-20,76,13.91
2009-03-27,77,14.95
2009-04-03,76,16.54
2009-04-10,74,
2009-04-17,75,17.35
2009-04-24,79,21.86
2009-05-01,82,21.90
2009-05-08,71,23.25
2009-05-15,73,20.55
2009-05-22,73,21.15
2009-05-29,70,20.23
2009-06-05,71,22.78
2009-06-12,68,23.06
2009-06-19,71,21.70
2009-06-26,64,21.35
2009-07-03,67,
2009-07-10,69,19.88
2009-07-17,67,21.69
2009-07-24,68,27.48
2009-07-31,67,28.88
2009-08-07,69,28.81
2009-08-14,67,28.91
2009-08-21,65,31.02
2009-08-28,66,31.06
2009-09-04,68,31.24
2009-09-11,72,32.09
2009-09-18,72,32.08
2009-09-25,72,30.81
2009-10-02,72,29.70
2009-10-09,77,32.36
2009-10-16,73,33.69
2009-10-23,72,34.81
2009-10-30,70,31.59
2009-11-06,73,33.84
2009-11-13,78,36.86
2009-11-20,75,36.00
2009-11-27,74,35.24
2009-12-04,73,35.78
2009-12-11,76,35.63
2009-12-18,72,35.62
2009-12-25,62,
2010-01-01,64,
2010-01-08,72,36.61
2010-01-15,74,37.06
2010-01-22,77,35.24
2010-01-29,76,32.46
2010-02-05,76,32.91
2010-02-12,76,31.26
2010-02-19,73,33.36
2010-02-26,76,31.91
2010-03-05,81,33.94
2010-03-12,74,34.81
2010-03-19,77,34.87
2010-03-26,77,34.64
2010-04-02,76,
2010-04-09,78,37.33
2010-04-16,81,37.16
2010-04-23,82,37.10
2010-04-30,90,36.98
2010-05-07,75,35.24
2010-05-14,76,38.75
2010-05-21,77,35.88
2010-05-28,76,37.31
2010-06-04,78,37.23
2010-06-11,74,37.71
2010-06-18,69,39.42
2010-06-25,68,38.00
2010-07-02,70,33.32
2010-07-09,70,34.04
2010-07-16,69,34.37
2010-07-23,69,37.29
2010-07-30,68,37.46
2010-08-06,69,37.59
2010-08-13,68,35.29
2010-08-20,69,35.22
2010-08-27,70,33.85
2010-09-03,68,34.67
2010-09-10,73,34.59
2010-09-17,72,34.89
2010-09-24,74,35.29
2010-10-01,74,35.91
2010-10-08,75,38.65
2010-10-15,72,38.74
2010-10-22,72,39.35
2010-10-29,73,39.31
2010-11-05,72,41.03
2010-11-12,76,42.01
2010-11-19,75,40.91
2010-11-26,75,40.83
2010-12-03,72,42.91
2010-12-10,75,44.41
2010-12-17,72,47.00
2010-12-24,64,
2010-12-31,66,47.09
2011-01-07,74,46.60
2011-01-14,75,46.82
2011-01-21,77,45.62
2011-01-28,78,46.12
2011-02-04,77,47.90
2011-02-11,79,47.49
2011-02-18,78,47.10
2011-02-25,78,45.18
2011-03-04,83,44.87
2011-03-11,78,46.53
2011-03-18,78,46.61
2011-03-25,81,48.18
2011-04-01,84,48.32
2011-04-08,84,47.98
2011-04-15,83,46.78
2011-04-22,80,
2011-04-29,93,50.50
2011-05-06,78,50.08
2011-05-13,76,50.12
2011-05-20,78,49.18
2011-05-27,77,49.53
2011-06-03,75,46.86
2011-06-10,72,44.09
2011-06-17,74,43.65
2011-06-24,73,43.13
2011-07-01,73,47.06
2011-07-08,73,46.02
2011-07-15,74,44.75
2011-07-22,73,40.38
2011-07-29,75,37.42
2011-08-05,74,31.86
2011-08-12,74,30.39
2011-08-19,73,27.56
2011-08-26,72,31.56
2011-09-02,72,32.38
2011-09-09,75,32.27
2011-09-16,77,35.70
2011-09-23,77,31.00
2011-09-30,78,28.09
2011-10-07,76,27.74
2011-10-14,76,30.53
2011-10-21,81,27.94
2011-10-28,79,32.34
2011-11-04,75,32.46
2011-11-11,79,31.41
2011-11-18,79,31.20
2011-11-25,79,29.17
2011-12-02,78,33.23
2011-12-09,76,33.18
2011-12-16,76,30.65
2011-12-23,75,31.24
2011-12-30,69,30.47
2012-01-06,76,32.02
2012-01-13,80,33.94
2012-01-20,79,34.01
2012-01-27,81,35.16
2012-02-03,80,37.52
2012-02-10,80,37.98
2012-02-17,77,40.92
2012-02-24,78,40.48
2012-03-02,85,39.70
2012-03-09,83,39.24
2012-03-16,83,41.08
2012-03-23,79,40.43
2012-03-30,84,41.35
2012-04-06,81,
2012-04-13,83,39.68
2012-04-20,84,40.61
2012-04-27,88,42.61
2012-05-04,84,41.97
2012-05-11,78,43.22
2012-05-18,80,40.15
2012-05-25,80,42.16
2012-06-01,79,39.90
2012-06-08,77,40.79
2012-06-15,78,39.09
2012-06-22,75,40.19
2012-06-29,75,42.18
2012-07-06,78,42.55
2012-07-13,78,40.96
2012-07-20,76,40.25
2012-07-27,79,42.42
2012-08-03,77,42.60
2012-08-10,78,45.08
2012-08-17,78,46.40
2012-08-24,80,46.92
2012-08-31,77,46.76
2012-09-07,80,46.13
2012-09-14,84,46.18
2012-09-21,84,46.91
2012-09-28,81,44.82
2012-10-05,82,45.09
2012-10-12,82,44.31
2012-10-19,80,46.35
2012-10-26,83,46.38
2012-11-02,76,47.02
2012-11-09,82,45.86
2012-11-16,79,45.29
2012-11-23,78,48.23
2012-11-30,77,48.78
2012-12-07,77,48.69
2012-12-14,79,47.60
2012-12-21,75,47.11
2012-12-28,69,46.88
2013-01-04,72,49.77
2013-01-11,81,49.60
2013-01-18,82,50.63
2013-01-25,83,51.47
2013-02-01,83,52.36
2013-02-08,81,53.43
2013-02-15,80,53.03
2013-02-22,82,52.61
2013-03-01,88,51.93
2013-03-08,84,54.31
2013-03-15,84,55.39
2013-03-22,82,55.51
2013-03-29,85,
2013-04-05,85,54.01
2013-04-12,87,56.16
2013-04-19,87,53.90
2013-04-26,96,53.98
2013-05-03,90,54.11
2013-05-10,82,56.39
2013-05-17,84,58.04
2013-05-24,82,57.15
2013-05-31,84,57.53
2013-06-07,81,58.04
2013-06-14,84,56.43
2013-06-21,81,55.04
2013-06-28,79,55.52
2013-07-05,81,57.75
2013-07-12,82,59.09
2013-07-19,84,62.95
2013-07-26,81,61.15
2013-08-02,81,62.51
2013-08-09,82,61.01
2013-08-16,82,60.93
2013-08-23,82,61.48
2013-08-30,82,59.14
2013-09-06,82,61.77
2013-09-13,87,63.56
2013-09-20,83,65.50
2013-09-27,83,65.42
2013-10-04,81,66.09
2013-10-11,89,65.74
2013-10-18,86,66.85
2013-10-25,87,67.85
2013-11-01,86,67.74
2013-11-08,86,67.70
2013-11-15,86,68.53
2013-11-22,89,68.84
2013-11-29,88,71.42
2013-12-06,85,56.69
2013-12-13,87,56.82
2013-12-20,85,60.12
2013-12-27,73,61.17
2014-01-03,78,61.32
2014-01-10,86,62.65
2014-01-17,89,62.32
2014-01-24,87,58.11
2014-01-31,89,58.79
2014-02-07,89,59.76
2014-02-14,90,58.43
2014-02-21,87,59.41
2014-02-28,91,61.14
2014-03-07,87,61.94
2014-03-14,93,56.90
2014-03-21,89,58.86
2014-03-28,92,56.54
2014-04-04,94,56.49
2014-04-11,97,54.39
2014-04-18,93,
2014-04-25,95,58.77
2014-05-02,100,
