Date,buy A,Price
2008-06-27,62,35.59
2008-07-04,60,
2008-07-11,64,35.69
2008-07-18,64,35.57
2008-07-25,64,36.21
2008-08-01,67,35.86
2008-08-08,63,37.00
2008-08-15,64,36.37
2008-08-22,60,35.38
2008-08-29,62,34.76
2008-09-05,59,32.79
2008-09-12,57,32.05
2008-09-19,60,32.91
2008-09-26,59,30.93
2008-10-03,60,28.28
2008-10-10,60,22.48
2008-10-17,58,22.61
2008-10-24,59,19.75
2008-10-31,60,22.19
2008-11-07,59,21.84
2008-11-14,63,20.75
2008-11-21,64,17.29
2008-11-28,66,18.83
2008-12-05,70,17.26
2008-12-12,73,17.39
2008-12-19,70,16.28
2008-12-26,70,15.45
2009-01-02,73,16.24
2009-01-09,65,18.52
2009-01-16,62,19.51
2009-01-23,62,18.64
2009-01-30,62,18.08
2009-02-06,64,19.30
2009-02-13,62,18.47
2009-02-20,65,15.18
2009-02-27,65,13.87
2009-03-06,64,12.65
2009-03-13,64,13.99
2009-03-20,63,14.43
2009-03-27,64,16.21
2009-04-03,64,16.46
2009-04-10,68,
2009-04-17,67,17.01
2009-04-24,65,16.90
2009-05-01,67,18.81
2009-05-08,66,19.34
2009-05-15,64,17.65
2009-05-22,67,17.69
2009-05-29,65,18.23
2009-06-05,67,19.90
2009-06-12,70,19.36
2009-06-19,69,18.89
2009-06-26,66,20.38
2009-07-03,63,
2009-07-10,68,18.96
2009-07-17,70,20.96
2009-07-24,70,22.27
2009-07-31,74,23.22
2009-08-07,76,23.73
2009-08-14,76,24.04
2009-08-21,72,25.55
2009-08-28,70,25.83
2009-09-04,69,25.86
2009-09-11,68,28.05
2009-09-18,66,28.37
2009-09-25,68,27.58
2009-10-02,65,26.31
2009-10-09,67,27.47
2009-10-16,69,27.21
2009-10-23,67,26.20
2009-10-30,67,24.74
2009-11-06,66,26.17
2009-11-13,68,28.61
2009-11-20,71,28.91
2009-11-27,75,28.85
2009-12-04,75,29.86
2009-12-11,77,29.64
2009-12-18,78,29.40
2009-12-25,75,
2010-01-01,76,
2010-01-08,73,30.80
2010-01-15,68,30.43
2010-01-22,68,29.17
2010-01-29,69,28.03
2010-02-05,69,29.17
2010-02-12,68,29.98
2010-02-19,69,31.20
2010-02-26,70,31.46
2010-03-05,68,33.16
2010-03-12,67,33.42
2010-03-19,65,33.42
2010-03-26,68,34.31
2010-04-02,71,
2010-04-09,69,34.23
2010-04-16,69,35.27
2010-04-23,70,36.64
2010-04-30,73,36.26
2010-05-07,70,31.87
2010-05-14,69,33.86
2010-05-21,67,31.34
2010-05-28,67,32.36
2010-06-04,70,30.34
2010-06-11,71,30.73
2010-06-18,73,32.61
2010-06-25,69,30.69
2010-07-02,71,27.79
2010-07-09,74,28.65
2010-07-16,77,27.03
2010-07-23,76,29.30
2010-07-30,79,27.93
2010-08-06,80,28.73
2010-08-13,77,27.35
2010-08-20,79,28.56
2010-08-27,76,27.96
2010-09-03,72,29.85
2010-09-10,74,28.91
2010-09-17,71,30.55
2010-09-24,71,32.09
2010-10-01,72,33.73
2010-10-08,71,33.80
2010-10-15,71,34.48
2010-10-22,71,34.75
2010-10-29,74,34.80
2010-11-05,69,36.38
2010-11-12,74,36.36
2010-11-19,79,36.46
2010-11-26,82,36.35
2010-12-03,83,37.48
2010-12-10,83,38.54
2010-12-17,86,40.54
2010-12-24,87,
2010-12-31,85,41.43
2011-01-07,79,41.62
2011-01-14,76,43.26
2011-01-21,77,42.11
2011-01-28,76,40.98
2011-02-04,76,42.99
2011-02-11,78,45.02
2011-02-18,73,43.92
2011-02-25,76,42.36
2011-03-04,74,46.75
2011-03-11,73,45.34
2011-03-18,68,42.94
2011-03-25,74,44.04
2011-04-01,74,45.14
2011-04-08,73,44.89
2011-04-15,72,47.50
2011-04-22,76,
2011-04-29,76,49.91
2011-05-06,74,49.73
2011-05-13,74,52.58
2011-05-20,74,50.70
2011-05-27,77,49.60
2011-06-03,76,47.43
2011-06-10,75,48.19
2011-06-17,76,47.43
2011-06-24,77,48.49
2011-07-01,76,52.00
2011-07-08,75,50.23
2011-07-15,80,47.08
2011-07-22,80,46.89
2011-07-29,78,42.16
2011-08-05,79,36.59
2011-08-12,78,36.21
2011-08-19,80,31.08
2011-08-26,78,34.87
2011-09-02,73,34.40
2011-09-09,71,33.36
2011-09-16,70,36.36
2011-09-23,70,31.68
2011-09-30,71,31.25
2011-10-07,71,31.37
2011-10-14,71,33.34
2011-10-21,74,35.27
2011-10-28,74,40.89
2011-11-04,72,36.91
2011-11-11,77,37.46
2011-11-18,82,36.81
2011-11-25,90,33.83
2011-12-02,88,36.76
2011-12-09,87,35.33
2011-12-16,91,33.46
2011-12-23,91,35.36
2011-12-30,94,34.93
2012-01-06,85,37.40
2012-01-13,81,39.06
2012-01-20,80,41.00
2012-01-27,80,42.68
2012-02-03,82,45.28
2012-02-10,80,44.14
2012-02-17,79,43.14
2012-02-24,81,43.02
2012-03-02,81,43.72
2012-03-09,82,44.55
2012-03-16,77,45.62
2012-03-23,79,44.30
2012-03-30,81,44.51
2012-04-06,77,
2012-04-13,79,42.24
2012-04-20,79,42.10
2012-04-27,77,42.56
2012-05-04,81,41.01
2012-05-11,77,39.45
2012-05-18,77,38.73
2012-05-25,79,41.01
2012-06-01,79,38.22
2012-06-08,81,39.60
2012-06-15,80,40.01
2012-06-22,83,39.03
2012-06-29,81,39.24
2012-07-06,81,37.97
2012-07-13,86,37.04
2012-07-20,86,37.56
2012-07-27,85,37.94
2012-08-03,87,39.11
2012-08-10,86,40.53
2012-08-17,88,37.22
2012-08-24,86,37.85
2012-08-31,85,37.16
2012-09-07,83,38.42
2012-09-14,83,39.73
2012-09-21,84,39.00
2012-09-28,81,38.45
2012-10-05,79,38.86
2012-10-12,77,37.22
2012-10-19,76,35.75
2012-10-26,81,35.94
2012-11-02,76,37.00
2012-11-09,81,36.91
2012-11-16,84,35.81
2012-11-23,92,36.88
2012-11-30,93,38.29
2012-12-07,88,37.81
2012-12-14,94,39.85
2012-12-21,100,41.05
2012-12-28,94,39.83
2013-01-04,90,42.86
2013-01-11,84,43.43
2013-01-18,80,44.15
2013-01-25,83,45.29
2013-02-01,80,45.29
2013-02-08,82,45.08
2013-02-15,79,42.25
2013-02-22,80,41.80
2013-03-01,80,41.93
2013-03-08,78,43.03
2013-03-15,79,43.01
2013-03-22,80,41.25
2013-03-29,80,
2013-04-05,81,41.54
2013-04-12,81,44.75
2013-04-19,78,42.00
2013-04-26,77,41.30
2013-05-03,82,41.55
2013-05-10,80,43.63
2013-05-17,79,45.56
2013-05-24,78,45.59
2013-05-31,80,45.45
2013-06-07,79,45.15
2013-06-14,84,44.00
2013-06-21,81,42.98
2013-06-28,81,42.76
2013-07-05,80,44.23
2013-07-12,83,45.75
2013-07-19,84,46.20
2013-07-26,85,45.60
2013-08-02,87,46.38
2013-08-09,86,46.22
2013-08-16,86,46.79
2013-08-23,83,47.68
2013-08-30,82,46.64
2013-09-06,80,47.43
2013-09-13,78,48.46
2013-09-20,79,52.15
2013-09-27,84,51.63
2013-10-04,81,51.78
2013-10-11,81,51.46
2013-10-18,82,52.99
2013-10-25,81,51.87
2013-11-01,82,51.10
2013-11-08,80,50.78
2013-11-15,89,54.93
2013-11-22,87,53.85
2013-11-29,93,53.57
2013-12-06,92,54.83
2013-12-13,94,55.16
2013-12-20,100,56.96
2013-12-27,97,57.17
2014-01-03,93,56.92
2014-01-10,84,58.93
2014-01-17,84,60.71
2014-01-24,85,57.87
2014-01-31,83,58.15
2014-02-07,80,59.42
2014-02-14,81,55.25
2014-02-21,83,56.34
2014-02-28,83,56.93
2014-03-07,81,58.42
2014-03-14,80,55.44
2014-03-21,81,56.09
2014-03-28,81,54.69
2014-04-04,80,55.57
2014-04-11,78,52.77
2014-04-18,82,
2014-04-25,81,54.39
2014-05-02,83,
