Date,ITW,Price
2006-01-20,59,86.46
2006-01-27,66,87.68
2006-02-03,59,84.68
2006-02-10,63,85.32
2006-02-17,59,88.44
2006-02-24,55,86.58
2006-03-03,69,89.11
2006-03-10,61,91.56
2006-03-17,66,97.64
2006-03-24,52,97.20
2006-03-31,56,96.31
2006-04-07,42,95.55
2006-04-14,58,
2006-04-21,64,102.66
2006-04-28,66,102.70
2006-05-05,54,105.86
2006-05-12,69,102.79
2006-05-19,59,99.95
2006-05-26,59,50.26
2006-06-02,54,50.07
2006-06-09,53,48.71
2006-06-16,63,48.23
2006-06-23,60,47.54
2006-06-30,56,47.50
2006-07-07,64,45.55
2006-07-14,57,44.19
2006-07-21,58,43.34
2006-07-28,61,45.65
2006-08-04,59,46.52
2006-08-11,59,44.28
2006-08-18,60,44.98
2006-08-25,62,43.52
2006-09-01,49,44.17
2006-09-08,64,43.96
2006-09-15,59,43.53
2006-09-22,68,44.07
2006-09-29,65,44.90
2006-10-06,59,47.75
2006-10-13,62,49.15
2006-10-20,57,46.34
2006-10-27,62,47.03
2006-11-03,48,46.76
2006-11-10,53,46.84
2006-11-17,53,47.07
2006-11-24,49,47.39
2006-12-01,51,46.83
2006-12-08,59,47.53
2006-12-15,51,46.80
2006-12-22,41,46.10
2006-12-29,26,46.19
2007-01-05,45,46.00
2007-01-12,56,47.55
2007-01-19,52,47.48
2007-01-26,62,46.95
2007-02-02,55,51.48
2007-02-09,56,51.33
2007-02-16,53,52.55
2007-02-23,48,52.77
2007-03-02,55,50.90
2007-03-09,53,50.88
2007-03-16,48,50.41
2007-03-23,50,52.87
2007-03-30,61,51.60
2007-04-06,46,
2007-04-13,49,52.27
2007-04-20,49,51.68
2007-04-27,48,51.96
2007-05-04,49,52.99
2007-05-11,56,52.33
2007-05-18,50,51.43
2007-05-25,46,52.72
2007-06-01,49,52.58
2007-06-08,55,52.02
2007-06-15,59,55.36
2007-06-22,57,55.12
2007-06-29,53,54.19
2007-07-06,49,55.81
2007-07-13,53,57.91
2007-07-20,53,57.09
2007-07-27,54,54.64
2007-08-03,44,54.76
2007-08-10,54,54.63
2007-08-17,48,52.87
2007-08-24,45,56.98
2007-08-31,52,58.17
2007-09-07,48,56.80
2007-09-14,51,56.83
2007-09-21,55,57.85
2007-09-28,54,59.64
2007-10-05,49,59.70
2007-10-12,49,60.00
2007-10-19,49,56.28
2007-10-26,54,56.98
2007-11-02,47,56.73
2007-11-09,52,55.27
2007-11-16,50,54.45
2007-11-23,52,54.62
2007-11-30,52,55.50
2007-12-07,50,56.81
2007-12-14,44,55.90
2007-12-21,41,54.26
2007-12-28,26,54.04
2008-01-04,33,50.50
2008-01-11,45,47.92
2008-01-18,54,47.15
2008-01-25,49,49.98
2008-02-01,53,50.90
2008-02-08,57,48.51
2008-02-15,46,48.86
2008-02-22,54,48.40
2008-02-29,51,49.07
2008-03-07,51,47.13
2008-03-14,46,46.75
2008-03-21,48,
2008-03-28,45,47.89
2008-04-04,61,50.82
2008-04-11,44,49.75
2008-04-18,45,52.34
2008-04-25,47,52.20
2008-05-02,46,53.12
2008-05-09,55,53.10
2008-05-16,52,54.64
2008-05-23,50,52.46
2008-05-30,54,53.70
2008-06-06,51,50.16
2008-06-13,46,49.71
2008-06-20,46,48.61
2008-06-27,55,46.36
2008-07-04,50,
2008-07-11,41,45.60
2008-07-18,54,46.73
2008-07-25,48,46.46
2008-08-01,47,46.82
2008-08-08,45,50.00
2008-08-15,51,49.46
2008-08-22,40,48.95
2008-08-29,53,49.61
2008-09-05,44,47.91
2008-09-12,45,47.67
2008-09-19,42,48.78
2008-09-26,48,44.77
2008-10-03,43,40.37
2008-10-10,46,33.19
2008-10-17,47,33.98
2008-10-24,57,30.50
2008-10-31,46,33.39
2008-11-07,40,32.91
2008-11-14,50,31.84
2008-11-21,45,30.49
2008-11-28,43,34.12
2008-12-05,42,32.39
2008-12-12,49,31.30
2008-12-19,37,33.40
2008-12-26,24,34.10
2009-01-02,22,36.67
2009-01-09,46,36.28
2009-01-16,41,34.63
2009-01-23,45,33.04
2009-01-30,46,32.66
2009-02-06,46,35.82
2009-02-13,41,35.12
2009-02-20,40,30.71
2009-02-27,43,27.80
2009-03-06,42,26.80
2009-03-13,44,27.85
2009-03-20,43,27.74
2009-03-27,46,31.88
2009-04-03,41,32.44
2009-04-10,41,
2009-04-17,41,32.22
2009-04-24,45,33.87
2009-05-01,44,33.30
2009-05-08,41,34.66
2009-05-15,44,33.01
2009-05-22,41,32.54
2009-05-29,50,32.29
2009-06-05,43,37.03
2009-06-12,44,38.08
2009-06-19,38,35.47
2009-06-26,41,37.45
2009-07-03,39,
2009-07-10,40,35.77
2009-07-17,45,38.75
2009-07-24,42,40.94
2009-07-31,43,40.55
2009-08-07,40,40.96
2009-08-14,43,41.29
2009-08-21,43,42.29
2009-08-28,44,42.27
2009-09-04,46,41.77
2009-09-11,36,44.02
2009-09-18,41,44.37
2009-09-25,45,42.30
2009-10-02,41,41.69
2009-10-09,44,45.02
2009-10-16,35,45.33
2009-10-23,40,47.78
2009-10-30,38,45.92
2009-11-06,44,48.39
2009-11-13,41,48.98
2009-11-20,40,49.51
2009-11-27,35,48.66
2009-12-04,35,48.49
2009-12-11,33,47.99
2009-12-18,38,47.57
2009-12-25,26,
2010-01-01,20,
2010-01-08,37,49.10
2010-01-15,35,47.88
2010-01-22,40,45.35
2010-01-29,36,43.59
2010-02-05,39,42.66
2010-02-12,39,43.64
2010-02-19,35,46.76
2010-02-26,41,45.52
2010-03-05,39,47.27
2010-03-12,41,46.65
2010-03-19,38,46.77
2010-03-26,37,47.23
2010-04-02,38,
2010-04-09,39,47.73
2010-04-16,47,49.01
2010-04-23,45,52.43
2010-04-30,37,51.10
2010-05-07,44,47.71
2010-05-14,47,49.36
2010-05-21,44,45.54
2010-05-28,43,46.43
2010-06-04,34,44.24
2010-06-11,42,45.55
2010-06-18,41,45.26
2010-06-25,43,44.16
2010-07-02,37,41.13
2010-07-09,31,43.33
2010-07-16,34,42.70
2010-07-23,41,43.31
2010-07-30,36,43.50
2010-08-06,38,45.61
2010-08-13,36,43.02
2010-08-20,36,42.10
2010-08-27,39,41.85
2010-09-03,37,45.00
2010-09-10,35,45.73
2010-09-17,38,46.24
2010-09-24,37,47.08
2010-10-01,38,47.26
2010-10-08,41,48.43
2010-10-15,38,48.96
2010-10-22,40,46.69
2010-10-29,37,45.68
2010-11-05,37,48.36
2010-11-12,35,47.42
2010-11-19,39,47.29
2010-11-26,31,47.13
2010-12-03,35,50.41
2010-12-10,33,51.06
2010-12-17,36,51.97
2010-12-24,26,
2010-12-31,23,53.40
2011-01-07,34,54.00
2011-01-14,37,55.96
2011-01-21,33,54.71
2011-01-28,37,54.71
2011-02-04,42,54.25
2011-02-11,39,55.81
2011-02-18,38,54.90
2011-02-25,32,53.56
2011-03-04,36,54.89
2011-03-11,36,54.61
2011-03-18,36,54.00
2011-03-25,36,54.97
2011-04-01,42,54.15
2011-04-08,38,54.33
2011-04-15,41,53.31
2011-04-22,37,
2011-04-29,38,58.41
2011-05-06,44,58.15
2011-05-13,43,57.95
2011-05-20,43,57.09
2011-05-27,38,57.04
2011-06-03,31,56.08
2011-06-10,32,54.64
2011-06-17,33,54.93
2011-06-24,33,54.35
2011-07-01,35,57.61
2011-07-08,30,58.91
2011-07-15,37,57.09
2011-07-22,34,56.97
2011-07-29,37,49.80
2011-08-05,33,46.33
2011-08-12,32,45.09
2011-08-19,33,41.36
2011-08-26,36,44.79
2011-09-02,31,43.67
2011-09-09,32,42.51
2011-09-16,37,45.39
2011-09-23,34,42.66
2011-09-30,33,41.60
2011-10-07,31,43.15
2011-10-14,35,46.89
2011-10-21,34,47.36
2011-10-28,31,49.13
2011-11-04,30,49.23
2011-11-11,32,46.93
2011-11-18,38,44.94
2011-11-25,29,42.58
2011-12-02,33,45.95
2011-12-09,33,47.13
2011-12-16,33,46.00
2011-12-23,31,47.72
2011-12-30,21,46.71
2012-01-06,33,47.79
2012-01-13,32,49.37
2012-01-20,35,51.47
2012-01-27,37,52.77
2012-02-03,36,55.60
2012-02-10,33,55.71
2012-02-17,38,56.19
2012-02-24,31,55.92
2012-03-02,34,55.50
2012-03-09,34,55.44
2012-03-16,32,57.91
2012-03-23,34,56.91
2012-03-30,34,57.12
2012-04-06,33,
2012-04-13,33,54.82
2012-04-20,36,55.79
2012-04-27,37,58.11
2012-05-04,35,56.43
2012-05-11,36,56.39
2012-05-18,35,53.55
2012-05-25,33,56.29
2012-06-01,33,54.85
2012-06-08,33,56.01
2012-06-15,31,54.48
2012-06-22,31,53.67
2012-06-29,32,52.89
2012-07-06,26,52.06
2012-07-13,32,50.75
2012-07-20,30,53.29
2012-07-27,31,55.27
2012-08-03,29,55.62
2012-08-10,29,57.31
2012-08-17,30,60.00
2012-08-24,29,59.68
2012-08-31,32,59.29
2012-09-07,31,60.60
2012-09-14,31,61.12
2012-09-21,33,60.81
2012-09-28,31,59.47
2012-10-05,28,60.66
2012-10-12,27,58.55
2012-10-19,30,60.79
2012-10-26,32,60.27
2012-11-02,28,62.02
2012-11-09,28,60.44
2012-11-16,28,58.87
2012-11-23,30,60.62
2012-11-30,27,61.57
2012-12-07,29,61.17
2012-12-14,29,59.82
2012-12-21,25,61.29
2012-12-28,14,60.02
2013-01-04,20,62.40
2013-01-11,30,62.56
2013-01-18,29,63.72
2013-01-25,31,64.99
2013-02-01,29,62.90
2013-02-08,30,62.72
2013-02-15,29,63.25
2013-02-22,33,61.48
2013-03-01,29,61.60
2013-03-08,31,62.44
2013-03-15,31,62.23
2013-03-22,32,62.26
2013-03-29,29,
2013-04-05,30,61.57
2013-04-12,33,63.44
2013-04-19,30,60.50
2013-04-26,35,64.38
2013-05-03,32,65.71
2013-05-10,32,68.30
2013-05-17,33,70.78
2013-05-24,29,70.23
2013-05-31,26,70.13
2013-06-07,30,70.70
2013-06-14,30,70.24
2013-06-21,31,68.43
2013-06-28,28,69.17
2013-07-05,24,69.97
2013-07-12,27,71.87
2013-07-19,30,73.29
2013-07-26,31,71.97
2013-08-02,29,74.25
2013-08-09,28,73.30
2013-08-16,27,72.43
2013-08-23,26,73.28
2013-08-30,30,71.47
2013-09-06,28,72.88
2013-09-13,30,74.37
2013-09-20,30,76.49
2013-09-27,30,76.73
2013-10-04,29,75.34
2013-10-11,29,76.93
2013-10-18,32,77.42
2013-10-25,29,78.55
2013-11-01,27,78.98
2013-11-08,27,79.08
2013-11-15,27,79.65
2013-11-22,29,79.50
2013-11-29,29,79.58
2013-12-06,27,80.49
2013-12-13,26,78.95
2013-12-20,26,81.87
2013-12-27,14,83.59
2014-01-03,18,83.74
2014-01-10,29,82.47
2014-01-17,26,82.66
2014-01-24,29,79.21
2014-01-31,31,78.87
2014-02-07,32,79.68
2014-02-14,29,78.59
2014-02-21,29,81.48
2014-02-28,32,82.50
2014-03-07,27,82.78
2014-03-14,28,80.29
2014-03-21,29,80.76
2014-03-28,29,80.76
2014-04-04,31,83.57
2014-04-11,30,81.27
2014-04-18,28,
2014-04-25,29,84.47
2014-05-02,30,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
