Date,Verizon Communications,Price
2008-04-04,41,37.34
2008-04-11,43,35.59
2008-04-18,45,36.03
2008-04-25,40,37.04
2008-05-02,36,39.59
2008-05-09,46,37.91
2008-05-16,34,38.77
2008-05-23,42,37.08
2008-05-30,34,38.47
2008-06-06,40,38.23
2008-06-13,32,37.33
2008-06-20,44,35.38
2008-06-27,35,34.28
2008-07-04,38,
2008-07-11,38,34.92
2008-07-18,37,35.45
2008-07-25,50,34.45
2008-08-01,38,34.00
2008-08-08,38,34.59
2008-08-15,39,34.96
2008-08-22,34,35.29
2008-08-29,36,35.12
2008-09-05,29,34.08
2008-09-12,32,34.49
2008-09-19,45,33.30
2008-09-26,30,32.18
2008-10-03,44,31.24
2008-10-10,47,26.77
2008-10-17,26,27.19
2008-10-24,35,25.08
2008-10-31,42,29.67
2008-11-07,40,30.05
2008-11-14,39,30.00
2008-11-21,41,28.47
2008-11-28,28,32.65
2008-12-05,43,33.19
2008-12-12,38,32.80
2008-12-19,21,33.19
2008-12-26,30,33.19
2009-01-02,39,34.64
2009-01-09,38,32.16
2009-01-16,39,29.96
2009-01-23,35,30.44
2009-01-30,35,29.87
2009-02-06,40,31.72
2009-02-13,37,29.56
2009-02-20,41,28.81
2009-02-27,41,28.53
2009-03-06,44,27.28
2009-03-13,25,28.40
2009-03-20,45,29.61
2009-03-27,38,30.62
2009-04-03,39,32.79
2009-04-10,53,
2009-04-17,41,31.78
2009-04-24,45,31.00
2009-05-01,39,30.55
2009-05-08,29,29.85
2009-05-15,53,29.61
2009-05-22,43,28.81
2009-05-29,35,29.26
2009-06-05,38,29.25
2009-06-12,45,29.92
2009-06-19,32,29.66
2009-06-26,33,30.99
2009-07-03,39,
2009-07-10,38,28.62
2009-07-17,51,29.59
2009-07-24,39,31.50
2009-07-31,48,32.07
2009-08-07,42,31.08
2009-08-14,47,31.08
2009-08-21,41,31.37
2009-08-28,44,31.02
2009-09-04,40,30.60
2009-09-11,39,31.26
2009-09-18,46,29.59
2009-09-25,33,29.94
2009-10-02,41,29.89
2009-10-09,38,29.16
2009-10-16,53,28.90
2009-10-23,44,28.85
2009-10-30,35,29.59
2009-11-06,37,29.56
2009-11-13,37,30.13
2009-11-20,36,30.43
2009-11-27,28,31.63
2009-12-04,57,32.70
2009-12-11,41,33.73
2009-12-18,33,32.80
2009-12-25,37,
2010-01-01,47,
2010-01-08,41,31.75
2010-01-15,37,30.58
2010-01-22,41,30.34
2010-01-29,42,29.42
2010-02-05,44,28.74
2010-02-12,33,28.93
2010-02-19,35,29.02
2010-02-26,46,28.93
2010-03-05,38,29.23
2010-03-12,27,29.73
2010-03-19,42,30.41
2010-03-26,44,30.37
2010-04-02,47,
2010-04-09,47,30.08
2010-04-16,40,29.58
2010-04-23,41,29.05
2010-04-30,46,28.90
2010-05-07,44,28.19
2010-05-14,46,28.51
2010-05-21,36,27.96
2010-05-28,44,27.52
2010-06-04,37,27.21
2010-06-11,44,28.56
2010-06-18,41,29.13
2010-06-25,45,28.55
2010-07-02,65,26.81
2010-07-09,74,26.65
2010-07-16,66,26.69
2010-07-23,81,28.02
2010-07-30,70,29.06
2010-08-06,72,29.55
2010-08-13,61,30.03
2010-08-20,61,29.37
2010-08-27,55,29.84
2010-09-03,54,30.20
2010-09-10,42,30.82
2010-09-17,48,31.68
2010-09-24,49,32.64
2010-10-01,44,32.89
2010-10-08,48,32.83
2010-10-15,37,32.43
2010-10-22,39,32.09
2010-10-29,38,32.48
2010-11-05,43,33.43
2010-11-12,42,32.56
2010-11-19,40,32.59
2010-11-26,33,32.21
2010-12-03,42,32.90
2010-12-10,44,34.04
2010-12-17,35,34.64
2010-12-24,31,
2010-12-31,41,35.78
2011-01-07,45,35.93
2011-01-14,50,35.46
2011-01-21,41,34.95
2011-01-28,46,35.63
2011-02-04,37,36.31
2011-02-11,36,36.39
2011-02-18,31,36.62
2011-02-25,43,35.97
2011-03-04,28,36.08
2011-03-11,34,35.85
2011-03-18,34,35.84
2011-03-25,36,37.29
2011-04-01,37,38.47
2011-04-08,38,37.72
2011-04-15,41,37.85
2011-04-22,39,
2011-04-29,38,37.78
2011-05-06,36,37.28
2011-05-13,32,37.26
2011-05-20,39,37.15
2011-05-27,37,36.67
2011-06-03,33,35.63
2011-06-10,31,35.19
2011-06-17,30,35.51
2011-06-24,40,36.00
2011-07-01,34,37.80
2011-07-08,31,37.48
2011-07-15,32,36.82
2011-07-22,33,36.74
2011-07-29,34,35.29
2011-08-05,34,35.05
2011-08-12,46,34.30
2011-08-19,35,34.71
2011-08-26,33,35.76
2011-09-02,32,35.56
2011-09-09,31,35.24
2011-09-16,37,36.72
2011-09-23,35,35.88
2011-09-30,32,36.80
2011-10-07,34,36.16
2011-10-14,27,37.33
2011-10-21,32,37.42
2011-10-28,27,37.63
2011-11-04,30,37.17
2011-11-11,33,37.52
2011-11-18,28,36.46
2011-11-25,22,35.35
2011-12-02,30,37.85
2011-12-09,25,38.43
2011-12-16,25,38.78
2011-12-23,23,39.98
2011-12-30,31,40.12
2012-01-06,34,38.33
2012-01-13,26,38.92
2012-01-20,28,38.97
2012-01-27,30,37.21
2012-02-03,29,37.84
2012-02-10,29,37.69
2012-02-17,26,38.46
2012-02-24,23,38.14
2012-03-02,25,38.67
2012-03-09,30,39.10
2012-03-16,24,39.57
2012-03-23,27,39.42
2012-03-30,22,38.23
2012-04-06,27,
2012-04-13,26,37.26
2012-04-20,25,38.73
2012-04-27,29,40.23
2012-05-04,25,40.26
2012-05-11,24,41.16
2012-05-18,22,41.53
2012-05-25,22,41.45
2012-06-01,24,41.03
2012-06-08,25,42.44
2012-06-15,24,43.55
2012-06-22,26,43.95
2012-06-29,24,44.44
2012-07-06,31,44.42
2012-07-13,19,45.21
2012-07-20,30,44.49
2012-07-27,23,44.90
2012-08-03,25,44.46
2012-08-10,23,44.60
2012-08-17,28,44.06
2012-08-24,24,43.17
2012-08-31,23,42.94
2012-09-07,29,43.72
2012-09-14,30,44.53
2012-09-21,32,45.64
2012-09-28,31,45.57
2012-10-05,29,47.05
2012-10-12,20,44.62
2012-10-19,24,45.16
2012-10-26,23,44.73
2012-11-02,21,44.52
2012-11-09,23,42.64
2012-11-16,27,41.40
2012-11-23,23,43.76
2012-11-30,26,44.12
2012-12-07,27,44.41
2012-12-14,21,44.21
2012-12-21,22,43.57
2012-12-28,23,42.90
2013-01-04,24,44.30
2013-01-11,24,43.30
2013-01-18,22,42.54
2013-01-25,22,42.67
2013-02-01,23,44.56
2013-02-08,28,44.35
2013-02-15,26,44.40
2013-02-22,23,45.40
2013-03-01,24,46.72
2013-03-08,27,47.96
2013-03-15,24,48.02
2013-03-22,23,49.02
2013-03-29,24,
2013-04-05,24,49.56
2013-04-12,26,50.86
2013-04-19,27,52.25
2013-04-26,29,53.63
2013-05-03,25,52.68
2013-05-10,23,52.89
2013-05-17,22,53.35
2013-05-24,23,51.39
2013-05-31,20,48.48
2013-06-07,23,50.24
2013-06-14,26,51.07
2013-06-21,25,49.52
2013-06-28,22,50.34
2013-07-05,23,51.30
2013-07-12,24,50.41
2013-07-19,27,49.95
2013-07-26,22,51.02
2013-08-02,29,50.25
2013-08-09,29,49.32
2013-08-16,25,47.71
2013-08-23,25,47.61
2013-08-30,25,47.38
2013-09-06,32,46.34
2013-09-13,29,47.76
2013-09-20,27,47.78
2013-09-27,24,47.00
2013-10-04,20,47.10
2013-10-11,26,47.09
2013-10-18,23,50.01
2013-10-25,24,50.71
2013-11-01,26,50.49
2013-11-08,23,50.20
2013-11-15,26,50.31
2013-11-22,20,50.22
2013-11-29,19,49.62
2013-12-06,27,49.48
2013-12-13,22,47.84
2013-12-20,25,48.08
2013-12-27,23,49.17
2014-01-03,28,48.42
2014-01-10,27,47.75
2014-01-17,25,48.35
2014-01-24,23,47.63
2014-01-31,24,48.02
2014-02-07,25,46.81
2014-02-14,23,46.51
2014-02-21,21,47.27
2014-02-28,30,47.58
2014-03-07,30,47.15
2014-03-14,24,46.08
2014-03-21,21,46.91
2014-03-28,24,47.42
2014-04-04,28,48.04
2014-04-11,25,47.07
2014-04-18,22,
2014-04-25,25,45.94
2014-05-02,22,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
