Date,DO,Price
2005-09-09,41,60.34
2005-09-16,43,59.10
2005-09-23,44,58.76
2005-09-30,43,61.25
2005-10-07,43,56.89
2005-10-14,43,55.01
2005-10-21,45,53.06
2005-10-28,44,57.16
2005-11-04,44,58.92
2005-11-11,45,55.52
2005-11-18,43,55.83
2005-11-25,45,63.09
2005-12-02,42,66.55
2005-12-09,40,69.90
2005-12-16,40,68.20
2005-12-23,37,71.31
2005-12-30,39,69.56
2006-01-06,40,74.86
2006-01-13,40,78.02
2006-01-20,40,81.00
2006-01-27,41,80.86
2006-02-03,43,82.08
2006-02-10,41,80.50
2006-02-17,43,78.22
2006-02-24,44,77.90
2006-03-03,40,82.77
2006-03-10,44,77.39
2006-03-17,46,83.06
2006-03-24,45,81.93
2006-03-31,45,89.50
2006-04-07,45,91.22
2006-04-14,43,
2006-04-21,45,95.38
2006-04-28,46,90.77
2006-05-05,46,94.90
2006-05-12,45,91.62
2006-05-19,46,83.55
2006-05-26,48,83.64
2006-06-02,50,87.28
2006-06-09,49,76.99
2006-06-16,44,78.50
2006-06-23,45,77.78
2006-06-30,43,83.93
2006-07-07,40,80.55
2006-07-14,40,77.30
2006-07-21,41,69.32
2006-07-28,42,77.07
2006-08-04,43,74.86
2006-08-11,44,71.79
2006-08-18,45,73.15
2006-08-25,44,73.23
2006-09-01,46,75.91
2006-09-08,43,74.70
2006-09-15,45,70.82
2006-09-22,44,68.94
2006-09-29,46,72.37
2006-10-06,45,66.02
2006-10-13,44,67.91
2006-10-20,47,67.23
2006-10-27,45,70.93
2006-11-03,44,71.01
2006-11-10,46,75.26
2006-11-17,44,74.67
2006-11-24,46,76.52
2006-12-01,44,80.59
2006-12-08,41,81.10
2006-12-15,40,84.05
2006-12-22,38,80.18
2006-12-29,41,79.94
2007-01-05,43,77.27
2007-01-12,42,76.82
2007-01-19,40,79.21
2007-01-26,42,81.04
2007-02-02,43,84.58
2007-02-09,42,85.28
2007-02-16,43,78.59
2007-02-23,42,79.84
2007-03-02,42,75.12
2007-03-09,43,76.66
2007-03-16,44,76.12
2007-03-23,46,81.40
2007-03-30,46,80.95
2007-04-06,44,
2007-04-13,45,83.50
2007-04-20,48,82.19
2007-04-27,47,87.94
2007-05-04,47,88.56
2007-05-11,49,87.39
2007-05-18,50,92.90
2007-05-25,52,93.38
2007-06-01,51,94.47
2007-06-08,49,91.62
2007-06-15,50,99.22
2007-06-22,48,107.13
2007-06-29,50,101.56
2007-07-06,49,105.71
2007-07-13,48,104.52
2007-07-20,50,108.40
2007-07-27,49,103.27
2007-08-03,50,96.00
2007-08-10,52,96.39
2007-08-17,52,93.38
2007-08-24,53,100.74
2007-08-31,54,105.16
2007-09-07,49,108.04
2007-09-14,53,108.38
2007-09-21,52,115.05
2007-09-28,51,113.29
2007-10-05,50,112.24
2007-10-12,49,117.20
2007-10-19,52,109.82
2007-10-26,51,112.47
2007-11-02,53,115.20
2007-11-09,52,113.05
2007-11-16,52,109.44
2007-11-23,59,114.58
2007-11-30,58,116.43
2007-12-07,56,125.30
2007-12-14,48,128.58
2007-12-21,47,139.82
2007-12-28,48,143.07
2008-01-04,47,135.29
2008-01-11,50,124.51
2008-01-18,50,117.54
2008-01-25,52,118.67
2008-02-01,53,115.94
2008-02-08,49,108.39
2008-02-15,54,110.47
2008-02-22,55,119.38
2008-02-29,57,120.83
2008-03-07,56,120.26
2008-03-14,54,124.45
2008-03-21,56,
2008-03-28,57,117.94
2008-04-04,57,121.51
2008-04-11,56,124.77
2008-04-18,57,138.75
2008-04-25,55,132.70
2008-05-02,57,127.99
2008-05-09,57,131.82
2008-05-16,57,140.42
2008-05-23,57,136.86
2008-05-30,58,136.44
2008-06-06,58,133.82
2008-06-13,57,132.44
2008-06-20,58,130.86
2008-06-27,58,137.88
2008-07-04,58,
2008-07-11,55,131.86
2008-07-18,57,123.62
2008-07-25,58,115.86
2008-08-01,59,120.28
2008-08-08,59,111.83
2008-08-15,61,108.06
2008-08-22,62,109.89
2008-08-29,62,109.91
2008-09-05,59,106.90
2008-09-12,60,107.70
2008-09-19,62,112.49
2008-09-26,62,111.94
2008-10-03,60,93.73
2008-10-10,63,66.73
2008-10-17,60,69.73
2008-10-24,63,72.58
2008-10-31,64,88.80
2008-11-07,62,83.03
2008-11-14,64,73.73
2008-11-21,63,65.10
2008-11-28,63,73.80
2008-12-05,60,60.43
2008-12-12,60,68.06
2008-12-19,59,58.58
2008-12-26,57,57.86
2009-01-02,61,63.12
2009-01-09,60,61.76
2009-01-16,62,57.97
2009-01-23,63,63.27
2009-01-30,65,62.76
2009-02-06,62,67.49
2009-02-13,64,63.41
2009-02-20,65,63.01
2009-02-27,63,62.64
2009-03-06,65,55.48
2009-03-13,70,59.00
2009-03-20,71,66.17
2009-03-27,68,65.62
2009-04-03,70,68.96
2009-04-10,69,
2009-04-17,72,73.44
2009-04-24,69,76.19
2009-05-01,70,74.81
2009-05-08,73,79.65
2009-05-15,71,72.48
2009-05-22,72,76.29
2009-05-29,72,84.28
2009-06-05,74,87.24
2009-06-12,72,91.71
2009-06-19,71,87.67
2009-06-26,72,84.58
2009-07-03,69,
2009-07-10,72,77.95
2009-07-17,72,85.05
2009-07-24,74,93.13
2009-07-31,77,89.87
2009-08-07,74,89.04
2009-08-14,74,87.63
2009-08-21,78,90.00
2009-08-28,76,90.76
2009-09-04,76,88.68
2009-09-11,76,93.66
2009-09-18,77,93.99
2009-09-25,79,91.25
2009-10-02,74,92.45
2009-10-09,77,100.11
2009-10-16,75,105.61
2009-10-23,76,105.80
2009-10-30,77,95.25
2009-11-06,74,97.20
2009-11-13,76,100.01
2009-11-20,78,97.66
2009-11-27,79,99.46
2009-12-04,74,97.20
2009-12-11,74,96.09
2009-12-18,73,98.11
2009-12-25,68,
2010-01-01,73,
2010-01-08,74,106.34
2010-01-15,74,102.84
2010-01-22,74,94.38
2010-01-29,76,91.53
2010-02-05,76,88.46
2010-02-12,77,85.29
2010-02-19,72,89.12
2010-02-26,77,87.32
2010-03-05,79,87.93
2010-03-12,78,89.56
2010-03-19,80,84.41
2010-03-26,80,84.68
2010-04-02,82,
2010-04-09,81,90.72
2010-04-16,79,87.21
2010-04-23,79,85.60
2010-04-30,83,79.10
2010-05-07,80,72.90
2010-05-14,83,71.67
2010-05-21,84,70.55
2010-05-28,85,63.10
2010-06-04,83,59.15
2010-06-11,85,60.99
2010-06-18,84,63.87
2010-06-25,83,61.72
2010-07-02,81,63.49
2010-07-09,81,64.40
2010-07-16,79,62.55
2010-07-23,81,61.66
2010-07-30,81,59.49
2010-08-06,81,66.43
2010-08-13,81,60.51
2010-08-20,82,59.03
2010-08-27,79,60.00
2010-09-03,79,60.48
2010-09-10,76,62.26
2010-09-17,79,61.90
2010-09-24,79,62.82
2010-10-01,81,66.66
2010-10-08,78,67.13
2010-10-15,75,71.65
2010-10-22,79,69.51
2010-10-29,80,66.16
2010-11-05,79,69.80
2010-11-12,81,70.47
2010-11-19,79,68.93
2010-11-26,79,65.24
2010-12-03,76,66.23
2010-12-10,77,65.49
2010-12-17,74,64.00
2010-12-24,72,
2010-12-31,75,66.87
2011-01-07,79,70.57
2011-01-14,78,74.90
2011-01-21,78,73.37
2011-01-28,76,70.19
2011-02-04,77,71.67
2011-02-11,78,69.91
2011-02-18,79,75.62
2011-02-25,78,77.60
2011-03-04,78,78.73
2011-03-11,76,74.11
2011-03-18,83,75.81
2011-03-25,84,78.56
2011-04-01,82,78.03
2011-04-08,82,78.49
2011-04-15,83,74.99
2011-04-22,81,
2011-04-29,83,75.87
2011-05-06,80,69.77
2011-05-13,82,70.74
2011-05-20,84,71.85
2011-05-27,84,72.85
2011-06-03,85,71.62
2011-06-10,84,68.22
2011-06-17,84,67.34
2011-06-24,80,67.71
2011-07-01,83,70.34
2011-07-08,82,70.71
2011-07-15,83,70.46
2011-07-22,84,70.79
2011-07-29,84,67.83
2011-08-05,86,62.24
2011-08-12,86,61.81
2011-08-19,84,58.53
2011-08-26,87,61.49
2011-09-02,88,61.57
2011-09-09,81,61.66
2011-09-16,84,63.31
2011-09-23,83,57.66
2011-09-30,84,54.74
2011-10-07,82,55.92
2011-10-14,82,60.15
2011-10-21,86,62.82
2011-10-28,87,68.51
2011-11-04,100,65.59
2011-11-11,92,65.39
2011-11-18,86,62.79
2011-11-25,87,58.05
2011-12-02,85,60.17
2011-12-09,84,59.03
2011-12-16,82,54.29
2011-12-23,80,56.67
2011-12-30,84,55.26
2012-01-06,83,56.28
2012-01-13,83,59.87
2012-01-20,83,61.42
2012-01-27,82,62.76
2012-02-03,82,63.13
2012-02-10,82,62.76
2012-02-17,83,64.78
2012-02-24,79,67.19
2012-03-02,86,68.86
2012-03-09,88,70.19
2012-03-16,83,72.43
2012-03-23,86,69.03
2012-03-30,85,66.75
2012-04-06,80,
2012-04-13,85,65.26
2012-04-20,85,68.57
2012-04-27,85,68.00
2012-05-04,82,64.90
2012-05-11,82,62.74
2012-05-18,85,59.15
2012-05-25,87,60.56
2012-06-01,88,57.74
2012-06-08,85,60.10
2012-06-15,84,60.58
2012-06-22,87,57.75
2012-06-29,85,59.13
2012-07-06,86,58.89
2012-07-13,84,63.35
2012-07-20,86,66.05
2012-07-27,87,67.19
2012-08-03,89,66.68
2012-08-10,89,68.15
2012-08-17,91,68.52
2012-08-24,92,66.69
2012-08-31,91,67.02
2012-09-07,87,67.19
2012-09-14,86,69.04
2012-09-21,87,69.24
2012-09-28,88,65.81
2012-10-05,89,65.85
2012-10-12,84,66.58
2012-10-19,87,70.52
2012-10-26,88,70.02
2012-11-02,86,68.86
2012-11-09,89,65.04
2012-11-16,83,65.09
2012-11-23,83,67.36
2012-11-30,87,69.00
2012-12-07,80,68.93
2012-12-14,80,67.40
2012-12-21,79,69.26
2012-12-28,79,67.23
2013-01-04,84,71.51
2013-01-11,84,72.27
2013-01-18,82,73.35
2013-01-25,84,74.66
2013-02-01,86,76.29
2013-02-08,82,74.81
2013-02-15,82,74.75
2013-02-22,83,71.99
2013-03-01,83,69.32
2013-03-08,88,67.82
2013-03-15,87,70.24
2013-03-22,89,68.54
2013-03-29,87,
2013-04-05,87,68.70
2013-04-12,88,68.78
2013-04-19,87,65.34
2013-04-26,86,68.64
2013-05-03,88,70.05
2013-05-10,85,70.15
2013-05-17,87,72.40
2013-05-24,88,70.27
2013-05-31,86,68.81
2013-06-07,87,69.11
2013-06-14,89,67.16
2013-06-21,89,66.91
2013-06-28,86,68.79
2013-07-05,87,69.25
2013-07-12,86,72.11
2013-07-19,89,72.65
2013-07-26,89,67.93
2013-08-02,87,67.96
2013-08-09,88,68.20
2013-08-16,89,66.04
2013-08-23,89,65.84
2013-08-30,88,64.03
2013-09-06,88,64.33
2013-09-13,86,64.41
2013-09-20,89,62.61
2013-09-27,92,62.77
2013-10-04,90,63.45
2013-10-11,86,63.57
2013-10-18,88,63.15
2013-10-25,89,61.27
2013-11-01,90,60.27
2013-11-08,90,61.74
2013-11-15,84,61.42
2013-11-22,88,60.89
2013-11-29,90,60.05
2013-12-06,84,58.87
2013-12-13,84,56.19
2013-12-20,81,55.83
2013-12-27,77,56.81
2014-01-03,81,56.47
2014-01-10,83,55.91
2014-01-17,84,54.10
2014-01-24,84,51.04
2014-01-31,83,48.54
2014-02-07,84,46.07
2014-02-14,87,47.04
2014-02-21,86,48.01
2014-02-28,86,47.30
2014-03-07,85,48.45
2014-03-14,88,44.20
2014-03-21,87,47.24
2014-03-28,91,47.92
2014-04-04,87,48.38
2014-04-11,90,45.88
2014-04-18,90,
2014-04-25,91,53.50
2014-05-02,88,
