Date,GD,Price
2007-11-09,46,88.24
2007-11-16,47,89.75
2007-11-23,52,88.50
2007-11-30,51,88.78
2007-12-07,50,93.68
2007-12-14,49,91.44
2007-12-21,47,89.24
2007-12-28,42,89.05
2008-01-04,44,86.00
2008-01-11,48,86.56
2008-01-18,50,80.80
2008-01-25,48,81.13
2008-02-01,48,85.34
2008-02-08,47,83.37
2008-02-15,49,83.43
2008-02-22,50,83.65
2008-02-29,49,81.85
2008-03-07,52,82.81
2008-03-14,48,84.39
2008-03-21,50,
2008-03-28,52,83.36
2008-04-04,49,85.42
2008-04-11,49,83.65
2008-04-18,45,88.98
2008-04-25,50,90.92
2008-05-02,49,90.69
2008-05-09,46,90.92
2008-05-16,44,92.93
2008-05-23,44,90.37
2008-05-30,43,92.15
2008-06-06,44,86.65
2008-06-13,50,86.45
2008-06-20,43,85.50
2008-06-27,45,83.28
2008-07-04,47,
2008-07-11,45,81.05
2008-07-18,47,82.07
2008-07-25,48,89.19
2008-08-01,45,89.58
2008-08-08,41,92.81
2008-08-15,43,93.41
2008-08-22,45,92.00
2008-08-29,46,92.30
2008-09-05,43,85.64
2008-09-12,45,84.93
2008-09-19,46,82.39
2008-09-26,46,74.92
2008-10-03,47,68.20
2008-10-10,42,57.39
2008-10-17,44,57.12
2008-10-24,45,54.70
2008-10-31,43,60.32
2008-11-07,44,61.43
2008-11-14,46,55.51
2008-11-21,43,51.95
2008-11-28,44,51.67
2008-12-05,44,51.50
2008-12-12,45,53.28
2008-12-19,43,55.86
2008-12-26,41,55.91
2009-01-02,41,59.76
2009-01-09,50,57.92
2009-01-16,47,54.59
2009-01-23,49,53.32
2009-01-30,48,56.73
2009-02-06,50,57.21
2009-02-13,51,54.49
2009-02-20,55,50.82
2009-02-27,55,43.82
2009-03-06,52,36.49
2009-03-13,49,37.60
2009-03-20,51,37.65
2009-03-27,49,43.12
2009-04-03,50,42.66
2009-04-10,50,
2009-04-17,50,46.55
2009-04-24,49,49.18
2009-05-01,47,52.38
2009-05-08,48,55.88
2009-05-15,49,55.01
2009-05-22,48,55.70
2009-05-29,53,56.90
2009-06-05,53,60.45
2009-06-12,48,59.76
2009-06-19,63,58.74
2009-06-26,51,55.46
2009-07-03,47,
2009-07-10,51,51.59
2009-07-17,50,53.56
2009-07-24,55,52.49
2009-07-31,51,55.39
2009-08-07,48,57.54
2009-08-14,54,56.24
2009-08-21,54,58.49
2009-08-28,55,59.77
2009-09-04,56,60.48
2009-09-11,55,63.34
2009-09-18,56,64.61
2009-09-25,56,62.99
2009-10-02,57,63.08
2009-10-09,58,66.16
2009-10-16,57,67.75
2009-10-23,60,66.60
2009-10-30,60,62.70
2009-11-06,57,65.58
2009-11-13,58,67.68
2009-11-20,57,66.47
2009-11-27,62,67.08
2009-12-04,61,67.54
2009-12-11,65,69.01
2009-12-18,67,68.24
2009-12-25,66,
2010-01-01,67,
2010-01-08,63,69.44
2010-01-15,61,70.61
2010-01-22,62,67.02
2010-01-29,61,66.85
2010-02-05,64,66.66
2010-02-12,67,67.95
2010-02-19,63,72.61
2010-02-26,67,72.55
2010-03-05,68,73.73
2010-03-12,69,73.76
2010-03-19,71,75.49
2010-03-26,71,76.92
2010-04-02,65,
2010-04-09,70,77.54
2010-04-16,62,76.04
2010-04-23,68,78.60
2010-04-30,67,76.36
2010-05-07,68,70.50
2010-05-14,62,71.71
2010-05-21,65,67.45
2010-05-28,70,67.90
2010-06-04,70,65.18
2010-06-11,66,64.58
2010-06-18,73,66.90
2010-06-25,71,63.22
2010-07-02,72,58.70
2010-07-09,68,60.84
2010-07-16,67,58.90
2010-07-23,61,61.29
2010-07-30,59,61.25
2010-08-06,60,63.78
2010-08-13,60,60.67
2010-08-20,62,60.23
2010-08-27,58,57.37
2010-09-03,59,59.72
2010-09-10,59,61.13
2010-09-17,60,62.69
2010-09-24,60,63.68
2010-10-01,56,62.46
2010-10-08,58,63.37
2010-10-15,58,63.93
2010-10-22,59,64.50
2010-10-29,58,68.12
2010-11-05,52,69.66
2010-11-12,59,66.50
2010-11-19,58,66.60
2010-11-26,58,67.12
2010-12-03,58,67.58
2010-12-10,60,69.56
2010-12-17,69,70.28
2010-12-24,78,
2010-12-31,70,70.96
2011-01-07,77,72.01
2011-01-14,72,72.18
2011-01-21,70,72.97
2011-01-28,69,74.13
2011-02-04,72,75.62
2011-02-11,71,77.45
2011-02-18,69,78.11
2011-02-25,64,75.94
2011-03-04,68,76.32
2011-03-11,64,76.13
2011-03-18,63,74.38
2011-03-25,63,76.51
2011-04-01,62,77.42
2011-04-08,65,74.51
2011-04-15,65,71.88
2011-04-22,64,
2011-04-29,65,72.82
2011-05-06,65,74.44
2011-05-13,65,74.37
2011-05-20,64,73.03
2011-05-27,61,71.26
2011-06-03,64,70.60
2011-06-10,61,69.37
2011-06-17,65,71.67
2011-06-24,61,72.29
2011-07-01,65,75.81
2011-07-08,69,74.66
2011-07-15,65,70.36
2011-07-22,64,70.80
2011-07-29,68,68.14
2011-08-05,65,64.44
2011-08-12,63,61.18
2011-08-19,60,57.47
2011-08-26,59,61.28
2011-09-02,57,60.94
2011-09-09,59,59.00
2011-09-16,67,60.60
2011-09-23,74,55.92
2011-09-30,73,56.89
2011-10-07,77,59.55
2011-10-14,76,62.04
2011-10-21,76,65.32
2011-10-28,73,65.47
2011-11-04,72,63.45
2011-11-11,71,65.72
2011-11-18,70,63.84
2011-11-25,74,61.13
2011-12-02,73,65.72
2011-12-09,72,65.07
2011-12-16,71,63.20
2011-12-23,71,66.36
2011-12-30,75,66.41
2012-01-06,72,67.62
2012-01-13,72,70.60
2012-01-20,73,72.47
2012-01-27,71,70.35
2012-02-03,77,70.51
2012-02-10,79,70.30
2012-02-17,77,70.88
2012-02-24,78,72.40
2012-03-02,74,72.65
2012-03-09,78,71.78
2012-03-16,79,72.90
2012-03-23,84,72.78
2012-03-30,80,73.38
2012-04-06,83,
2012-04-13,81,68.88
2012-04-20,84,69.76
2012-04-27,79,67.58
2012-05-04,82,67.05
2012-05-11,82,66.53
2012-05-18,74,63.34
2012-05-25,81,63.58
2012-06-01,84,62.72
2012-06-08,92,64.06
2012-06-15,93,64.86
2012-06-22,84,63.26
2012-06-29,80,65.96
2012-07-06,81,65.24
2012-07-13,79,64.86
2012-07-20,77,64.97
2012-07-27,80,63.83
2012-08-03,80,63.10
2012-08-10,78,63.58
2012-08-17,80,65.70
2012-08-24,88,66.09
2012-08-31,90,65.51
2012-09-07,85,67.20
2012-09-14,85,66.78
2012-09-21,94,66.15
2012-09-28,83,66.12
2012-10-05,90,67.29
2012-10-12,87,66.10
2012-10-19,88,67.17
2012-10-26,82,67.32
2012-11-02,80,68.81
2012-11-09,80,64.45
2012-11-16,73,62.13
2012-11-23,76,65.41
2012-11-30,74,66.50
2012-12-07,85,67.19
2012-12-14,85,67.49
2012-12-21,82,70.40
2012-12-28,83,67.88
2013-01-04,83,71.07
2013-01-11,79,70.74
2013-01-18,78,70.66
2013-01-25,77,70.96
2013-02-01,78,65.88
2013-02-08,77,66.82
2013-02-15,82,66.40
2013-02-22,79,67.32
2013-03-01,79,67.73
2013-03-08,79,68.89
2013-03-15,78,69.91
2013-03-22,80,69.29
2013-03-29,80,
2013-04-05,85,69.56
2013-04-12,80,70.60
2013-04-19,82,67.00
2013-04-26,84,73.30
2013-05-03,78,75.24
2013-05-10,79,75.70
2013-05-17,78,78.29
2013-05-24,75,77.34
2013-05-31,76,77.10
2013-06-07,74,79.12
2013-06-14,76,78.00
2013-06-21,78,76.20
2013-06-28,75,78.33
2013-07-05,81,79.42
2013-07-12,80,82.60
2013-07-19,77,84.40
2013-07-26,75,85.86
2013-08-02,76,87.49
2013-08-09,73,86.92
2013-08-16,73,83.75
2013-08-23,74,84.61
2013-08-30,74,83.25
2013-09-06,82,84.57
2013-09-13,79,87.13
2013-09-20,77,88.15
2013-09-27,80,88.29
2013-10-04,82,85.91
2013-10-11,82,87.76
2013-10-18,77,88.40
2013-10-25,73,88.26
2013-11-01,71,87.15
2013-11-08,69,87.20
2013-11-15,74,88.71
2013-11-22,75,92.15
2013-11-29,85,91.66
2013-12-06,83,90.79
2013-12-13,75,90.26
2013-12-20,75,93.37
2013-12-27,76,95.00
2014-01-03,74,94.74
2014-01-10,74,95.10
2014-01-17,70,95.47
2014-01-24,74,98.31
2014-01-31,69,101.31
2014-02-07,66,104.19
2014-02-14,69,106.35
2014-02-21,71,107.45
2014-02-28,73,109.54
2014-03-07,72,111.49
2014-03-14,74,107.63
2014-03-21,71,107.08
2014-03-28,76,107.70
2014-04-04,72,108.29
2014-04-11,71,104.99
2014-04-18,73,
2014-04-25,75,109.01
2014-05-02,69,
