Date,LEN,Price
2006-09-29,20,45.25
2006-10-06,20,45.12
2006-10-13,20,46.31
2006-10-20,19,46.12
2006-10-27,20,47.65
2006-11-03,20,46.27
2006-11-10,21,46.22
2006-11-17,20,49.34
2006-11-24,18,50.87
2006-12-01,19,52.52
2006-12-08,20,52.29
2006-12-15,20,53.02
2006-12-22,19,50.69
2006-12-29,20,52.46
2007-01-05,17,49.66
2007-01-12,19,50.15
2007-01-19,17,53.48
2007-01-26,19,51.71
2007-02-02,18,56.11
2007-02-09,19,52.71
2007-02-16,18,52.96
2007-02-23,18,50.97
2007-03-02,18,48.70
2007-03-09,19,48.25
2007-03-16,19,45.18
2007-03-23,18,45.58
2007-03-30,20,42.21
2007-04-06,20,
2007-04-13,20,41.11
2007-04-20,21,44.34
2007-04-27,19,43.14
2007-05-04,20,43.35
2007-05-11,20,42.04
2007-05-18,22,44.52
2007-05-25,24,45.49
2007-06-01,21,45.04
2007-06-08,21,43.16
2007-06-15,20,41.76
2007-06-22,23,39.73
2007-06-29,24,36.56
2007-07-06,23,37.05
2007-07-13,22,36.40
2007-07-20,24,33.21
2007-07-27,22,31.07
2007-08-03,23,31.40
2007-08-10,23,35.45
2007-08-17,23,30.43
2007-08-24,22,29.90
2007-08-31,23,28.27
2007-09-07,22,26.52
2007-09-14,21,25.71
2007-09-21,24,25.32
2007-09-28,23,22.65
2007-10-05,23,24.95
2007-10-12,26,24.20
2007-10-19,27,21.08
2007-10-26,24,24.29
2007-11-02,25,21.17
2007-11-09,26,19.92
2007-11-16,24,19.24
2007-11-23,27,15.59
2007-11-30,30,15.84
2007-12-07,27,18.32
2007-12-14,25,17.14
2007-12-21,25,17.20
2007-12-28,26,17.50
2008-01-04,26,15.81
2008-01-11,25,14.34
2008-01-18,24,12.99
2008-01-25,24,16.98
2008-02-01,25,21.40
2008-02-08,22,19.33
2008-02-15,23,18.59
2008-02-22,24,18.28
2008-02-29,25,18.61
2008-03-07,24,15.71
2008-03-14,25,15.53
2008-03-21,30,
2008-03-28,27,17.94
2008-04-04,26,21.62
2008-04-11,32,18.14
2008-04-18,29,18.68
2008-04-25,27,19.01
2008-05-02,30,19.27
2008-05-09,26,18.41
2008-05-16,29,20.01
2008-05-23,28,16.88
2008-05-30,28,16.88
2008-06-06,29,15.23
2008-06-13,26,15.35
2008-06-20,30,15.23
2008-06-27,35,12.62
2008-07-04,30,
2008-07-11,31,10.31
2008-07-18,31,12.17
2008-07-25,32,11.51
2008-08-01,31,11.85
2008-08-08,32,12.37
2008-08-15,29,11.82
2008-08-22,30,11.83
2008-08-29,29,13.15
2008-09-05,29,13.56
2008-09-12,32,14.36
2008-09-19,33,16.75
2008-09-26,32,15.28
2008-10-03,34,12.08
2008-10-10,34,9.71
2008-10-17,37,8.93
2008-10-24,35,6.52
2008-10-31,37,7.74
2008-11-07,35,7.75
2008-11-14,36,6.30
2008-11-21,36,3.64
2008-11-28,37,7.11
2008-12-05,35,9.06
2008-12-12,38,9.67
2008-12-19,38,9.99
2008-12-26,37,8.58
2009-01-02,39,9.18
2009-01-09,36,9.15
2009-01-16,35,7.85
2009-01-23,32,6.84
2009-01-30,31,7.69
2009-02-06,38,9.30
2009-02-13,38,7.49
2009-02-20,37,5.87
2009-02-27,40,6.68
2009-03-06,40,6.08
2009-03-13,39,8.49
2009-03-20,42,8.11
2009-03-27,40,10.26
2009-04-03,42,7.68
2009-04-10,43,
2009-04-17,44,9.34
2009-04-24,43,9.97
2009-05-01,40,9.46
2009-05-08,45,10.32
2009-05-15,46,8.81
2009-05-22,47,9.43
2009-05-29,47,9.51
2009-06-05,47,8.45
2009-06-12,46,7.98
2009-06-19,45,7.79
2009-06-26,45,9.18
2009-07-03,44,
2009-07-10,48,8.32
2009-07-17,52,9.74
2009-07-24,49,11.11
2009-07-31,51,11.84
2009-08-07,51,13.43
2009-08-14,53,13.41
2009-08-21,51,14.52
2009-08-28,50,15.73
2009-09-04,49,15.10
2009-09-11,50,15.71
2009-09-18,50,16.54
2009-09-25,50,14.59
2009-10-02,51,13.03
2009-10-09,52,14.33
2009-10-16,53,14.65
2009-10-23,53,14.13
2009-10-30,53,12.60
2009-11-06,70,14.14
2009-11-13,56,14.47
2009-11-20,56,13.67
2009-11-27,61,12.86
2009-12-04,56,12.43
2009-12-11,58,11.85
2009-12-18,57,12.45
2009-12-25,65,
2010-01-01,62,
2010-01-08,59,15.95
2010-01-15,57,15.96
2010-01-22,57,14.78
2010-01-29,56,15.36
2010-02-05,54,14.71
2010-02-12,48,16.96
2010-02-19,43,17.31
2010-02-26,55,16.41
2010-03-05,60,17.01
2010-03-12,59,16.33
2010-03-19,66,16.11
2010-03-26,66,18.30
2010-04-02,73,
2010-04-09,73,17.52
2010-04-16,66,17.15
2010-04-23,65,20.53
2010-04-30,68,19.92
2010-05-07,69,17.49
2010-05-14,74,18.41
2010-05-21,71,17.47
2010-05-28,69,17.30
2010-06-04,68,15.47
2010-06-11,68,15.55
2010-06-18,68,14.74
2010-06-25,68,14.68
2010-07-02,69,13.65
2010-07-09,75,14.57
2010-07-16,72,14.05
2010-07-23,66,14.93
2010-07-30,66,14.77
2010-08-06,67,14.39
2010-08-13,71,13.33
2010-08-20,69,12.77
2010-08-27,65,13.47
2010-09-03,65,14.45
2010-09-10,67,14.53
2010-09-17,66,13.99
2010-09-24,67,15.23
2010-10-01,68,15.67
2010-10-08,69,16.12
2010-10-15,70,15.32
2010-10-22,69,14.82
2010-10-29,75,14.51
2010-11-05,74,15.85
2010-11-12,74,16.05
2010-11-19,74,15.57
2010-11-26,75,15.05
2010-12-03,74,17.26
2010-12-10,75,17.69
2010-12-17,72,17.32
2010-12-24,79,
2010-12-31,79,18.75
2011-01-07,72,19.41
2011-01-14,73,20.63
2011-01-21,70,19.47
2011-01-28,64,19.66
2011-02-04,51,19.52
2011-02-11,60,20.91
2011-02-18,82,21.05
2011-02-25,69,20.32
2011-03-04,65,19.79
2011-03-11,68,19.77
2011-03-18,64,19.67
2011-03-25,67,20.03
2011-04-01,70,18.31
2011-04-08,74,18.37
2011-04-15,71,18.44
2011-04-22,72,
2011-04-29,73,18.99
2011-05-06,68,18.53
2011-05-13,72,17.52
2011-05-20,71,17.96
2011-05-27,70,18.90
2011-06-03,73,17.98
2011-06-10,68,16.69
2011-06-17,74,17.46
2011-06-24,79,18.04
2011-07-01,71,18.76
2011-07-08,72,18.85
2011-07-15,71,17.74
2011-07-22,71,18.60
2011-07-29,73,17.69
2011-08-05,73,15.43
2011-08-12,69,14.09
2011-08-19,74,12.72
2011-08-26,71,13.58
2011-09-02,73,13.88
2011-09-09,77,13.48
2011-09-16,81,13.80
2011-09-23,91,13.40
2011-09-30,93,13.54
2011-10-07,100,14.12
2011-10-14,91,15.31
2011-10-21,88,16.73
2011-10-28,93,17.05
2011-11-04,93,17.17
2011-11-11,88,18.11
2011-11-18,90,17.67
2011-11-25,89,16.44
2011-12-02,85,18.41
2011-12-09,88,19.64
2011-12-16,89,18.77
2011-12-23,88,19.37
2011-12-30,90,19.65
2012-01-06,85,20.40
2012-01-13,80,22.01
2012-01-20,73,22.06
2012-01-27,66,22.28
2012-02-03,82,23.34
2012-02-10,87,23.35
2012-02-17,89,23.36
2012-02-24,87,22.38
2012-03-02,93,22.95
2012-03-09,87,25.45
2012-03-16,80,26.57
2012-03-23,78,25.86
2012-03-30,76,27.18
2012-04-06,76,
2012-04-13,77,26.11
2012-04-20,74,25.77
2012-04-27,73,28.41
2012-05-04,73,28.12
2012-05-11,77,28.45
2012-05-18,76,26.18
2012-05-25,77,28.20
2012-06-01,74,25.02
2012-06-08,73,26.55
2012-06-15,73,25.90
2012-06-22,76,26.37
2012-06-29,82,30.91
2012-07-06,80,31.81
2012-07-13,79,31.02
2012-07-20,76,30.84
2012-07-27,80,30.34
2012-08-03,79,30.09
2012-08-10,80,31.20
2012-08-17,82,32.74
2012-08-24,75,32.63
2012-08-31,74,32.43
2012-09-07,76,33.93
2012-09-14,76,36.47
2012-09-21,75,37.51
2012-09-28,77,34.77
2012-10-05,75,37.92
2012-10-12,77,35.76
2012-10-19,78,38.73
2012-10-26,80,37.02
2012-11-02,77,37.31
2012-11-09,78,38.11
2012-11-16,81,36.13
2012-11-23,78,38.68
2012-11-30,84,38.04
2012-12-07,86,36.69
2012-12-14,88,37.31
2012-12-21,90,38.46
2012-12-28,96,37.62
2013-01-04,93,40.23
2013-01-11,87,40.95
2013-01-18,84,42.08
2013-01-25,81,43.07
2013-02-01,74,41.07
2013-02-08,70,39.96
2013-02-15,66,40.20
2013-02-22,74,37.88
2013-03-01,76,38.84
2013-03-08,77,41.72
2013-03-15,77,41.77
2013-03-22,82,42.12
2013-03-29,84,
2013-04-05,78,39.34
2013-04-12,76,40.48
2013-04-19,78,38.17
2013-04-26,77,42.30
2013-05-03,78,42.11
2013-05-10,80,42.68
2013-05-17,74,43.82
2013-05-24,74,42.79
2013-05-31,76,39.32
2013-06-07,73,38.60
2013-06-14,76,39.03
2013-06-21,81,35.25
2013-06-28,91,36.04
2013-07-05,84,33.93
2013-07-12,79,37.05
2013-07-19,83,35.53
2013-07-26,77,33.56
2013-08-02,81,34.71
2013-08-09,79,32.93
2013-08-16,79,33.88
2013-08-23,77,32.60
2013-08-30,77,31.81
2013-09-06,76,32.25
2013-09-13,76,34.48
2013-09-20,76,35.15
2013-09-27,84,35.86
2013-10-04,79,34.69
2013-10-11,82,34.82
2013-10-18,92,35.04
2013-10-25,83,36.99
2013-11-01,85,34.98
2013-11-08,81,32.79
2013-11-15,84,34.17
2013-11-22,85,34.55
2013-11-29,83,35.76
2013-12-06,82,34.54
2013-12-13,82,35.00
2013-12-20,89,37.38
2013-12-27,89,39.55
2014-01-03,85,38.85
2014-01-10,77,39.19
2014-01-17,77,37.48
2014-01-24,75,37.03
2014-01-31,62,40.16
2014-02-07,65,41.77
2014-02-14,73,41.48
2014-02-21,75,41.85
2014-02-28,76,43.88
2014-03-07,80,42.06
2014-03-14,80,40.02
2014-03-21,82,39.57
2014-03-28,86,39.58
2014-04-04,86,40.48
2014-04-11,86,38.73
2014-04-18,86,
2014-04-25,84,38.61
2014-05-02,82,
