Date,PEG,Price
2005-12-30,70,64.97
2006-01-06,78,67.61
2006-01-13,79,68.17
2006-01-20,78,70.47
2006-01-27,78,69.91
2006-02-03,73,67.75
2006-02-10,74,68.17
2006-02-17,69,68.14
2006-02-24,70,69.40
2006-03-03,76,69.53
2006-03-10,74,67.47
2006-03-17,74,67.88
2006-03-24,79,66.31
2006-03-31,74,64.04
2006-04-07,76,62.53
2006-04-14,75,
2006-04-21,73,63.24
2006-04-28,76,62.70
2006-05-05,73,65.31
2006-05-12,78,62.66
2006-05-19,74,61.50
2006-05-26,69,63.73
2006-06-02,68,67.03
2006-06-09,75,66.11
2006-06-16,80,65.34
2006-06-23,73,66.62
2006-06-30,67,66.12
2006-07-07,78,66.64
2006-07-14,74,67.31
2006-07-21,73,68.87
2006-07-28,76,69.05
2006-08-04,75,65.00
2006-08-11,72,67.99
2006-08-18,68,71.31
2006-08-25,76,71.46
2006-09-01,72,68.65
2006-09-08,71,67.46
2006-09-15,76,62.00
2006-09-22,71,60.95
2006-09-29,76,61.19
2006-10-06,67,59.68
2006-10-13,67,60.70
2006-10-20,70,61.09
2006-10-27,68,60.85
2006-11-03,68,61.30
2006-11-10,70,63.44
2006-11-17,70,65.25
2006-11-24,67,65.39
2006-12-01,76,67.20
2006-12-08,72,66.12
2006-12-15,68,67.30
2006-12-22,67,66.42
2006-12-29,69,66.38
2007-01-05,69,64.96
2007-01-12,75,65.46
2007-01-19,71,66.00
2007-01-26,74,67.40
2007-02-02,73,68.13
2007-02-09,68,71.09
2007-02-16,69,73.69
2007-02-23,70,75.15
2007-03-02,67,73.87
2007-03-09,72,75.00
2007-03-16,68,77.56
2007-03-23,74,81.34
2007-03-30,67,83.04
2007-04-06,69,
2007-04-13,71,86.76
2007-04-20,72,88.98
2007-04-27,69,87.43
2007-05-04,67,89.75
2007-05-11,71,89.97
2007-05-18,72,92.17
2007-05-25,68,86.39
2007-06-01,66,88.81
2007-06-08,73,83.29
2007-06-15,72,88.83
2007-06-22,68,84.59
2007-06-29,71,87.78
2007-07-06,69,90.38
2007-07-13,72,92.50
2007-07-20,68,90.41
2007-07-27,66,81.42
2007-08-03,68,82.39
2007-08-10,70,82.59
2007-08-17,66,84.00
2007-08-24,72,87.65
2007-08-31,69,84.99
2007-09-07,65,83.31
2007-09-14,67,85.93
2007-09-21,69,89.03
2007-09-28,71,87.99
2007-10-05,67,89.69
2007-10-12,70,91.03
2007-10-19,68,88.38
2007-10-26,71,92.80
2007-11-02,67,94.40
2007-11-09,66,92.72
2007-11-16,68,92.36
2007-11-23,70,92.20
2007-11-30,72,95.74
2007-12-07,65,99.09
2007-12-14,63,96.41
2007-12-21,59,97.28
2007-12-28,56,98.13
2008-01-04,68,97.91
2008-01-11,73,99.85
2008-01-18,71,94.44
2008-01-25,66,90.87
2008-02-01,72,95.85
2008-02-08,71,45.65
2008-02-15,70,46.84
2008-02-22,73,45.97
2008-02-29,71,44.10
2008-03-07,70,44.94
2008-03-14,66,44.15
2008-03-21,71,
2008-03-28,67,39.61
2008-04-04,71,42.00
2008-04-11,72,42.15
2008-04-18,73,44.18
2008-04-25,70,43.75
2008-05-02,70,44.84
2008-05-09,66,42.23
2008-05-16,66,42.50
2008-05-23,66,43.14
2008-05-30,65,44.26
2008-06-06,62,44.40
2008-06-13,66,46.61
2008-06-20,67,45.78
2008-06-27,64,44.58
2008-07-04,67,
2008-07-11,68,44.71
2008-07-18,67,42.45
2008-07-25,68,41.32
2008-08-01,72,40.28
2008-08-08,67,40.44
2008-08-15,68,39.15
2008-08-22,67,40.50
2008-08-29,66,40.77
2008-09-05,65,37.33
2008-09-12,66,37.52
2008-09-19,63,35.64
2008-09-26,66,34.76
2008-10-03,64,32.57
2008-10-10,67,24.99
2008-10-17,65,27.06
2008-10-24,66,27.64
2008-10-31,64,28.15
2008-11-07,65,27.52
2008-11-14,66,28.60
2008-11-21,65,29.64
2008-11-28,60,30.90
2008-12-05,64,28.54
2008-12-12,62,29.42
2008-12-19,58,28.71
2008-12-26,49,28.36
2009-01-02,59,30.05
2009-01-09,63,30.56
2009-01-16,64,30.97
2009-01-23,62,31.01
2009-01-30,65,31.57
2009-02-06,60,32.68
2009-02-13,60,30.97
2009-02-20,63,28.52
2009-02-27,61,27.29
2009-03-06,64,24.57
2009-03-13,68,24.85
2009-03-20,69,27.62
2009-03-27,65,29.00
2009-04-03,63,31.02
2009-04-10,67,
2009-04-17,65,29.54
2009-04-24,65,28.09
2009-05-01,64,31.15
2009-05-08,66,31.99
2009-05-15,66,31.69
2009-05-22,63,31.62
2009-05-29,63,31.87
2009-06-05,64,32.39
2009-06-12,65,32.54
2009-06-19,64,31.94
2009-06-26,62,32.23
2009-07-03,58,
2009-07-10,66,30.99
2009-07-17,63,32.11
2009-07-24,62,33.86
2009-07-31,63,32.45
2009-08-07,64,31.67
2009-08-14,63,32.12
2009-08-21,64,32.87
2009-08-28,62,32.12
2009-09-04,60,30.54
2009-09-11,61,30.88
2009-09-18,61,31.99
2009-09-25,63,31.29
2009-10-02,60,30.35
2009-10-09,65,31.35
2009-10-16,62,31.14
2009-10-23,60,30.31
2009-10-30,58,29.80
2009-11-06,60,30.58
2009-11-13,59,31.37
2009-11-20,61,31.05
2009-11-27,59,30.90
2009-12-04,57,32.19
2009-12-11,58,33.43
2009-12-18,54,33.41
2009-12-25,46,
2010-01-01,52,
2010-01-08,57,32.88
2010-01-15,62,32.62
2010-01-22,59,31.24
2010-01-29,58,30.59
2010-02-05,58,29.52
2010-02-12,56,30.17
2010-02-19,59,31.18
2010-02-26,58,29.72
2010-03-05,60,31.20
2010-03-12,60,30.57
2010-03-19,61,30.92
2010-03-26,63,29.11
2010-04-02,59,
2010-04-09,61,30.69
2010-04-16,63,30.25
2010-04-23,62,31.55
2010-04-30,63,32.13
2010-05-07,60,30.70
2010-05-14,59,31.81
2010-05-21,61,30.26
2010-05-28,59,30.63
2010-06-04,58,30.67
2010-06-11,57,32.11
2010-06-18,57,33.62
2010-06-25,59,32.40
2010-07-02,55,31.38
2010-07-09,55,33.34
2010-07-16,58,32.97
2010-07-23,60,33.77
2010-07-30,61,32.90
2010-08-06,57,32.74
2010-08-13,57,31.71
2010-08-20,60,31.73
2010-08-27,60,32.07
2010-09-03,54,32.93
2010-09-10,58,31.92
2010-09-17,57,31.86
2010-09-24,57,32.87
2010-10-01,56,33.08
2010-10-08,56,33.51
2010-10-15,58,33.25
2010-10-22,59,33.25
2010-10-29,59,32.34
2010-11-05,57,33.02
2010-11-12,56,31.66
2010-11-19,58,30.76
2010-11-26,55,30.63
2010-12-03,56,31.74
2010-12-10,55,31.12
2010-12-17,53,31.64
2010-12-24,46,
2010-12-31,47,31.81
2011-01-07,58,31.59
2011-01-14,58,31.62
2011-01-21,59,32.46
2011-01-28,58,32.43
2011-02-04,55,32.22
2011-02-11,58,32.87
2011-02-18,58,31.74
2011-02-25,56,32.42
2011-03-04,57,31.61
2011-03-11,56,32.38
2011-03-18,58,30.43
2011-03-25,58,31.09
2011-04-01,61,31.50
2011-04-08,60,31.22
2011-04-15,59,31.20
2011-04-22,60,
2011-04-29,59,32.17
2011-05-06,57,32.30
2011-05-13,61,33.45
2011-05-20,60,34.11
2011-05-27,58,33.34
2011-06-03,57,32.48
2011-06-10,58,31.75
2011-06-17,59,31.56
2011-06-24,60,31.08
2011-07-01,55,32.93
2011-07-08,55,32.54
2011-07-15,60,31.84
2011-07-22,57,32.81
2011-07-29,57,32.75
2011-08-05,56,30.33
2011-08-12,56,31.07
2011-08-19,55,31.62
2011-08-26,54,33.00
2011-09-02,52,33.08
2011-09-09,55,32.28
2011-09-16,56,34.47
2011-09-23,54,33.61
2011-09-30,56,33.37
2011-10-07,57,32.32
2011-10-14,60,33.06
2011-10-21,60,34.17
2011-10-28,57,33.99
2011-11-04,54,33.88
2011-11-11,59,34.03
2011-11-18,59,32.69
2011-11-25,55,31.21
2011-12-02,58,32.31
2011-12-09,54,31.71
2011-12-16,54,31.29
2011-12-23,48,32.54
2011-12-30,50,33.01
2012-01-06,52,31.87
2012-01-13,57,30.90
2012-01-20,54,30.20
2012-01-27,57,30.33
2012-02-03,54,30.27
2012-02-10,57,30.51
2012-02-17,55,31.33
2012-02-24,58,30.43
2012-03-02,59,31.03
2012-03-09,57,30.29
2012-03-16,57,30.12
2012-03-23,57,29.67
2012-03-30,59,30.61
2012-04-06,57,
2012-04-13,59,29.69
2012-04-20,57,30.41
2012-04-27,57,31.19
2012-05-04,58,31.64
2012-05-11,58,32.02
2012-05-18,56,31.68
2012-05-25,56,30.47
2012-06-01,54,31.20
2012-06-08,52,31.93
2012-06-15,53,32.33
2012-06-22,54,31.65
2012-06-29,52,32.50
2012-07-06,54,32.19
2012-07-13,56,32.71
2012-07-20,55,32.84
2012-07-27,61,33.75
2012-08-03,59,32.64
2012-08-10,52,32.80
2012-08-17,54,32.67
2012-08-24,56,32.13
2012-08-31,58,31.66
2012-09-07,57,31.66
2012-09-14,58,31.86
2012-09-21,57,31.70
2012-09-28,55,32.18
2012-10-05,56,32.33
2012-10-12,55,32.49
2012-10-19,56,32.71
2012-10-26,56,31.74
2012-11-02,51,31.08
2012-11-09,57,29.90
2012-11-16,59,29.45
2012-11-23,57,29.24
2012-11-30,55,30.09
2012-12-07,53,30.06
2012-12-14,50,30.06
2012-12-21,45,30.74
2012-12-28,46,29.94
2013-01-04,51,31.06
2013-01-11,54,30.12
2013-01-18,52,29.83
2013-01-25,52,30.53
2013-02-01,54,31.17
2013-02-08,54,31.43
2013-02-15,51,31.09
2013-02-22,53,32.16
2013-03-01,53,32.85
2013-03-08,54,32.69
2013-03-15,55,33.28
2013-03-22,55,33.41
2013-03-29,54,
2013-04-05,55,34.51
2013-04-12,57,35.06
2013-04-19,55,35.90
2013-04-26,59,36.12
2013-05-03,57,36.29
2013-05-10,56,34.81
2013-05-17,55,35.07
2013-05-24,57,33.89
2013-05-31,56,33.04
2013-06-07,54,32.68
2013-06-14,54,32.63
2013-06-21,52,31.67
2013-06-28,53,32.66
2013-07-05,53,31.66
2013-07-12,55,33.16
2013-07-19,55,34.22
2013-07-26,55,34.32
2013-08-02,54,34.53
2013-08-09,53,33.92
2013-08-16,52,32.58
2013-08-23,53,32.76
2013-08-30,53,32.42
2013-09-06,53,32.16
2013-09-13,54,32.33
2013-09-20,53,33.25
2013-09-27,58,33.02
2013-10-04,57,32.92
2013-10-11,58,33.91
2013-10-18,58,33.91
2013-10-25,61,34.32
2013-11-01,60,33.82
2013-11-08,58,33.51
2013-11-15,59,34.08
2013-11-22,60,33.61
2013-11-29,58,32.69
2013-12-06,56,32.56
2013-12-13,54,31.86
2013-12-20,51,31.75
2013-12-27,46,31.92
2014-01-03,51,31.43
2014-01-10,54,31.88
2014-01-17,55,31.78
2014-01-24,54,33.02
2014-01-31,54,33.34
2014-02-07,53,33.95
2014-02-14,53,34.70
2014-02-21,54,36.58
2014-02-28,55,36.66
2014-03-07,55,35.44
2014-03-14,56,36.65
2014-03-21,55,36.90
2014-03-28,57,37.37
2014-04-04,57,38.47
2014-04-11,56,38.81
2014-04-18,55,
2014-04-25,55,40.24
2014-05-02,56,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
