Date,WDC,Price
2007-02-23,42,20.15
2007-03-02,54,18.54
2007-03-09,52,18.18
2007-03-16,46,17.64
2007-03-23,45,17.63
2007-03-30,49,16.81
2007-04-06,42,
2007-04-13,43,17.19
2007-04-20,49,17.37
2007-04-27,48,17.56
2007-05-04,50,18.15
2007-05-11,50,18.40
2007-05-18,51,17.81
2007-05-25,49,17.47
2007-06-01,41,19.06
2007-06-08,51,19.52
2007-06-15,55,19.78
2007-06-22,44,19.31
2007-06-29,37,19.35
2007-07-06,42,21.11
2007-07-13,50,21.28
2007-07-20,48,22.83
2007-07-27,54,21.00
2007-08-03,45,21.07
2007-08-10,41,20.33
2007-08-17,53,20.45
2007-08-24,42,21.91
2007-08-31,45,23.36
2007-09-07,49,22.37
2007-09-14,48,22.37
2007-09-21,52,24.32
2007-09-28,45,25.32
2007-10-05,50,25.40
2007-10-12,44,25.46
2007-10-19,48,24.96
2007-10-26,37,24.52
2007-11-02,53,28.91
2007-11-09,52,26.37
2007-11-16,48,26.57
2007-11-23,47,25.39
2007-11-30,45,27.63
2007-12-07,50,31.47
2007-12-14,45,29.75
2007-12-21,50,29.71
2007-12-28,58,29.95
2008-01-04,57,25.63
2008-01-11,54,23.98
2008-01-18,51,23.61
2008-01-25,52,26.09
2008-02-01,52,27.95
2008-02-08,52,28.20
2008-02-15,49,28.89
2008-02-22,55,31.23
2008-02-29,53,30.87
2008-03-07,54,30.28
2008-03-14,51,31.27
2008-03-21,55,
2008-03-28,48,26.69
2008-04-04,47,28.37
2008-04-11,47,27.66
2008-04-18,51,29.30
2008-04-25,46,28.41
2008-05-02,49,29.45
2008-05-09,45,30.39
2008-05-16,49,35.41
2008-05-23,46,35.23
2008-05-30,51,37.53
2008-06-06,50,38.93
2008-06-13,59,37.45
2008-06-20,48,37.52
2008-06-27,45,34.87
2008-07-04,50,
2008-07-11,43,33.06
2008-07-18,47,32.43
2008-07-25,47,30.94
2008-08-01,47,28.59
2008-08-08,41,29.09
2008-08-15,52,29.46
2008-08-22,46,28.88
2008-08-29,48,27.26
2008-09-05,49,25.77
2008-09-12,47,24.07
2008-09-19,49,23.90
2008-09-26,46,21.64
2008-10-03,49,18.80
2008-10-10,44,14.35
2008-10-17,47,14.87
2008-10-24,43,14.70
2008-10-31,43,16.47
2008-11-07,50,15.83
2008-11-14,50,13.45
2008-11-21,41,10.38
2008-11-28,38,12.20
2008-12-05,47,12.02
2008-12-12,53,12.52
2008-12-19,49,12.39
2008-12-26,58,11.34
2009-01-02,55,12.33
2009-01-09,56,14.00
2009-01-16,54,13.31
2009-01-23,56,13.00
2009-01-30,54,14.68
2009-02-06,50,17.91
2009-02-13,48,16.68
2009-02-20,48,14.55
2009-02-27,48,13.66
2009-03-06,52,14.55
2009-03-13,46,17.21
2009-03-20,53,17.29
2009-03-27,52,19.50
2009-04-03,56,21.30
2009-04-10,51,
2009-04-17,53,22.42
2009-04-24,49,21.16
2009-05-01,45,23.39
2009-05-08,48,23.71
2009-05-15,52,23.16
2009-05-22,48,24.48
2009-05-29,51,24.85
2009-06-05,56,23.68
2009-06-12,63,25.14
2009-06-19,44,25.42
2009-06-26,46,26.75
2009-07-03,47,
2009-07-10,43,25.37
2009-07-17,47,29.24
2009-07-24,56,30.40
2009-07-31,47,30.25
2009-08-07,44,31.98
2009-08-14,49,31.20
2009-08-21,50,32.85
2009-08-28,51,34.35
2009-09-04,45,33.93
2009-09-11,44,35.08
2009-09-18,53,36.22
2009-09-25,53,35.19
2009-10-02,42,35.33
2009-10-09,48,37.23
2009-10-16,50,35.85
2009-10-23,54,35.44
2009-10-30,48,33.68
2009-11-06,49,36.44
2009-11-13,51,38.50
2009-11-20,48,37.05
2009-11-27,52,37.50
2009-12-04,47,39.48
2009-12-11,48,39.00
2009-12-18,43,42.79
2009-12-25,53,
2010-01-01,55,
2010-01-08,53,45.82
2010-01-15,51,43.98
2010-01-22,50,40.74
2010-01-29,57,37.99
2010-02-05,49,39.43
2010-02-12,47,39.85
2010-02-19,48,43.15
2010-02-26,51,38.63
2010-03-05,52,39.25
2010-03-12,51,38.38
2010-03-19,47,38.14
2010-03-26,45,39.55
2010-04-02,49,
2010-04-09,48,41.39
2010-04-16,48,40.44
2010-04-23,43,44.71
2010-04-30,42,41.09
2010-05-07,48,38.34
2010-05-14,43,38.56
2010-05-21,49,36.01
2010-05-28,45,34.81
2010-06-04,44,34.42
2010-06-11,61,34.35
2010-06-18,49,35.01
2010-06-25,42,31.78
2010-07-02,45,30.20
2010-07-09,42,31.59
2010-07-16,47,31.45
2010-07-23,50,28.02
2010-07-30,51,26.39
2010-08-06,52,26.19
2010-08-13,49,24.46
2010-08-20,60,24.66
2010-08-27,49,25.23
2010-09-03,52,26.59
2010-09-10,50,25.65
2010-09-17,49,26.53
2010-09-24,46,28.20
2010-10-01,57,28.25
2010-10-08,50,28.90
2010-10-15,53,31.89
2010-10-22,53,30.43
2010-10-29,51,32.01
2010-11-05,53,34.76
2010-11-12,100,32.58
2010-11-19,77,33.98
2010-11-26,54,33.76
2010-12-03,52,34.67
2010-12-10,49,35.68
2010-12-17,57,32.97
2010-12-24,54,
2010-12-31,63,33.90
2011-01-07,55,33.03
2011-01-14,53,33.44
2011-01-21,51,31.51
2011-01-28,49,33.94
2011-02-04,51,36.21
2011-02-11,48,34.42
2011-02-18,46,33.24
2011-02-25,49,31.19
2011-03-04,50,30.01
2011-03-11,50,34.40
2011-03-18,43,33.89
2011-03-25,46,37.39
2011-04-01,49,38.18
2011-04-08,52,38.80
2011-04-15,46,38.74
2011-04-22,54,
2011-04-29,47,39.80
2011-05-06,45,38.08
2011-05-13,44,37.49
2011-05-20,43,36.14
2011-05-27,51,35.72
2011-06-03,45,34.96
2011-06-10,55,33.96
2011-06-17,44,33.47
2011-06-24,44,35.18
2011-07-01,42,36.64
2011-07-08,39,38.52
2011-07-15,42,37.27
2011-07-22,45,38.04
2011-07-29,44,34.46
2011-08-05,46,30.54
2011-08-12,45,30.70
2011-08-19,43,26.41
2011-08-26,45,28.29
2011-09-02,43,27.44
2011-09-09,47,28.46
2011-09-16,50,30.07
2011-09-23,51,26.44
2011-09-30,44,25.72
2011-10-07,41,26.94
2011-10-14,51,28.34
2011-10-21,49,25.97
2011-10-28,43,27.30
2011-11-04,44,27.95
2011-11-11,57,26.62
2011-11-18,56,26.04
2011-11-25,41,25.00
2011-12-02,47,31.44
2011-12-09,45,32.38
2011-12-16,39,30.95
2011-12-23,40,32.14
2011-12-30,47,30.95
2012-01-06,47,33.49
2012-01-13,45,33.35
2012-01-20,40,34.65
2012-01-27,41,37.05
2012-02-03,49,38.58
2012-02-10,39,38.57
2012-02-17,41,40.45
2012-02-24,41,39.78
2012-03-02,46,38.93
2012-03-09,40,40.32
2012-03-16,42,38.26
2012-03-23,43,42.44
2012-03-30,38,41.39
2012-04-06,37,
2012-04-13,36,39.02
2012-04-20,38,41.44
2012-04-27,42,37.93
2012-05-04,38,38.88
2012-05-11,41,40.30
2012-05-18,40,34.66
2012-05-25,39,34.21
2012-06-01,43,30.11
2012-06-08,43,31.23
2012-06-15,51,30.69
2012-06-22,39,29.70
2012-06-29,37,30.48
2012-07-06,37,31.02
2012-07-13,36,31.58
2012-07-20,39,32.07
2012-07-27,37,39.92
2012-08-03,35,41.00
2012-08-10,33,43.99
2012-08-17,40,45.48
2012-08-24,39,43.63
2012-08-31,37,41.82
2012-09-07,37,41.86
2012-09-14,44,41.06
2012-09-21,36,40.16
2012-09-28,37,38.73
2012-10-05,35,37.99
2012-10-12,35,36.02
2012-10-19,35,34.88
2012-10-26,41,34.12
2012-11-02,35,35.20
2012-11-09,36,35.11
2012-11-16,33,34.58
2012-11-23,38,35.09
2012-11-30,37,33.43
2012-12-07,38,37.60
2012-12-14,38,37.78
2012-12-21,35,42.09
2012-12-28,36,41.46
2013-01-04,37,42.88
2013-01-11,42,43.98
2013-01-18,36,44.81
2013-01-25,38,48.08
2013-02-01,36,46.77
2013-02-08,39,48.49
2013-02-15,34,48.59
2013-02-22,35,45.90
2013-03-01,36,48.18
2013-03-08,38,47.66
2013-03-15,36,50.16
2013-03-22,35,47.93
2013-03-29,32,
2013-04-05,34,49.80
2013-04-12,32,52.32
2013-04-19,30,49.93
2013-04-26,34,53.29
2013-05-03,32,57.15
2013-05-10,33,58.47
2013-05-17,32,60.46
2013-05-24,35,62.30
2013-05-31,33,63.32
2013-06-07,35,64.15
2013-06-14,44,63.88
2013-06-21,33,60.19
2013-06-28,33,62.09
2013-07-05,28,64.51
2013-07-12,33,67.86
2013-07-19,35,69.79
2013-07-26,36,62.63
2013-08-02,31,65.16
2013-08-09,29,67.50
2013-08-16,31,64.60
2013-08-23,31,65.43
2013-08-30,30,62.00
2013-09-06,30,64.99
2013-09-13,34,64.36
2013-09-20,32,63.68
2013-09-27,31,63.32
2013-10-04,30,65.03
2013-10-11,31,66.73
2013-10-18,34,71.76
2013-10-25,32,72.63
2013-11-01,33,69.85
2013-11-08,34,71.67
2013-11-15,33,75.55
2013-11-22,35,75.13
2013-11-29,34,75.04
2013-12-06,43,78.91
2013-12-13,39,79.05
2013-12-20,37,82.68
2013-12-27,35,82.82
2014-01-03,37,83.28
2014-01-10,36,85.46
2014-01-17,40,88.82
2014-01-24,37,85.00
2014-01-31,34,86.17
2014-02-07,30,84.68
2014-02-14,34,86.71
2014-02-21,33,88.01
2014-02-28,30,86.99
2014-03-07,31,84.25
2014-03-14,29,85.02
2014-03-21,30,88.62
2014-03-28,30,89.41
2014-04-04,29,90.50
2014-04-11,30,88.21
2014-04-18,30,
2014-04-25,32,87.77
2014-05-02,27,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
