Date,FLS,Price
2006-09-22,40,47.84
2006-09-29,32,50.59
2006-10-06,29,49.70
2006-10-13,32,55.23
2006-10-20,41,53.51
2006-10-27,48,52.96
2006-11-03,35,53.42
2006-11-10,36,52.95
2006-11-17,34,54.50
2006-11-24,34,54.07
2006-12-01,37,53.51
2006-12-08,32,53.28
2006-12-15,31,51.40
2006-12-22,34,49.83
2006-12-29,17,50.47
2007-01-05,32,50.05
2007-01-12,32,50.78
2007-01-19,33,50.92
2007-01-26,36,50.68
2007-02-02,42,54.39
2007-02-09,33,52.29
2007-02-16,37,52.13
2007-02-23,35,52.35
2007-03-02,35,50.85
2007-03-09,32,56.96
2007-03-16,38,56.98
2007-03-23,40,58.31
2007-03-30,33,57.19
2007-04-06,25,
2007-04-13,37,59.55
2007-04-20,47,59.92
2007-04-27,35,61.06
2007-05-04,35,62.23
2007-05-11,42,66.22
2007-05-18,30,67.11
2007-05-25,28,67.77
2007-06-01,28,70.10
2007-06-08,33,67.31
2007-06-15,43,72.37
2007-06-22,46,70.97
2007-06-29,36,71.60
2007-07-06,28,74.17
2007-07-13,26,75.57
2007-07-20,34,76.53
2007-07-27,36,72.24
2007-08-03,30,68.91
2007-08-10,34,73.47
2007-08-17,30,65.75
2007-08-24,34,70.21
2007-08-31,34,71.41
2007-09-07,41,69.84
2007-09-14,35,72.93
2007-09-21,38,76.43
2007-09-28,42,76.18
2007-10-05,30,78.80
2007-10-12,38,79.23
2007-10-19,38,80.57
2007-10-26,36,77.47
2007-11-02,33,88.33
2007-11-09,46,91.26
2007-11-16,35,90.51
2007-11-23,49,93.04
2007-11-30,43,94.09
2007-12-07,51,95.90
2007-12-14,33,99.66
2007-12-21,31,98.69
2007-12-28,29,98.22
2008-01-04,32,93.20
2008-01-11,41,90.65
2008-01-18,41,81.18
2008-01-25,44,82.39
2008-02-01,38,96.40
2008-02-08,53,94.57
2008-02-15,38,96.17
2008-02-22,39,102.97
2008-02-29,51,108.90
2008-03-07,41,100.64
2008-03-14,39,96.19
2008-03-21,38,
2008-03-28,36,103.53
2008-04-04,44,110.72
2008-04-11,40,106.42
2008-04-18,41,113.72
2008-04-25,34,111.51
2008-05-02,41,122.62
2008-05-09,38,121.26
2008-05-16,40,128.82
2008-05-23,38,130.11
2008-05-30,41,138.52
2008-06-06,32,134.34
2008-06-13,38,134.73
2008-06-20,33,133.30
2008-06-27,40,138.14
2008-07-04,35,
2008-07-11,36,132.34
2008-07-18,35,133.53
2008-07-25,40,125.83
2008-08-01,30,129.82
2008-08-08,33,119.88
2008-08-15,34,127.38
2008-08-22,36,133.64
2008-08-29,35,132.12
2008-09-05,41,113.65
2008-09-12,36,106.08
2008-09-19,41,100.72
2008-09-26,40,89.37
2008-10-03,39,72.20
2008-10-10,37,56.32
2008-10-17,37,65.81
2008-10-24,47,44.63
2008-10-31,42,56.92
2008-11-07,37,52.99
2008-11-14,30,48.39
2008-11-21,39,40.56
2008-11-28,32,50.33
2008-12-05,35,43.13
2008-12-12,30,52.03
2008-12-19,40,52.05
2008-12-26,31,50.73
2009-01-02,28,54.97
2009-01-09,35,55.72
2009-01-16,41,50.51
2009-01-23,35,47.93
2009-01-30,38,53.31
2009-02-06,42,56.52
2009-02-13,39,53.70
2009-02-20,36,47.96
2009-02-27,38,50.47
2009-03-06,32,44.58
2009-03-13,41,53.05
2009-03-20,37,55.13
2009-03-27,44,57.43
2009-04-03,38,63.86
2009-04-10,32,
2009-04-17,31,60.70
2009-04-24,39,63.29
2009-05-01,38,69.81
2009-05-08,33,74.38
2009-05-15,36,67.25
2009-05-22,39,68.39
2009-05-29,34,73.57
2009-06-05,38,82.14
2009-06-12,38,84.41
2009-06-19,39,75.61
2009-06-26,43,71.50
2009-07-03,40,
2009-07-10,37,63.03
2009-07-17,40,68.04
2009-07-24,33,74.65
2009-07-31,37,80.77
2009-08-07,36,87.89
2009-08-14,31,86.64
2009-08-21,38,91.12
2009-08-28,34,89.40
2009-09-04,31,89.60
2009-09-11,35,95.17
2009-09-18,36,97.82
2009-09-25,40,98.82
2009-10-02,34,95.20
2009-10-09,28,100.77
2009-10-16,32,105.01
2009-10-23,38,105.15
2009-10-30,34,98.21
2009-11-06,34,99.43
2009-11-13,36,104.08
2009-11-20,36,101.57
2009-11-27,37,100.20
2009-12-04,35,99.33
2009-12-11,29,95.87
2009-12-18,35,97.30
2009-12-25,24,
2010-01-01,24,
2010-01-08,33,107.88
2010-01-15,39,104.72
2010-01-22,32,100.02
2010-01-29,35,90.17
2010-02-05,36,92.11
2010-02-12,32,94.36
2010-02-19,33,98.91
2010-02-26,37,100.09
2010-03-05,37,107.44
2010-03-12,35,105.12
2010-03-19,32,104.56
2010-03-26,30,109.33
2010-04-02,31,
2010-04-09,32,115.07
2010-04-16,31,115.14
2010-04-23,29,116.38
2010-04-30,36,114.58
2010-05-07,34,103.50
2010-05-14,29,107.24
2010-05-21,37,95.42
2010-05-28,27,95.10
2010-06-04,30,88.20
2010-06-11,32,90.39
2010-06-18,35,94.61
2010-06-25,30,90.90
2010-07-02,30,85.83
2010-07-09,29,92.69
2010-07-16,30,88.76
2010-07-23,28,95.85
2010-07-30,30,99.16
2010-08-06,28,102.50
2010-08-13,30,96.22
2010-08-20,31,95.29
2010-08-27,31,92.19
2010-09-03,32,98.49
2010-09-10,30,102.25
2010-09-17,33,103.93
2010-09-24,39,107.14
2010-10-01,30,110.57
2010-10-08,28,113.49
2010-10-15,33,113.75
2010-10-22,35,114.18
2010-10-29,33,100.00
2010-11-05,30,104.18
2010-11-12,31,106.00
2010-11-19,32,107.67
2010-11-26,30,107.13
2010-12-03,28,111.32
2010-12-10,34,116.07
2010-12-17,33,116.12
2010-12-24,33,
2010-12-31,24,119.22
2011-01-07,32,116.10
2011-01-14,33,117.60
2011-01-21,32,115.42
2011-01-28,37,122.97
2011-02-04,37,130.48
2011-02-11,35,132.03
2011-02-18,35,130.33
2011-02-25,33,125.30
2011-03-04,37,128.40
2011-03-11,32,122.82
2011-03-18,33,122.31
2011-03-25,28,125.51
2011-04-01,36,132.04
2011-04-08,33,134.99
2011-04-15,29,127.70
2011-04-22,30,
2011-04-29,33,126.62
2011-05-06,31,122.55
2011-05-13,38,120.67
2011-05-20,34,119.51
2011-05-27,35,120.28
2011-06-03,32,113.22
2011-06-10,30,106.34
2011-06-17,29,105.69
2011-06-24,32,104.18
2011-07-01,34,110.97
2011-07-08,31,109.02
2011-07-15,31,105.33
2011-07-22,28,111.05
2011-07-29,30,99.38
2011-08-05,29,88.61
2011-08-12,33,90.51
2011-08-19,33,80.96
2011-08-26,31,86.47
2011-09-02,31,89.11
2011-09-09,34,85.65
2011-09-16,36,88.75
2011-09-23,37,74.64
2011-09-30,34,74.00
2011-10-07,34,79.13
2011-10-14,32,84.21
2011-10-21,32,84.37
2011-10-28,36,97.02
2011-11-04,35,99.80
2011-11-11,34,99.37
2011-11-18,33,96.95
2011-11-25,40,90.10
2011-12-02,35,102.01
2011-12-09,30,103.51
2011-12-16,28,97.54
2011-12-23,34,101.88
2011-12-30,24,99.32
2012-01-06,29,102.49
2012-01-13,32,105.60
2012-01-20,37,107.18
2012-01-27,40,109.12
2012-02-03,37,114.43
2012-02-10,36,115.35
2012-02-17,34,118.56
2012-02-24,34,119.29
2012-03-02,39,116.50
2012-03-09,36,116.53
2012-03-16,34,117.17
2012-03-23,33,113.45
2012-03-30,43,115.51
2012-04-06,29,
2012-04-13,28,111.26
2012-04-20,35,111.52
2012-04-27,36,115.88
2012-05-04,30,112.32
2012-05-11,33,112.95
2012-05-18,31,101.59
2012-05-25,31,105.93
2012-06-01,34,100.44
2012-06-08,29,105.11
2012-06-15,32,108.45
2012-06-22,30,107.53
2012-06-29,28,114.75
2012-07-06,28,116.26
2012-07-13,30,110.71
2012-07-20,27,112.47
2012-07-27,26,116.11
2012-08-03,27,123.95
2012-08-10,30,128.03
2012-08-17,28,128.58
2012-08-24,31,127.77
2012-08-31,31,127.66
2012-09-07,33,131.29
2012-09-14,33,134.81
2012-09-21,33,132.02
2012-09-28,35,127.74
2012-10-05,30,130.39
2012-10-12,31,128.31
2012-10-19,27,132.84
2012-10-26,31,130.93
2012-11-02,28,136.90
2012-11-09,33,135.27
2012-11-16,33,134.76
2012-11-23,27,139.45
2012-11-30,29,138.55
2012-12-07,31,141.90
2012-12-14,28,142.16
2012-12-21,26,144.25
2012-12-28,22,142.86
2013-01-04,23,153.54
2013-01-11,32,155.63
2013-01-18,30,157.31
2013-01-25,31,154.47
2013-02-01,33,156.02
2013-02-08,28,157.74
2013-02-15,30,159.95
2013-02-22,28,161.30
2013-03-01,27,161.55
2013-03-08,33,164.74
2013-03-15,31,167.75
2013-03-22,34,165.72
2013-03-29,26,
2013-04-05,27,160.12
2013-04-12,34,161.55
2013-04-19,32,152.83
2013-04-26,33,157.73
2013-05-03,32,158.67
2013-05-10,32,162.24
2013-05-17,33,169.90
2013-05-24,30,166.84
2013-05-31,28,168.13
2013-06-07,31,168.07
2013-06-14,33,165.65
2013-06-21,32,159.31
2013-06-28,27,54.01
2013-07-05,28,55.36
2013-07-12,27,55.51
2013-07-19,25,57.35
2013-07-26,31,56.82
2013-08-02,25,57.26
2013-08-09,26,56.75
2013-08-16,24,56.60
2013-08-23,27,57.33
2013-08-30,27,55.79
2013-09-06,32,59.07
2013-09-13,28,61.00
2013-09-20,31,63.07
2013-09-27,31,62.16
2013-10-04,31,61.71
2013-10-11,28,62.87
2013-10-18,31,64.28
2013-10-25,29,71.22
2013-11-01,27,69.65
2013-11-08,29,69.58
2013-11-15,28,71.26
2013-11-22,29,71.00
2013-11-29,32,71.38
2013-12-06,31,70.94
2013-12-13,29,72.36
2013-12-20,27,75.73
2013-12-27,21,76.90
2014-01-03,22,77.86
2014-01-10,32,77.00
2014-01-17,29,77.12
2014-01-24,31,72.99
2014-01-31,33,72.33
2014-02-07,32,73.56
2014-02-14,30,76.44
2014-02-21,32,80.98
2014-02-28,31,81.21
2014-03-07,29,80.81
2014-03-14,32,76.01
2014-03-21,34,77.04
2014-03-28,35,76.13
2014-04-04,33,77.83
2014-04-11,32,75.15
2014-04-18,26,
2014-04-25,28,72.87
2014-05-02,30,
