Date,FRX,Price
2007-01-19,50,54.83
2007-01-26,48,55.41
2007-02-02,47,57.08
2007-02-09,41,54.03
2007-02-16,41,54.61
2007-02-23,42,54.42
2007-03-02,50,50.85
2007-03-09,50,51.81
2007-03-16,48,50.55
2007-03-23,53,52.10
2007-03-30,51,51.44
2007-04-06,40,
2007-04-13,66,54.97
2007-04-20,59,55.07
2007-04-27,64,54.17
2007-05-04,47,52.20
2007-05-11,58,52.48
2007-05-18,55,52.67
2007-05-25,68,51.96
2007-06-01,55,50.22
2007-06-08,51,47.83
2007-06-15,65,48.04
2007-06-22,68,45.30
2007-06-29,71,45.65
2007-07-06,45,46.25
2007-07-13,71,46.45
2007-07-20,62,42.98
2007-07-27,67,41.20
2007-08-03,71,39.63
2007-08-10,46,38.95
2007-08-17,54,37.17
2007-08-24,57,37.91
2007-08-31,65,37.63
2007-09-07,44,39.70
2007-09-14,52,37.06
2007-09-21,55,37.24
2007-09-28,51,37.29
2007-10-05,61,39.37
2007-10-12,55,38.83
2007-10-19,60,37.73
2007-10-26,49,38.95
2007-11-02,58,39.02
2007-11-09,53,37.37
2007-11-16,48,36.85
2007-11-23,47,36.77
2007-11-30,51,38.55
2007-12-07,60,37.85
2007-12-14,51,36.06
2007-12-21,45,36.52
2007-12-28,31,37.16
2008-01-04,35,35.93
2008-01-11,35,37.68
2008-01-18,65,40.97
2008-01-25,54,38.44
2008-02-01,50,40.69
2008-02-08,51,40.25
2008-02-15,61,40.46
2008-02-22,54,41.08
2008-02-29,43,39.77
2008-03-07,49,38.20
2008-03-14,55,38.22
2008-03-21,57,
2008-03-28,61,39.32
2008-04-04,46,40.87
2008-04-11,47,39.71
2008-04-18,51,35.84
2008-04-25,59,34.84
2008-05-02,40,34.48
2008-05-09,52,33.90
2008-05-16,67,34.53
2008-05-23,55,34.54
2008-05-30,47,35.91
2008-06-06,57,34.46
2008-06-13,60,33.16
2008-06-20,45,31.95
2008-06-27,51,33.35
2008-07-04,76,
2008-07-11,64,35.38
2008-07-18,52,36.54
2008-07-25,43,35.14
2008-08-01,49,35.07
2008-08-08,44,38.45
2008-08-15,46,38.71
2008-08-22,46,37.12
2008-08-29,41,35.69
2008-09-05,55,30.19
2008-09-12,46,29.37
2008-09-19,47,28.91
2008-09-26,45,28.44
2008-10-03,58,26.27
2008-10-10,53,21.80
2008-10-17,45,22.82
2008-10-24,61,21.86
2008-10-31,63,23.23
2008-11-07,57,23.36
2008-11-14,58,22.97
2008-11-21,54,20.31
2008-11-28,52,24.18
2008-12-05,49,23.77
2008-12-12,47,24.54
2008-12-19,51,24.67
2008-12-26,43,24.62
2009-01-02,34,26.26
2009-01-09,55,24.94
2009-01-16,59,25.76
2009-01-23,59,24.77
2009-01-30,68,25.04
2009-02-06,58,26.21
2009-02-13,49,25.84
2009-02-20,54,24.70
2009-02-27,70,21.44
2009-03-06,69,19.12
2009-03-13,59,20.79
2009-03-20,56,21.13
2009-03-27,61,21.75
2009-04-03,57,22.14
2009-04-10,59,
2009-04-17,59,22.98
2009-04-24,46,21.28
2009-05-01,58,21.87
2009-05-08,63,23.14
2009-05-15,60,22.91
2009-05-22,67,22.94
2009-05-29,61,23.69
2009-06-05,68,23.66
2009-06-12,59,24.21
2009-06-19,66,24.42
2009-06-26,56,25.23
2009-07-03,50,
2009-07-10,43,23.80
2009-07-17,47,24.75
2009-07-24,54,26.03
2009-07-31,61,25.83
2009-08-07,50,26.28
2009-08-14,41,27.54
2009-08-21,37,28.78
2009-08-28,40,29.11
2009-09-04,37,28.66
2009-09-11,39,29.09
2009-09-18,57,28.95
2009-09-25,50,28.51
2009-10-02,41,28.49
2009-10-09,49,29.88
2009-10-16,45,29.66
2009-10-23,47,27.88
2009-10-30,45,27.67
2009-11-06,61,28.67
2009-11-13,36,28.35
2009-11-20,45,29.57
2009-11-27,47,30.56
2009-12-04,39,31.20
2009-12-11,33,31.31
2009-12-18,51,31.72
2009-12-25,29,
2010-01-01,35,
2010-01-08,45,31.04
2010-01-15,45,30.66
2010-01-22,41,29.43
2010-01-29,42,29.64
2010-02-05,46,28.80
2010-02-12,37,29.10
2010-02-19,46,29.35
2010-02-26,38,29.88
2010-03-05,54,30.10
2010-03-12,41,31.26
2010-03-19,42,31.06
2010-03-26,40,31.08
2010-04-02,54,
2010-04-09,49,28.25
2010-04-16,45,27.80
2010-04-23,51,27.40
2010-04-30,42,27.26
2010-05-07,42,26.57
2010-05-14,35,26.54
2010-05-21,41,26.12
2010-05-28,36,25.88
2010-06-04,39,25.01
2010-06-11,35,25.86
2010-06-18,36,27.30
2010-06-25,43,27.63
2010-07-02,43,27.11
2010-07-09,39,28.39
2010-07-16,41,27.96
2010-07-23,40,28.28
2010-07-30,46,27.75
2010-08-06,39,27.80
2010-08-13,41,27.88
2010-08-20,51,27.60
2010-08-27,48,28.00
2010-09-03,41,29.56
2010-09-10,37,29.74
2010-09-17,49,31.25
2010-09-24,44,31.35
2010-10-01,39,31.04
2010-10-08,42,31.92
2010-10-15,38,33.31
2010-10-22,34,33.92
2010-10-29,34,33.05
2010-11-05,31,33.24
2010-11-12,33,32.62
2010-11-19,39,32.48
2010-11-26,39,31.85
2010-12-03,41,32.31
2010-12-10,42,32.68
2010-12-17,40,32.71
2010-12-24,29,
2010-12-31,31,31.98
2011-01-07,37,31.69
2011-01-14,39,31.44
2011-01-21,41,31.66
2011-01-28,39,31.99
2011-02-04,33,33.25
2011-02-11,39,33.62
2011-02-18,36,34.33
2011-02-25,36,31.88
2011-03-04,39,32.47
2011-03-11,37,31.93
2011-03-18,31,30.60
2011-03-25,34,31.39
2011-04-01,31,32.80
2011-04-08,33,32.85
2011-04-15,32,33.94
2011-04-22,43,
2011-04-29,32,33.16
2011-05-06,35,34.26
2011-05-13,42,34.23
2011-05-20,37,35.37
2011-05-27,33,35.78
2011-06-03,28,36.90
2011-06-10,32,37.95
2011-06-17,38,38.68
2011-06-24,34,39.33
2011-07-01,36,40.17
2011-07-08,32,39.37
2011-07-15,35,38.46
2011-07-22,35,38.53
2011-07-29,36,37.06
2011-08-05,38,33.72
2011-08-12,38,34.25
2011-08-19,35,32.83
2011-08-26,34,33.31
2011-09-02,29,33.10
2011-09-09,29,32.75
2011-09-16,35,33.18
2011-09-23,36,30.87
2011-09-30,36,30.79
2011-10-07,30,31.75
2011-10-14,33,32.56
2011-10-21,42,31.25
2011-10-28,34,31.78
2011-11-04,39,30.49
2011-11-11,31,30.52
2011-11-18,34,29.28
2011-11-25,35,28.63
2011-12-02,30,29.89
2011-12-09,35,29.66
2011-12-16,37,29.03
2011-12-23,33,30.45
2011-12-30,25,30.26
2012-01-06,29,30.60
2012-01-13,30,30.90
2012-01-20,36,32.17
2012-01-27,34,31.78
2012-02-03,38,31.85
2012-02-10,32,31.54
2012-02-17,27,32.03
2012-02-24,29,32.29
2012-03-02,36,32.47
2012-03-09,36,33.45
2012-03-16,34,33.55
2012-03-23,40,34.16
2012-03-30,37,34.69
2012-04-06,34,
2012-04-13,38,33.45
2012-04-20,32,33.87
2012-04-27,31,34.92
2012-05-04,36,33.93
2012-05-11,42,34.24
2012-05-18,32,33.20
2012-05-25,31,33.38
2012-06-01,30,34.29
2012-06-08,35,35.69
2012-06-15,44,34.45
2012-06-22,35,34.09
2012-06-29,33,34.99
2012-07-06,33,35.48
2012-07-13,34,35.36
2012-07-20,37,34.90
2012-07-27,30,34.04
2012-08-03,43,33.54
2012-08-10,44,33.76
2012-08-17,39,34.21
2012-08-24,39,34.68
2012-08-31,39,34.69
2012-09-07,44,35.37
2012-09-14,36,34.87
2012-09-21,34,35.69
2012-09-28,35,35.61
2012-10-05,41,37.42
2012-10-12,33,36.28
2012-10-19,37,34.90
2012-10-26,26,34.17
2012-11-02,33,34.14
2012-11-09,38,33.15
2012-11-16,32,32.32
2012-11-23,27,33.32
2012-11-30,27,35.46
2012-12-07,31,35.72
2012-12-14,34,35.70
2012-12-21,25,35.19
2012-12-28,21,34.84
2013-01-04,26,37.07
2013-01-11,30,38.11
2013-01-18,34,36.77
2013-01-25,31,36.79
2013-02-01,38,36.48
2013-02-08,38,35.51
2013-02-15,38,36.00
2013-02-22,37,36.67
2013-03-01,39,36.76
2013-03-08,33,37.90
2013-03-15,34,38.04
2013-03-22,38,37.78
2013-03-29,26,
2013-04-05,32,37.52
2013-04-12,39,37.99
2013-04-19,32,35.91
2013-04-26,40,37.03
2013-05-03,33,37.57
2013-05-10,39,38.26
2013-05-17,42,38.53
2013-05-24,30,39.23
2013-05-31,35,39.75
2013-06-07,31,40.45
2013-06-14,34,41.08
2013-06-21,39,40.83
2013-06-28,36,41.00
2013-07-05,31,42.39
2013-07-12,35,43.92
2013-07-19,40,43.76
2013-07-26,31,44.41
2013-08-02,35,44.71
2013-08-09,33,43.81
2013-08-16,34,42.43
2013-08-23,39,42.80
2013-08-30,30,42.53
2013-09-06,29,43.21
2013-09-13,35,44.12
2013-09-20,32,44.27
2013-09-27,32,43.17
2013-10-04,36,43.27
2013-10-11,29,43.30
2013-10-18,26,44.44
2013-10-25,29,47.34
2013-11-01,29,47.15
2013-11-08,31,48.00
2013-11-15,26,51.66
2013-11-22,28,51.58
2013-11-29,23,51.31
2013-12-06,31,56.91
2013-12-13,32,55.46
2013-12-20,37,57.32
2013-12-27,26,59.60
2014-01-03,32,59.62
2014-01-10,42,69.00
2014-01-17,39,68.74
2014-01-24,34,64.95
2014-01-31,29,66.30
2014-02-07,36,68.89
2014-02-14,29,71.39
2014-02-21,55,96.88
2014-02-28,40,97.57
2014-03-07,37,94.68
2014-03-14,31,95.51
2014-03-21,36,91.00
2014-03-28,29,91.54
2014-04-04,32,90.56
2014-04-11,35,86.76
2014-04-18,31,
2014-04-25,29,89.84
2014-05-02,25,
