Date,Deere & Co.,Price
2005-11-04,68,61.95
2005-11-11,68,63.88
2005-11-18,71,63.10
2005-11-25,70,67.68
2005-12-02,72,68.87
2005-12-09,76,69.11
2005-12-16,73,70.02
2005-12-23,63,70.58
2005-12-30,62,68.11
2006-01-06,59,68.43
2006-01-13,61,69.60
2006-01-20,64,68.86
2006-01-27,62,72.40
2006-02-03,64,74.51
2006-02-10,62,73.62
2006-02-17,63,76.19
2006-02-24,64,77.64
2006-03-03,67,78.37
2006-03-10,69,74.97
2006-03-17,73,78.40
2006-03-24,74,78.25
2006-03-31,80,79.05
2006-04-07,77,79.63
2006-04-14,87,
2006-04-21,89,87.56
2006-04-28,88,87.78
2006-05-05,90,90.36
2006-05-12,84,89.63
2006-05-19,79,84.16
2006-05-26,86,87.08
2006-06-02,79,87.75
2006-06-09,79,79.82
2006-06-16,76,80.81
2006-06-23,74,79.94
2006-06-30,69,83.49
2006-07-07,68,80.53
2006-07-14,83,73.98
2006-07-21,79,70.08
2006-07-28,73,73.92
2006-08-04,76,73.12
2006-08-11,73,69.07
2006-08-18,77,72.73
2006-08-25,74,73.89
2006-09-01,66,79.09
2006-09-08,70,81.30
2006-09-15,70,80.87
2006-09-22,74,77.63
2006-09-29,74,83.91
2006-10-06,71,85.29
2006-10-13,68,88.90
2006-10-20,66,84.63
2006-10-27,65,87.00
2006-11-03,65,85.65
2006-11-10,68,87.11
2006-11-17,68,90.36
2006-11-24,65,97.02
2006-12-01,74,94.48
2006-12-08,75,97.07
2006-12-15,66,95.58
2006-12-22,62,94.21
2006-12-29,59,95.07
2007-01-05,58,90.89
2007-01-12,58,99.33
2007-01-19,57,98.70
2007-01-26,58,98.29
2007-02-02,62,104.33
2007-02-09,58,102.79
2007-02-16,66,113.93
2007-02-23,65,113.33
2007-03-02,65,105.17
2007-03-09,66,113.00
2007-03-16,66,110.04
2007-03-23,73,112.18
2007-03-30,79,108.64
2007-04-06,85,
2007-04-13,80,108.80
2007-04-20,79,111.56
2007-04-27,84,112.23
2007-05-04,89,113.84
2007-05-11,86,120.00
2007-05-18,85,116.51
2007-05-25,79,114.44
2007-06-01,76,119.76
2007-06-08,81,116.03
2007-06-15,74,121.75
2007-06-22,74,123.35
2007-06-29,72,120.74
2007-07-06,72,123.71
2007-07-13,81,131.08
2007-07-20,78,129.07
2007-07-27,68,118.94
2007-08-03,71,117.46
2007-08-10,71,117.30
2007-08-17,74,124.61
2007-08-24,72,130.26
2007-08-31,71,136.06
2007-09-07,70,135.86
2007-09-14,72,137.93
2007-09-21,69,147.28
2007-09-28,69,148.42
2007-10-05,67,147.27
2007-10-12,70,154.22
2007-10-19,67,145.14
2007-10-26,65,145.44
2007-11-02,67,152.73
2007-11-09,68,153.03
2007-11-16,68,145.06
2007-11-23,78,156.64
2007-11-30,80,171.80
2007-12-07,83,88.11
2007-12-14,69,87.16
2007-12-21,67,89.83
2007-12-28,61,92.28
2008-01-04,60,89.98
2008-01-11,61,89.26
2008-01-18,59,76.40
2008-01-25,59,82.88
2008-02-01,60,88.91
2008-02-08,65,82.46
2008-02-15,63,85.00
2008-02-22,64,87.17
2008-02-29,63,85.21
2008-03-07,66,83.22
2008-03-14,67,82.88
2008-03-21,72,
2008-03-28,76,79.94
2008-04-04,76,85.74
2008-04-11,81,86.31
2008-04-18,81,92.68
2008-04-25,87,90.00
2008-05-02,86,85.24
2008-05-09,84,86.31
2008-05-16,83,83.53
2008-05-23,80,80.42
2008-05-30,80,81.34
2008-06-06,77,81.31
2008-06-13,74,77.92
2008-06-20,73,76.37
2008-06-27,74,71.38
2008-07-04,69,
2008-07-11,79,64.99
2008-07-18,73,67.33
2008-07-25,74,69.18
2008-08-01,73,70.22
2008-08-08,73,69.06
2008-08-15,75,66.65
2008-08-22,72,67.54
2008-08-29,70,70.57
2008-09-05,73,63.23
2008-09-12,69,63.24
2008-09-19,69,63.38
2008-09-26,71,55.33
2008-10-03,69,39.24
2008-10-10,69,38.12
2008-10-17,68,39.42
2008-10-24,66,30.36
2008-10-31,63,38.56
2008-11-07,61,37.21
2008-11-14,66,33.79
2008-11-21,65,30.97
2008-11-28,64,34.81
2008-12-05,67,31.99
2008-12-12,67,36.86
2008-12-19,69,39.38
2008-12-26,63,38.47
2009-01-02,62,41.51
2009-01-09,60,45.99
2009-01-16,58,39.88
2009-01-23,60,36.62
2009-01-30,61,34.74
2009-02-06,59,41.81
2009-02-13,59,36.11
2009-02-20,63,28.89
2009-02-27,67,27.49
2009-03-06,62,25.51
2009-03-13,64,29.65
2009-03-20,70,30.72
2009-03-27,78,35.07
2009-04-03,74,37.30
2009-04-10,80,
2009-04-17,81,39.44
2009-04-24,84,40.52
2009-05-01,85,42.88
2009-05-08,86,44.91
2009-05-15,87,41.91
2009-05-22,81,41.90
2009-05-29,77,43.47
2009-06-05,81,46.47
2009-06-12,77,44.77
2009-06-19,75,40.06
2009-06-26,72,41.78
2009-07-03,70,
2009-07-10,81,35.31
2009-07-17,77,38.38
2009-07-24,72,42.36
2009-07-31,73,43.74
2009-08-07,75,46.31
2009-08-14,75,44.53
2009-08-21,75,44.80
2009-08-28,77,44.43
2009-09-04,72,42.18
2009-09-11,70,43.00
2009-09-18,72,45.07
2009-09-25,70,43.94
2009-10-02,68,41.13
2009-10-09,68,42.97
2009-10-16,68,44.04
2009-10-23,67,48.08
2009-10-30,70,45.55
2009-11-06,68,47.16
2009-11-13,69,47.58
2009-11-20,67,50.83
2009-11-27,68,52.36
2009-12-04,69,54.24
2009-12-11,72,52.44
2009-12-18,66,54.83
2009-12-25,64,
2010-01-01,64,
2010-01-08,61,57.63
2010-01-15,60,56.33
2010-01-22,62,53.02
2010-01-29,61,49.95
2010-02-05,64,49.82
2010-02-12,70,53.11
2010-02-19,68,57.28
2010-02-26,66,57.30
2010-03-05,67,59.54
2010-03-12,70,58.64
2010-03-19,70,58.99
2010-03-26,81,60.56
2010-04-02,82,
2010-04-09,89,61.68
2010-04-16,86,60.51
2010-04-23,86,61.79
2010-04-30,85,59.82
2010-05-07,88,56.38
2010-05-14,81,58.36
2010-05-21,82,58.73
2010-05-28,78,57.68
2010-06-04,77,56.88
2010-06-11,76,58.86
2010-06-18,76,59.26
2010-06-25,76,59.74
2010-07-02,72,54.50
2010-07-09,76,58.01
2010-07-16,75,59.73
2010-07-23,73,64.50
2010-07-30,74,66.68
2010-08-06,72,68.04
2010-08-13,75,64.85
2010-08-20,75,65.13
2010-08-27,74,64.63
2010-09-03,71,68.63
2010-09-10,72,67.81
2010-09-17,69,72.45
2010-09-24,71,72.64
2010-10-01,69,68.57
2010-10-08,68,75.35
2010-10-15,66,76.16
2010-10-22,66,77.25
2010-10-29,66,76.80
2010-11-05,68,79.10
2010-11-12,67,76.86
2010-11-19,68,77.98
2010-11-26,64,76.00
2010-12-03,67,78.31
2010-12-10,67,82.14
2010-12-17,67,81.55
2010-12-24,63,
2010-12-31,64,83.05
2011-01-07,59,84.34
2011-01-14,61,89.52
2011-01-21,61,89.24
2011-01-28,63,88.91
2011-02-04,67,93.21
2011-02-11,65,95.42
2011-02-18,64,95.00
2011-02-25,64,90.49
2011-03-04,67,92.35
2011-03-11,66,87.79
2011-03-18,69,90.10
2011-03-25,78,94.24
2011-04-01,76,98.60
2011-04-08,81,95.93
2011-04-15,85,93.76
2011-04-22,84,
2011-04-29,83,97.50
2011-05-06,84,91.53
2011-05-13,88,87.72
2011-05-20,86,84.75
2011-05-27,84,85.74
2011-06-03,81,82.20
2011-06-10,75,81.80
2011-06-17,78,78.53
2011-06-24,75,79.98
2011-07-01,73,84.54
2011-07-08,81,86.11
2011-07-15,79,81.69
2011-07-22,72,81.24
2011-07-29,73,78.51
2011-08-05,75,72.66
2011-08-12,75,74.97
2011-08-19,77,69.01
2011-08-26,73,76.03
2011-09-02,72,78.03
2011-09-09,71,75.26
2011-09-16,74,78.02
2011-09-23,73,67.47
2011-09-30,70,64.57
2011-10-07,71,65.70
2011-10-14,70,71.39
2011-10-21,73,72.23
2011-10-28,72,78.67
2011-11-04,70,75.39
2011-11-11,71,75.79
2011-11-18,70,74.27
2011-11-25,69,73.64
2011-12-02,70,77.69
2011-12-09,69,78.34
2011-12-16,66,73.65
2011-12-23,63,78.69
2011-12-30,59,77.35
2012-01-06,60,82.30
2012-01-13,60,84.66
2012-01-20,60,87.04
2012-01-27,60,87.99
2012-02-03,60,88.40
2012-02-10,62,87.55
2012-02-17,60,83.87
2012-02-24,62,83.27
2012-03-02,64,82.28
2012-03-09,66,80.17
2012-03-16,70,83.22
2012-03-23,82,80.84
2012-03-30,83,80.90
2012-04-06,83,
2012-04-13,81,79.47
2012-04-20,80,80.91
2012-04-27,81,82.89
2012-05-04,83,80.69
2012-05-11,81,79.07
2012-05-18,85,73.19
2012-05-25,77,75.14
2012-06-01,74,71.52
2012-06-08,76,74.31
2012-06-15,71,75.35
2012-06-22,70,75.53
2012-06-29,67,80.87
2012-07-06,65,80.70
2012-07-13,79,77.48
2012-07-20,79,75.88
2012-07-27,70,78.10
2012-08-03,70,77.51
2012-08-10,68,79.37
2012-08-17,73,76.94
2012-08-24,73,76.67
2012-08-31,72,75.11
2012-09-07,70,78.22
2012-09-14,72,82.00
2012-09-21,70,82.70
2012-09-28,70,82.47
2012-10-05,69,82.78
2012-10-12,67,82.44
2012-10-19,63,84.99
2012-10-26,66,85.47
2012-11-02,60,85.60
2012-11-09,64,84.29
2012-11-16,63,85.25
2012-11-23,64,83.97
2012-11-30,64,84.05
2012-12-07,61,85.43
2012-12-14,63,85.93
2012-12-21,58,86.19
2012-12-28,57,84.55
2013-01-04,56,88.67
2013-01-11,54,89.62
2013-01-18,54,90.96
2013-01-25,57,93.47
2013-02-01,55,94.65
2013-02-08,58,92.81
2013-02-15,60,89.75
2013-02-22,58,87.13
2013-03-01,60,87.89
2013-03-08,60,90.88
2013-03-15,65,92.24
2013-03-22,68,87.72
2013-03-29,70,
2013-04-05,75,85.68
2013-04-12,77,86.14
2013-04-19,78,83.46
2013-04-26,85,85.49
2013-05-03,86,90.54
2013-05-10,85,92.30
2013-05-17,85,86.97
2013-05-24,82,86.29
2013-05-31,82,87.11
2013-06-07,79,86.81
2013-06-14,79,84.88
2013-06-21,76,82.47
2013-06-28,74,81.25
2013-07-05,71,81.44
2013-07-12,82,83.94
2013-07-19,91,84.05
2013-07-26,75,82.81
2013-08-02,75,83.40
2013-08-09,74,81.74
2013-08-16,74,84.11
2013-08-23,73,83.50
2013-08-30,72,83.64
2013-09-06,69,82.61
2013-09-13,67,82.49
2013-09-20,68,83.82
2013-09-27,67,82.37
2013-10-04,66,82.55
2013-10-11,65,82.31
2013-10-18,67,84.19
2013-10-25,62,83.55
2013-11-01,65,81.64
2013-11-08,64,81.50
2013-11-15,64,82.83
2013-11-22,65,84.77
2013-11-29,62,84.24
2013-12-06,62,85.32
2013-12-13,62,87.18
2013-12-20,62,90.08
2013-12-27,54,90.70
2014-01-03,55,90.66
2014-01-10,55,89.76
2014-01-17,58,89.35
2014-01-24,57,85.55
2014-01-31,57,85.96
2014-02-07,60,86.56
2014-02-14,60,85.84
2014-02-21,61,84.69
2014-02-28,60,85.93
2014-03-07,60,88.80
2014-03-14,63,87.20
2014-03-21,65,89.84
2014-03-28,70,88.75
2014-04-04,73,91.83
2014-04-11,74,92.01
2014-04-18,82,
2014-04-25,84,93.14
2014-05-02,83,
