Date,buy LOW,Price
2008-02-08,70,23.61
2008-02-15,76,23.33
2008-02-22,63,23.59
2008-02-29,73,23.97
2008-03-07,64,22.40
2008-03-14,65,21.12
2008-03-21,59,
2008-03-28,59,22.67
2008-04-04,60,24.26
2008-04-11,59,23.99
2008-04-18,72,24.85
2008-04-25,71,26.02
2008-05-02,73,26.13
2008-05-09,63,24.20
2008-05-16,59,24.89
2008-05-23,60,23.30
2008-05-30,67,24.00
2008-06-06,71,23.52
2008-06-13,59,24.14
2008-06-20,54,22.83
2008-06-27,65,20.87
2008-07-04,81,
2008-07-11,66,18.90
2008-07-18,68,19.93
2008-07-25,71,19.98
2008-08-01,65,20.30
2008-08-08,67,22.78
2008-08-15,77,24.50
2008-08-22,67,24.86
2008-08-29,72,24.64
2008-09-05,57,25.75
2008-09-12,63,25.42
2008-09-19,63,25.53
2008-09-26,74,24.46
2008-10-03,62,21.52
2008-10-10,80,17.90
2008-10-17,70,19.31
2008-10-24,61,17.20
2008-10-31,53,21.70
2008-11-07,65,19.66
2008-11-14,63,18.23
2008-11-21,67,17.15
2008-11-28,68,20.66
2008-12-05,68,22.34
2008-12-12,72,21.99
2008-12-19,61,22.54
2008-12-26,64,21.13
2009-01-02,80,22.64
2009-01-09,59,21.19
2009-01-16,68,21.04
2009-01-23,59,20.05
2009-01-30,78,18.27
2009-02-06,65,19.24
2009-02-13,59,17.80
2009-02-20,60,15.86
2009-02-27,70,15.84
2009-03-06,74,13.39
2009-03-13,54,15.89
2009-03-20,76,17.03
2009-03-27,71,18.81
2009-04-03,55,19.12
2009-04-10,71,
2009-04-17,68,20.73
2009-04-24,58,21.09
2009-05-01,68,20.85
2009-05-08,68,19.80
2009-05-15,58,18.45
2009-05-22,67,19.37
2009-05-29,68,19.01
2009-06-05,66,20.04
2009-06-12,66,19.85
2009-06-19,64,18.78
2009-06-26,56,19.22
2009-07-03,61,
2009-07-10,68,18.85
2009-07-17,72,20.42
2009-07-24,67,22.00
2009-07-31,74,22.46
2009-08-07,71,23.85
2009-08-14,73,22.83
2009-08-21,70,21.16
2009-08-28,74,21.70
2009-09-04,65,21.62
2009-09-11,66,21.43
2009-09-18,68,21.97
2009-09-25,71,21.05
2009-10-02,70,20.03
2009-10-09,67,20.94
2009-10-16,76,21.36
2009-10-23,77,20.71
2009-10-30,68,19.57
2009-11-06,65,20.94
2009-11-13,78,21.85
2009-11-20,74,21.35
2009-11-27,68,21.96
2009-12-04,66,22.88
2009-12-11,66,23.88
2009-12-18,68,23.62
2009-12-25,63,
2010-01-01,75,
2010-01-08,77,23.59
2010-01-15,68,23.13
2010-01-22,76,22.31
2010-01-29,78,21.65
2010-02-05,84,21.59
2010-02-12,60,22.16
2010-02-19,78,23.13
2010-02-26,63,23.71
2010-03-05,69,24.05
2010-03-12,74,24.95
2010-03-19,65,24.78
2010-03-26,71,24.48
2010-04-02,70,
2010-04-09,74,25.63
2010-04-16,67,26.29
2010-04-23,75,28.22
2010-04-30,74,27.12
2010-05-07,75,25.31
2010-05-14,67,26.07
2010-05-21,74,24.20
2010-05-28,62,24.75
2010-06-04,69,23.52
2010-06-11,75,23.48
2010-06-18,75,22.62
2010-06-25,67,21.33
2010-07-02,58,20.27
2010-07-09,83,20.43
2010-07-16,75,20.04
2010-07-23,70,21.11
2010-07-30,78,20.74
2010-08-06,81,20.28
2010-08-13,77,19.59
2010-08-20,67,20.64
2010-08-27,73,21.10
2010-09-03,71,21.96
2010-09-10,74,21.52
2010-09-17,64,21.02
2010-09-24,74,22.48
2010-10-01,72,22.35
2010-10-08,69,22.70
2010-10-15,70,21.56
2010-10-22,66,22.00
2010-10-29,69,21.34
2010-11-05,78,22.29
2010-11-12,72,21.69
2010-11-19,71,22.09
2010-11-26,70,22.24
2010-12-03,72,24.86
2010-12-10,68,25.22
2010-12-17,66,25.17
2010-12-24,61,
2010-12-31,72,25.08
2011-01-07,80,23.99
2011-01-14,77,25.00
2011-01-21,82,25.01
2011-01-28,71,25.25
2011-02-04,70,24.71
2011-02-11,79,25.09
2011-02-18,69,26.30
2011-02-25,70,25.27
2011-03-04,68,26.24
2011-03-11,70,26.94
2011-03-18,58,26.20
2011-03-25,78,27.19
2011-04-01,69,26.74
2011-04-08,72,26.82
2011-04-15,73,27.05
2011-04-22,71,
2011-04-29,74,26.25
2011-05-06,80,25.64
2011-05-13,76,25.76
2011-05-20,67,24.46
2011-05-27,77,24.25
2011-06-03,76,23.40
2011-06-10,80,22.26
2011-06-17,81,22.83
2011-06-24,71,23.25
2011-07-01,74,23.82
2011-07-08,78,23.61
2011-07-15,77,22.86
2011-07-22,67,22.62
2011-07-29,75,21.58
2011-08-05,80,20.15
2011-08-12,76,19.51
2011-08-19,76,19.31
2011-08-26,69,20.24
2011-09-02,66,18.94
2011-09-09,69,18.96
2011-09-16,71,20.38
2011-09-23,73,19.74
2011-09-30,73,19.34
2011-10-07,76,20.34
2011-10-14,74,20.93
2011-10-21,79,22.13
2011-10-28,69,21.37
2011-11-04,71,21.54
2011-11-11,69,23.11
2011-11-18,78,23.31
2011-11-25,73,22.68
2011-12-02,69,24.31
2011-12-09,65,24.97
2011-12-16,67,25.02
2011-12-23,64,25.27
2011-12-30,72,25.38
2012-01-06,74,26.34
2012-01-13,81,26.32
2012-01-20,77,26.53
2012-01-27,78,26.91
2012-02-03,82,27.20
2012-02-10,81,27.09
2012-02-17,74,27.68
2012-02-24,74,27.16
2012-03-02,79,28.13
2012-03-09,77,29.77
2012-03-16,78,30.41
2012-03-23,77,30.74
2012-03-30,74,31.38
2012-04-06,75,
2012-04-13,69,31.69
2012-04-20,74,31.65
2012-04-27,74,31.61
2012-05-04,83,31.09
2012-05-11,73,29.62
2012-05-18,78,28.48
2012-05-25,91,27.24
2012-06-01,79,26.36
2012-06-08,85,27.92
2012-06-15,82,28.05
2012-06-22,76,27.31
2012-06-29,82,28.44
2012-07-06,84,27.85
2012-07-13,85,26.72
2012-07-20,79,25.79
2012-07-27,86,27.07
2012-08-03,81,25.49
2012-08-10,91,26.77
2012-08-17,83,27.87
2012-08-24,83,27.73
2012-08-31,83,28.48
2012-09-07,85,28.32
2012-09-14,83,29.40
2012-09-21,80,30.19
2012-09-28,77,30.24
2012-10-05,84,31.77
2012-10-12,81,31.18
2012-10-19,74,32.64
2012-10-26,78,31.36
2012-11-02,76,33.15
2012-11-09,77,31.47
2012-11-16,79,31.98
2012-11-23,89,35.15
2012-11-30,77,36.09
2012-12-07,81,35.11
2012-12-14,79,34.46
2012-12-21,68,35.04
2012-12-28,78,34.98
2013-01-04,88,35.58
2013-01-11,78,35.83
2013-01-18,79,36.99
2013-01-25,76,38.58
2013-02-01,81,38.56
2013-02-08,78,39.03
2013-02-15,69,39.14
2013-02-22,74,37.67
2013-03-01,72,38.38
2013-03-08,75,39.31
2013-03-15,76,38.81
2013-03-22,82,37.83
2013-03-29,77,
2013-04-05,70,38.39
2013-04-12,78,38.92
2013-04-19,80,38.12
2013-04-26,75,37.70
2013-05-03,78,39.59
2013-05-10,76,42.07
2013-05-17,73,42.67
2013-05-24,83,42.64
2013-05-31,79,42.11
2013-06-07,82,41.60
2013-06-14,75,41.16
2013-06-21,81,39.55
2013-06-28,69,40.90
2013-07-05,82,42.78
2013-07-12,85,43.83
2013-07-19,84,44.27
2013-07-26,83,43.97
2013-08-02,74,44.99
2013-08-09,83,45.68
2013-08-16,80,43.96
2013-08-23,84,46.98
2013-08-30,75,45.82
2013-09-06,75,45.60
2013-09-13,81,46.86
2013-09-20,85,47.84
2013-09-27,81,47.77
2013-10-04,80,48.14
2013-10-11,84,48.80
2013-10-18,85,47.66
2013-10-25,76,50.59
2013-11-01,84,49.18
2013-11-08,76,48.72
2013-11-15,80,51.77
2013-11-22,77,47.90
2013-11-29,72,47.48
2013-12-06,78,47.98
2013-12-13,71,47.11
2013-12-20,69,47.97
2013-12-27,82,48.83
2014-01-03,80,48.95
2014-01-10,83,49.68
2014-01-17,80,47.61
2014-01-24,83,47.83
2014-01-31,82,46.29
2014-02-07,72,46.07
2014-02-14,81,47.28
2014-02-21,76,47.06
2014-02-28,78,50.03
2014-03-07,77,50.42
2014-03-14,80,49.09
2014-03-21,75,49.25
2014-03-28,79,48.92
2014-04-04,80,48.44
2014-04-11,77,46.31
2014-04-18,89,
2014-04-25,81,46.38
2014-05-02,78,
