Date,MAR,Price
2007-06-29,83,43.24
2007-07-06,82,47.11
2007-07-13,82,44.08
2007-07-20,90,44.27
2007-07-27,88,39.90
2007-08-03,87,41.55
2007-08-10,83,42.50
2007-08-17,78,42.33
2007-08-24,79,44.10
2007-08-31,77,44.42
2007-09-07,73,42.41
2007-09-14,68,43.03
2007-09-21,65,44.65
2007-09-28,68,43.47
2007-10-05,69,43.00
2007-10-12,70,41.86
2007-10-19,66,39.92
2007-10-26,68,39.70
2007-11-02,69,39.75
2007-11-09,66,36.04
2007-11-16,70,35.64
2007-11-23,78,35.11
2007-11-30,76,37.50
2007-12-07,73,37.01
2007-12-14,65,31.49
2007-12-21,65,33.88
2007-12-28,73,34.12
2008-01-04,76,31.66
2008-01-11,84,32.86
2008-01-18,83,32.68
2008-01-25,84,33.95
2008-02-01,80,37.32
2008-02-08,75,34.62
2008-02-15,77,35.53
2008-02-22,80,35.23
2008-02-29,80,34.10
2008-03-07,76,33.46
2008-03-14,76,32.90
2008-03-21,78,
2008-03-28,76,34.46
2008-04-04,71,36.04
2008-04-11,74,33.38
2008-04-18,72,33.46
2008-04-25,74,34.92
2008-05-02,70,36.78
2008-05-09,76,35.87
2008-05-16,76,35.82
2008-05-23,76,33.60
2008-05-30,79,32.91
2008-06-06,75,29.93
2008-06-13,77,29.64
2008-06-20,79,27.45
2008-06-27,78,26.69
2008-07-04,84,
2008-07-11,87,23.73
2008-07-18,90,26.33
2008-07-25,87,26.12
2008-08-01,85,26.75
2008-08-08,86,28.27
2008-08-15,81,29.12
2008-08-22,78,27.74
2008-08-29,80,28.21
2008-09-05,73,28.80
2008-09-12,70,28.82
2008-09-19,68,28.17
2008-09-26,68,25.87
2008-10-03,68,23.15
2008-10-10,70,18.76
2008-10-17,68,19.10
2008-10-24,69,18.42
2008-10-31,68,20.87
2008-11-07,67,18.86
2008-11-14,68,15.66
2008-11-21,70,12.92
2008-11-28,69,16.79
2008-12-05,69,15.86
2008-12-12,66,16.61
2008-12-19,65,17.96
2008-12-26,70,18.34
2009-01-02,79,20.06
2009-01-09,79,19.63
2009-01-16,83,17.84
2009-01-23,82,17.19
2009-01-30,81,16.31
2009-02-06,79,16.40
2009-02-13,76,14.94
2009-02-20,73,14.32
2009-02-27,81,14.16
2009-03-06,83,12.63
2009-03-13,79,15.48
2009-03-20,82,15.67
2009-03-27,78,17.05
2009-04-03,76,19.37
2009-04-10,73,
2009-04-17,74,19.70
2009-04-24,73,22.30
2009-05-01,72,22.64
2009-05-08,74,23.92
2009-05-15,78,21.57
2009-05-22,77,21.94
2009-05-29,79,23.36
2009-06-05,83,24.52
2009-06-12,85,24.01
2009-06-19,84,22.15
2009-06-26,82,21.81
2009-07-03,84,
2009-07-10,85,19.57
2009-07-17,88,19.98
2009-07-24,92,21.24
2009-07-31,91,21.54
2009-08-07,90,25.28
2009-08-14,88,23.88
2009-08-21,84,24.69
2009-08-28,83,24.52
2009-09-04,80,23.05
2009-09-11,76,24.60
2009-09-18,72,27.16
2009-09-25,74,26.10
2009-10-02,72,25.61
2009-10-09,73,26.80
2009-10-16,69,27.94
2009-10-23,70,27.20
2009-10-30,72,25.06
2009-11-06,72,26.13
2009-11-13,75,26.96
2009-11-20,74,26.13
2009-11-27,76,25.26
2009-12-04,74,27.17
2009-12-11,69,27.08
2009-12-18,73,28.00
2009-12-25,73,
2010-01-01,86,
2010-01-08,87,28.04
2010-01-15,91,29.30
2010-01-22,90,27.45
2010-01-29,85,26.23
2010-02-05,86,26.20
2010-02-12,83,26.84
2010-02-19,85,27.26
2010-02-26,94,27.11
2010-03-05,92,27.87
2010-03-12,90,28.70
2010-03-19,88,29.06
2010-03-26,90,31.09
2010-04-02,87,
2010-04-09,85,33.10
2010-04-16,82,33.88
2010-04-23,80,37.57
2010-04-30,84,36.76
2010-05-07,83,33.34
2010-05-14,83,34.61
2010-05-21,87,32.94
2010-05-28,87,33.45
2010-06-04,89,32.18
2010-06-11,86,33.32
2010-06-18,86,35.30
2010-06-25,85,32.71
2010-07-02,87,29.55
2010-07-09,89,31.14
2010-07-16,92,30.31
2010-07-23,97,33.14
2010-07-30,96,33.91
2010-08-06,97,35.18
2010-08-13,95,33.48
2010-08-20,94,33.57
2010-08-27,90,32.70
2010-09-03,86,35.35
2010-09-10,84,35.51
2010-09-17,80,35.62
2010-09-24,80,36.22
2010-10-01,81,36.28
2010-10-08,79,36.17
2010-10-15,76,35.60
2010-10-22,78,37.29
2010-10-29,80,37.05
2010-11-05,80,39.55
2010-11-12,83,38.54
2010-11-19,83,39.01
2010-11-26,82,39.39
2010-12-03,79,40.99
2010-12-10,75,41.96
2010-12-17,78,41.65
2010-12-24,78,
2010-12-31,90,41.54
2011-01-07,94,40.81
2011-01-14,93,41.89
2011-01-21,93,39.81
2011-01-28,90,38.60
2011-02-04,86,40.00
2011-02-11,86,41.22
2011-02-18,83,40.92
2011-02-25,100,39.31
2011-03-04,90,38.00
2011-03-11,91,38.15
2011-03-18,90,37.97
2011-03-25,93,37.66
2011-04-01,96,35.41
2011-04-08,81,34.57
2011-04-15,82,34.10
2011-04-22,81,
2011-04-29,82,35.30
2011-05-06,81,36.29
2011-05-13,79,36.50
2011-05-20,80,37.16
2011-05-27,83,37.86
2011-06-03,83,36.25
2011-06-10,86,33.84
2011-06-17,85,33.15
2011-06-24,85,33.96
2011-07-01,90,36.82
2011-07-08,92,37.17
2011-07-15,92,34.94
2011-07-22,95,35.11
2011-07-29,95,32.50
2011-08-05,96,29.50
2011-08-12,95,28.22
2011-08-19,92,26.24
2011-08-26,88,27.52
2011-09-02,89,27.28
2011-09-09,86,26.08
2011-09-16,82,29.20
2011-09-23,82,27.17
2011-09-30,81,27.24
2011-10-07,79,28.17
2011-10-14,77,30.65
2011-10-21,81,30.96
2011-10-28,78,32.78
2011-11-04,77,31.61
2011-11-11,81,31.62
2011-11-18,80,30.92
2011-11-25,80,27.92
2011-12-02,78,30.92
2011-12-09,74,29.92
2011-12-16,72,28.56
2011-12-23,73,29.71
2011-12-30,82,29.17
2012-01-06,88,31.74
2012-01-13,90,33.53
2012-01-20,93,34.84
2012-01-27,88,34.57
2012-02-03,89,36.13
2012-02-10,83,35.72
2012-02-17,84,34.93
2012-02-24,95,34.73
2012-03-02,91,35.75
2012-03-09,90,37.54
2012-03-16,88,38.14
2012-03-23,88,37.72
2012-03-30,87,37.85
2012-04-06,78,
2012-04-13,76,37.31
2012-04-20,76,38.90
2012-04-27,77,39.53
2012-05-04,75,39.28
2012-05-11,76,39.34
2012-05-18,78,36.83
2012-05-25,84,38.64
2012-06-01,81,36.49
2012-06-08,80,37.80
2012-06-15,79,37.98
2012-06-22,82,38.80
2012-06-29,86,39.20
2012-07-06,84,39.40
2012-07-13,88,36.28
2012-07-20,90,36.85
2012-07-27,88,36.89
2012-08-03,89,37.55
2012-08-10,85,36.94
2012-08-17,88,38.05
2012-08-24,87,36.97
2012-08-31,84,37.68
2012-09-07,80,39.36
2012-09-14,74,41.60
2012-09-21,74,40.43
2012-09-28,73,39.10
2012-10-05,74,38.29
2012-10-12,70,38.16
2012-10-19,70,37.53
2012-10-26,70,36.82
2012-11-02,71,36.69
2012-11-09,72,35.54
2012-11-16,72,34.43
2012-11-23,74,35.24
2012-11-30,71,36.29
2012-12-07,68,35.43
2012-12-14,65,36.11
2012-12-21,66,37.40
2012-12-28,73,36.48
2013-01-04,80,39.23
2013-01-11,82,38.88
2013-01-18,85,39.27
2013-01-25,82,39.56
2013-02-01,79,40.29
2013-02-08,80,40.97
2013-02-15,76,41.23
2013-02-22,77,39.49
2013-03-01,95,39.57
2013-03-08,84,40.29
2013-03-15,85,40.35
2013-03-22,85,39.85
2013-03-29,85,
2013-04-05,77,40.66
2013-04-12,73,42.59
2013-04-19,74,41.34
2013-04-26,74,41.57
2013-05-03,75,43.01
2013-05-10,76,43.97
2013-05-17,77,43.73
2013-05-24,78,42.77
2013-05-31,80,42.01
2013-06-07,79,41.66
2013-06-14,84,40.77
2013-06-21,80,38.93
2013-06-28,83,40.37
2013-07-05,85,41.40
2013-07-12,85,41.73
2013-07-19,93,41.62
2013-07-26,86,41.26
2013-08-02,88,42.42
2013-08-09,91,40.94
2013-08-16,95,40.40
2013-08-23,90,41.16
2013-08-30,84,39.99
2013-09-06,80,40.62
2013-09-13,76,42.86
2013-09-20,74,43.17
2013-09-27,75,42.35
2013-10-04,74,42.60
2013-10-11,74,42.30
2013-10-18,74,43.50
2013-10-25,76,44.49
2013-11-01,76,45.71
2013-11-08,76,46.12
2013-11-15,77,47.02
2013-11-22,75,46.92
2013-11-29,76,47.02
2013-12-06,71,46.23
2013-12-13,73,46.57
2013-12-20,69,48.15
2013-12-27,72,48.78
2014-01-03,82,48.65
2014-01-10,89,49.28
2014-01-17,88,50.62
2014-01-24,91,49.76
2014-01-31,87,49.30
2014-02-07,83,49.24
2014-02-14,82,51.52
2014-02-21,84,52.51
2014-02-28,99,54.23
2014-03-07,87,54.79
2014-03-14,88,53.88
2014-03-21,86,55.25
2014-03-28,88,55.44
2014-04-04,84,55.80
2014-04-11,78,55.30
2014-04-18,80,
2014-04-25,79,57.23
2014-05-02,78,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
