Date,ATI,Price
2006-06-30,50,69.24
2006-07-07,52,66.80
2006-07-14,48,58.73
2006-07-21,48,55.83
2006-07-28,55,62.90
2006-08-04,52,62.84
2006-08-11,53,58.40
2006-08-18,54,60.39
2006-08-25,55,57.97
2006-09-01,54,59.97
2006-09-08,53,59.05
2006-09-15,53,62.99
2006-09-22,53,60.79
2006-09-29,52,62.19
2006-10-06,52,65.48
2006-10-13,53,74.26
2006-10-20,53,76.62
2006-10-27,58,80.09
2006-11-03,64,75.32
2006-11-10,60,76.37
2006-11-17,59,78.65
2006-11-24,60,82.77
2006-12-01,56,88.06
2006-12-08,56,98.20
2006-12-15,58,88.47
2006-12-22,58,89.13
2006-12-29,72,90.68
2007-01-05,62,85.97
2007-01-12,57,90.64
2007-01-19,55,91.56
2007-01-26,54,100.51
2007-02-02,57,102.30
2007-02-09,57,97.14
2007-02-16,56,102.59
2007-02-23,56,107.81
2007-03-02,52,97.06
2007-03-09,53,102.81
2007-03-16,50,102.30
2007-03-23,52,108.01
2007-03-30,51,106.69
2007-04-06,54,
2007-04-13,50,113.76
2007-04-20,49,117.04
2007-04-27,47,114.00
2007-05-04,47,108.68
2007-05-11,46,115.18
2007-05-18,48,114.28
2007-05-25,45,111.06
2007-06-01,47,116.54
2007-06-08,45,111.66
2007-06-15,43,110.20
2007-06-22,43,106.77
2007-06-29,45,104.88
2007-07-06,46,107.72
2007-07-13,45,114.97
2007-07-20,43,113.06
2007-07-27,43,102.41
2007-08-03,44,102.40
2007-08-10,45,99.67
2007-08-17,46,92.20
2007-08-24,46,98.15
2007-08-31,47,99.39
2007-09-07,48,94.66
2007-09-14,48,95.12
2007-09-21,46,106.83
2007-09-28,47,109.95
2007-10-05,48,110.61
2007-10-12,51,100.04
2007-10-19,49,93.74
2007-10-26,50,101.90
2007-11-02,53,100.47
2007-11-09,50,95.74
2007-11-16,52,93.84
2007-11-23,55,93.28
2007-11-30,50,97.75
2007-12-07,50,95.79
2007-12-14,50,89.70
2007-12-21,51,87.11
2007-12-28,64,87.68
2008-01-04,55,82.81
2008-01-11,48,77.32
2008-01-18,48,67.56
2008-01-25,45,66.00
2008-02-01,44,74.02
2008-02-08,43,76.60
2008-02-15,42,82.46
2008-02-22,43,83.64
2008-02-29,40,77.35
2008-03-07,41,70.07
2008-03-14,40,73.51
2008-03-21,41,
2008-03-28,40,71.40
2008-04-04,37,84.00
2008-04-11,37,78.45
2008-04-18,37,74.35
2008-04-25,36,72.61
2008-05-02,37,72.52
2008-05-09,35,75.16
2008-05-16,34,81.65
2008-05-23,36,74.40
2008-05-30,35,75.00
2008-06-06,35,66.19
2008-06-13,34,65.88
2008-06-20,39,62.64
2008-06-27,39,60.40
2008-07-04,40,
2008-07-11,39,50.35
2008-07-18,40,54.00
2008-07-25,40,45.46
2008-08-01,38,45.97
2008-08-08,39,48.17
2008-08-15,40,49.07
2008-08-22,40,48.66
2008-08-29,40,49.00
2008-09-05,39,44.83
2008-09-12,40,41.53
2008-09-19,40,45.00
2008-09-26,40,32.87
2008-10-03,40,25.42
2008-10-10,39,23.69
2008-10-17,41,24.32
2008-10-24,40,21.29
2008-10-31,41,26.54
2008-11-07,41,24.28
2008-11-14,43,21.20
2008-11-21,41,16.94
2008-11-28,42,22.95
2008-12-05,43,21.55
2008-12-12,48,24.05
2008-12-19,45,24.52
2008-12-26,53,23.77
2009-01-02,50,27.05
2009-01-09,44,28.45
2009-01-16,43,26.34
2009-01-23,41,22.51
2009-01-30,43,22.09
2009-02-06,40,25.51
2009-02-13,38,24.91
2009-02-20,39,21.77
2009-02-27,39,19.67
2009-03-06,39,17.49
2009-03-13,37,21.02
2009-03-20,37,20.58
2009-03-27,35,23.54
2009-04-03,35,26.12
2009-04-10,36,
2009-04-17,35,29.50
2009-04-24,33,32.55
2009-05-01,35,33.40
2009-05-08,35,38.26
2009-05-15,36,32.58
2009-05-22,34,34.35
2009-05-29,33,35.41
2009-06-05,34,40.91
2009-06-12,34,41.88
2009-06-19,35,38.20
2009-06-26,34,34.55
2009-07-03,33,
2009-07-10,35,30.72
2009-07-17,35,33.34
2009-07-24,37,28.20
2009-07-31,35,27.08
2009-08-07,35,30.71
2009-08-14,35,28.23
2009-08-21,36,29.25
2009-08-28,36,32.01
2009-09-04,35,29.78
2009-09-11,36,33.49
2009-09-18,37,34.86
2009-09-25,38,34.42
2009-10-02,37,33.67
2009-10-09,36,36.14
2009-10-16,37,36.87
2009-10-23,41,34.00
2009-10-30,41,30.86
2009-11-06,41,32.58
2009-11-13,40,32.52
2009-11-20,42,34.01
2009-11-27,43,34.19
2009-12-04,42,35.18
2009-12-11,42,36.38
2009-12-18,41,40.95
2009-12-25,44,
2010-01-01,47,
2010-01-08,40,50.82
2010-01-15,40,45.71
2010-01-22,40,42.28
2010-01-29,40,40.85
2010-02-05,40,40.99
2010-02-12,37,42.41
2010-02-19,38,46.09
2010-02-26,38,43.66
2010-03-05,38,48.69
2010-03-12,38,50.79
2010-03-19,37,51.17
2010-03-26,37,53.22
2010-04-02,35,
2010-04-09,35,55.69
2010-04-16,33,52.19
2010-04-23,34,56.56
2010-04-30,33,53.47
2010-05-07,32,50.80
2010-05-14,31,53.70
2010-05-21,30,50.00
2010-05-28,30,54.68
2010-06-04,30,48.22
2010-06-11,29,51.95
2010-06-18,31,52.07
2010-06-25,30,50.21
2010-07-02,31,44.08
2010-07-09,30,48.77
2010-07-16,31,44.73
2010-07-23,32,52.30
2010-07-30,37,47.61
2010-08-06,36,48.41
2010-08-13,34,44.20
2010-08-20,34,43.70
2010-08-27,34,41.75
2010-09-03,34,44.92
2010-09-10,33,45.58
2010-09-17,33,45.31
2010-09-24,31,45.83
2010-10-01,32,46.95
2010-10-08,31,48.93
2010-10-15,32,47.91
2010-10-22,33,46.83
2010-10-29,31,52.69
2010-11-05,31,55.92
2010-11-12,32,51.29
2010-11-19,32,50.01
2010-11-26,32,50.74
2010-12-03,30,54.36
2010-12-10,30,53.39
2010-12-17,31,57.62
2010-12-24,32,
2010-12-31,34,55.18
2011-01-07,32,55.16
2011-01-14,29,57.84
2011-01-21,29,58.29
2011-01-28,29,63.67
2011-02-04,28,66.89
2011-02-11,28,67.47
2011-02-18,27,68.52
2011-02-25,27,66.36
2011-03-04,27,65.43
2011-03-11,27,64.17
2011-03-18,26,60.88
2011-03-25,27,65.07
2011-04-01,26,67.32
2011-04-08,25,63.60
2011-04-15,25,67.41
2011-04-22,25,
2011-04-29,25,72.00
2011-05-06,24,70.00
2011-05-13,24,68.81
2011-05-20,23,63.78
2011-05-27,24,66.43
2011-06-03,24,63.15
2011-06-10,23,61.75
2011-06-17,24,58.62
2011-06-24,23,60.01
2011-07-01,22,62.93
2011-07-08,22,61.61
2011-07-15,22,66.30
2011-07-22,22,65.60
2011-07-29,23,58.19
2011-08-05,22,48.50
2011-08-12,22,48.42
2011-08-19,22,42.80
2011-08-26,21,46.26
2011-09-02,21,46.50
2011-09-09,21,44.75
2011-09-16,21,47.42
2011-09-23,20,37.44
2011-09-30,22,36.99
2011-10-07,23,37.23
2011-10-14,22,40.59
2011-10-21,21,40.56
2011-10-28,24,50.21
2011-11-04,23,49.62
2011-11-11,23,49.99
2011-11-18,23,47.24
2011-11-25,22,43.33
2011-12-02,22,49.94
2011-12-09,20,48.88
2011-12-16,21,44.71
2011-12-23,21,48.12
2011-12-30,24,47.80
2012-01-06,20,47.98
2012-01-13,20,49.00
2012-01-20,20,51.10
2012-01-27,19,46.70
2012-02-03,19,48.28
2012-02-10,18,45.58
2012-02-17,18,45.39
2012-02-24,18,44.21
2012-03-02,18,43.80
2012-03-09,18,41.30
2012-03-16,17,43.49
2012-03-23,17,42.00
2012-03-30,16,41.17
2012-04-06,16,
2012-04-13,17,39.98
2012-04-20,16,40.45
2012-04-27,16,42.30
2012-05-04,16,41.34
2012-05-11,16,39.59
2012-05-18,20,33.18
2012-05-25,17,34.11
2012-06-01,16,30.33
2012-06-08,17,30.30
2012-06-15,15,29.49
2012-06-22,16,28.67
2012-06-29,15,31.89
2012-07-06,16,31.86
2012-07-13,16,31.61
2012-07-20,16,30.84
2012-07-27,16,30.19
2012-08-03,15,30.18
2012-08-10,15,32.52
2012-08-17,15,32.41
2012-08-24,16,30.77
2012-08-31,16,29.64
2012-09-07,15,32.22
2012-09-14,15,36.75
2012-09-21,15,33.32
2012-09-28,15,31.90
2012-10-05,15,31.08
2012-10-12,14,31.42
2012-10-19,14,32.81
2012-10-26,14,26.71
2012-11-02,15,27.36
2012-11-09,14,26.77
2012-11-16,15,25.99
2012-11-23,15,26.86
2012-11-30,15,26.18
2012-12-07,15,26.68
2012-12-14,15,28.44
2012-12-21,15,30.19
2012-12-28,16,29.17
2013-01-04,15,32.23
2013-01-11,15,30.58
2013-01-18,15,29.89
2013-01-25,15,30.29
2013-02-01,15,33.11
2013-02-08,14,33.27
2013-02-15,13,33.81
2013-02-22,14,30.96
2013-03-01,14,30.29
2013-03-08,13,32.83
2013-03-15,13,32.23
2013-03-22,13,31.28
2013-03-29,14,
2013-04-05,13,29.49
2013-04-12,12,29.73
2013-04-19,11,27.45
2013-04-26,12,26.46
2013-05-03,11,27.57
2013-05-10,11,29.16
2013-05-17,11,29.77
2013-05-24,11,28.26
2013-05-31,11,27.57
2013-06-07,10,27.57
2013-06-14,11,27.65
2013-06-21,10,27.56
2013-06-28,11,26.31
2013-07-05,10,26.28
2013-07-12,11,27.35
2013-07-19,11,26.98
2013-07-26,11,27.92
2013-08-02,10,27.79
2013-08-09,10,28.99
2013-08-16,11,27.19
2013-08-23,11,27.53
2013-08-30,11,26.71
2013-09-06,10,27.52
2013-09-13,11,28.63
2013-09-20,11,30.99
2013-09-27,11,30.24
2013-10-04,11,30.87
2013-10-11,11,30.92
2013-10-18,11,31.52
2013-10-25,11,33.75
2013-11-01,12,33.36
2013-11-08,12,33.82
2013-11-15,12,33.75
2013-11-22,12,33.93
2013-11-29,12,33.22
2013-12-06,12,32.77
2013-12-13,11,32.77
2013-12-20,11,33.10
2013-12-27,12,35.64
2014-01-03,11,35.47
2014-01-10,11,35.27
2014-01-17,11,36.30
2014-01-24,11,31.93
2014-01-31,11,31.44
2014-02-07,10,31.17
2014-02-14,10,32.03
2014-02-21,11,31.60
2014-02-28,10,31.78
2014-03-07,10,33.97
2014-03-14,10,34.26
2014-03-21,10,37.29
2014-03-28,10,37.49
2014-04-04,9,38.78
2014-04-11,9,39.12
2014-04-18,10,
2014-04-25,10,40.48
2014-05-02,10,
