Date,CLX,Price
2008-07-04,70,
2008-07-11,74,52.25
2008-07-18,72,53.75
2008-07-25,57,53.85
2008-08-01,68,54.46
2008-08-08,61,58.83
2008-08-15,70,60.54
2008-08-22,87,59.65
2008-08-29,64,59.10
2008-09-05,85,62.55
2008-09-12,87,63.70
2008-09-19,71,62.82
2008-09-26,82,61.78
2008-10-03,81,62.37
2008-10-10,73,56.23
2008-10-17,80,58.56
2008-10-24,67,54.23
2008-10-31,74,60.81
2008-11-07,75,59.39
2008-11-14,80,59.30
2008-11-21,78,58.62
2008-11-28,87,59.16
2008-12-05,75,56.50
2008-12-12,75,53.04
2008-12-19,79,53.58
2008-12-26,64,54.46
2009-01-02,61,56.37
2009-01-09,66,52.90
2009-01-16,74,51.36
2009-01-23,77,49.57
2009-01-30,69,50.15
2009-02-06,82,54.07
2009-02-13,80,51.98
2009-02-20,62,49.71
2009-02-27,74,48.60
2009-03-06,74,46.78
2009-03-13,63,50.45
2009-03-20,71,49.45
2009-03-27,70,51.70
2009-04-03,76,53.31
2009-04-10,59,
2009-04-17,65,55.90
2009-04-24,73,56.03
2009-05-01,72,55.30
2009-05-08,81,52.42
2009-05-15,71,51.11
2009-05-22,81,51.11
2009-05-29,80,52.44
2009-06-05,77,52.94
2009-06-12,76,56.39
2009-06-19,84,56.07
2009-06-26,75,55.91
2009-07-03,79,
2009-07-10,83,56.30
2009-07-17,74,58.09
2009-07-24,80,59.66
2009-07-31,78,61.01
2009-08-07,80,57.88
2009-08-14,75,57.68
2009-08-21,84,58.69
2009-08-28,90,58.82
2009-09-04,88,58.59
2009-09-11,78,57.66
2009-09-18,80,57.93
2009-09-25,80,58.65
2009-10-02,78,57.60
2009-10-09,92,58.69
2009-10-16,90,58.17
2009-10-23,86,59.14
2009-10-30,69,59.23
2009-11-06,83,59.93
2009-11-13,86,59.74
2009-11-20,95,59.65
2009-11-27,90,60.05
2009-12-04,88,61.40
2009-12-11,77,62.58
2009-12-18,73,61.40
2009-12-25,63,
2010-01-01,64,
2010-01-08,78,61.36
2010-01-15,93,61.19
2010-01-22,87,60.12
2010-01-29,84,59.17
2010-02-05,92,60.57
2010-02-12,84,59.36
2010-02-19,93,61.01
2010-02-26,80,61.31
2010-03-05,93,61.50
2010-03-12,81,62.89
2010-03-19,87,64.43
2010-03-26,84,64.56
2010-04-02,81,
2010-04-09,89,63.52
2010-04-16,84,64.49
2010-04-23,94,65.32
2010-04-30,90,64.70
2010-05-07,93,61.50
2010-05-14,92,63.73
2010-05-21,82,62.73
2010-05-28,75,62.82
2010-06-04,78,63.07
2010-06-11,76,64.18
2010-06-18,67,65.07
2010-06-25,84,63.44
2010-07-02,96,61.74
2010-07-09,80,64.12
2010-07-16,94,64.41
2010-07-23,87,65.43
2010-07-30,98,64.88
2010-08-06,90,65.08
2010-08-13,82,64.31
2010-08-20,93,64.42
2010-08-27,87,64.68
2010-09-03,89,66.15
2010-09-10,91,66.26
2010-09-17,80,66.65
2010-09-24,94,66.25
2010-10-01,81,67.00
2010-10-08,83,68.15
2010-10-15,81,67.95
2010-10-22,88,68.19
2010-10-29,91,66.55
2010-11-05,81,62.58
2010-11-12,90,63.52
2010-11-19,91,62.73
2010-11-26,86,62.20
2010-12-03,88,62.49
2010-12-10,72,62.46
2010-12-17,75,62.54
2010-12-24,79,
2010-12-31,69,63.28
2011-01-07,85,62.33
2011-01-14,81,63.98
2011-01-21,83,63.74
2011-01-28,81,63.79
2011-02-04,83,65.66
2011-02-11,87,71.26
2011-02-18,87,68.15
2011-02-25,90,67.98
2011-03-04,78,68.39
2011-03-11,76,68.08
2011-03-18,84,68.81
2011-03-25,81,69.48
2011-04-01,80,70.86
2011-04-08,70,69.42
2011-04-15,79,69.64
2011-04-22,66,
2011-04-29,67,69.66
2011-05-06,71,68.63
2011-05-13,75,70.94
2011-05-20,80,69.95
2011-05-27,82,69.29
2011-06-03,76,67.48
2011-06-10,75,66.62
2011-06-17,73,67.54
2011-06-24,74,66.29
2011-07-01,77,68.27
2011-07-08,79,68.12
2011-07-15,90,74.55
2011-07-22,82,74.36
2011-07-29,91,71.59
2011-08-05,85,67.18
2011-08-12,77,67.65
2011-08-19,73,64.00
2011-08-26,78,67.14
2011-09-02,83,68.59
2011-09-09,76,67.48
2011-09-16,84,69.47
2011-09-23,83,69.40
2011-09-30,87,66.33
2011-10-07,78,66.53
2011-10-14,85,68.10
2011-10-21,84,69.56
2011-10-28,80,66.23
2011-11-04,75,65.00
2011-11-11,84,65.63
2011-11-18,92,64.67
2011-11-25,82,63.97
2011-12-02,92,65.21
2011-12-09,77,65.03
2011-12-16,82,65.00
2011-12-23,84,66.59
2011-12-30,82,66.56
2012-01-06,86,67.16
2012-01-13,84,68.03
2012-01-20,77,69.99
2012-01-27,86,68.56
2012-02-03,97,69.86
2012-02-10,95,67.75
2012-02-17,81,68.49
2012-02-24,79,67.79
2012-03-02,82,67.53
2012-03-09,89,67.91
2012-03-16,81,68.21
2012-03-23,87,67.99
2012-03-30,84,68.75
2012-04-06,71,
2012-04-13,78,70.23
2012-04-20,80,70.24
2012-04-27,85,69.78
2012-05-04,86,67.46
2012-05-11,76,68.56
2012-05-18,76,67.64
2012-05-25,81,69.59
2012-06-01,74,69.36
2012-06-08,73,71.82
2012-06-15,86,72.56
2012-06-22,73,71.14
2012-06-29,83,72.46
2012-07-06,77,72.18
2012-07-13,88,73.08
2012-07-20,79,72.74
2012-07-27,79,73.12
2012-08-03,78,71.76
2012-08-10,81,71.85
2012-08-17,73,72.39
2012-08-24,80,72.31
2012-08-31,87,72.75
2012-09-07,78,72.78
2012-09-14,89,70.59
2012-09-21,92,71.40
2012-09-28,94,72.05
2012-10-05,100,73.74
2012-10-12,82,73.81
2012-10-19,83,74.99
2012-10-26,84,72.10
2012-11-02,76,73.05
2012-11-09,85,72.78
2012-11-16,81,74.29
2012-11-23,82,74.65
2012-11-30,75,76.35
2012-12-07,71,76.27
2012-12-14,80,75.40
2012-12-21,81,74.02
2012-12-28,72,72.66
2013-01-04,80,74.71
2013-01-11,92,75.68
2013-01-18,95,76.84
2013-01-25,85,77.54
2013-02-01,89,79.16
2013-02-08,86,80.73
2013-02-15,80,81.75
2013-02-22,84,83.13
2013-03-01,89,83.98
2013-03-08,87,84.21
2013-03-15,87,83.72
2013-03-22,83,86.46
2013-03-29,86,
2013-04-05,77,86.61
2013-04-12,82,88.76
2013-04-19,86,89.53
2013-04-26,82,86.67
2013-05-03,81,86.19
2013-05-10,80,86.15
2013-05-17,85,87.37
2013-05-24,76,86.61
2013-05-31,77,83.08
2013-06-07,84,84.47
2013-06-14,85,85.39
2013-06-21,80,82.58
2013-06-28,77,83.14
2013-07-05,78,83.82
2013-07-12,71,85.84
2013-07-19,74,87.45
2013-07-26,75,85.97
2013-08-02,80,85.32
2013-08-09,79,85.98
2013-08-16,73,84.09
2013-08-23,75,84.29
2013-08-30,86,82.70
2013-09-06,86,82.33
2013-09-13,89,83.91
2013-09-20,87,82.60
2013-09-27,87,82.21
2013-10-04,91,81.57
2013-10-11,89,84.31
2013-10-18,81,85.75
2013-10-25,83,88.64
2013-11-01,73,89.61
2013-11-08,82,89.88
2013-11-15,86,93.60
2013-11-22,80,93.70
2013-11-29,81,93.17
2013-12-06,70,95.83
2013-12-13,79,93.25
2013-12-20,72,92.96
2013-12-27,63,93.28
2014-01-03,74,91.49
2014-01-10,82,89.28
2014-01-17,87,89.97
2014-01-24,88,88.83
2014-01-31,86,88.27
2014-02-07,86,85.63
2014-02-14,81,88.11
2014-02-21,80,87.01
2014-02-28,83,87.28
2014-03-07,82,86.44
2014-03-14,75,87.37
2014-03-21,81,87.54
2014-03-28,82,88.09
2014-04-04,83,88.49
2014-04-11,83,88.24
2014-04-18,78,
2014-04-25,73,90.03
2014-05-02,78,
