Date,ECL,Price
2006-06-16,49,38.68
2006-06-23,55,39.13
2006-06-30,51,40.58
2006-07-07,49,40.02
2006-07-14,47,40.09
2006-07-21,45,41.22
2006-07-28,57,43.24
2006-08-04,49,43.24
2006-08-11,48,42.89
2006-08-18,40,44.22
2006-08-25,51,43.68
2006-09-01,40,44.82
2006-09-08,40,42.21
2006-09-15,48,41.98
2006-09-22,56,42.76
2006-09-29,65,42.82
2006-10-06,52,43.92
2006-10-13,55,44.20
2006-10-20,54,44.98
2006-10-27,46,45.29
2006-11-03,56,45.24
2006-11-10,50,45.30
2006-11-17,53,45.79
2006-11-24,52,46.00
2006-12-01,57,44.21
2006-12-08,51,45.52
2006-12-15,51,44.77
2006-12-22,43,44.94
2006-12-29,38,45.20
2007-01-05,42,43.96
2007-01-12,46,44.66
2007-01-19,50,44.12
2007-01-26,53,43.16
2007-02-02,50,44.27
2007-02-09,56,43.93
2007-02-16,51,44.52
2007-02-23,52,43.85
2007-03-02,51,41.39
2007-03-09,53,43.01
2007-03-16,55,42.16
2007-03-23,50,42.99
2007-03-30,54,43.00
2007-04-06,49,
2007-04-13,45,43.78
2007-04-20,52,44.64
2007-04-27,52,43.97
2007-05-04,47,42.76
2007-05-11,50,42.31
2007-05-18,55,43.96
2007-05-25,46,43.38
2007-06-01,55,43.06
2007-06-08,63,41.84
2007-06-15,50,43.63
2007-06-22,51,42.82
2007-06-29,44,42.70
2007-07-06,55,42.58
2007-07-13,49,43.80
2007-07-20,42,43.70
2007-07-27,45,41.82
2007-08-03,39,42.05
2007-08-10,42,41.90
2007-08-17,39,40.74
2007-08-24,44,41.38
2007-08-31,54,41.66
2007-09-07,55,40.84
2007-09-14,50,42.74
2007-09-21,49,46.28
2007-09-28,52,47.20
2007-10-05,48,47.00
2007-10-12,50,47.10
2007-10-19,42,45.65
2007-10-26,53,47.26
2007-11-02,55,46.32
2007-11-09,51,46.05
2007-11-16,50,46.03
2007-11-23,58,45.87
2007-11-30,49,47.90
2007-12-07,56,50.77
2007-12-14,52,51.39
2007-12-21,42,51.67
2007-12-28,33,52.07
2008-01-04,41,50.35
2008-01-11,55,49.21
2008-01-18,53,47.71
2008-01-25,53,46.32
2008-02-01,52,49.02
2008-02-08,47,47.65
2008-02-15,45,46.32
2008-02-22,48,46.95
2008-02-29,50,46.79
2008-03-07,42,45.00
2008-03-14,45,43.72
2008-03-21,43,
2008-03-28,49,42.88
2008-04-04,47,44.80
2008-04-11,54,44.59
2008-04-18,47,47.93
2008-04-25,57,47.50
2008-05-02,41,46.00
2008-05-09,47,45.15
2008-05-16,45,46.70
2008-05-23,49,43.77
2008-05-30,49,44.83
2008-06-06,54,44.41
2008-06-13,45,45.79
2008-06-20,44,44.15
2008-06-27,43,43.68
2008-07-04,44,
2008-07-11,49,43.02
2008-07-18,38,44.07
2008-07-25,35,43.79
2008-08-01,37,44.00
2008-08-08,37,45.10
2008-08-15,33,46.36
2008-08-22,34,45.64
2008-08-29,47,45.74
2008-09-05,44,45.46
2008-09-12,43,48.38
2008-09-19,46,50.01
2008-09-26,40,49.70
2008-10-03,55,45.12
2008-10-10,49,39.50
2008-10-17,45,39.85
2008-10-24,48,37.79
2008-10-31,51,37.26
2008-11-07,50,36.57
2008-11-14,46,32.77
2008-11-21,41,33.07
2008-11-28,46,38.39
2008-12-05,51,36.93
2008-12-12,38,35.56
2008-12-19,44,34.71
2008-12-26,27,34.06
2009-01-02,29,35.83
2009-01-09,52,33.51
2009-01-16,65,36.60
2009-01-23,39,34.97
2009-01-30,46,33.96
2009-02-06,46,35.78
2009-02-13,48,32.88
2009-02-20,48,32.79
2009-02-27,46,31.78
2009-03-06,50,29.90
2009-03-13,55,32.23
2009-03-20,57,32.32
2009-03-27,43,34.25
2009-04-03,38,35.82
2009-04-10,39,
2009-04-17,44,37.67
2009-04-24,45,37.91
2009-05-01,33,38.10
2009-05-08,40,38.34
2009-05-15,48,36.26
2009-05-22,46,36.72
2009-05-29,35,37.35
2009-06-05,40,37.40
2009-06-12,41,38.69
2009-06-19,43,37.81
2009-06-26,37,38.63
2009-07-03,42,
2009-07-10,34,37.31
2009-07-17,38,38.21
2009-07-24,39,40.10
2009-07-31,31,41.51
2009-08-07,38,42.01
2009-08-14,31,42.07
2009-08-21,32,42.98
2009-08-28,40,42.06
2009-09-04,46,42.78
2009-09-11,46,44.00
2009-09-18,42,47.05
2009-09-25,41,45.80
2009-10-02,44,44.90
2009-10-09,44,45.94
2009-10-16,43,46.29
2009-10-23,50,46.10
2009-10-30,39,43.96
2009-11-06,43,45.18
2009-11-13,38,45.93
2009-11-20,42,45.29
2009-11-27,32,44.45
2009-12-04,42,45.21
2009-12-11,41,45.17
2009-12-18,37,44.71
2009-12-25,25,
2010-01-01,27,
2010-01-08,46,45.29
2010-01-15,42,46.14
2010-01-22,36,44.87
2010-01-29,36,43.90
2010-02-05,42,43.37
2010-02-12,43,41.79
2010-02-19,38,42.57
2010-02-26,44,42.14
2010-03-05,42,43.10
2010-03-12,41,43.62
2010-03-19,45,43.19
2010-03-26,39,43.49
2010-04-02,32,
2010-04-09,39,45.02
2010-04-16,43,45.28
2010-04-23,36,47.62
2010-04-30,37,48.84
2010-05-07,38,47.74
2010-05-14,47,47.48
2010-05-21,48,46.65
2010-05-28,32,47.23
2010-06-04,40,46.19
2010-06-11,41,46.44
2010-06-18,40,47.00
2010-06-25,36,45.67
2010-07-02,39,44.92
2010-07-09,38,47.86
2010-07-16,34,47.57
2010-07-23,35,49.27
2010-07-30,34,48.91
2010-08-06,35,49.17
2010-08-13,32,47.70
2010-08-20,32,47.45
2010-08-27,34,47.62
2010-09-03,39,49.41
2010-09-10,37,48.79
2010-09-17,36,50.16
2010-09-24,41,50.95
2010-10-01,42,51.32
2010-10-08,37,51.64
2010-10-15,39,52.06
2010-10-22,44,51.56
2010-10-29,39,49.32
2010-11-05,46,49.65
2010-11-12,42,48.88
2010-11-19,33,49.07
2010-11-26,34,48.78
2010-12-03,45,47.59
2010-12-10,36,47.99
2010-12-17,38,50.07
2010-12-24,38,
2010-12-31,31,50.42
2011-01-07,51,49.25
2011-01-14,48,48.83
2011-01-21,41,50.14
2011-01-28,39,49.26
2011-02-04,40,50.28
2011-02-11,45,49.55
2011-02-18,40,49.35
2011-02-25,35,48.23
2011-03-04,38,48.35
2011-03-11,50,48.66
2011-03-18,41,47.74
2011-03-25,38,49.61
2011-04-01,34,51.57
2011-04-08,39,51.52
2011-04-15,41,50.94
2011-04-22,41,
2011-04-29,42,52.76
2011-05-06,39,51.88
2011-05-13,47,52.07
2011-05-20,52,52.38
2011-05-27,36,53.99
2011-06-03,35,54.10
2011-06-10,35,53.80
2011-06-17,47,53.95
2011-06-24,36,54.42
2011-07-01,35,56.76
2011-07-08,33,56.50
2011-07-15,34,55.72
2011-07-22,34,53.05
2011-07-29,37,50.00
2011-08-05,33,47.78
2011-08-12,25,47.06
2011-08-19,27,44.53
2011-08-26,32,50.80
2011-09-02,35,51.65
2011-09-09,36,50.20
2011-09-16,37,51.89
2011-09-23,32,49.04
2011-09-30,32,48.89
2011-10-07,34,50.25
2011-10-14,36,52.79
2011-10-21,37,53.92
2011-10-28,38,55.00
2011-11-04,35,55.03
2011-11-11,34,56.18
2011-11-18,35,54.22
2011-11-25,32,53.51
2011-12-02,33,55.84
2011-12-09,38,55.90
2011-12-16,32,54.72
2011-12-23,28,56.91
2011-12-30,24,57.81
2012-01-06,38,58.29
2012-01-13,46,59.69
2012-01-20,35,60.38
2012-01-27,38,60.51
2012-02-03,34,61.53
2012-02-10,41,61.20
2012-02-17,37,61.85
2012-02-24,36,62.69
2012-03-02,37,59.55
2012-03-09,39,59.71
2012-03-16,37,60.07
2012-03-23,40,60.27
2012-03-30,34,61.72
2012-04-06,33,
2012-04-13,29,61.61
2012-04-20,37,62.22
2012-04-27,38,63.81
2012-05-04,29,63.51
2012-05-11,34,64.71
2012-05-18,38,62.88
2012-05-25,43,64.35
2012-06-01,30,61.92
2012-06-08,33,66.54
2012-06-15,29,67.02
2012-06-22,33,66.53
2012-06-29,33,68.53
2012-07-06,29,67.82
2012-07-13,30,67.69
2012-07-20,31,67.23
2012-07-27,26,67.17
2012-08-03,26,64.41
2012-08-10,27,65.34
2012-08-17,25,66.79
2012-08-24,27,66.52
2012-08-31,30,64.03
2012-09-07,31,65.26
2012-09-14,36,64.12
2012-09-21,33,64.11
2012-09-28,34,64.81
2012-10-05,33,64.99
2012-10-12,31,66.24
2012-10-19,35,69.07
2012-10-26,34,69.56
2012-11-02,33,70.61
2012-11-09,37,69.87
2012-11-16,30,68.97
2012-11-23,31,70.35
2012-11-30,35,72.08
2012-12-07,44,72.72
2012-12-14,37,70.52
2012-12-21,30,71.20
2012-12-28,20,70.78
2013-01-04,26,74.35
2013-01-11,46,72.81
2013-01-18,35,73.82
2013-01-25,34,73.44
2013-02-01,35,73.87
2013-02-08,32,74.40
2013-02-15,33,75.21
2013-02-22,30,74.70
2013-03-01,33,76.77
2013-03-08,33,78.14
2013-03-15,38,79.64
2013-03-22,41,79.47
2013-03-29,31,
2013-04-05,29,79.34
2013-04-12,33,82.22
2013-04-19,34,82.23
2013-04-26,30,82.94
2013-05-03,29,85.58
2013-05-10,29,86.80
2013-05-17,38,89.09
2013-05-24,34,87.14
2013-05-31,28,84.47
2013-06-07,29,84.75
2013-06-14,31,84.03
2013-06-21,33,83.77
2013-06-28,32,85.19
2013-07-05,28,86.50
2013-07-12,38,90.29
2013-07-19,37,93.40
2013-07-26,25,92.99
2013-08-02,28,93.62
2013-08-09,24,93.04
2013-08-16,24,91.71
2013-08-23,26,91.71
2013-08-30,30,91.35
2013-09-06,32,92.73
2013-09-13,31,95.69
2013-09-20,31,98.13
2013-09-27,34,98.11
2013-10-04,31,99.34
2013-10-11,30,100.02
2013-10-18,32,103.51
2013-10-25,34,105.18
2013-11-01,32,105.69
2013-11-08,34,106.56
2013-11-15,29,107.61
2013-11-22,32,107.46
2013-11-29,31,107.17
2013-12-06,31,105.69
2013-12-13,33,102.58
2013-12-20,31,104.24
2013-12-27,19,104.47
2014-01-03,33,103.92
2014-01-10,52,105.39
2014-01-17,36,104.15
2014-01-24,32,99.35
2014-01-31,32,100.54
2014-02-07,33,100.13
2014-02-14,30,103.15
2014-02-21,34,102.19
2014-02-28,37,107.75
2014-03-07,35,109.84
2014-03-14,37,108.63
2014-03-21,31,110.73
2014-03-28,33,106.23
2014-04-04,34,107.18
2014-04-11,34,103.70
2014-04-18,34,
2014-04-25,33,105.23
2014-05-02,31,
