Date,AMAT,Price
2009-02-13,77,9.51
2009-02-20,83,8.76
2009-02-27,81,9.21
2009-03-06,79,8.70
2009-03-13,75,10.59
2009-03-20,83,10.21
2009-03-27,81,11.23
2009-04-03,79,11.81
2009-04-10,70,
2009-04-17,78,11.92
2009-04-24,76,11.70
2009-05-01,72,12.18
2009-05-08,75,11.89
2009-05-15,88,10.71
2009-05-22,76,10.67
2009-05-29,77,11.26
2009-06-05,71,10.98
2009-06-12,75,11.23
2009-06-19,74,10.98
2009-06-26,65,10.91
2009-07-03,71,
2009-07-10,71,11.00
2009-07-17,72,12.67
2009-07-24,69,13.19
2009-07-31,70,13.80
2009-08-07,70,13.52
2009-08-14,76,13.55
2009-08-21,64,13.74
2009-08-28,70,13.27
2009-09-04,76,13.45
2009-09-11,79,13.51
2009-09-18,78,13.03
2009-09-25,78,13.10
2009-10-02,70,12.68
2009-10-09,78,13.22
2009-10-16,75,13.38
2009-10-23,80,12.95
2009-10-30,72,12.20
2009-11-06,73,12.40
2009-11-13,79,12.72
2009-11-20,82,12.28
2009-11-27,75,12.29
2009-12-04,71,13.32
2009-12-11,68,13.38
2009-12-18,62,13.62
2009-12-25,62,
2010-01-01,69,
2010-01-08,69,14.55
2010-01-15,70,13.73
2010-01-22,67,12.63
2010-01-29,65,12.18
2010-02-05,69,12.23
2010-02-12,68,12.47
2010-02-19,66,12.50
2010-02-26,65,12.24
2010-03-05,68,12.29
2010-03-12,74,12.36
2010-03-19,65,12.49
2010-03-26,75,13.21
2010-04-02,67,
2010-04-09,77,13.47
2010-04-16,75,14.36
2010-04-23,71,14.47
2010-04-30,74,13.78
2010-05-07,67,12.50
2010-05-14,87,12.95
2010-05-21,67,12.72
2010-05-28,72,12.92
2010-06-04,67,12.57
2010-06-11,70,12.69
2010-06-18,81,13.34
2010-06-25,70,12.95
2010-07-02,72,12.00
2010-07-09,67,12.30
2010-07-16,67,12.19
2010-07-23,70,12.51
2010-07-30,72,11.80
2010-08-06,68,11.84
2010-08-13,61,11.17
2010-08-20,63,11.09
2010-08-27,68,10.69
2010-09-03,69,10.98
2010-09-10,76,10.68
2010-09-17,83,11.02
2010-09-24,81,11.63
2010-10-01,74,11.71
2010-10-08,73,11.82
2010-10-15,78,12.02
2010-10-22,78,12.13
2010-10-29,72,12.35
2010-11-05,72,12.98
2010-11-12,73,12.59
2010-11-19,74,12.53
2010-11-26,71,12.53
2010-12-03,66,13.06
2010-12-10,70,13.36
2010-12-17,66,13.61
2010-12-24,66,
2010-12-31,60,14.05
2011-01-07,67,13.96
2011-01-14,74,15.32
2011-01-21,73,15.01
2011-01-28,79,15.77
2011-02-04,82,16.49
2011-02-11,75,16.01
2011-02-18,76,16.47
2011-02-25,83,16.12
2011-03-04,71,16.73
2011-03-11,74,15.00
2011-03-18,70,14.84
2011-03-25,72,15.43
2011-04-01,74,15.53
2011-04-08,74,15.31
2011-04-15,74,14.72
2011-04-22,68,
2011-04-29,69,15.69
2011-05-06,72,15.23
2011-05-13,75,14.80
2011-05-20,74,14.09
2011-05-27,77,13.43
2011-06-03,75,12.96
2011-06-10,74,12.58
2011-06-17,67,12.41
2011-06-24,72,12.40
2011-07-01,68,13.29
2011-07-08,68,13.10
2011-07-15,68,12.45
2011-07-22,71,13.15
2011-07-29,60,12.32
2011-08-05,66,11.44
2011-08-12,66,11.60
2011-08-19,67,10.82
2011-08-26,70,11.06
2011-09-02,73,10.84
2011-09-09,77,10.73
2011-09-16,81,11.57
2011-09-23,74,10.59
2011-09-30,78,10.36
2011-10-07,100,10.71
2011-10-14,73,11.60
2011-10-21,74,11.69
2011-10-28,71,12.62
2011-11-04,70,12.42
2011-11-11,80,12.73
2011-11-18,74,11.23
2011-11-25,69,10.16
2011-12-02,68,10.83
2011-12-09,66,11.20
2011-12-16,67,10.33
2011-12-23,59,10.82
2011-12-30,58,10.71
2012-01-06,59,11.01
2012-01-13,67,11.50
2012-01-20,64,12.47
2012-01-27,68,12.23
2012-02-03,62,12.79
2012-02-10,60,12.95
2012-02-17,70,12.99
2012-02-24,64,12.63
2012-03-02,66,12.22
2012-03-09,64,12.37
2012-03-16,65,12.82
2012-03-23,69,12.69
2012-03-30,58,12.45
2012-04-06,59,
2012-04-13,61,11.80
2012-04-20,56,11.77
2012-04-27,60,12.03
2012-05-04,61,11.28
2012-05-11,64,10.98
2012-05-18,68,10.36
2012-05-25,62,10.54
2012-06-01,63,10.01
2012-06-08,60,10.76
2012-06-15,59,10.99
2012-06-22,66,11.24
2012-06-29,60,11.45
2012-07-06,59,11.04
2012-07-13,61,10.48
2012-07-20,64,10.51
2012-07-27,62,10.90
2012-08-03,58,11.22
2012-08-10,58,11.95
2012-08-17,58,12.00
2012-08-24,67,11.77
2012-08-31,66,11.69
2012-09-07,70,11.86
2012-09-14,77,12.05
2012-09-21,75,11.45
2012-09-28,73,11.17
2012-10-05,73,11.13
2012-10-12,70,10.90
2012-10-19,65,10.84
2012-10-26,63,10.65
2012-11-02,61,10.81
2012-11-09,66,10.67
2012-11-16,64,10.15
2012-11-23,61,10.40
2012-11-30,60,10.73
2012-12-07,63,10.97
2012-12-14,59,11.08
2012-12-21,58,11.50
2012-12-28,51,11.26
2013-01-04,55,11.81
2013-01-11,59,11.71
2013-01-18,60,12.65
2013-01-25,59,12.83
2013-02-01,61,13.17
2013-02-08,63,13.61
2013-02-15,59,13.74
2013-02-22,58,13.57
2013-03-01,65,13.59
2013-03-08,61,13.54
2013-03-15,58,13.31
2013-03-22,60,13.26
2013-03-29,54,
2013-04-05,59,13.20
2013-04-12,63,13.63
2013-04-19,59,12.93
2013-04-26,57,14.14
2013-05-03,59,14.83
2013-05-10,61,14.97
2013-05-17,70,14.96
2013-05-24,63,14.50
2013-05-31,78,15.20
2013-06-07,61,15.49
2013-06-14,61,15.41
2013-06-21,60,15.08
2013-06-28,66,14.92
2013-07-05,62,15.22
2013-07-12,63,16.66
2013-07-19,62,16.56
2013-07-26,60,16.13
2013-08-02,54,16.32
2013-08-09,61,15.67
2013-08-16,62,15.62
2013-08-23,60,15.62
2013-08-30,60,15.01
2013-09-06,66,15.51
2013-09-13,70,15.91
2013-09-20,69,15.93
2013-09-27,86,17.60
2013-10-04,63,17.57
2013-10-11,71,18.00
2013-10-18,69,18.05
2013-10-25,68,17.70
2013-11-01,66,17.70
2013-11-08,70,17.75
2013-11-15,67,17.52
2013-11-22,64,17.25
2013-11-29,65,17.30
2013-12-06,60,16.83
2013-12-13,61,16.70
2013-12-20,62,17.19
2013-12-27,64,17.43
2014-01-03,60,17.51
2014-01-10,67,17.47
2014-01-17,65,17.55
2014-01-24,59,17.17
2014-01-31,61,16.82
2014-02-07,61,17.18
2014-02-14,62,18.96
2014-02-21,64,19.10
2014-02-28,62,18.96
2014-03-07,69,19.64
2014-03-14,63,18.72
2014-03-21,64,20.17
2014-03-28,65,20.18
2014-04-04,65,20.25
2014-04-11,61,19.12
2014-04-18,63,
2014-04-25,60,18.62
2014-05-02,65,
