Date,IPG,Price
2006-04-28,70,9.58
2006-05-05,55,9.93
2006-05-12,59,9.80
2006-05-19,63,9.47
2006-05-26,61,9.35
2006-06-02,73,9.67
2006-06-09,48,8.90
2006-06-16,52,8.57
2006-06-23,63,8.53
2006-06-30,53,8.35
2006-07-07,56,8.14
2006-07-14,60,7.86
2006-07-21,63,7.98
2006-07-28,59,8.18
2006-08-04,58,8.44
2006-08-11,55,8.59
2006-08-18,52,8.98
2006-08-25,44,8.84
2006-09-01,55,9.27
2006-09-08,57,9.49
2006-09-15,66,9.87
2006-09-22,69,9.61
2006-09-29,59,9.90
2006-10-06,71,10.11
2006-10-13,63,10.37
2006-10-20,61,10.58
2006-10-27,60,10.71
2006-11-03,53,10.49
2006-11-10,62,11.42
2006-11-17,66,11.92
2006-11-24,54,11.91
2006-12-01,68,11.95
2006-12-08,67,11.60
2006-12-15,89,11.87
2006-12-22,66,11.91
2006-12-29,46,12.24
2007-01-05,45,12.28
2007-01-12,65,13.37
2007-01-19,55,13.65
2007-01-26,65,13.36
2007-02-02,63,13.18
2007-02-09,57,12.92
2007-02-16,57,12.55
2007-02-23,63,13.18
2007-03-02,51,12.32
2007-03-09,61,12.43
2007-03-16,66,12.42
2007-03-23,57,12.59
2007-03-30,47,12.31
2007-04-06,52,
2007-04-13,50,12.65
2007-04-20,49,12.92
2007-04-27,49,12.77
2007-05-04,60,12.80
2007-05-11,57,11.77
2007-05-18,57,11.71
2007-05-25,53,11.63
2007-06-01,43,11.81
2007-06-08,50,11.59
2007-06-15,43,11.60
2007-06-22,56,11.54
2007-06-29,53,11.40
2007-07-06,46,11.44
2007-07-13,61,11.36
2007-07-20,55,10.99
2007-07-27,49,10.24
2007-08-03,48,9.84
2007-08-10,60,11.27
2007-08-17,48,11.27
2007-08-24,55,11.04
2007-08-31,52,10.95
2007-09-07,53,10.73
2007-09-14,60,10.15
2007-09-21,67,10.56
2007-09-28,60,10.38
2007-10-05,53,10.37
2007-10-12,60,10.55
2007-10-19,58,9.93
2007-10-26,63,10.09
2007-11-02,50,9.41
2007-11-09,60,8.98
2007-11-16,42,9.28
2007-11-23,61,9.02
2007-11-30,62,9.49
2007-12-07,60,8.95
2007-12-14,54,8.15
2007-12-21,48,8.23
2007-12-28,43,8.22
2008-01-04,41,7.67
2008-01-11,63,7.40
2008-01-18,54,7.77
2008-01-25,54,8.47
2008-02-01,58,8.98
2008-02-08,56,8.26
2008-02-15,62,8.52
2008-02-22,61,8.49
2008-02-29,52,8.62
2008-03-07,58,8.24
2008-03-14,59,8.15
2008-03-21,57,
2008-03-28,51,8.40
2008-04-04,59,8.35
2008-04-11,61,8.01
2008-04-18,52,8.23
2008-04-25,55,8.43
2008-05-02,52,9.43
2008-05-09,61,9.72
2008-05-16,49,10.07
2008-05-23,45,9.60
2008-05-30,53,9.97
2008-06-06,46,9.50
2008-06-13,48,9.36
2008-06-20,59,9.03
2008-06-27,56,8.62
2008-07-04,55,
2008-07-11,55,7.63
2008-07-18,52,7.74
2008-07-25,58,7.93
2008-08-01,57,8.71
2008-08-08,57,8.94
2008-08-15,60,9.57
2008-08-22,45,9.35
2008-08-29,59,9.40
2008-09-05,51,9.00
2008-09-12,61,8.81
2008-09-19,68,8.53
2008-09-26,55,8.14
2008-10-03,55,7.05
2008-10-10,49,5.31
2008-10-17,44,4.98
2008-10-24,60,4.22
2008-10-31,54,5.19
2008-11-07,50,4.81
2008-11-14,57,3.90
2008-11-21,51,3.67
2008-11-28,48,4.09
2008-12-05,48,3.70
2008-12-12,48,3.77
2008-12-19,42,4.18
2008-12-26,36,3.69
2009-01-02,33,4.28
2009-01-09,52,4.08
2009-01-16,49,3.83
2009-01-23,53,3.50
2009-01-30,51,3.33
2009-02-06,48,3.59
2009-02-13,58,3.68
2009-02-20,47,3.23
2009-02-27,48,3.81
2009-03-06,56,3.77
2009-03-13,49,4.01
2009-03-20,56,3.98
2009-03-27,45,4.26
2009-04-03,54,4.84
2009-04-10,45,
2009-04-17,48,5.66
2009-04-24,53,5.54
2009-05-01,48,6.32
2009-05-08,46,5.83
2009-05-15,45,5.09
2009-05-22,45,5.04
2009-05-29,47,5.24
2009-06-05,44,5.70
2009-06-12,47,6.00
2009-06-19,46,5.56
2009-06-26,53,5.10
2009-07-03,45,
2009-07-10,48,4.80
2009-07-17,48,5.44
2009-07-24,39,6.30
2009-07-31,50,5.21
2009-08-07,46,6.06
2009-08-14,44,6.26
2009-08-21,51,6.47
2009-08-28,48,6.42
2009-09-04,48,6.18
2009-09-11,46,6.75
2009-09-18,48,7.47
2009-09-25,51,7.02
2009-10-02,50,6.84
2009-10-09,55,7.07
2009-10-16,48,6.79
2009-10-23,45,6.12
2009-10-30,50,6.02
2009-11-06,50,6.47
2009-11-13,49,6.77
2009-11-20,49,6.83
2009-11-27,41,6.46
2009-12-04,43,6.36
2009-12-11,41,7.24
2009-12-18,46,7.17
2009-12-25,29,
2010-01-01,29,
2010-01-08,47,7.27
2010-01-15,49,7.16
2010-01-22,49,6.85
2010-01-29,53,6.46
2010-02-05,52,6.39
2010-02-12,50,6.72
2010-02-19,49,7.11
2010-02-26,50,7.50
2010-03-05,54,8.45
2010-03-12,59,8.42
2010-03-19,51,8.61
2010-03-26,57,8.33
2010-04-02,47,
2010-04-09,44,8.72
2010-04-16,51,8.96
2010-04-23,55,9.73
2010-04-30,55,8.91
2010-05-07,46,7.72
2010-05-14,44,8.05
2010-05-21,53,7.77
2010-05-28,44,8.35
2010-06-04,43,7.84
2010-06-11,50,7.98
2010-06-18,55,8.32
2010-06-25,56,7.71
2010-07-02,61,6.93
2010-07-09,46,7.72
2010-07-16,52,7.32
2010-07-23,48,8.18
2010-07-30,46,9.14
2010-08-06,51,9.29
2010-08-13,47,8.64
2010-08-20,45,8.57
2010-08-27,51,8.69
2010-09-03,43,9.20
2010-09-10,43,9.54
2010-09-17,54,9.65
2010-09-24,51,10.07
2010-10-01,55,10.15
2010-10-08,49,10.47
2010-10-15,63,10.81
2010-10-22,57,10.43
2010-10-29,50,10.35
2010-11-05,53,10.64
2010-11-12,56,10.54
2010-11-19,51,10.57
2010-11-26,49,10.60
2010-12-03,48,10.82
2010-12-10,53,11.11
2010-12-17,45,10.83
2010-12-24,39,
2010-12-31,41,10.62
2011-01-07,49,11.11
2011-01-14,59,11.10
2011-01-21,68,10.94
2011-01-28,50,10.72
2011-02-04,48,11.75
2011-02-11,51,12.31
2011-02-18,51,12.64
2011-02-25,50,12.57
2011-03-04,62,13.03
2011-03-11,64,12.71
2011-03-18,54,11.92
2011-03-25,64,12.10
2011-04-01,56,12.62
2011-04-08,59,12.10
2011-04-15,69,11.88
2011-04-22,52,
2011-04-29,45,11.75
2011-05-06,54,11.32
2011-05-13,58,11.56
2011-05-20,55,11.89
2011-05-27,62,11.86
2011-06-03,46,11.40
2011-06-10,56,11.50
2011-06-17,65,11.36
2011-06-24,63,11.46
2011-07-01,64,12.71
2011-07-08,59,12.72
2011-07-15,52,12.12
2011-07-22,56,12.66
2011-07-29,61,9.81
2011-08-05,59,8.37
2011-08-12,50,8.64
2011-08-19,53,7.74
2011-08-26,58,8.08
2011-09-02,41,7.85
2011-09-09,50,7.49
2011-09-16,54,7.96
2011-09-23,54,7.24
2011-09-30,55,7.20
2011-10-07,55,7.60
2011-10-14,49,8.01
2011-10-21,55,8.43
2011-10-28,52,9.92
2011-11-04,49,9.68
2011-11-11,50,9.58
2011-11-18,54,8.96
2011-11-25,49,8.41
2011-12-02,47,9.54
2011-12-09,54,9.58
2011-12-16,58,9.09
2011-12-23,53,9.69
2011-12-30,54,9.73
2012-01-06,66,10.33
2012-01-13,65,10.53
2012-01-20,63,10.52
2012-01-27,56,10.20
2012-02-03,59,10.86
2012-02-10,58,10.73
2012-02-17,59,10.83
2012-02-24,63,11.62
2012-03-02,68,11.57
2012-03-09,68,11.80
2012-03-16,58,11.80
2012-03-23,100,11.37
2012-03-30,80,11.41
2012-04-06,66,
2012-04-13,60,10.78
2012-04-20,62,10.87
2012-04-27,64,11.73
2012-05-04,80,11.50
2012-05-11,61,11.60
2012-05-18,66,10.75
2012-05-25,62,10.74
2012-06-01,53,10.07
2012-06-08,60,10.84
2012-06-15,73,10.50
2012-06-22,84,10.32
2012-06-29,71,10.85
2012-07-06,64,10.85
2012-07-13,59,10.70
2012-07-20,50,11.59
2012-07-27,62,10.12
2012-08-03,56,10.97
2012-08-10,50,10.74
2012-08-17,49,11.27
2012-08-24,42,10.81
2012-08-31,46,10.64
2012-09-07,50,10.98
2012-09-14,56,11.65
2012-09-21,52,11.58
2012-09-28,56,11.12
2012-10-05,57,11.47
2012-10-12,59,11.26
2012-10-19,56,10.90
2012-10-26,53,10.29
2012-11-02,53,9.92
2012-11-09,53,9.96
2012-11-16,48,9.59
2012-11-23,48,10.32
2012-11-30,48,10.82
2012-12-07,52,10.78
2012-12-14,62,10.90
2012-12-21,57,11.15
2012-12-28,44,10.78
2013-01-04,55,11.76
2013-01-11,64,11.68
2013-01-18,57,11.94
2013-01-25,55,12.17
2013-02-01,56,12.25
2013-02-08,56,12.16
2013-02-15,48,12.57
2013-02-22,59,12.58
2013-03-01,58,12.79
2013-03-08,56,13.10
2013-03-15,59,13.31
2013-03-22,65,13.04
2013-03-29,74,
2013-04-05,59,13.18
2013-04-12,57,13.65
2013-04-19,62,13.47
2013-04-26,98,13.97
2013-05-03,63,14.05
2013-05-10,82,14.88
2013-05-17,63,14.78
2013-05-24,54,14.56
2013-05-31,53,14.22
2013-06-07,57,14.66
2013-06-14,64,14.51
2013-06-21,88,14.27
2013-06-28,75,14.55
2013-07-05,61,15.04
2013-07-12,62,15.71
2013-07-19,63,15.58
2013-07-26,51,15.87
2013-08-02,60,16.40
2013-08-09,45,16.13
2013-08-16,42,15.92
2013-08-23,48,16.01
2013-08-30,47,15.72
2013-09-06,49,16.16
2013-09-13,52,16.86
2013-09-20,52,17.28
2013-09-27,56,17.15
2013-10-04,55,16.99
2013-10-11,48,16.93
2013-10-18,52,16.04
2013-10-25,53,16.15
2013-11-01,54,16.91
2013-11-08,51,16.94
2013-11-15,53,16.95
2013-11-22,50,17.34
2013-11-29,48,17.40
2013-12-06,50,16.88
2013-12-13,46,16.50
2013-12-20,56,16.90
2013-12-27,38,17.42
2014-01-03,42,17.62
2014-01-10,50,17.63
2014-01-17,52,17.46
2014-01-24,59,16.79
2014-01-31,50,16.32
2014-02-07,50,16.60
2014-02-14,49,16.48
2014-02-21,51,16.84
2014-02-28,51,17.72
2014-03-07,53,17.75
2014-03-14,61,17.10
2014-03-21,65,17.01
2014-03-28,74,17.04
2014-04-04,59,16.92
2014-04-11,92,16.28
2014-04-18,72,
2014-04-25,52,17.20
2014-05-02,51,
