Date,buy C,Price
2009-05-29,64,3.72
2009-06-05,57,3.46
2009-06-12,66,3.47
2009-06-19,61,3.17
2009-06-26,55,3.03
2009-07-03,62,
2009-07-10,61,2.59
2009-07-17,56,3.02
2009-07-24,58,2.73
2009-07-31,68,3.17
2009-08-07,70,3.85
2009-08-14,73,4.04
2009-08-21,62,4.70
2009-08-28,70,5.23
2009-09-04,62,4.85
2009-09-11,65,4.61
2009-09-18,67,4.26
2009-09-25,56,4.38
2009-10-02,70,4.52
2009-10-09,61,4.63
2009-10-16,60,4.59
2009-10-23,57,4.46
2009-10-30,72,4.09
2009-11-06,55,4.06
2009-11-13,67,4.05
2009-11-20,57,4.20
2009-11-27,75,4.06
2009-12-04,75,4.06
2009-12-11,68,3.95
2009-12-18,81,3.40
2009-12-25,77,
2010-01-01,70,
2010-01-08,64,3.59
2010-01-15,63,3.42
2010-01-22,70,3.25
2010-01-29,66,3.32
2010-02-05,69,3.22
2010-02-12,58,3.18
2010-02-19,73,3.42
2010-02-26,55,3.40
2010-03-05,57,3.50
2010-03-12,61,3.97
2010-03-19,54,3.90
2010-03-26,67,4.31
2010-04-02,56,
2010-04-09,60,4.55
2010-04-16,58,4.56
2010-04-23,61,4.86
2010-04-30,64,4.37
2010-05-07,72,4.00
2010-05-14,62,3.98
2010-05-21,58,3.75
2010-05-28,60,3.96
2010-06-04,56,3.79
2010-06-11,60,3.88
2010-06-18,69,4.01
2010-06-25,67,3.94
2010-07-02,66,3.79
2010-07-09,66,4.04
2010-07-16,68,3.90
2010-07-23,70,4.02
2010-07-30,69,4.10
2010-08-06,78,4.06
2010-08-13,76,3.88
2010-08-20,65,3.75
2010-08-27,75,3.76
2010-09-03,63,3.91
2010-09-10,71,3.91
2010-09-17,78,3.95
2010-09-24,71,3.90
2010-10-01,91,4.09
2010-10-08,73,4.19
2010-10-15,77,3.95
2010-10-22,75,4.11
2010-10-29,66,4.17
2010-11-05,63,4.49
2010-11-12,77,4.29
2010-11-19,84,4.27
2010-11-26,89,4.11
2010-12-03,87,4.45
2010-12-10,90,4.77
2010-12-17,90,4.70
2010-12-24,86,
2010-12-31,87,4.73
2011-01-07,86,4.94
2011-01-14,88,5.13
2011-01-21,87,4.89
2011-01-28,87,4.72
2011-02-04,86,4.82
2011-02-11,85,4.88
2011-02-18,85,4.91
2011-02-25,80,4.70
2011-03-04,79,4.54
2011-03-11,69,4.57
2011-03-18,68,4.50
2011-03-25,67,4.46
2011-04-01,67,4.45
2011-04-08,79,4.56
2011-04-15,66,4.42
2011-04-22,65,
2011-04-29,71,4.59
2011-05-06,62,4.52
2011-05-13,78,41.53
2011-05-20,82,41.02
2011-05-27,76,40.97
2011-06-03,74,39.85
2011-06-10,77,37.92
2011-06-17,66,38.30
2011-06-24,77,39.59
2011-07-01,71,42.88
2011-07-08,82,42.03
2011-07-15,78,38.38
2011-07-22,88,40.26
2011-07-29,81,38.34
2011-08-05,82,33.44
2011-08-12,84,29.85
2011-08-19,76,26.77
2011-08-26,80,29.84
2011-09-02,80,28.40
2011-09-09,86,26.74
2011-09-16,82,28.99
2011-09-23,73,24.98
2011-09-30,80,25.62
2011-10-07,84,24.63
2011-10-14,79,28.40
2011-10-21,84,30.30
2011-10-28,85,34.16
2011-11-04,70,30.34
2011-11-11,87,29.33
2011-11-18,81,26.28
2011-11-25,92,23.63
2011-12-02,92,28.17
2011-12-09,89,28.77
2011-12-16,87,26.03
2011-12-23,99,27.46
2011-12-30,93,26.31
2012-01-06,86,28.55
2012-01-13,85,30.74
2012-01-20,87,29.64
2012-01-27,84,30.87
2012-02-03,75,33.54
2012-02-10,73,32.93
2012-02-17,87,32.92
2012-02-24,84,32.35
2012-03-02,82,34.10
2012-03-09,86,34.20
2012-03-16,75,36.69
2012-03-23,85,37.13
2012-03-30,84,36.55
2012-04-06,70,
2012-04-13,72,33.41
2012-04-20,70,33.89
2012-04-27,72,33.50
2012-05-04,70,31.60
2012-05-11,72,29.35
2012-05-18,76,26.01
2012-05-25,75,26.47
2012-06-01,79,25.39
2012-06-08,68,27.77
2012-06-15,74,28.31
2012-06-22,75,27.99
2012-06-29,79,27.41
2012-07-06,77,26.36
2012-07-13,79,26.65
2012-07-20,76,25.87
2012-07-27,83,27.30
2012-08-03,85,27.40
2012-08-10,81,28.90
2012-08-17,79,29.03
2012-08-24,89,29.83
2012-08-31,75,29.71
2012-09-07,84,32.07
2012-09-14,73,34.79
2012-09-21,79,33.67
2012-09-28,75,32.72
2012-10-05,74,34.77
2012-10-12,68,34.75
2012-10-19,79,37.16
2012-10-26,85,36.60
2012-11-02,79,37.60
2012-11-09,76,35.93
2012-11-16,86,34.98
2012-11-23,83,36.03
2012-11-30,94,34.57
2012-12-07,74,37.64
2012-12-14,84,37.60
2012-12-21,89,39.49
2012-12-28,89,39.01
2013-01-04,91,42.43
2013-01-11,75,42.34
2013-01-18,76,41.66
2013-01-25,81,42.91
2013-02-01,87,43.02
2013-02-08,73,42.68
2013-02-15,78,43.84
2013-02-22,69,42.79
2013-03-01,80,42.11
2013-03-08,80,46.68
2013-03-15,71,47.26
2013-03-22,73,45.23
2013-03-29,77,
2013-04-05,78,43.01
2013-04-12,73,44.78
2013-04-19,71,45.03
2013-04-26,79,46.92
2013-05-03,76,46.97
2013-05-10,76,48.75
2013-05-17,74,51.45
2013-05-24,74,50.52
2013-05-31,84,51.99
2013-06-07,78,51.60
2013-06-14,73,49.22
2013-06-21,79,46.87
2013-06-28,71,47.97
2013-07-05,71,48.53
2013-07-12,75,50.81
2013-07-19,75,52.35
2013-07-26,80,52.21
2013-08-02,78,53.00
2013-08-09,82,51.32
2013-08-16,77,50.35
2013-08-23,77,49.83
2013-08-30,92,48.33
2013-09-06,77,49.22
2013-09-13,94,50.49
2013-09-20,98,51.21
2013-09-27,93,48.89
2013-10-04,90,49.14
2013-10-11,90,49.22
2013-10-18,100,51.15
2013-10-25,86,50.06
2013-11-01,99,48.74
2013-11-08,87,49.94
2013-11-15,88,50.40
2013-11-22,85,52.41
2013-11-29,100,52.92
2013-12-06,91,51.49
2013-12-13,95,50.97
2013-12-20,97,52.21
2013-12-27,95,52.26
2014-01-03,98,53.40
2014-01-10,95,54.72
2014-01-17,82,52.27
2014-01-24,87,49.33
2014-01-31,87,47.43
2014-02-07,86,49.34
2014-02-14,87,49.52
2014-02-21,83,48.26
2014-02-28,87,48.63
2014-03-07,84,49.62
2014-03-14,82,46.88
2014-03-21,85,50.08
2014-03-28,81,47.25
2014-04-04,82,47.11
2014-04-11,79,45.68
2014-04-18,87,
2014-04-25,84,47.75
2014-05-02,89,
