Date,Kimberly-Clark,Price
2007-09-28,27,70.26
2007-10-05,38,70.03
2007-10-12,35,70.50
2007-10-19,40,67.14
2007-10-26,40,70.88
2007-11-02,39,69.16
2007-11-09,44,68.13
2007-11-16,35,69.15
2007-11-23,47,68.25
2007-11-30,39,69.81
2007-12-07,39,69.33
2007-12-14,30,68.11
2007-12-21,30,69.29
2007-12-28,19,69.94
2008-01-04,30,68.97
2008-01-11,30,66.77
2008-01-18,39,65.06
2008-01-25,52,64.08
2008-02-01,42,67.04
2008-02-08,32,64.57
2008-02-15,45,64.43
2008-02-22,42,65.04
2008-02-29,35,65.18
2008-03-07,39,63.52
2008-03-14,34,62.99
2008-03-21,37,
2008-03-28,27,64.08
2008-04-04,35,65.28
2008-04-11,40,63.38
2008-04-18,33,63.34
2008-04-25,37,63.77
2008-05-02,31,64.63
2008-05-09,29,62.35
2008-05-16,27,63.42
2008-05-23,35,62.79
2008-05-30,35,63.80
2008-06-06,29,62.11
2008-06-13,30,62.62
2008-06-20,28,61.18
2008-06-27,35,59.87
2008-07-04,32,
2008-07-11,42,59.32
2008-07-18,41,54.99
2008-07-25,30,55.99
2008-08-01,29,57.85
2008-08-08,33,61.42
2008-08-15,31,62.92
2008-08-22,24,62.03
2008-08-29,28,61.68
2008-09-05,31,62.19
2008-09-12,23,64.58
2008-09-19,31,66.06
2008-09-26,34,66.07
2008-10-03,25,64.39
2008-10-10,29,56.62
2008-10-17,24,59.99
2008-10-24,30,55.01
2008-10-31,35,61.29
2008-11-07,29,57.94
2008-11-14,31,57.37
2008-11-21,30,55.56
2008-11-28,23,57.79
2008-12-05,37,54.95
2008-12-12,27,51.53
2008-12-19,19,51.11
2008-12-26,17,52.04
2009-01-02,16,53.65
2009-01-09,30,50.45
2009-01-16,28,53.22
2009-01-23,26,51.99
2009-01-30,23,51.47
2009-02-06,28,51.48
2009-02-13,32,49.76
2009-02-20,26,47.99
2009-02-27,32,47.11
2009-03-06,31,43.92
2009-03-13,31,46.02
2009-03-20,33,45.98
2009-03-27,24,47.54
2009-04-03,22,49.00
2009-04-10,22,
2009-04-17,34,50.24
2009-04-24,33,49.31
2009-05-01,31,49.75
2009-05-08,27,51.95
2009-05-15,26,50.49
2009-05-22,27,51.15
2009-05-29,22,51.89
2009-06-05,29,52.41
2009-06-12,20,52.73
2009-06-19,21,50.67
2009-06-26,23,52.35
2009-07-03,19,
2009-07-10,24,51.95
2009-07-17,21,54.47
2009-07-24,25,58.02
2009-07-31,25,58.45
2009-08-07,30,57.56
2009-08-14,27,58.94
2009-08-21,21,59.53
2009-08-28,23,59.76
2009-09-04,27,58.20
2009-09-11,17,58.50
2009-09-18,23,57.88
2009-09-25,25,57.70
2009-10-02,19,58.87
2009-10-09,24,59.26
2009-10-16,24,59.07
2009-10-23,28,61.57
2009-10-30,19,61.16
2009-11-06,21,63.71
2009-11-13,20,64.04
2009-11-20,22,64.75
2009-11-27,19,65.56
2009-12-04,16,65.87
2009-12-11,19,64.71
2009-12-18,14,63.33
2009-12-25,11,
2010-01-01,12,
2010-01-08,14,62.71
2010-01-15,18,62.22
2010-01-22,26,60.23
2010-01-29,21,59.39
2010-02-05,21,58.96
2010-02-12,23,58.86
2010-02-19,18,60.25
2010-02-26,18,60.74
2010-03-05,22,60.11
2010-03-12,25,60.08
2010-03-19,18,61.43
2010-03-26,25,62.81
2010-04-02,18,
2010-04-09,20,61.68
2010-04-16,21,61.82
2010-04-23,20,60.93
2010-04-30,23,61.26
2010-05-07,18,61.00
2010-05-14,23,61.61
2010-05-21,20,61.62
2010-05-28,17,60.70
2010-06-04,18,60.18
2010-06-11,20,62.15
2010-06-18,25,62.78
2010-06-25,24,61.47
2010-07-02,18,60.49
2010-07-09,21,61.70
2010-07-16,17,62.06
2010-07-23,16,63.64
2010-07-30,14,64.12
2010-08-06,12,65.29
2010-08-13,21,64.81
2010-08-20,16,64.71
2010-08-27,21,64.46
2010-09-03,16,66.18
2010-09-10,17,66.26
2010-09-17,20,66.37
2010-09-24,20,66.05
2010-10-01,19,65.03
2010-10-08,17,66.45
2010-10-15,19,66.38
2010-10-22,23,66.56
2010-10-29,23,63.34
2010-11-05,19,63.03
2010-11-12,20,62.02
2010-11-19,19,61.84
2010-11-26,13,61.64
2010-12-03,17,62.01
2010-12-10,16,61.70
2010-12-17,15,62.74
2010-12-24,12,
2010-12-31,14,63.04
2011-01-07,15,62.99
2011-01-14,18,63.64
2011-01-21,16,64.28
2011-01-28,19,64.73
2011-02-04,19,65.01
2011-02-11,13,65.85
2011-02-18,18,65.66
2011-02-25,18,65.08
2011-03-04,14,64.77
2011-03-11,19,64.65
2011-03-18,21,64.29
2011-03-25,18,65.10
2011-04-01,20,65.38
2011-04-08,17,65.43
2011-04-15,17,65.59
2011-04-22,17,
2011-04-29,20,66.06
2011-05-06,17,66.88
2011-05-13,21,68.29
2011-05-20,16,68.18
2011-05-27,18,67.66
2011-06-03,18,66.02
2011-06-10,17,64.62
2011-06-17,15,66.22
2011-06-24,15,65.36
2011-07-01,13,66.90
2011-07-08,15,66.62
2011-07-15,15,67.10
2011-07-22,17,67.90
2011-07-29,16,65.36
2011-08-05,17,64.07
2011-08-12,16,65.14
2011-08-19,16,65.35
2011-08-26,17,67.83
2011-09-02,17,68.13
2011-09-09,18,67.23
2011-09-16,18,69.78
2011-09-23,18,69.97
2011-09-30,20,71.01
2011-10-07,16,70.96
2011-10-14,17,71.91
2011-10-21,17,73.00
2011-10-28,18,70.37
2011-11-04,25,69.71
2011-11-11,20,71.10
2011-11-18,21,70.10
2011-11-25,17,68.69
2011-12-02,17,70.73
2011-12-09,15,70.14
2011-12-16,12,71.28
2011-12-23,13,73.73
2011-12-30,9,73.56
2012-01-06,14,72.63
2012-01-13,15,72.70
2012-01-20,15,73.83
2012-01-27,17,71.13
2012-02-03,18,72.23
2012-02-10,17,71.56
2012-02-17,14,71.57
2012-02-24,16,71.81
2012-03-02,17,72.35
2012-03-09,15,71.77
2012-03-16,15,72.92
2012-03-23,17,73.13
2012-03-30,18,73.89
2012-04-06,15,
2012-04-13,16,74.35
2012-04-20,12,76.47
2012-04-27,16,78.68
2012-05-04,14,78.29
2012-05-11,14,79.39
2012-05-18,18,78.83
2012-05-25,18,79.46
2012-06-01,14,78.28
2012-06-08,18,81.20
2012-06-15,17,82.48
2012-06-22,17,81.38
2012-06-29,16,83.77
2012-07-06,14,83.91
2012-07-13,16,85.21
2012-07-20,15,84.83
2012-07-27,17,87.32
2012-08-03,15,85.35
2012-08-10,18,82.82
2012-08-17,19,83.95
2012-08-24,20,83.66
2012-08-31,17,83.60
2012-09-07,16,82.93
2012-09-14,17,82.68
2012-09-21,13,85.32
2012-09-28,16,85.78
2012-10-05,13,86.89
2012-10-12,14,85.65
2012-10-19,15,86.88
2012-10-26,15,82.75
2012-11-02,14,83.34
2012-11-09,19,83.13
2012-11-16,15,85.03
2012-11-23,13,87.34
2012-11-30,15,85.72
2012-12-07,14,85.91
2012-12-14,13,85.05
2012-12-21,13,84.05
2012-12-28,6,83.13
2013-01-04,10,86.36
2013-01-11,13,85.10
2013-01-18,16,86.82
2013-01-25,11,86.26
2013-02-01,15,90.01
2013-02-08,15,90.90
2013-02-15,15,91.20
2013-02-22,14,94.50
2013-03-01,14,94.30
2013-03-08,12,94.19
2013-03-15,14,93.26
2013-03-22,15,95.66
2013-03-29,15,
2013-04-05,13,99.31
2013-04-12,12,101.23
2013-04-19,16,106.10
2013-04-26,14,103.12
2013-05-03,11,105.38
2013-05-10,13,103.43
2013-05-17,14,104.35
2013-05-24,13,103.51
2013-05-31,12,96.83
2013-06-07,12,97.12
2013-06-14,11,97.86
2013-06-21,13,95.78
2013-06-28,15,97.14
2013-07-05,10,97.39
2013-07-12,14,99.88
2013-07-19,13,99.49
2013-07-26,13,98.39
2013-08-02,11,99.61
2013-08-09,13,98.53
2013-08-16,17,94.94
2013-08-23,14,95.89
2013-08-30,10,93.48
2013-09-06,11,93.06
2013-09-13,15,95.69
2013-09-20,17,96.20
2013-09-27,12,94.79
2013-10-04,13,94.26
2013-10-11,13,96.95
2013-10-18,11,99.18
2013-10-25,12,105.51
2013-11-01,11,108.01
2013-11-08,11,108.03
2013-11-15,15,109.26
2013-11-22,13,109.00
2013-11-29,10,109.16
2013-12-06,12,105.58
2013-12-13,11,103.92
2013-12-20,9,105.18
2013-12-27,6,105.10
2014-01-03,8,104.35
2014-01-10,10,104.86
2014-01-17,12,105.46
2014-01-24,12,107.40
2014-01-31,10,109.37
2014-02-07,10,106.90
2014-02-14,11,110.24
2014-02-21,10,109.85
2014-02-28,11,110.35
2014-03-07,10,108.95
2014-03-14,13,109.66
2014-03-21,9,110.16
2014-03-28,12,109.82
2014-04-04,12,109.77
2014-04-11,10,109.75
2014-04-18,11,
2014-04-25,12,109.24
2014-05-02,9,
