Date,buy HOT,Price
2007-05-18,55,69.20
2007-05-25,50,67.36
2007-06-01,55,73.71
2007-06-08,55,70.36
2007-06-15,54,71.66
2007-06-22,45,70.32
2007-06-29,49,67.07
2007-07-06,48,74.46
2007-07-13,44,75.09
2007-07-20,55,72.78
2007-07-27,50,63.33
2007-08-03,52,60.33
2007-08-10,55,56.17
2007-08-17,50,55.47
2007-08-24,47,62.15
2007-08-31,51,61.12
2007-09-07,46,56.31
2007-09-14,51,56.99
2007-09-21,47,58.75
2007-09-28,47,60.75
2007-10-05,48,60.27
2007-10-12,53,60.66
2007-10-19,44,58.47
2007-10-26,52,55.55
2007-11-02,52,55.79
2007-11-09,48,51.82
2007-11-16,56,51.93
2007-11-23,53,53.50
2007-11-30,66,53.68
2007-12-07,59,53.70
2007-12-14,62,46.62
2007-12-21,68,45.66
2007-12-28,57,43.35
2008-01-04,62,39.93
2008-01-11,47,39.45
2008-01-18,46,38.97
2008-01-25,51,42.53
2008-02-01,56,46.71
2008-02-08,53,45.48
2008-02-15,54,48.05
2008-02-22,55,49.74
2008-02-29,45,47.33
2008-03-07,50,48.98
2008-03-14,55,50.70
2008-03-21,46,
2008-03-28,46,51.49
2008-04-04,48,52.22
2008-04-11,50,49.13
2008-04-18,44,50.38
2008-04-25,50,53.16
2008-05-02,54,54.30
2008-05-09,44,52.13
2008-05-16,55,53.01
2008-05-23,51,48.81
2008-05-30,52,48.40
2008-06-06,68,45.99
2008-06-13,49,46.80
2008-06-20,49,44.44
2008-06-27,54,40.26
2008-07-04,54,
2008-07-11,46,34.16
2008-07-18,52,37.61
2008-07-25,59,35.00
2008-08-01,51,35.61
2008-08-08,54,39.80
2008-08-15,58,40.71
2008-08-22,47,36.70
2008-08-29,49,36.25
2008-09-05,52,36.93
2008-09-12,48,38.70
2008-09-19,50,36.47
2008-09-26,53,30.27
2008-10-03,49,24.59
2008-10-10,55,21.03
2008-10-17,62,21.25
2008-10-24,59,19.29
2008-10-31,54,22.54
2008-11-07,58,18.94
2008-11-14,68,14.99
2008-11-21,64,12.20
2008-11-28,77,16.86
2008-12-05,65,16.05
2008-12-12,72,15.51
2008-12-19,72,17.54
2008-12-26,72,17.09
2009-01-02,67,20.80
2009-01-09,53,21.42
2009-01-16,55,17.34
2009-01-23,47,16.17
2009-01-30,60,15.12
2009-02-06,61,15.31
2009-02-13,63,12.63
2009-02-20,56,11.57
2009-02-27,61,11.59
2009-03-06,56,9.52
2009-03-13,52,12.27
2009-03-20,59,11.64
2009-03-27,66,13.91
2009-04-03,55,16.08
2009-04-10,61,
2009-04-17,61,17.97
2009-04-24,61,20.82
2009-05-01,53,19.60
2009-05-08,55,22.08
2009-05-15,63,19.85
2009-05-22,53,21.61
2009-05-29,55,24.47
2009-06-05,64,25.14
2009-06-12,62,24.42
2009-06-19,57,22.65
2009-06-26,55,22.59
2009-07-03,64,
2009-07-10,57,19.75
2009-07-17,60,20.65
2009-07-24,63,22.92
2009-07-31,63,23.61
2009-08-07,68,29.68
2009-08-14,68,28.44
2009-08-21,67,30.35
2009-08-28,61,30.57
2009-09-04,57,28.57
2009-09-11,54,30.85
2009-09-18,55,34.09
2009-09-25,62,31.48
2009-10-02,54,29.70
2009-10-09,67,33.26
2009-10-16,63,35.38
2009-10-23,64,33.00
2009-10-30,71,29.06
2009-11-06,61,31.09
2009-11-13,63,33.58
2009-11-20,60,32.05
2009-11-27,78,31.60
2009-12-04,73,33.44
2009-12-11,76,34.00
2009-12-18,78,36.55
2009-12-25,80,
2010-01-01,74,
2010-01-08,60,37.62
2010-01-15,60,38.93
2010-01-22,56,35.95
2010-01-29,57,33.32
2010-02-05,56,36.75
2010-02-12,67,36.95
2010-02-19,59,38.06
2010-02-26,61,38.70
2010-03-05,56,41.38
2010-03-12,56,42.33
2010-03-19,54,42.57
2010-03-26,62,46.21
2010-04-02,62,
2010-04-09,61,50.00
2010-04-16,58,48.29
2010-04-23,62,53.95
2010-04-30,64,54.51
2010-05-07,58,46.99
2010-05-14,54,48.13
2010-05-21,59,45.31
2010-05-28,64,46.25
2010-06-04,59,44.07
2010-06-11,60,46.95
2010-06-18,61,48.29
2010-06-25,61,45.64
2010-07-02,68,40.88
2010-07-09,65,44.95
2010-07-16,66,43.17
2010-07-23,70,47.68
2010-07-30,60,48.45
2010-08-06,66,49.49
2010-08-13,71,46.72
2010-08-20,65,47.15
2010-08-27,62,47.45
2010-09-03,61,50.67
2010-09-10,63,50.67
2010-09-17,68,51.94
2010-09-24,66,52.56
2010-10-01,68,52.76
2010-10-08,59,55.01
2010-10-15,59,55.18
2010-10-22,69,56.96
2010-10-29,74,54.14
2010-11-05,72,59.29
2010-11-12,79,56.35
2010-11-19,84,56.66
2010-11-26,100,57.77
2010-12-03,90,58.84
2010-12-10,95,61.23
2010-12-17,97,59.75
2010-12-24,100,
2010-12-31,96,60.78
2011-01-07,81,61.29
2011-01-14,76,62.89
2011-01-21,70,62.00
2011-01-28,76,58.44
2011-02-04,72,61.71
2011-02-11,68,65.01
2011-02-18,70,65.09
2011-02-25,63,61.55
2011-03-04,62,58.98
2011-03-11,65,57.84
2011-03-18,60,57.81
2011-03-25,65,58.74
2011-04-01,66,57.77
2011-04-08,69,56.43
2011-04-15,67,57.48
2011-04-22,72,
2011-04-29,71,59.57
2011-05-06,64,58.71
2011-05-13,72,58.14
2011-05-20,69,59.21
2011-05-27,68,60.48
2011-06-03,67,58.03
2011-06-10,69,54.98
2011-06-17,68,51.88
2011-06-24,68,53.25
2011-07-01,72,58.18
2011-07-08,67,58.13
2011-07-15,76,55.86
2011-07-22,71,57.87
2011-07-29,70,54.96
2011-08-05,69,46.84
2011-08-12,73,43.78
2011-08-19,73,38.43
2011-08-26,68,41.26
2011-09-02,68,42.04
2011-09-09,65,39.62
2011-09-16,70,45.46
2011-09-23,68,39.72
2011-09-30,67,38.82
2011-10-07,65,40.93
2011-10-14,64,47.32
2011-10-21,70,48.23
2011-10-28,73,51.98
2011-11-04,66,50.63
2011-11-11,74,50.24
2011-11-18,68,49.08
2011-11-25,83,43.41
2011-12-02,79,48.43
2011-12-09,80,48.37
2011-12-16,80,45.42
2011-12-23,89,48.75
2011-12-30,81,47.97
2012-01-06,64,50.42
2012-01-13,65,51.31
2012-01-20,66,53.55
2012-01-27,63,54.36
2012-02-03,66,56.72
2012-02-10,68,55.67
2012-02-17,71,55.06
2012-02-24,71,54.99
2012-03-02,63,54.19
2012-03-09,67,54.89
2012-03-16,61,56.03
2012-03-23,65,57.56
2012-03-30,62,56.41
2012-04-06,62,
2012-04-13,62,56.08
2012-04-20,60,57.61
2012-04-27,63,60.19
2012-05-04,64,57.54
2012-05-11,63,56.69
2012-05-18,62,50.46
2012-05-25,62,53.38
2012-06-01,60,49.13
2012-06-08,62,52.09
2012-06-15,63,51.27
2012-06-22,67,52.33
2012-06-29,65,53.04
2012-07-06,64,53.44
2012-07-13,63,50.62
2012-07-20,69,51.91
2012-07-27,67,54.03
2012-08-03,69,55.71
2012-08-10,67,54.22
2012-08-17,68,55.01
2012-08-24,65,54.41
2012-08-31,69,55.13
2012-09-07,67,57.86
2012-09-14,65,60.70
2012-09-21,61,58.87
2012-09-28,67,57.96
2012-10-05,64,57.26
2012-10-12,61,56.27
2012-10-19,66,55.72
2012-10-26,65,51.95
2012-11-02,61,51.57
2012-11-09,65,51.75
2012-11-16,68,51.52
2012-11-23,83,53.47
2012-11-30,76,53.96
2012-12-07,77,54.30
2012-12-14,84,54.04
2012-12-21,86,57.63
2012-12-28,80,56.14
2013-01-04,77,60.38
2013-01-11,65,59.56
2013-01-18,67,60.02
2013-01-25,64,60.89
2013-02-01,66,61.87
2013-02-08,65,62.81
2013-02-15,58,62.26
2013-02-22,60,60.05
2013-03-01,56,60.51
2013-03-08,59,62.56
2013-03-15,60,63.32
2013-03-22,58,60.78
2013-03-29,68,
2013-04-05,60,60.14
2013-04-12,62,63.86
2013-04-19,60,61.23
2013-04-26,56,62.09
2013-05-03,67,65.21
2013-05-10,61,67.88
2013-05-17,61,67.49
2013-05-24,63,68.45
2013-05-31,62,68.30
2013-06-07,66,69.17
2013-06-14,61,66.36
2013-06-21,58,62.49
2013-06-28,61,63.19
2013-07-05,67,65.40
2013-07-12,67,66.75
2013-07-19,65,66.15
2013-07-26,68,65.94
2013-08-02,67,68.23
2013-08-09,66,66.65
2013-08-16,65,64.46
2013-08-23,63,65.67
2013-08-30,64,63.94
2013-09-06,55,65.74
2013-09-13,60,68.08
2013-09-20,61,67.64
2013-09-27,56,66.99
2013-10-04,61,66.98
2013-10-11,63,67.49
2013-10-18,67,70.61
2013-10-25,66,74.56
2013-11-01,67,74.63
2013-11-08,66,74.44
2013-11-15,69,74.92
2013-11-22,70,74.00
2013-11-29,80,74.48
2013-12-06,78,73.98
2013-12-13,81,74.20
2013-12-20,86,78.90
2013-12-27,81,79.03
2014-01-03,70,78.58
2014-01-10,70,78.75
2014-01-17,62,78.87
2014-01-24,62,76.61
2014-01-31,66,74.71
2014-02-07,64,76.47
2014-02-14,64,78.62
2014-02-21,62,80.10
2014-02-28,62,82.46
2014-03-07,59,80.66
2014-03-14,59,78.08
2014-03-21,58,78.23
2014-03-28,58,78.45
2014-04-04,57,78.50
2014-04-11,54,75.15
2014-04-18,60,
2014-04-25,60,75.00
2014-05-02,58,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
