Date,YUM,Price
2006-08-25,79,47.52
2006-09-01,73,49.38
2006-09-08,72,49.65
2006-09-15,77,52.90
2006-09-22,74,52.49
2006-09-29,71,52.05
2006-10-06,77,54.00
2006-10-13,74,58.03
2006-10-20,66,58.05
2006-10-27,85,58.96
2006-11-03,82,58.02
2006-11-10,77,60.74
2006-11-17,72,62.00
2006-11-24,75,63.12
2006-12-01,74,60.95
2006-12-08,70,59.72
2006-12-15,69,58.68
2006-12-22,68,58.77
2006-12-29,66,58.80
2007-01-05,68,58.19
2007-01-12,69,59.87
2007-01-19,65,59.00
2007-01-26,72,59.24
2007-02-02,68,59.67
2007-02-09,68,60.49
2007-02-16,73,60.27
2007-02-23,79,60.51
2007-03-02,68,56.51
2007-03-09,69,57.72
2007-03-16,75,57.74
2007-03-23,64,59.45
2007-03-30,65,57.76
2007-04-06,70,
2007-04-13,65,59.63
2007-04-20,61,61.07
2007-04-27,66,62.84
2007-05-04,61,67.01
2007-05-11,63,66.69
2007-05-18,63,66.89
2007-05-25,56,67.30
2007-06-01,64,68.25
2007-06-08,67,67.22
2007-06-15,67,68.22
2007-06-22,60,64.83
2007-06-29,59,32.72
2007-07-06,62,34.05
2007-07-13,68,34.48
2007-07-20,70,34.13
2007-07-27,65,31.79
2007-08-03,65,31.30
2007-08-10,62,31.19
2007-08-17,61,31.30
2007-08-24,60,33.10
2007-08-31,59,32.72
2007-09-07,58,31.71
2007-09-14,64,32.50
2007-09-21,65,34.28
2007-09-28,58,33.83
2007-10-05,61,34.35
2007-10-12,68,37.24
2007-10-19,60,37.47
2007-10-26,63,39.13
2007-11-02,60,39.07
2007-11-09,63,37.78
2007-11-16,75,38.07
2007-11-23,61,37.65
2007-11-30,59,37.15
2007-12-07,63,39.48
2007-12-14,62,38.39
2007-12-21,61,38.47
2007-12-28,53,38.54
2008-01-04,64,36.82
2008-01-11,61,36.34
2008-01-18,58,33.39
2008-01-25,56,36.24
2008-02-01,59,35.24
2008-02-08,59,34.15
2008-02-15,58,35.26
2008-02-22,58,34.85
2008-02-29,58,34.45
2008-03-07,59,35.13
2008-03-14,57,36.03
2008-03-21,54,
2008-03-28,57,36.85
2008-04-04,59,38.88
2008-04-11,58,37.47
2008-04-18,57,39.72
2008-04-25,60,41.05
2008-05-02,58,40.50
2008-05-09,58,39.74
2008-05-16,58,40.83
2008-05-23,60,38.49
2008-05-30,58,39.70
2008-06-06,58,37.89
2008-06-13,57,37.87
2008-06-20,58,36.53
2008-06-27,58,35.01
2008-07-04,58,
2008-07-11,59,35.68
2008-07-18,61,35.15
2008-07-25,59,34.17
2008-08-01,61,35.35
2008-08-08,59,38.22
2008-08-15,63,37.40
2008-08-22,61,36.37
2008-08-29,58,35.68
2008-09-05,55,36.96
2008-09-12,62,38.05
2008-09-19,59,39.23
2008-09-26,58,33.94
2008-10-03,59,30.79
2008-10-10,71,27.57
2008-10-17,59,27.80
2008-10-24,56,26.02
2008-10-31,53,29.01
2008-11-07,57,27.33
2008-11-14,59,24.98
2008-11-21,58,24.22
2008-11-28,56,26.94
2008-12-05,61,29.00
2008-12-12,62,27.86
2008-12-19,56,30.39
2008-12-26,57,30.28
2009-01-02,57,32.00
2009-01-09,59,30.62
2009-01-16,61,29.91
2009-01-23,56,29.08
2009-01-30,58,28.62
2009-02-06,59,30.08
2009-02-13,61,29.14
2009-02-20,61,28.13
2009-02-27,58,26.28
2009-03-06,62,24.50
2009-03-13,59,26.98
2009-03-20,62,26.61
2009-03-27,59,28.79
2009-04-03,61,30.33
2009-04-10,60,
2009-04-17,57,32.07
2009-04-24,58,34.87
2009-05-01,57,33.10
2009-05-08,61,33.92
2009-05-15,55,33.16
2009-05-22,56,33.85
2009-05-29,53,34.63
2009-06-05,53,35.76
2009-06-12,59,35.01
2009-06-19,57,34.48
2009-06-26,57,33.23
2009-07-03,54,
2009-07-10,57,34.98
2009-07-17,62,33.61
2009-07-24,54,33.90
2009-07-31,56,35.46
2009-08-07,58,36.56
2009-08-14,53,34.94
2009-08-21,56,36.02
2009-08-28,57,34.92
2009-09-04,55,34.04
2009-09-11,54,33.40
2009-09-18,57,34.74
2009-09-25,55,32.50
2009-10-02,58,33.15
2009-10-09,58,35.00
2009-10-16,55,35.25
2009-10-23,54,34.29
2009-10-30,52,32.95
2009-11-06,52,35.23
2009-11-13,52,35.29
2009-11-20,57,35.73
2009-11-27,53,35.40
2009-12-04,54,34.03
2009-12-11,54,34.46
2009-12-18,52,34.51
2009-12-25,51,
2010-01-01,50,
2010-01-08,51,34.72
2010-01-15,52,35.67
2010-01-22,54,34.29
2010-01-29,52,34.21
2010-02-05,52,32.98
2010-02-12,55,33.36
2010-02-19,54,33.79
2010-02-26,52,33.72
2010-03-05,53,34.87
2010-03-12,56,37.47
2010-03-19,53,37.94
2010-03-26,52,38.27
2010-04-02,58,
2010-04-09,56,40.70
2010-04-16,55,42.70
2010-04-23,56,43.44
2010-04-30,53,42.42
2010-05-07,54,39.61
2010-05-14,54,40.57
2010-05-21,52,40.15
2010-05-28,55,40.95
2010-06-04,53,40.86
2010-06-11,55,42.00
2010-06-18,54,42.49
2010-06-25,51,40.96
2010-07-02,51,38.53
2010-07-09,50,40.27
2010-07-16,57,40.07
2010-07-23,54,41.62
2010-07-30,53,41.30
2010-08-06,53,42.36
2010-08-13,54,40.85
2010-08-20,54,42.32
2010-08-27,54,42.32
2010-09-03,54,44.35
2010-09-10,53,44.52
2010-09-17,59,45.75
2010-09-24,54,46.50
2010-10-01,55,46.48
2010-10-08,57,47.65
2010-10-15,56,48.85
2010-10-22,57,49.57
2010-10-29,56,49.56
2010-11-05,56,51.33
2010-11-12,58,50.79
2010-11-19,61,50.79
2010-11-26,52,50.05
2010-12-03,55,50.57
2010-12-10,56,50.26
2010-12-17,53,50.05
2010-12-24,53,
2010-12-31,52,49.05
2011-01-07,53,49.52
2011-01-14,56,47.84
2011-01-21,57,48.27
2011-01-28,57,46.40
2011-02-04,53,49.30
2011-02-11,54,49.77
2011-02-18,53,51.17
2011-02-25,52,50.01
2011-03-04,56,50.97
2011-03-11,54,52.58
2011-03-18,52,51.00
2011-03-25,53,51.84
2011-04-01,58,51.40
2011-04-08,58,49.58
2011-04-15,58,51.12
2011-04-22,60,
2011-04-29,55,53.64
2011-05-06,54,53.64
2011-05-13,55,54.86
2011-05-20,55,56.26
2011-05-27,57,55.45
2011-06-03,56,54.42
2011-06-10,53,52.80
2011-06-17,55,54.83
2011-06-24,53,53.84
2011-07-01,57,56.75
2011-07-08,55,55.61
2011-07-15,57,55.51
2011-07-22,55,54.57
2011-07-29,54,52.82
2011-08-05,55,50.71
2011-08-12,53,51.34
2011-08-19,56,49.41
2011-08-26,53,52.77
2011-09-02,52,52.65
2011-09-09,52,51.53
2011-09-16,53,53.85
2011-09-23,52,51.66
2011-09-30,52,49.39
2011-10-07,55,49.24
2011-10-14,54,52.14
2011-10-21,54,53.74
2011-10-28,53,54.14
2011-11-04,51,53.98
2011-11-11,56,55.81
2011-11-18,54,53.84
2011-11-25,51,52.72
2011-12-02,53,56.25
2011-12-09,52,57.96
2011-12-16,53,57.70
2011-12-23,50,59.03
2011-12-30,49,59.01
2012-01-06,56,59.85
2012-01-13,57,61.23
2012-01-20,57,62.48
2012-01-27,56,62.85
2012-02-03,57,63.84
2012-02-10,58,64.74
2012-02-17,60,65.25
2012-02-24,55,65.54
2012-03-02,56,66.24
2012-03-09,54,67.41
2012-03-16,66,68.40
2012-03-23,55,70.64
2012-03-30,54,71.18
2012-04-06,53,
2012-04-13,59,72.86
2012-04-20,54,73.93
2012-04-27,56,73.32
2012-05-04,55,71.15
2012-05-11,56,71.70
2012-05-18,55,67.43
2012-05-25,55,70.40
2012-06-01,54,64.70
2012-06-08,56,64.59
2012-06-15,53,64.99
2012-06-22,52,66.11
2012-06-29,51,64.42
2012-07-06,51,64.92
2012-07-13,54,64.72
2012-07-20,57,64.95
2012-07-27,55,66.73
2012-08-03,55,67.53
2012-08-10,56,66.83
2012-08-17,55,66.10
2012-08-24,56,64.03
2012-08-31,55,63.72
2012-09-07,54,65.75
2012-09-14,53,66.56
2012-09-21,54,68.52
2012-09-28,60,66.34
2012-10-05,56,66.00
2012-10-12,57,69.45
2012-10-19,54,70.09
2012-10-26,53,69.90
2012-11-02,52,72.12
2012-11-09,51,71.97
2012-11-16,53,71.89
2012-11-23,51,74.00
2012-11-30,54,67.08
2012-12-07,54,66.30
2012-12-14,51,67.90
2012-12-21,54,63.88
2012-12-28,51,64.72
2013-01-04,53,68.32
2013-01-11,57,66.87
2013-01-18,57,65.15
2013-01-25,56,64.63
2013-02-01,59,65.93
2013-02-08,61,65.30
2013-02-15,58,63.99
2013-02-22,57,65.45
2013-03-01,56,65.21
2013-03-08,56,67.72
2013-03-15,57,70.20
2013-03-22,55,69.69
2013-03-29,56,
2013-04-05,56,66.97
2013-04-12,57,67.80
2013-04-19,55,65.04
2013-04-26,55,66.86
2013-05-03,55,68.91
2013-05-10,56,70.36
2013-05-17,52,70.16
2013-05-24,52,69.21
2013-05-31,52,67.75
2013-06-07,52,73.52
2013-06-14,56,71.11
2013-06-21,55,68.98
2013-06-28,55,69.34
2013-07-05,55,71.66
2013-07-12,57,70.64
2013-07-19,56,72.08
2013-07-26,56,74.00
2013-08-02,55,74.39
2013-08-09,56,74.40
2013-08-16,59,72.16
2013-08-23,56,72.57
2013-08-30,59,70.02
2013-09-06,52,69.61
2013-09-13,58,72.53
2013-09-20,56,72.09
2013-09-27,55,72.13
2013-10-04,54,71.53
2013-10-11,56,67.00
2013-10-18,56,66.68
2013-10-25,58,66.57
2013-11-01,57,68.48
2013-11-08,57,70.57
2013-11-15,59,73.98
2013-11-22,61,78.30
2013-11-29,57,77.68
2013-12-06,57,74.37
2013-12-13,59,71.81
2013-12-20,59,73.39
2013-12-27,54,73.87
2014-01-03,62,75.56
2014-01-10,63,75.02
2014-01-17,63,72.10
2014-01-24,71,68.82
2014-01-31,65,67.15
2014-02-07,62,71.73
2014-02-14,62,73.42
2014-02-21,62,72.85
2014-02-28,62,74.08
2014-03-07,63,77.16
2014-03-14,58,75.08
2014-03-21,57,75.27
2014-03-28,58,74.20
2014-04-04,60,75.44
2014-04-11,65,74.37
2014-04-18,65,
2014-04-25,62,77.67
2014-05-02,56,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
