Date,ABC,Price
2008-11-28,63,31.35
2008-12-05,62,30.75
2008-12-12,61,33.06
2008-12-19,60,34.40
2008-12-26,53,34.41
2009-01-02,54,35.57
2009-01-09,66,35.93
2009-01-16,66,37.41
2009-01-23,82,36.07
2009-01-30,73,36.32
2009-02-06,67,38.76
2009-02-13,73,37.35
2009-02-20,67,35.65
2009-02-27,69,31.76
2009-03-06,73,30.71
2009-03-13,62,31.25
2009-03-20,65,30.58
2009-03-27,64,32.29
2009-04-03,65,32.77
2009-04-10,60,
2009-04-17,60,34.84
2009-04-24,60,34.58
2009-05-01,64,34.35
2009-05-08,61,36.29
2009-05-15,65,34.99
2009-05-22,64,36.58
2009-05-29,56,37.10
2009-06-05,56,36.38
2009-06-12,55,36.55
2009-06-19,54,18.31
2009-06-26,61,18.17
2009-07-03,58,
2009-07-10,62,17.72
2009-07-17,57,18.98
2009-07-24,54,19.31
2009-07-31,58,19.72
2009-08-07,55,20.34
2009-08-14,53,20.44
2009-08-21,54,21.05
2009-08-28,55,21.20
2009-09-04,57,21.29
2009-09-11,56,21.66
2009-09-18,60,21.76
2009-09-25,65,21.51
2009-10-02,61,21.62
2009-10-09,57,22.61
2009-10-16,56,23.53
2009-10-23,55,23.19
2009-10-30,55,22.15
2009-11-06,60,23.62
2009-11-13,57,24.60
2009-11-20,55,24.49
2009-11-27,56,24.86
2009-12-04,56,24.67
2009-12-11,54,24.79
2009-12-18,52,26.03
2009-12-25,47,
2010-01-01,49,
2010-01-08,57,26.05
2010-01-15,54,26.92
2010-01-22,56,26.66
2010-01-29,55,27.26
2010-02-05,64,27.01
2010-02-12,64,27.35
2010-02-19,57,28.14
2010-02-26,58,28.04
2010-03-05,59,28.41
2010-03-12,60,27.93
2010-03-19,53,28.68
2010-03-26,56,28.59
2010-04-02,53,
2010-04-09,55,29.47
2010-04-16,54,29.88
2010-04-23,55,31.13
2010-04-30,56,30.85
2010-05-07,55,29.91
2010-05-14,59,31.31
2010-05-21,62,30.83
2010-05-28,66,31.28
2010-06-04,55,30.77
2010-06-11,59,31.92
2010-06-18,57,32.56
2010-06-25,61,31.87
2010-07-02,56,30.92
2010-07-09,58,31.84
2010-07-16,56,32.14
2010-07-23,53,30.53
2010-07-30,51,29.97
2010-08-06,54,30.24
2010-08-13,51,29.04
2010-08-20,56,28.92
2010-08-27,57,27.73
2010-09-03,55,28.08
2010-09-10,56,28.47
2010-09-17,54,30.18
2010-09-24,61,31.35
2010-10-01,57,30.85
2010-10-08,55,31.67
2010-10-15,54,32.29
2010-10-22,54,32.06
2010-10-29,55,32.83
2010-11-05,57,31.68
2010-11-12,53,31.32
2010-11-19,54,31.02
2010-11-26,58,30.89
2010-12-03,57,32.14
2010-12-10,54,32.11
2010-12-17,52,33.18
2010-12-24,50,
2010-12-31,50,34.12
2011-01-07,58,34.93
2011-01-14,65,35.43
2011-01-21,56,36.10
2011-01-28,57,36.00
2011-02-04,63,36.56
2011-02-11,53,36.66
2011-02-18,51,37.79
2011-02-25,54,37.39
2011-03-04,60,37.67
2011-03-11,59,37.02
2011-03-18,58,37.30
2011-03-25,57,39.29
2011-04-01,56,40.35
2011-04-08,55,40.20
2011-04-15,55,39.59
2011-04-22,52,
2011-04-29,59,40.64
2011-05-06,63,41.47
2011-05-13,56,42.04
2011-05-20,61,41.59
2011-05-27,60,41.06
2011-06-03,57,40.35
2011-06-10,54,41.12
2011-06-17,55,41.00
2011-06-24,53,40.14
2011-07-01,52,42.12
2011-07-08,52,42.65
2011-07-15,56,41.99
2011-07-22,55,40.52
2011-07-29,53,38.31
2011-08-05,54,36.81
2011-08-12,54,38.30
2011-08-19,52,37.54
2011-08-26,58,38.48
2011-09-02,57,38.81
2011-09-09,54,38.40
2011-09-16,55,39.31
2011-09-23,61,37.76
2011-09-30,59,37.27
2011-10-07,58,35.78
2011-10-14,56,38.18
2011-10-21,61,39.71
2011-10-28,60,42.08
2011-11-04,58,39.22
2011-11-11,61,39.67
2011-11-18,59,37.28
2011-11-25,62,35.98
2011-12-02,58,37.01
2011-12-09,57,36.37
2011-12-16,58,36.75
2011-12-23,55,37.42
2011-12-30,50,37.19
2012-01-06,62,38.59
2012-01-13,59,37.80
2012-01-20,61,40.09
2012-01-27,59,38.98
2012-02-03,59,39.23
2012-02-10,58,38.60
2012-02-17,60,36.68
2012-02-24,61,37.70
2012-03-02,65,36.59
2012-03-09,60,37.86
2012-03-16,58,38.32
2012-03-23,59,38.96
2012-03-30,61,39.66
2012-04-06,54,
2012-04-13,58,37.53
2012-04-20,59,37.75
2012-04-27,57,36.90
2012-05-04,56,36.17
2012-05-11,57,36.62
2012-05-18,59,35.99
2012-05-25,58,36.90
2012-06-01,54,36.28
2012-06-08,55,37.06
2012-06-15,58,37.29
2012-06-22,59,37.93
2012-06-29,56,39.35
2012-07-06,53,38.76
2012-07-13,56,39.64
2012-07-20,56,39.21
2012-07-27,56,38.66
2012-08-03,50,39.39
2012-08-10,52,38.69
2012-08-17,51,37.54
2012-08-24,52,38.10
2012-08-31,55,38.52
2012-09-07,56,38.18
2012-09-14,57,37.36
2012-09-21,59,38.97
2012-09-28,64,38.71
2012-10-05,67,39.52
2012-10-12,61,39.50
2012-10-19,61,40.28
2012-10-26,66,39.34
2012-11-02,71,40.50
2012-11-09,73,40.47
2012-11-16,58,40.26
2012-11-23,58,41.38
2012-11-30,58,42.22
2012-12-07,57,42.27
2012-12-14,64,43.36
2012-12-21,60,43.64
2012-12-28,51,42.82
2013-01-04,57,43.69
2013-01-11,60,43.84
2013-01-18,58,45.85
2013-01-25,60,45.03
2013-02-01,60,46.53
2013-02-08,63,46.89
2013-02-15,61,46.60
2013-02-22,60,46.95
2013-03-01,63,47.98
2013-03-08,61,48.48
2013-03-15,60,48.89
2013-03-22,57,49.82
2013-03-29,54,
2013-04-05,56,52.08
2013-04-12,58,54.18
2013-04-19,71,55.92
2013-04-26,57,53.26
2013-05-03,54,54.57
2013-05-10,58,54.84
2013-05-17,56,54.99
2013-05-24,59,54.44
2013-05-31,52,54.08
2013-06-07,58,52.94
2013-06-14,60,54.93
2013-06-21,57,54.34
2013-06-28,58,55.83
2013-07-05,54,55.56
2013-07-12,56,58.39
2013-07-19,59,58.81
2013-07-26,58,58.47
2013-08-02,55,58.48
2013-08-09,55,59.49
2013-08-16,54,56.53
2013-08-23,54,57.45
2013-08-30,55,56.92
2013-09-06,56,58.24
2013-09-13,59,60.28
2013-09-20,55,61.65
2013-09-27,60,61.28
2013-10-04,61,62.47
2013-10-11,59,62.65
2013-10-18,57,64.61
2013-10-25,60,65.24
2013-11-01,57,66.38
2013-11-08,57,68.00
2013-11-15,56,69.50
2013-11-22,58,70.02
2013-11-29,58,70.53
2013-12-06,60,70.29
2013-12-13,57,68.45
2013-12-20,53,69.82
2013-12-27,49,70.21
2014-01-03,55,69.94
2014-01-10,61,71.34
2014-01-17,56,70.53
2014-01-24,56,67.25
2014-01-31,57,67.22
2014-02-07,55,66.54
2014-02-14,56,68.00
2014-02-21,52,68.40
2014-02-28,56,67.85
2014-03-07,62,68.94
2014-03-14,62,67.57
2014-03-21,61,64.82
2014-03-28,58,64.82
2014-04-04,53,65.05
2014-04-11,55,64.17
2014-04-18,51,
2014-04-25,51,62.83
2014-05-02,53,
