Date,FMC,Price
2005-11-04,77,51.56
2005-11-11,69,51.52
2005-11-18,76,49.20
2005-11-25,64,52.81
2005-12-02,72,55.41
2005-12-09,71,54.05
2005-12-16,84,52.67
2005-12-23,73,53.60
2005-12-30,52,53.17
2006-01-06,59,55.07
2006-01-13,87,54.26
2006-01-20,94,52.20
2006-01-27,86,55.74
2006-02-03,80,56.43
2006-02-10,85,59.92
2006-02-17,76,62.56
2006-02-24,93,61.19
2006-03-03,86,61.42
2006-03-10,81,61.10
2006-03-17,72,62.54
2006-03-24,81,62.00
2006-03-31,92,61.98
2006-04-07,78,61.94
2006-04-14,79,
2006-04-21,73,63.77
2006-04-28,84,63.56
2006-05-05,85,66.07
2006-05-12,83,64.79
2006-05-19,76,63.13
2006-05-26,70,63.72
2006-06-02,81,66.44
2006-06-09,88,62.42
2006-06-16,74,63.97
2006-06-23,86,63.85
2006-06-30,82,64.39
2006-07-07,69,64.17
2006-07-14,80,61.70
2006-07-21,82,60.38
2006-07-28,93,62.35
2006-08-04,80,58.86
2006-08-11,82,58.44
2006-08-18,83,61.62
2006-08-25,79,60.30
2006-09-01,78,61.54
2006-09-08,67,61.68
2006-09-15,89,62.77
2006-09-22,78,61.65
2006-09-29,75,64.07
2006-10-06,81,67.04
2006-10-13,70,68.15
2006-10-20,76,68.17
2006-10-27,82,68.83
2006-11-03,70,68.54
2006-11-10,73,69.58
2006-11-17,69,70.04
2006-11-24,62,71.58
2006-12-01,75,71.20
2006-12-08,67,72.90
2006-12-15,68,75.23
2006-12-22,61,74.88
2006-12-29,47,76.55
2007-01-05,64,74.12
2007-01-12,76,77.60
2007-01-19,84,77.13
2007-01-26,83,76.73
2007-02-02,85,77.15
2007-02-09,76,73.00
2007-02-16,81,75.57
2007-02-23,81,76.88
2007-03-02,79,72.87
2007-03-09,77,74.03
2007-03-16,77,74.18
2007-03-23,74,77.98
2007-03-30,77,75.43
2007-04-06,71,
2007-04-13,80,74.82
2007-04-20,74,76.37
2007-04-27,75,77.17
2007-05-04,68,83.08
2007-05-11,79,84.95
2007-05-18,78,85.04
2007-05-25,79,83.81
2007-06-01,83,84.96
2007-06-08,79,84.93
2007-06-15,76,86.15
2007-06-22,89,85.01
2007-06-29,78,89.39
2007-07-06,73,90.80
2007-07-13,73,91.84
2007-07-20,82,92.50
2007-07-27,73,87.71
2007-08-03,80,89.21
2007-08-10,73,84.93
2007-08-17,81,87.00
2007-08-24,73,87.85
2007-08-31,79,90.00
2007-09-07,75,89.89
2007-09-14,71,47.04
2007-09-21,72,50.91
2007-09-28,76,52.02
2007-10-05,70,52.45
2007-10-12,79,52.91
2007-10-19,77,52.55
2007-10-26,73,53.81
2007-11-02,84,56.95
2007-11-09,82,55.14
2007-11-16,72,52.12
2007-11-23,79,52.16
2007-11-30,84,54.72
2007-12-07,80,54.63
2007-12-14,69,53.61
2007-12-21,70,54.35
2007-12-28,52,54.98
2008-01-04,59,53.22
2008-01-11,75,52.06
2008-01-18,82,49.96
2008-01-25,79,50.51
2008-02-01,68,53.41
2008-02-08,68,49.89
2008-02-15,77,55.31
2008-02-22,81,56.45
2008-02-29,76,56.61
2008-03-07,70,54.21
2008-03-14,80,56.20
2008-03-21,71,
2008-03-28,71,55.83
2008-04-04,80,58.77
2008-04-11,82,59.93
2008-04-18,72,63.50
2008-04-25,82,63.96
2008-05-02,68,62.21
2008-05-09,78,67.22
2008-05-16,71,69.66
2008-05-23,79,69.06
2008-05-30,78,73.98
2008-06-06,74,75.03
2008-06-13,70,76.78
2008-06-20,79,78.51
2008-06-27,72,76.76
2008-07-04,67,
2008-07-11,74,69.45
2008-07-18,68,71.18
2008-07-25,68,65.56
2008-08-01,71,74.19
2008-08-08,76,71.15
2008-08-15,71,73.64
2008-08-22,75,73.60
2008-08-29,73,73.54
2008-09-05,72,67.50
2008-09-12,66,68.42
2008-09-19,68,63.63
2008-09-26,71,57.75
2008-10-03,74,45.50
2008-10-10,70,32.87
2008-10-17,73,36.30
2008-10-24,64,30.75
2008-10-31,64,43.54
2008-11-07,71,44.15
2008-11-14,60,37.00
2008-11-21,61,34.51
2008-11-28,68,43.70
2008-12-05,74,39.22
2008-12-12,69,44.47
2008-12-19,64,42.64
2008-12-26,50,42.36
2009-01-02,51,45.42
2009-01-09,68,45.17
2009-01-16,79,45.13
2009-01-23,67,45.65
2009-01-30,63,44.62
2009-02-06,75,51.18
2009-02-13,71,47.56
2009-02-20,66,43.72
2009-02-27,66,40.43
2009-03-06,75,35.93
2009-03-13,72,39.26
2009-03-20,71,40.16
2009-03-27,65,42.99
2009-04-03,90,48.18
2009-04-10,70,
2009-04-17,64,46.14
2009-04-24,64,46.12
2009-05-01,68,49.10
2009-05-08,68,49.91
2009-05-15,65,48.47
2009-05-22,63,51.30
2009-05-29,62,54.35
2009-06-05,63,52.94
2009-06-12,67,52.45
2009-06-19,59,48.80
2009-06-26,63,47.37
2009-07-03,66,
2009-07-10,65,41.19
2009-07-17,66,43.84
2009-07-24,64,45.75
2009-07-31,69,48.64
2009-08-07,69,50.45
2009-08-14,64,50.96
2009-08-21,65,50.16
2009-08-28,61,49.40
2009-09-04,65,49.17
2009-09-11,66,53.86
2009-09-18,65,57.99
2009-09-25,65,55.43
2009-10-02,59,52.70
2009-10-09,61,54.99
2009-10-16,65,55.60
2009-10-23,65,54.88
2009-10-30,61,51.10
2009-11-06,62,52.15
2009-11-13,66,54.99
2009-11-20,56,56.33
2009-11-27,52,55.32
2009-12-04,62,56.43
2009-12-11,63,56.16
2009-12-18,50,55.85
2009-12-25,45,
2010-01-01,51,
2010-01-08,62,55.97
2010-01-15,58,53.21
2010-01-22,66,52.71
2010-01-29,58,50.94
2010-02-05,64,53.11
2010-02-12,58,55.68
2010-02-19,55,57.39
2010-02-26,58,57.17
2010-03-05,68,59.81
2010-03-12,63,60.30
2010-03-19,60,59.99
2010-03-26,57,60.30
2010-04-02,60,
2010-04-09,59,64.26
2010-04-16,57,63.99
2010-04-23,58,65.15
2010-04-30,60,63.64
2010-05-07,61,62.80
2010-05-14,61,62.35
2010-05-21,63,59.62
2010-05-28,61,60.55
2010-06-04,57,58.23
2010-06-11,61,61.91
2010-06-18,55,62.44
2010-06-25,63,60.31
2010-07-02,53,56.55
2010-07-09,57,59.44
2010-07-16,60,58.03
2010-07-23,55,60.41
2010-07-30,58,62.49
2010-08-06,62,64.21
2010-08-13,57,60.72
2010-08-20,61,61.84
2010-08-27,61,63.06
2010-09-03,60,65.26
2010-09-10,58,64.21
2010-09-17,64,67.36
2010-09-24,66,68.10
2010-10-01,57,67.83
2010-10-08,60,69.33
2010-10-15,53,70.53
2010-10-22,57,70.18
2010-10-29,63,73.10
2010-11-05,57,76.88
2010-11-12,61,75.21
2010-11-19,55,77.23
2010-11-26,54,79.09
2010-12-03,62,80.22
2010-12-10,53,81.40
2010-12-17,54,79.75
2010-12-24,44,
2010-12-31,44,79.89
2011-01-07,54,76.81
2011-01-14,58,77.75
2011-01-21,62,76.10
2011-01-28,63,75.01
2011-02-04,61,80.21
2011-02-11,59,81.59
2011-02-18,62,81.15
2011-02-25,60,76.04
2011-03-04,59,77.98
2011-03-11,55,75.87
2011-03-18,52,76.92
2011-03-25,56,83.47
2011-04-01,61,86.12
2011-04-08,57,85.22
2011-04-15,58,85.35
2011-04-22,52,
2011-04-29,55,88.28
2011-05-06,49,84.71
2011-05-13,59,83.71
2011-05-20,59,83.93
2011-05-27,58,83.43
2011-06-03,55,79.68
2011-06-10,55,78.31
2011-06-17,56,79.24
2011-06-24,60,83.10
2011-07-01,63,87.53
2011-07-08,54,88.71
2011-07-15,57,87.42
2011-07-22,55,91.68
2011-07-29,54,87.57
2011-08-05,61,77.65
2011-08-12,57,75.10
2011-08-19,55,67.09
2011-08-26,57,72.53
2011-09-02,56,72.55
2011-09-09,59,71.13
2011-09-16,59,77.19
2011-09-23,61,68.83
2011-09-30,59,69.16
2011-10-07,53,71.02
2011-10-14,50,76.97
2011-10-21,52,75.90
2011-10-28,54,82.42
2011-11-04,55,83.50
2011-11-11,54,83.44
2011-11-18,55,80.22
2011-11-25,52,76.79
2011-12-02,53,82.56
2011-12-09,53,84.77
2011-12-16,54,84.49
2011-12-23,45,87.37
2011-12-30,39,86.04
2012-01-06,49,87.97
2012-01-13,56,90.13
2012-01-20,55,91.53
2012-01-27,51,92.96
2012-02-03,65,95.00
2012-02-10,55,91.18
2012-02-17,59,96.62
2012-02-24,61,98.56
2012-03-02,68,100.00
2012-03-09,58,99.12
2012-03-16,54,99.90
2012-03-23,61,99.46
2012-03-30,59,105.86
2012-04-06,54,
2012-04-13,56,104.78
2012-04-20,57,107.14
2012-04-27,60,112.05
2012-05-04,60,106.07
2012-05-11,56,105.99
2012-05-18,55,96.24
2012-05-25,60,51.39
2012-06-01,58,49.02
2012-06-08,55,51.93
2012-06-15,55,50.31
2012-06-22,57,50.38
2012-06-29,57,53.48
2012-07-06,51,52.57
2012-07-13,55,53.66
2012-07-20,52,54.53
2012-07-27,55,55.26
2012-08-03,56,53.97
2012-08-10,55,54.61
2012-08-17,56,54.93
2012-08-24,59,54.21
2012-08-31,57,54.32
2012-09-07,59,55.95
2012-09-14,57,58.55
2012-09-21,58,57.68
2012-09-28,56,55.38
2012-10-05,56,56.21
2012-10-12,53,53.63
2012-10-19,55,55.13
2012-10-26,56,54.28
2012-11-02,51,54.12
2012-11-09,56,53.22
2012-11-16,56,51.64
2012-11-23,50,54.80
2012-11-30,57,55.46
2012-12-07,56,53.08
2012-12-14,49,56.79
2012-12-21,48,58.01
2012-12-28,40,57.27
2013-01-04,44,59.13
2013-01-11,54,61.40
2013-01-18,52,60.61
2013-01-25,55,61.87
2013-02-01,57,62.42
2013-02-08,56,59.82
2013-02-15,54,59.47
2013-02-22,56,58.71
2013-03-01,53,59.90
2013-03-08,57,61.12
2013-03-15,50,60.00
2013-03-22,55,57.45
2013-03-29,49,
2013-04-05,53,55.45
2013-04-12,53,58.43
2013-04-19,52,57.88
2013-04-26,54,59.89
2013-05-03,51,59.57
2013-05-10,50,61.95
2013-05-17,51,63.35
2013-05-24,53,63.51
2013-05-31,48,62.71
2013-06-07,49,62.87
2013-06-14,50,62.57
2013-06-21,49,62.58
2013-06-28,49,61.06
2013-07-05,45,62.32
2013-07-12,50,62.12
2013-07-19,51,63.48
2013-07-26,49,63.44
2013-08-02,53,67.26
2013-08-09,49,65.68
2013-08-16,53,65.44
2013-08-23,52,66.57
2013-08-30,52,66.61
2013-09-06,51,67.80
2013-09-13,50,70.17
2013-09-20,49,71.36
2013-09-27,51,71.52
2013-10-04,49,72.12
2013-10-11,50,72.24
2013-10-18,47,73.41
2013-10-25,52,74.34
2013-11-01,52,72.82
2013-11-08,52,73.42
2013-11-15,51,75.10
2013-11-22,48,72.92
2013-11-29,45,72.86
2013-12-06,50,74.40
2013-12-13,50,73.31
2013-12-20,48,73.04
2013-12-27,38,75.46
2014-01-03,38,74.27
2014-01-10,50,74.22
2014-01-17,55,75.52
2014-01-24,55,71.62
2014-01-31,54,70.63
2014-02-07,52,71.52
2014-02-14,54,72.93
2014-02-21,56,72.70
2014-02-28,54,77.18
2014-03-07,55,77.87
2014-03-14,58,78.99
2014-03-21,54,78.90
2014-03-28,53,76.45
2014-04-04,55,76.73
2014-04-11,49,74.30
2014-04-18,49,
2014-04-25,50,75.60
2014-05-02,42,
