Date,Whole Foods Market,Price
2008-04-04,65,33.89
2008-04-11,59,32.04
2008-04-18,70,32.95
2008-04-25,75,31.19
2008-05-02,65,34.98
2008-05-09,62,32.78
2008-05-16,71,29.06
2008-05-23,60,27.62
2008-05-30,52,29.00
2008-06-06,45,28.50
2008-06-13,44,27.16
2008-06-20,40,26.32
2008-06-27,52,24.65
2008-07-04,60,
2008-07-11,63,21.04
2008-07-18,80,21.38
2008-07-25,67,22.52
2008-08-01,70,21.42
2008-08-08,77,18.65
2008-08-15,71,19.69
2008-08-22,45,18.44
2008-08-29,44,18.31
2008-09-05,42,18.12
2008-09-12,45,18.43
2008-09-19,40,20.79
2008-09-26,45,20.64
2008-10-03,44,18.00
2008-10-10,44,14.83
2008-10-17,44,13.98
2008-10-24,39,10.74
2008-10-31,45,10.72
2008-11-07,44,10.05
2008-11-14,51,9.38
2008-11-21,61,8.19
2008-11-28,49,10.58
2008-12-05,43,10.60
2008-12-12,45,10.35
2008-12-19,46,9.96
2008-12-26,57,8.89
2009-01-02,58,9.89
2009-01-09,40,12.57
2009-01-16,39,12.16
2009-01-23,42,11.37
2009-01-30,43,10.25
2009-02-06,43,10.88
2009-02-13,42,9.97
2009-02-20,45,12.84
2009-02-27,41,12.15
2009-03-06,45,12.08
2009-03-13,44,14.38
2009-03-20,44,15.37
2009-03-27,44,17.97
2009-04-03,46,18.64
2009-04-10,55,
2009-04-17,42,18.48
2009-04-24,46,19.74
2009-05-01,41,20.93
2009-05-08,47,22.17
2009-05-15,43,19.61
2009-05-22,37,18.90
2009-05-29,45,18.87
2009-06-05,38,21.16
2009-06-12,40,20.44
2009-06-19,48,19.27
2009-06-26,44,19.20
2009-07-03,48,
2009-07-10,48,19.25
2009-07-17,54,21.87
2009-07-24,47,23.73
2009-07-31,50,24.19
2009-08-07,54,28.42
2009-08-14,55,28.10
2009-08-21,48,28.78
2009-08-28,50,29.11
2009-09-04,53,27.65
2009-09-11,42,28.43
2009-09-18,42,28.60
2009-09-25,46,28.77
2009-10-02,43,29.21
2009-10-09,42,31.67
2009-10-16,47,33.74
2009-10-23,43,33.36
2009-10-30,39,32.06
2009-11-06,50,28.25
2009-11-13,54,27.49
2009-11-20,58,26.36
2009-11-27,67,25.90
2009-12-04,43,26.20
2009-12-11,48,26.67
2009-12-18,50,26.99
2009-12-25,60,
2010-01-01,57,
2010-01-08,50,27.96
2010-01-15,46,27.95
2010-01-22,48,28.45
2010-01-29,52,27.22
2010-02-05,52,27.38
2010-02-12,51,29.75
2010-02-19,50,33.66
2010-02-26,46,35.49
2010-03-05,49,36.11
2010-03-12,43,36.30
2010-03-19,48,35.83
2010-03-26,53,35.41
2010-04-02,55,
2010-04-09,49,38.80
2010-04-16,44,39.11
2010-04-23,49,40.20
2010-04-30,42,39.02
2010-05-07,46,36.68
2010-05-14,38,40.83
2010-05-21,40,39.24
2010-05-28,41,40.43
2010-06-04,34,38.61
2010-06-11,41,39.38
2010-06-18,38,40.36
2010-06-25,40,38.69
2010-07-02,43,35.02
2010-07-09,39,36.66
2010-07-16,40,37.21
2010-07-23,42,38.77
2010-07-30,39,37.97
2010-08-06,41,36.48
2010-08-13,42,36.42
2010-08-20,42,36.72
2010-08-27,39,35.70
2010-09-03,37,36.66
2010-09-10,40,35.47
2010-09-17,37,37.09
2010-09-24,39,37.07
2010-10-01,37,37.07
2010-10-08,37,34.57
2010-10-15,38,38.30
2010-10-22,40,39.89
2010-10-29,36,39.75
2010-11-05,42,45.49
2010-11-12,44,46.86
2010-11-19,50,45.71
2010-11-26,54,47.01
2010-12-03,35,48.87
2010-12-10,36,49.49
2010-12-17,43,50.46
2010-12-24,64,
2010-12-31,45,50.59
2011-01-07,44,48.60
2011-01-14,40,53.03
2011-01-21,38,51.83
2011-01-28,42,50.44
2011-02-04,42,53.00
2011-02-11,39,59.67
2011-02-18,44,60.03
2011-02-25,41,57.88
2011-03-04,40,59.05
2011-03-11,40,58.89
2011-03-18,38,60.44
2011-03-25,41,63.96
2011-04-01,41,66.73
2011-04-08,45,62.90
2011-04-15,44,64.71
2011-04-22,51,
2011-04-29,45,62.76
2011-05-06,45,61.57
2011-05-13,38,62.49
2011-05-20,41,60.84
2011-05-27,39,60.57
2011-06-03,42,57.15
2011-06-10,37,54.23
2011-06-17,42,55.69
2011-06-24,39,60.52
2011-07-01,44,64.41
2011-07-08,47,64.36
2011-07-15,46,64.52
2011-07-22,39,66.13
2011-07-29,46,66.70
2011-08-05,45,58.61
2011-08-12,41,58.29
2011-08-19,42,56.83
2011-08-26,40,61.08
2011-09-02,39,63.11
2011-09-09,38,64.48
2011-09-16,44,69.05
2011-09-23,42,68.20
2011-09-30,38,65.31
2011-10-07,39,66.80
2011-10-14,39,69.12
2011-10-21,41,72.00
2011-10-28,43,73.65
2011-11-04,42,68.67
2011-11-11,45,68.70
2011-11-18,56,65.42
2011-11-25,63,63.55
2011-12-02,38,68.37
2011-12-09,40,69.11
2011-12-16,47,66.16
2011-12-23,58,68.74
2011-12-30,48,69.58
2012-01-06,43,72.88
2012-01-13,41,73.69
2012-01-20,39,76.30
2012-01-27,40,74.89
2012-02-03,42,76.25
2012-02-10,42,81.62
2012-02-17,42,81.20
2012-02-24,41,81.10
2012-03-02,38,82.81
2012-03-09,43,83.87
2012-03-16,41,85.15
2012-03-23,38,83.45
2012-03-30,39,83.20
2012-04-06,46,
2012-04-13,46,85.31
2012-04-20,38,84.66
2012-04-27,41,83.49
2012-05-04,43,89.96
2012-05-11,39,88.54
2012-05-18,37,83.05
2012-05-25,40,87.27
2012-06-01,39,85.68
2012-06-08,41,90.93
2012-06-15,40,94.47
2012-06-22,43,96.27
2012-06-29,45,95.32
2012-07-06,43,95.08
2012-07-13,44,94.77
2012-07-20,43,84.03
2012-07-27,44,92.55
2012-08-03,42,94.60
2012-08-10,48,93.96
2012-08-17,51,95.73
2012-08-24,49,97.03
2012-08-31,45,96.75
2012-09-07,45,97.70
2012-09-14,43,97.76
2012-09-21,41,99.75
2012-09-28,40,97.40
2012-10-05,38,101.19
2012-10-12,39,96.40
2012-10-19,38,96.65
2012-10-26,40,94.21
2012-11-02,41,97.15
2012-11-09,46,91.57
2012-11-16,54,90.54
2012-11-23,61,95.06
2012-11-30,41,93.36
2012-12-07,40,90.59
2012-12-14,37,88.54
2012-12-21,45,91.18
2012-12-28,56,89.20
2013-01-04,52,91.22
2013-01-11,38,88.66
2013-01-18,45,90.54
2013-01-25,42,95.65
2013-02-01,46,96.22
2013-02-08,43,94.59
2013-02-15,45,88.12
2013-02-22,42,85.83
2013-03-01,38,85.79
2013-03-08,42,85.00
2013-03-15,44,87.06
2013-03-22,42,87.78
2013-03-29,46,
2013-04-05,42,83.02
2013-04-12,42,88.01
2013-04-19,40,86.07
2013-04-26,41,88.61
2013-05-03,39,91.46
2013-05-10,43,100.89
2013-05-17,42,103.77
2013-05-24,39,104.80
2013-05-31,46,51.86
2013-06-07,43,51.51
2013-06-14,43,51.38
2013-06-21,42,51.14
2013-06-28,39,51.48
2013-07-05,46,53.23
2013-07-12,45,56.23
2013-07-19,44,55.93
2013-07-26,45,55.97
2013-08-02,45,54.85
2013-08-09,46,55.42
2013-08-16,42,52.96
2013-08-23,42,52.88
2013-08-30,42,52.75
2013-09-06,40,54.52
2013-09-13,40,57.11
2013-09-20,42,57.85
2013-09-27,41,58.33
2013-10-04,37,59.55
2013-10-11,36,61.18
2013-10-18,41,63.85
2013-10-25,40,65.24
2013-11-01,40,63.30
2013-11-08,44,58.55
2013-11-15,49,58.84
2013-11-22,51,55.95
2013-11-29,56,56.60
2013-12-06,37,56.26
2013-12-13,41,56.01
2013-12-20,48,59.27
2013-12-27,55,56.68
2014-01-03,54,56.29
2014-01-10,45,52.56
2014-01-17,43,52.31
2014-01-24,43,51.61
2014-01-31,42,52.26
2014-02-07,39,54.18
2014-02-14,45,52.25
2014-02-21,43,52.76
2014-02-28,47,54.05
2014-03-07,41,53.67
2014-03-14,41,53.93
2014-03-21,37,55.04
2014-03-28,38,51.15
2014-04-04,39,51.10
2014-04-11,41,49.50
2014-04-18,49,
2014-04-25,46,50.65
2014-05-02,42,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
