Date,SHW,Price
2006-05-19,47,48.75
2006-05-26,48,48.56
2006-06-02,49,49.18
2006-06-09,56,46.46
2006-06-16,57,46.39
2006-06-23,41,46.41
2006-06-30,47,47.48
2006-07-07,42,47.32
2006-07-14,54,45.52
2006-07-21,40,47.87
2006-07-28,45,50.11
2006-08-04,60,51.53
2006-08-11,52,49.50
2006-08-18,41,50.70
2006-08-25,40,49.41
2006-09-01,41,51.41
2006-09-08,55,52.75
2006-09-15,46,54.80
2006-09-22,50,53.50
2006-09-29,56,55.78
2006-10-06,37,57.86
2006-10-13,45,59.29
2006-10-20,38,58.56
2006-10-27,44,57.96
2006-11-03,57,57.75
2006-11-10,60,60.80
2006-11-17,38,62.43
2006-11-24,56,62.48
2006-12-01,51,62.20
2006-12-08,65,62.44
2006-12-15,56,63.48
2006-12-22,51,62.60
2006-12-29,40,63.58
2007-01-05,46,61.96
2007-01-12,48,63.84
2007-01-19,55,64.29
2007-01-26,59,66.71
2007-02-02,54,68.39
2007-02-09,52,69.77
2007-02-16,59,68.67
2007-02-23,51,69.99
2007-03-02,60,64.87
2007-03-09,56,66.43
2007-03-16,53,65.71
2007-03-23,46,68.21
2007-03-30,38,66.04
2007-04-06,50,
2007-04-13,53,64.92
2007-04-20,43,65.58
2007-04-27,42,65.65
2007-05-04,43,64.90
2007-05-11,53,66.60
2007-05-18,51,67.53
2007-05-25,54,66.90
2007-06-01,40,67.31
2007-06-08,56,65.95
2007-06-15,51,67.67
2007-06-22,49,66.56
2007-06-29,46,66.47
2007-07-06,53,68.46
2007-07-13,49,67.60
2007-07-20,35,71.76
2007-07-27,42,69.03
2007-08-03,51,69.06
2007-08-10,43,69.14
2007-08-17,57,66.59
2007-08-24,54,70.26
2007-08-31,47,69.01
2007-09-07,42,66.53
2007-09-14,47,67.02
2007-09-21,59,65.87
2007-09-28,52,65.71
2007-10-05,45,66.13
2007-10-12,50,65.07
2007-10-19,52,63.34
2007-10-26,40,64.09
2007-11-02,50,61.30
2007-11-09,44,61.84
2007-11-16,50,61.61
2007-11-23,53,60.62
2007-11-30,55,62.83
2007-12-07,44,62.23
2007-12-14,40,59.79
2007-12-21,44,58.69
2007-12-28,34,57.65
2008-01-04,46,54.08
2008-01-11,60,55.49
2008-01-18,50,53.25
2008-01-25,61,56.11
2008-02-01,56,58.21
2008-02-08,61,54.95
2008-02-15,55,53.83
2008-02-22,50,54.60
2008-02-29,47,51.78
2008-03-07,45,50.13
2008-03-14,58,52.28
2008-03-21,39,
2008-03-28,57,50.50
2008-04-04,56,54.76
2008-04-11,52,53.97
2008-04-18,46,56.16
2008-04-25,51,56.00
2008-05-02,44,57.32
2008-05-09,49,56.57
2008-05-16,42,59.60
2008-05-23,56,56.11
2008-05-30,46,56.15
2008-06-06,47,50.19
2008-06-13,50,50.41
2008-06-20,44,49.91
2008-06-27,49,46.87
2008-07-04,53,
2008-07-11,52,47.19
2008-07-18,54,54.12
2008-07-25,46,52.95
2008-08-01,54,52.36
2008-08-08,50,57.45
2008-08-15,53,59.59
2008-08-22,45,58.33
2008-08-29,51,58.55
2008-09-05,40,60.21
2008-09-12,42,61.76
2008-09-19,54,63.36
2008-09-26,52,61.72
2008-10-03,57,52.75
2008-10-10,61,51.30
2008-10-17,54,56.18
2008-10-24,58,55.08
2008-10-31,49,56.91
2008-11-07,54,54.47
2008-11-14,52,54.50
2008-11-21,49,53.30
2008-11-28,48,58.93
2008-12-05,53,58.73
2008-12-12,43,55.53
2008-12-19,47,55.33
2008-12-26,37,55.80
2009-01-02,35,59.99
2009-01-09,42,59.40
2009-01-16,44,57.38
2009-01-23,44,46.97
2009-01-30,47,47.75
2009-02-06,47,49.94
2009-02-13,48,46.94
2009-02-20,54,46.03
2009-02-27,57,45.95
2009-03-06,52,42.98
2009-03-13,54,47.35
2009-03-20,55,45.02
2009-03-27,45,51.31
2009-04-03,51,53.00
2009-04-10,51,
2009-04-17,44,56.69
2009-04-24,52,58.50
2009-05-01,50,55.50
2009-05-08,46,56.93
2009-05-15,49,53.61
2009-05-22,44,53.54
2009-05-29,45,52.80
2009-06-05,52,54.25
2009-06-12,49,55.10
2009-06-19,47,53.58
2009-06-26,42,54.11
2009-07-03,42,
2009-07-10,42,52.22
2009-07-17,49,56.52
2009-07-24,46,56.79
2009-07-31,46,57.75
2009-08-07,59,62.01
2009-08-14,54,60.46
2009-08-21,36,62.08
2009-08-28,44,60.93
2009-09-04,44,60.39
2009-09-11,44,59.28
2009-09-18,44,62.04
2009-09-25,52,59.60
2009-10-02,40,58.84
2009-10-09,42,61.54
2009-10-16,54,62.65
2009-10-23,51,58.26
2009-10-30,41,57.04
2009-11-06,45,58.94
2009-11-13,43,60.27
2009-11-20,43,59.94
2009-11-27,41,61.13
2009-12-04,35,61.85
2009-12-11,45,62.75
2009-12-18,47,61.81
2009-12-25,37,
2010-01-01,31,
2010-01-08,41,60.46
2010-01-15,42,59.19
2010-01-22,49,58.00
2010-01-29,40,63.35
2010-02-05,43,63.90
2010-02-12,40,63.95
2010-02-19,36,65.37
2010-02-26,32,63.38
2010-03-05,45,65.16
2010-03-12,43,65.54
2010-03-19,37,65.30
2010-03-26,38,66.84
2010-04-02,42,
2010-04-09,34,71.21
2010-04-16,39,72.96
2010-04-23,41,79.54
2010-04-30,39,78.07
2010-05-07,42,75.95
2010-05-14,44,77.74
2010-05-21,47,75.72
2010-05-28,45,76.63
2010-06-04,42,74.91
2010-06-11,42,76.64
2010-06-18,40,76.18
2010-06-25,40,71.48
2010-07-02,37,69.43
2010-07-09,39,72.23
2010-07-16,41,69.44
2010-07-23,42,68.99
2010-07-30,39,69.15
2010-08-06,38,69.69
2010-08-13,34,69.10
2010-08-20,40,68.34
2010-08-27,35,70.24
2010-09-03,40,72.32
2010-09-10,44,72.27
2010-09-17,46,72.47
2010-09-24,50,75.26
2010-10-01,48,74.04
2010-10-08,45,73.48
2010-10-15,42,72.00
2010-10-22,47,72.98
2010-10-29,49,72.97
2010-11-05,45,73.27
2010-11-12,51,73.06
2010-11-19,43,73.38
2010-11-26,45,74.74
2010-12-03,44,77.03
2010-12-10,39,77.76
2010-12-17,40,82.02
2010-12-24,41,
2010-12-31,36,83.75
2011-01-07,47,82.67
2011-01-14,47,84.28
2011-01-21,51,82.29
2011-01-28,47,84.46
2011-02-04,47,84.11
2011-02-11,43,85.83
2011-02-18,48,85.03
2011-02-25,42,81.70
2011-03-04,38,80.92
2011-03-11,43,82.76
2011-03-18,42,80.85
2011-03-25,44,83.85
2011-04-01,45,85.39
2011-04-08,44,84.98
2011-04-15,38,85.70
2011-04-22,47,
2011-04-29,41,82.29
2011-05-06,42,84.02
2011-05-13,47,86.20
2011-05-20,48,85.79
2011-05-27,42,85.75
2011-06-03,45,83.97
2011-06-10,45,81.57
2011-06-17,43,82.50
2011-06-24,57,84.13
2011-07-01,44,85.69
2011-07-08,44,85.09
2011-07-15,45,83.20
2011-07-22,50,79.64
2011-07-29,46,77.17
2011-08-05,43,74.93
2011-08-12,46,75.76
2011-08-19,47,69.57
2011-08-26,48,73.67
2011-09-02,49,72.61
2011-09-09,41,72.86
2011-09-16,43,75.37
2011-09-23,45,71.38
2011-09-30,54,74.32
2011-10-07,40,79.64
2011-10-14,45,80.04
2011-10-21,47,81.99
2011-10-28,47,84.24
2011-11-04,45,86.28
2011-11-11,47,86.58
2011-11-18,50,84.12
2011-11-25,41,83.64
2011-12-02,51,85.87
2011-12-09,44,86.36
2011-12-16,43,84.64
2011-12-23,42,89.68
2011-12-30,45,89.27
2012-01-06,46,92.50
2012-01-13,42,95.13
2012-01-20,48,95.59
2012-01-27,49,97.20
2012-02-03,50,97.77
2012-02-10,42,98.37
2012-02-17,47,100.32
2012-02-24,47,101.06
2012-03-02,48,102.44
2012-03-09,48,106.03
2012-03-16,47,106.64
2012-03-23,46,107.60
2012-03-30,45,108.67
2012-04-06,47,
2012-04-13,40,116.62
2012-04-20,47,118.39
2012-04-27,45,120.99
2012-05-04,45,121.11
2012-05-11,49,122.72
2012-05-18,46,116.07
2012-05-25,44,126.31
2012-06-01,48,124.61
2012-06-08,42,131.42
2012-06-15,46,129.54
2012-06-22,44,127.87
2012-06-29,43,132.35
2012-07-06,40,132.82
2012-07-13,46,130.14
2012-07-20,47,131.57
2012-07-27,48,135.24
2012-08-03,43,136.08
2012-08-10,46,141.44
2012-08-17,43,140.67
2012-08-24,47,142.63
2012-08-31,44,143.08
2012-09-07,47,143.23
2012-09-14,48,146.22
2012-09-21,50,150.06
2012-09-28,54,148.91
2012-10-05,48,155.69
2012-10-12,50,149.22
2012-10-19,45,150.51
2012-10-26,49,139.63
2012-11-02,44,142.00
2012-11-09,43,140.84
2012-11-16,52,151.57
2012-11-23,48,158.59
2012-11-30,49,152.52
2012-12-07,45,148.94
2012-12-14,47,148.23
2012-12-21,45,151.53
2012-12-28,45,151.04
2013-01-04,45,158.80
2013-01-11,45,161.28
2013-01-18,44,164.02
2013-01-25,46,165.51
2013-02-01,44,163.84
2013-02-08,48,163.77
2013-02-15,49,166.70
2013-02-22,47,157.85
2013-03-01,43,162.48
2013-03-08,47,165.88
2013-03-15,45,168.68
2013-03-22,44,168.17
2013-03-29,48,
2013-04-05,59,165.82
2013-04-12,51,170.74
2013-04-19,55,179.04
2013-04-26,47,183.22
2013-05-03,48,187.98
2013-05-10,46,188.00
2013-05-17,50,190.82
2013-05-24,51,189.20
2013-05-31,43,188.53
2013-06-07,45,183.26
2013-06-14,43,183.09
2013-06-21,47,173.10
2013-06-28,45,176.60
2013-07-05,44,182.48
2013-07-12,46,187.36
2013-07-19,53,172.86
2013-07-26,46,172.83
2013-08-02,46,179.05
2013-08-09,42,177.07
2013-08-16,50,168.69
2013-08-23,39,172.52
2013-08-30,49,172.40
2013-09-06,46,172.69
2013-09-13,45,174.92
2013-09-20,46,180.11
2013-09-27,47,180.43
2013-10-04,42,186.48
2013-10-11,46,180.17
2013-10-18,46,184.56
2013-10-25,45,195.07
2013-11-01,41,184.67
2013-11-08,45,185.51
2013-11-15,44,186.87
2013-11-22,45,187.57
2013-11-29,43,183.03
2013-12-06,45,184.83
2013-12-13,45,177.97
2013-12-20,39,182.15
2013-12-27,39,182.50
2014-01-03,35,182.80
2014-01-10,47,192.84
2014-01-17,48,194.12
2014-01-24,49,190.80
2014-01-31,44,183.26
2014-02-07,43,182.56
2014-02-14,46,191.17
2014-02-21,43,193.59
2014-02-28,44,200.48
2014-03-07,46,206.71
2014-03-14,46,202.08
2014-03-21,43,200.41
2014-03-28,40,194.69
2014-04-04,44,193.89
2014-04-11,41,188.53
2014-04-18,46,
2014-04-25,45,200.73
2014-05-02,49,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
