Date,Hewlett-Packard,Price
2006-12-15,31,39.94
2006-12-22,33,40.63
2006-12-29,28,41.19
2007-01-05,30,42.20
2007-01-12,35,43.53
2007-01-19,29,42.00
2007-01-26,35,41.69
2007-02-02,38,42.07
2007-02-09,30,42.23
2007-02-16,28,42.77
2007-02-23,32,40.82
2007-03-02,29,38.67
2007-03-09,28,40.11
2007-03-16,28,39.91
2007-03-23,28,40.43
2007-03-30,27,40.14
2007-04-06,27,
2007-04-13,26,41.18
2007-04-20,25,41.37
2007-04-27,29,42.29
2007-05-04,27,43.79
2007-05-11,27,45.24
2007-05-18,27,44.58
2007-05-25,24,45.62
2007-06-01,28,45.81
2007-06-08,26,45.78
2007-06-15,27,45.71
2007-06-22,25,45.18
2007-06-29,23,44.62
2007-07-06,24,45.98
2007-07-13,26,47.25
2007-07-20,24,48.54
2007-07-27,28,46.46
2007-08-03,29,47.41
2007-08-10,28,47.21
2007-08-17,30,47.15
2007-08-24,31,48.10
2007-08-31,26,49.35
2007-09-07,29,48.85
2007-09-14,25,48.38
2007-09-21,26,50.53
2007-09-28,23,49.79
2007-10-05,27,50.90
2007-10-12,26,51.55
2007-10-19,23,51.40
2007-10-26,21,52.47
2007-11-02,26,52.40
2007-11-09,23,48.39
2007-11-16,29,50.75
2007-11-23,26,49.17
2007-11-30,29,51.16
2007-12-07,28,51.84
2007-12-14,26,52.14
2007-12-21,24,52.03
2007-12-28,24,51.36
2008-01-04,23,46.87
2008-01-11,29,45.00
2008-01-18,28,43.75
2008-01-25,29,43.74
2008-02-01,25,44.42
2008-02-08,23,41.88
2008-02-15,21,43.87
2008-02-22,24,47.40
2008-02-29,24,47.77
2008-03-07,25,47.31
2008-03-14,20,45.92
2008-03-21,22,
2008-03-28,21,46.09
2008-04-04,21,46.40
2008-04-11,24,45.47
2008-04-18,21,48.18
2008-04-25,20,47.45
2008-05-02,20,48.36
2008-05-09,18,49.13
2008-05-16,23,47.29
2008-05-23,20,44.96
2008-05-30,20,47.06
2008-06-06,19,47.63
2008-06-13,19,47.45
2008-06-20,20,45.64
2008-06-27,17,44.58
2008-07-04,21,
2008-07-11,20,41.59
2008-07-18,22,43.42
2008-07-25,19,43.71
2008-08-01,19,43.96
2008-08-08,20,45.82
2008-08-15,21,45.59
2008-08-22,21,47.06
2008-08-29,21,46.92
2008-09-05,17,44.96
2008-09-12,21,46.97
2008-09-19,25,48.26
2008-09-26,23,47.81
2008-10-03,22,43.00
2008-10-10,22,37.00
2008-10-17,22,39.71
2008-10-24,21,32.44
2008-10-31,19,38.28
2008-11-07,20,34.64
2008-11-14,20,30.46
2008-11-21,19,34.64
2008-11-28,19,35.28
2008-12-05,23,33.53
2008-12-12,22,35.97
2008-12-19,19,35.40
2008-12-26,19,34.97
2009-01-02,18,36.81
2009-01-09,22,37.49
2009-01-16,21,34.77
2009-01-23,19,35.79
2009-01-30,20,34.75
2009-02-06,20,36.85
2009-02-13,21,35.87
2009-02-20,19,31.24
2009-02-27,21,29.03
2009-03-06,17,26.98
2009-03-13,17,29.45
2009-03-20,17,28.85
2009-03-27,18,33.33
2009-04-03,18,34.15
2009-04-10,15,
2009-04-17,16,36.30
2009-04-24,16,35.80
2009-05-01,16,36.52
2009-05-08,18,34.68
2009-05-15,18,35.01
2009-05-22,17,34.14
2009-05-29,16,34.35
2009-06-05,16,37.35
2009-06-12,16,37.76
2009-06-19,13,38.35
2009-06-26,13,37.61
2009-07-03,15,
2009-07-10,16,37.24
2009-07-17,15,39.98
2009-07-24,15,41.72
2009-07-31,18,43.30
2009-08-07,14,43.54
2009-08-14,13,44.09
2009-08-21,14,44.78
2009-08-28,14,44.76
2009-09-04,12,45.10
2009-09-11,12,46.10
2009-09-18,14,46.15
2009-09-25,14,47.02
2009-10-02,14,45.28
2009-10-09,14,47.38
2009-10-16,14,48.37
2009-10-23,13,48.56
2009-10-30,16,47.46
2009-11-06,15,49.16
2009-11-13,16,49.91
2009-11-20,14,50.04
2009-11-27,15,49.07
2009-12-04,16,49.79
2009-12-11,15,50.05
2009-12-18,14,51.50
2009-12-25,13,
2010-01-01,11,
2010-01-08,14,52.59
2010-01-15,16,52.47
2010-01-22,14,49.29
2010-01-29,12,47.07
2010-02-05,14,47.32
2010-02-12,12,48.46
2010-02-19,13,50.79
2010-02-26,11,50.79
2010-03-05,12,52.03
2010-03-12,11,52.36
2010-03-19,13,52.49
2010-03-26,12,53.42
2010-04-02,10,
2010-04-09,11,53.87
2010-04-16,11,53.75
2010-04-23,12,53.90
2010-04-30,11,51.97
2010-05-07,11,46.73
2010-05-14,11,47.43
2010-05-21,11,46.58
2010-05-28,9,46.01
2010-06-04,13,46.05
2010-06-11,11,47.19
2010-06-18,10,47.98
2010-06-25,11,45.92
2010-07-02,10,42.81
2010-07-09,9,45.25
2010-07-16,8,46.20
2010-07-23,12,46.15
2010-07-30,10,46.04
2010-08-06,13,41.85
2010-08-13,14,40.45
2010-08-20,12,39.85
2010-08-27,12,38.00
2010-09-03,10,40.34
2010-09-10,10,38.28
2010-09-17,11,39.14
2010-09-24,11,40.98
2010-10-01,11,40.77
2010-10-08,10,41.15
2010-10-15,11,42.82
2010-10-22,10,42.87
2010-10-29,12,42.04
2010-11-05,11,43.72
2010-11-12,11,42.21
2010-11-19,11,42.49
2010-11-26,11,43.20
2010-12-03,11,43.03
2010-12-10,11,42.62
2010-12-17,9,41.96
2010-12-24,9,
2010-12-31,10,42.10
2011-01-07,9,45.09
2011-01-14,11,46.25
2011-01-21,10,47.23
2011-01-28,11,45.51
2011-02-04,10,47.43
2011-02-11,11,48.64
2011-02-18,10,48.67
2011-02-25,9,42.68
2011-03-04,9,42.61
2011-03-11,9,41.73
2011-03-18,10,41.32
2011-03-25,9,42.53
2011-04-01,10,40.98
2011-04-08,10,40.70
2011-04-15,9,40.26
2011-04-22,10,
2011-04-29,8,40.37
2011-05-06,9,40.81
2011-05-13,9,40.41
2011-05-20,10,35.98
2011-05-27,10,36.96
2011-06-03,10,36.11
2011-06-10,9,35.25
2011-06-17,10,35.00
2011-06-24,8,34.90
2011-07-01,8,37.05
2011-07-08,8,36.43
2011-07-15,9,35.09
2011-07-22,9,36.70
2011-07-29,8,35.17
2011-08-05,8,32.63
2011-08-12,9,32.32
2011-08-19,14,23.60
2011-08-26,13,24.82
2011-09-02,9,24.34
2011-09-09,9,22.65
2011-09-16,10,23.53
2011-09-23,11,22.32
2011-09-30,10,22.45
2011-10-07,10,24.88
2011-10-14,10,26.11
2011-10-21,10,25.38
2011-10-28,10,27.94
2011-11-04,9,26.97
2011-11-11,9,27.58
2011-11-18,9,27.99
2011-11-25,9,25.39
2011-12-02,10,27.68
2011-12-09,8,27.90
2011-12-16,9,25.84
2011-12-23,8,25.88
2011-12-30,7,25.76
2012-01-06,7,26.40
2012-01-13,10,26.49
2012-01-20,9,28.13
2012-01-27,8,27.88
2012-02-03,9,29.07
2012-02-10,9,28.70
2012-02-17,8,29.59
2012-02-24,9,26.64
2012-03-02,10,25.32
2012-03-09,8,24.18
2012-03-16,9,24.49
2012-03-23,8,23.63
2012-03-30,8,23.83
2012-04-06,7,
2012-04-13,8,24.57
2012-04-20,8,24.51
2012-04-27,9,24.75
2012-05-04,6,24.27
2012-05-11,8,23.15
2012-05-18,10,21.46
2012-05-25,10,22.33
2012-06-01,8,21.25
2012-06-08,8,22.31
2012-06-15,8,21.64
2012-06-22,7,20.37
2012-06-29,7,20.11
2012-07-06,7,19.57
2012-07-13,8,18.98
2012-07-20,8,18.61
2012-07-27,7,18.57
2012-08-03,7,18.26
2012-08-10,8,19.70
2012-08-17,8,19.52
2012-08-24,9,17.58
2012-08-31,8,16.88
2012-09-07,7,17.42
2012-09-14,9,18.17
2012-09-21,8,17.59
2012-09-28,7,17.06
2012-10-05,9,14.73
2012-10-12,8,14.41
2012-10-19,7,14.48
2012-10-26,7,14.09
2012-11-02,8,13.76
2012-11-09,7,13.61
2012-11-16,8,12.85
2012-11-23,9,12.44
2012-11-30,6,12.99
2012-12-07,7,13.94
2012-12-14,7,14.75
2012-12-21,7,14.34
2012-12-28,6,13.68
2013-01-04,5,15.14
2013-01-11,7,16.16
2013-01-18,7,17.11
2013-01-25,7,16.99
2013-02-01,8,16.46
2013-02-08,7,16.87
2013-02-15,6,16.79
2013-02-22,7,19.20
2013-03-01,7,20.15
2013-03-08,7,21.00
2013-03-15,7,22.18
2013-03-22,6,23.04
2013-03-29,6,
2013-04-05,6,21.97
2013-04-12,7,20.90
2013-04-19,6,19.56
2013-04-26,6,19.97
2013-05-03,6,20.63
2013-05-10,6,21.54
2013-05-17,5,21.27
2013-05-24,6,24.21
2013-05-31,6,24.42
2013-06-07,5,24.81
2013-06-14,5,24.74
2013-06-21,5,24.15
2013-06-28,6,24.80
2013-07-05,5,25.58
2013-07-12,5,26.19
2013-07-19,6,25.14
2013-07-26,8,25.99
2013-08-02,5,27.00
2013-08-09,5,26.77
2013-08-16,5,26.42
2013-08-23,6,22.40
2013-08-30,6,22.34
2013-09-06,6,22.42
2013-09-13,7,22.07
2013-09-20,6,21.22
2013-09-27,6,21.17
2013-10-04,5,21.26
2013-10-11,6,22.80
2013-10-18,6,23.48
2013-10-25,6,24.00
2013-11-01,7,25.92
2013-11-08,6,25.94
2013-11-15,6,25.21
2013-11-22,7,25.26
2013-11-29,6,27.35
2013-12-06,6,27.70
2013-12-13,6,26.77
2013-12-20,6,27.79
2013-12-27,5,28.19
2014-01-03,5,28.34
2014-01-10,6,27.70
2014-01-17,6,29.80
2014-01-24,6,28.49
2014-01-31,6,29.00
2014-02-07,5,29.07
2014-02-14,6,30.02
2014-02-21,6,29.79
2014-02-28,6,29.88
2014-03-07,7,30.34
2014-03-14,6,29.07
2014-03-21,6,31.95
2014-03-28,6,32.04
2014-04-04,6,32.64
2014-04-11,6,32.45
2014-04-18,5,
2014-04-25,5,31.58
2014-05-02,5,
