Date,buy GAS,Price
2006-02-10,29,35.48
2006-02-17,40,34.98
2006-02-24,36,35.68
2006-03-03,29,35.64
2006-03-10,32,35.29
2006-03-17,31,35.71
2006-03-24,30,35.59
2006-03-31,32,36.05
2006-04-07,42,35.28
2006-04-14,33,
2006-04-21,48,35.31
2006-04-28,36,35.38
2006-05-05,52,36.24
2006-05-12,59,35.45
2006-05-19,35,35.12
2006-05-26,35,35.79
2006-06-02,44,37.12
2006-06-09,47,36.94
2006-06-16,33,36.74
2006-06-23,45,36.93
2006-06-30,38,38.12
2006-07-07,40,37.81
2006-07-14,41,37.41
2006-07-21,36,38.01
2006-07-28,34,39.20
2006-08-04,38,37.17
2006-08-11,35,36.14
2006-08-18,37,35.83
2006-08-25,32,35.63
2006-09-01,39,36.19
2006-09-08,30,35.57
2006-09-15,29,35.25
2006-09-22,40,35.73
2006-09-29,31,36.50
2006-10-06,32,36.56
2006-10-13,37,37.13
2006-10-20,29,37.55
2006-10-27,36,37.45
2006-11-03,31,37.61
2006-11-10,36,37.75
2006-11-17,29,37.93
2006-11-24,30,37.74
2006-12-01,25,38.56
2006-12-08,31,39.30
2006-12-15,33,39.44
2006-12-22,26,38.92
2006-12-29,33,38.91
2007-01-05,33,38.80
2007-01-12,29,39.00
2007-01-19,33,38.68
2007-01-26,33,38.79
2007-02-02,30,41.15
2007-02-09,32,41.10
2007-02-16,28,42.04
2007-02-23,31,42.23
2007-03-02,27,40.60
2007-03-09,29,40.00
2007-03-16,27,40.34
2007-03-23,29,42.20
2007-03-30,29,42.72
2007-04-06,38,
2007-04-13,33,44.05
2007-04-20,31,43.34
2007-04-27,44,44.12
2007-05-04,48,43.62
2007-05-11,48,43.46
2007-05-18,54,43.45
2007-05-25,46,41.80
2007-06-01,45,42.54
2007-06-08,43,40.53
2007-06-15,38,40.58
2007-06-22,32,39.84
2007-06-29,42,40.48
2007-07-06,34,40.83
2007-07-13,38,41.30
2007-07-20,39,40.38
2007-07-27,37,37.90
2007-08-03,39,37.79
2007-08-10,32,38.35
2007-08-17,42,37.79
2007-08-24,33,39.58
2007-08-31,29,39.71
2007-09-07,32,39.01
2007-09-14,33,39.95
2007-09-21,26,40.04
2007-09-28,31,39.62
2007-10-05,34,40.68
2007-10-12,33,40.06
2007-10-19,35,38.25
2007-10-26,41,38.72
2007-11-02,37,38.26
2007-11-09,41,38.01
2007-11-16,33,36.93
2007-11-23,42,36.14
2007-11-30,44,37.08
2007-12-07,42,38.32
2007-12-14,34,36.25
2007-12-21,36,37.17
2007-12-28,36,37.42
2008-01-04,39,36.80
2008-01-11,39,38.39
2008-01-18,34,36.69
2008-01-25,35,36.88
2008-02-01,34,38.46
2008-02-08,35,36.92
2008-02-15,31,36.38
2008-02-22,41,35.65
2008-02-29,37,34.68
2008-03-07,45,34.55
2008-03-14,48,34.43
2008-03-21,43,
2008-03-28,45,33.85
2008-04-04,45,34.05
2008-04-11,49,33.85
2008-04-18,47,35.39
2008-04-25,58,35.10
2008-05-02,59,34.97
2008-05-09,68,35.82
2008-05-16,60,35.72
2008-05-23,70,35.20
2008-05-30,64,35.70
2008-06-06,65,35.89
2008-06-13,77,34.23
2008-06-20,67,34.29
2008-06-27,57,33.94
2008-07-04,68,
2008-07-11,69,33.80
2008-07-18,66,33.34
2008-07-25,63,33.53
2008-08-01,56,33.50
2008-08-08,52,33.14
2008-08-15,51,32.43
2008-08-22,49,32.82
2008-08-29,39,33.06
2008-09-05,46,31.94
2008-09-12,47,33.09
2008-09-19,55,33.78
2008-09-26,54,32.30
2008-10-03,54,31.30
2008-10-10,43,26.27
2008-10-17,53,27.25
2008-10-24,53,27.44
2008-10-31,45,30.40
2008-11-07,44,29.08
2008-11-14,49,28.65
2008-11-21,44,28.32
2008-11-28,52,30.11
2008-12-05,52,28.40
2008-12-12,52,29.76
2008-12-19,43,29.56
2008-12-26,43,29.61
2009-01-02,42,31.62
2009-01-09,42,31.33
2009-01-16,43,31.32
2009-01-23,35,30.73
2009-01-30,36,30.83
2009-02-06,39,33.50
2009-02-13,37,31.45
2009-02-20,39,28.48
2009-02-27,33,27.74
2009-03-06,35,24.70
2009-03-13,42,25.62
2009-03-20,41,27.12
2009-03-27,39,26.89
2009-04-03,44,27.35
2009-04-10,39,
2009-04-17,42,27.12
2009-04-24,35,28.56
2009-05-01,46,31.41
2009-05-08,43,30.62
2009-05-15,40,29.02
2009-05-22,42,28.46
2009-05-29,42,28.92
2009-06-05,42,30.57
2009-06-12,40,31.31
2009-06-19,47,31.59
2009-06-26,43,31.55
2009-07-03,43,
2009-07-10,43,30.87
2009-07-17,42,32.07
2009-07-24,42,34.13
2009-07-31,44,33.62
2009-08-07,52,34.07
2009-08-14,44,34.35
2009-08-21,50,34.94
2009-08-28,46,34.22
2009-09-04,43,33.46
2009-09-11,42,34.29
2009-09-18,44,35.11
2009-09-25,42,34.76
2009-10-02,36,34.84
2009-10-09,42,36.10
2009-10-16,42,36.86
2009-10-23,40,36.48
2009-10-30,41,34.96
2009-11-06,36,35.26
2009-11-13,37,34.40
2009-11-20,43,33.79
2009-11-27,45,34.60
2009-12-04,44,35.79
2009-12-11,41,36.70
2009-12-18,48,36.69
2009-12-25,38,
2010-01-01,45,
2010-01-08,51,35.97
2010-01-15,46,36.41
2010-01-22,41,35.58
2010-01-29,39,35.29
2010-02-05,42,35.00
2010-02-12,41,35.30
2010-02-19,38,36.52
2010-02-26,44,36.33
2010-03-05,40,37.25
2010-03-12,45,37.58
2010-03-19,40,38.07
2010-03-26,39,38.00
2010-04-02,44,
2010-04-09,48,38.25
2010-04-16,44,38.16
2010-04-23,48,39.27
2010-04-30,42,39.51
2010-05-07,48,37.53
2010-05-14,47,38.26
2010-05-21,48,35.71
2010-05-28,51,36.50
2010-06-04,51,35.72
2010-06-11,45,36.52
2010-06-18,45,37.92
2010-06-25,48,36.47
2010-07-02,47,35.80
2010-07-09,47,37.58
2010-07-16,51,37.49
2010-07-23,47,38.87
2010-07-30,43,38.00
2010-08-06,50,38.98
2010-08-13,46,37.22
2010-08-20,47,36.50
2010-08-27,43,37.08
2010-09-03,42,38.12
2010-09-10,41,38.04
2010-09-17,43,37.70
2010-09-24,45,38.25
2010-10-01,44,38.82
2010-10-08,42,38.88
2010-10-15,40,38.90
2010-10-22,39,38.85
2010-10-29,43,39.26
2010-11-05,38,39.18
2010-11-12,44,38.51
2010-11-19,46,37.52
2010-11-26,50,37.28
2010-12-03,53,37.45
2010-12-10,47,35.93
2010-12-17,47,35.61
2010-12-24,51,
2010-12-31,55,35.85
2011-01-07,51,35.95
2011-01-14,49,36.71
2011-01-21,45,36.50
2011-01-28,46,36.09
2011-02-04,48,37.40
2011-02-11,50,37.81
2011-02-18,44,38.80
2011-02-25,54,38.29
2011-03-04,54,38.71
2011-03-11,54,39.00
2011-03-18,48,38.89
2011-03-25,53,38.86
2011-04-01,54,40.13
2011-04-08,56,39.47
2011-04-15,61,39.60
2011-04-22,61,
2011-04-29,67,41.51
2011-05-06,60,41.42
2011-05-13,63,41.04
2011-05-20,57,40.67
2011-05-27,57,40.59
2011-06-03,55,40.07
2011-06-10,55,39.00
2011-06-17,52,39.44
2011-06-24,52,39.66
2011-07-01,55,41.50
2011-07-08,49,42.23
2011-07-15,52,41.37
2011-07-22,55,42.14
2011-07-29,52,40.80
2011-08-05,56,38.21
2011-08-12,55,38.23
2011-08-19,54,37.32
2011-08-26,49,40.51
2011-09-02,55,40.39
2011-09-09,44,39.87
2011-09-16,46,40.82
2011-09-23,47,39.70
2011-09-30,49,40.74
2011-10-07,46,40.44
2011-10-14,47,41.18
2011-10-21,46,41.66
2011-10-28,43,43.00
2011-11-04,51,41.36
2011-11-11,45,41.81
2011-11-18,49,41.01
2011-11-25,48,38.84
2011-12-02,53,40.42
2011-12-09,48,39.48
2011-12-16,47,41.01
2011-12-23,55,41.94
2011-12-30,61,42.26
2012-01-06,49,41.18
2012-01-13,47,41.23
2012-01-20,48,42.05
2012-01-27,50,41.91
2012-02-03,49,41.55
2012-02-10,50,41.56
2012-02-17,49,41.40
2012-02-24,56,40.37
2012-03-02,56,39.47
2012-03-09,59,39.38
2012-03-16,55,39.06
2012-03-23,56,38.76
2012-03-30,64,39.22
2012-04-06,54,
2012-04-13,54,37.84
2012-04-20,51,38.31
2012-04-27,57,39.25
2012-05-04,58,38.50
2012-05-11,53,38.57
2012-05-18,51,36.85
2012-05-25,62,37.27
2012-06-01,54,36.94
2012-06-08,52,38.15
2012-06-15,51,38.71
2012-06-22,54,38.23
2012-06-29,58,38.75
2012-07-06,55,38.94
2012-07-13,51,39.42
2012-07-20,56,39.90
2012-07-27,55,40.58
2012-08-03,50,40.76
2012-08-10,56,40.52
2012-08-17,56,39.84
2012-08-24,50,39.43
2012-08-31,55,39.65
2012-09-07,56,40.87
2012-09-14,50,41.21
2012-09-21,51,41.28
2012-09-28,53,40.91
2012-10-05,49,41.30
2012-10-12,52,40.13
2012-10-19,47,40.74
2012-10-26,48,40.28
2012-11-02,88,39.57
2012-11-09,80,38.36
2012-11-16,57,37.79
2012-11-23,54,37.55
2012-11-30,60,38.98
2012-12-07,51,39.58
2012-12-14,48,39.65
2012-12-21,51,40.36
2012-12-28,55,39.68
2013-01-04,53,41.13
2013-01-11,50,40.34
2013-01-18,54,41.16
2013-01-25,50,41.29
2013-02-01,49,42.28
2013-02-08,44,40.35
2013-02-15,46,39.74
2013-02-22,49,39.79
2013-03-01,47,40.18
2013-03-08,46,40.77
2013-03-15,52,41.15
2013-03-22,47,41.47
2013-03-29,54,
2013-04-05,47,41.71
2013-04-12,53,43.50
2013-04-19,53,43.45
2013-04-26,51,43.24
2013-05-03,53,43.89
2013-05-10,53,43.59
2013-05-17,51,44.18
2013-05-24,52,42.78
2013-05-31,53,42.33
2013-06-07,53,42.53
2013-06-14,55,42.98
2013-06-21,52,42.19
2013-06-28,52,42.86
2013-07-05,57,42.65
2013-07-12,54,44.72
2013-07-19,58,45.76
2013-07-26,57,46.14
2013-08-02,53,45.99
2013-08-09,54,45.91
2013-08-16,50,44.50
2013-08-23,55,45.33
2013-08-30,58,43.95
2013-09-06,53,43.85
2013-09-13,52,44.03
2013-09-20,53,45.79
2013-09-27,47,45.82
2013-10-04,51,45.12
2013-10-11,52,45.32
2013-10-18,52,46.44
2013-10-25,51,48.00
2013-11-01,50,47.92
2013-11-08,53,47.58
2013-11-15,55,47.48
2013-11-22,54,47.29
2013-11-29,57,46.54
2013-12-06,55,45.84
2013-12-13,54,45.59
2013-12-20,50,47.08
2013-12-27,54,47.23
2014-01-03,56,45.69
2014-01-10,51,47.05
2014-01-17,50,46.87
2014-01-24,51,47.14
2014-01-31,54,47.78
2014-02-07,48,46.01
2014-02-14,52,46.35
2014-02-21,52,46.79
2014-02-28,52,47.04
2014-03-07,50,47.04
2014-03-14,49,48.95
2014-03-21,53,47.74
2014-03-28,45,48.33
2014-04-04,52,49.13
2014-04-11,50,49.93
2014-04-18,55,
2014-04-25,55,52.47
2014-05-02,55,
