Date,Goodyear Tire & Rubber,Price
2006-12-08,76,17.72
2006-12-15,64,19.20
2006-12-22,59,19.72
2006-12-29,62,20.99
2007-01-05,59,23.28
2007-01-12,53,24.51
2007-01-19,57,24.22
2007-01-26,55,24.70
2007-02-02,48,24.89
2007-02-09,54,25.11
2007-02-16,51,25.18
2007-02-23,56,26.12
2007-03-02,50,27.19
2007-03-09,57,28.51
2007-03-16,60,28.26
2007-03-23,58,30.29
2007-03-30,52,31.19
2007-04-06,61,
2007-04-13,56,33.18
2007-04-20,61,32.51
2007-04-27,54,34.41
2007-05-04,57,33.68
2007-05-11,54,32.96
2007-05-18,56,34.98
2007-05-25,57,34.44
2007-06-01,50,36.13
2007-06-08,55,35.13
2007-06-15,49,35.32
2007-06-22,54,34.67
2007-06-29,67,34.76
2007-07-06,64,36.57
2007-07-13,58,36.03
2007-07-20,60,34.95
2007-07-27,61,27.00
2007-08-03,70,26.43
2007-08-10,70,27.25
2007-08-17,66,27.69
2007-08-24,68,28.84
2007-08-31,64,27.66
2007-09-07,55,25.92
2007-09-14,56,25.52
2007-09-21,62,29.15
2007-09-28,61,30.41
2007-10-05,62,30.01
2007-10-12,69,30.76
2007-10-19,66,28.51
2007-10-26,64,27.48
2007-11-02,63,30.48
2007-11-09,81,27.11
2007-11-16,70,27.23
2007-11-23,79,26.58
2007-11-30,74,28.75
2007-12-07,78,28.44
2007-12-14,55,26.46
2007-12-21,64,28.75
2007-12-28,61,28.51
2008-01-04,63,24.58
2008-01-11,45,24.28
2008-01-18,53,24.25
2008-01-25,46,25.07
2008-02-01,46,26.07
2008-02-08,56,23.69
2008-02-15,53,26.86
2008-02-22,51,26.93
2008-02-29,48,27.10
2008-03-07,51,25.61
2008-03-14,46,25.61
2008-03-21,43,
2008-03-28,54,24.80
2008-04-04,53,26.58
2008-04-11,50,25.50
2008-04-18,52,27.40
2008-04-25,54,28.91
2008-05-02,54,27.18
2008-05-09,57,27.88
2008-05-16,55,28.98
2008-05-23,46,25.29
2008-05-30,51,25.41
2008-06-06,52,23.11
2008-06-13,50,23.14
2008-06-20,42,20.34
2008-06-27,56,18.25
2008-07-04,50,
2008-07-11,57,16.98
2008-07-18,55,18.53
2008-07-25,52,19.49
2008-08-01,64,19.20
2008-08-08,56,21.33
2008-08-15,57,21.41
2008-08-22,54,20.36
2008-08-29,55,19.61
2008-09-05,53,20.59
2008-09-12,56,18.35
2008-09-19,55,17.18
2008-09-26,57,16.57
2008-10-03,70,12.55
2008-10-10,65,12.20
2008-10-17,66,11.70
2008-10-24,77,8.89
2008-10-31,80,8.92
2008-11-07,72,7.14
2008-11-14,82,5.42
2008-11-21,89,5.01
2008-11-28,72,6.43
2008-12-05,77,6.07
2008-12-12,70,6.14
2008-12-19,69,6.12
2008-12-26,67,5.58
2009-01-02,67,6.51
2009-01-09,60,7.63
2009-01-16,59,6.71
2009-01-23,49,6.49
2009-01-30,55,6.17
2009-02-06,53,7.17
2009-02-13,53,6.92
2009-02-20,62,5.97
2009-02-27,57,4.44
2009-03-06,51,3.51
2009-03-13,50,5.24
2009-03-20,58,5.84
2009-03-27,57,6.85
2009-04-03,56,7.40
2009-04-10,60,
2009-04-17,63,10.21
2009-04-24,54,10.87
2009-05-01,56,11.41
2009-05-08,58,13.30
2009-05-15,48,11.24
2009-05-22,49,11.45
2009-05-29,58,11.45
2009-06-05,51,12.94
2009-06-12,60,12.41
2009-06-19,68,12.23
2009-06-26,63,11.22
2009-07-03,62,
2009-07-10,61,10.98
2009-07-17,60,12.92
2009-07-24,68,14.47
2009-07-31,66,17.02
2009-08-07,64,18.11
2009-08-14,67,17.80
2009-08-21,66,17.97
2009-08-28,66,16.20
2009-09-04,60,16.35
2009-09-11,67,17.27
2009-09-18,66,17.08
2009-09-25,68,16.02
2009-10-02,74,15.35
2009-10-09,79,17.23
2009-10-16,83,17.46
2009-10-23,72,17.75
2009-10-30,80,12.88
2009-11-06,70,13.13
2009-11-13,70,14.34
2009-11-20,69,14.11
2009-11-27,62,13.69
2009-12-04,72,14.56
2009-12-11,73,14.89
2009-12-18,54,14.34
2009-12-25,40,
2010-01-01,53,
2010-01-08,51,15.94
2010-01-15,39,15.02
2010-01-22,42,13.24
2010-01-29,39,13.34
2010-02-05,48,12.64
2010-02-12,52,13.28
2010-02-19,51,13.46
2010-02-26,48,12.99
2010-03-05,48,13.70
2010-03-12,51,13.82
2010-03-19,51,13.01
2010-03-26,48,13.03
2010-04-02,49,
2010-04-09,46,12.87
2010-04-16,49,14.27
2010-04-23,49,14.58
2010-04-30,44,13.43
2010-05-07,50,12.11
2010-05-14,53,13.05
2010-05-21,52,11.33
2010-05-28,53,11.90
2010-06-04,48,11.49
2010-06-11,50,11.59
2010-06-18,52,11.99
2010-06-25,54,11.40
2010-07-02,60,10.01
2010-07-09,59,10.89
2010-07-16,51,10.94
2010-07-23,53,12.22
2010-07-30,52,10.67
2010-08-06,55,11.15
2010-08-13,53,9.98
2010-08-20,51,9.85
2010-08-27,49,9.69
2010-09-03,52,10.30
2010-09-10,53,10.35
2010-09-17,48,11.16
2010-09-24,48,10.82
2010-10-01,55,10.85
2010-10-08,54,11.57
2010-10-15,51,11.97
2010-10-22,58,11.74
2010-10-29,63,10.22
2010-11-05,58,10.47
2010-11-12,63,10.10
2010-11-19,57,10.33
2010-11-26,60,10.03
2010-12-03,57,9.93
2010-12-10,53,11.35
2010-12-17,56,11.64
2010-12-24,44,
2010-12-31,54,11.85
2011-01-07,50,12.90
2011-01-14,49,12.13
2011-01-21,43,11.58
2011-01-28,41,11.66
2011-02-04,45,12.76
2011-02-11,43,14.30
2011-02-18,41,14.89
2011-02-25,41,13.90
2011-03-04,44,13.68
2011-03-11,43,14.98
2011-03-18,39,14.82
2011-03-25,44,15.45
2011-04-01,42,15.22
2011-04-08,44,15.00
2011-04-15,44,15.15
2011-04-22,45,
2011-04-29,45,18.15
2011-05-06,41,17.56
2011-05-13,43,17.77
2011-05-20,48,17.57
2011-05-27,47,17.51
2011-06-03,45,16.51
2011-06-10,45,14.99
2011-06-17,46,14.80
2011-06-24,43,15.88
2011-07-01,48,17.29
2011-07-08,45,17.23
2011-07-15,47,17.84
2011-07-22,46,17.89
2011-07-29,48,16.17
2011-08-05,45,13.55
2011-08-12,47,13.48
2011-08-19,46,10.88
2011-08-26,40,11.81
2011-09-02,46,11.50
2011-09-09,44,10.78
2011-09-16,46,11.09
2011-09-23,43,9.86
2011-09-30,44,10.09
2011-10-07,49,10.30
2011-10-14,51,12.27
2011-10-21,55,12.97
2011-10-28,56,14.84
2011-11-04,52,14.30
2011-11-11,59,13.93
2011-11-18,59,12.76
2011-11-25,55,11.93
2011-12-02,52,14.12
2011-12-09,45,14.55
2011-12-16,38,13.58
2011-12-23,40,14.31
2011-12-30,42,14.17
2012-01-06,42,15.15
2012-01-13,38,13.50
2012-01-20,37,13.65
2012-01-27,38,13.50
2012-02-03,38,13.86
2012-02-10,38,13.88
2012-02-17,39,13.42
2012-02-24,40,13.11
2012-03-02,56,13.12
2012-03-09,39,12.38
2012-03-16,41,12.16
2012-03-23,41,11.91
2012-03-30,38,11.22
2012-04-06,39,
2012-04-13,36,10.59
2012-04-20,39,11.24
2012-04-27,39,11.32
2012-05-04,36,10.84
2012-05-11,40,10.55
2012-05-18,33,10.04
2012-05-25,37,10.59
2012-06-01,37,9.87
2012-06-08,37,10.49
2012-06-15,35,11.02
2012-06-22,38,11.46
2012-06-29,40,11.81
2012-07-06,40,11.09
2012-07-13,42,10.24
2012-07-20,42,9.81
2012-07-27,45,10.57
2012-08-03,44,11.16
2012-08-10,41,11.74
2012-08-17,42,12.04
2012-08-24,44,11.88
2012-08-31,42,12.20
2012-09-07,45,13.16
2012-09-14,43,13.51
2012-09-21,47,12.73
2012-09-28,44,12.19
2012-10-05,47,12.74
2012-10-12,47,12.28
2012-10-19,45,12.39
2012-10-26,46,11.02
2012-11-02,45,11.60
2012-11-09,48,11.53
2012-11-16,47,11.16
2012-11-23,43,11.83
2012-11-30,43,12.60
2012-12-07,38,12.78
2012-12-14,35,12.95
2012-12-21,37,13.08
2012-12-28,37,13.29
2013-01-04,37,14.35
2013-01-11,33,13.78
2013-01-18,33,13.81
2013-01-25,31,13.87
2013-02-01,33,13.78
2013-02-08,34,13.59
2013-02-15,31,14.10
2013-02-22,31,13.45
2013-03-01,31,12.96
2013-03-08,34,13.08
2013-03-15,34,13.73
2013-03-22,33,12.80
2013-03-29,35,
2013-04-05,33,12.16
2013-04-12,32,12.51
2013-04-19,33,12.14
2013-04-26,34,12.51
2013-05-03,34,12.37
2013-05-10,35,12.85
2013-05-17,35,14.74
2013-05-24,35,14.55
2013-05-31,37,15.14
2013-06-07,35,14.82
2013-06-14,35,15.31
2013-06-21,35,14.94
2013-06-28,36,15.30
2013-07-05,35,15.86
2013-07-12,38,16.60
2013-07-19,37,17.23
2013-07-26,37,16.78
2013-08-02,37,19.02
2013-08-09,37,19.05
2013-08-16,38,18.72
2013-08-23,38,18.84
2013-08-30,40,20.12
2013-09-06,35,20.79
2013-09-13,38,21.82
2013-09-20,39,22.21
2013-09-27,38,22.46
2013-10-04,43,23.01
2013-10-11,43,22.64
2013-10-18,48,22.63
2013-10-25,45,22.21
2013-11-01,46,20.86
2013-11-08,49,21.06
2013-11-15,51,21.65
2013-11-22,46,21.75
2013-11-29,59,22.26
2013-12-06,47,22.56
2013-12-13,45,22.62
2013-12-20,42,22.93
2013-12-27,34,23.54
2014-01-03,39,23.37
2014-01-10,37,25.99
2014-01-17,32,24.53
2014-01-24,33,23.04
2014-01-31,33,23.66
2014-02-07,32,23.53
2014-02-14,36,26.76
2014-02-21,39,26.54
2014-02-28,39,26.87
2014-03-07,37,27.66
2014-03-14,38,27.29
2014-03-21,34,26.92
2014-03-28,36,25.94
2014-04-04,35,25.56
2014-04-11,35,25.21
2014-04-18,36,
2014-04-25,39,27.44
2014-05-02,37,
