Date,BAX,Price
2009-01-09,42,53.98
2009-01-16,39,54.95
2009-01-23,44,57.47
2009-01-30,40,58.65
2009-02-06,43,60.20
2009-02-13,42,58.74
2009-02-20,40,58.05
2009-02-27,45,50.91
2009-03-06,39,51.92
2009-03-13,45,51.16
2009-03-20,42,49.57
2009-03-27,38,50.49
2009-04-03,39,48.61
2009-04-10,40,
2009-04-17,35,51.85
2009-04-24,36,48.07
2009-05-01,41,49.06
2009-05-08,39,50.26
2009-05-15,40,49.78
2009-05-22,36,49.80
2009-05-29,37,51.19
2009-06-05,39,47.56
2009-06-12,35,49.53
2009-06-19,38,51.39
2009-06-26,35,52.25
2009-07-03,38,
2009-07-10,39,52.75
2009-07-17,36,54.15
2009-07-24,34,54.65
2009-07-31,36,56.37
2009-08-07,41,55.38
2009-08-14,36,55.23
2009-08-21,38,56.29
2009-08-28,37,56.78
2009-09-04,34,56.62
2009-09-11,31,56.86
2009-09-18,32,58.36
2009-09-25,33,57.38
2009-10-02,30,56.70
2009-10-09,35,58.19
2009-10-16,31,55.17
2009-10-23,29,55.08
2009-10-30,34,54.06
2009-11-06,33,55.12
2009-11-13,32,54.82
2009-11-20,31,54.33
2009-11-27,32,54.83
2009-12-04,31,56.69
2009-12-11,33,59.50
2009-12-18,33,57.60
2009-12-25,27,
2010-01-01,32,
2010-01-08,30,59.17
2010-01-15,35,61.57
2010-01-22,33,58.74
2010-01-29,35,57.59
2010-02-05,40,56.59
2010-02-12,35,55.92
2010-02-19,39,57.54
2010-02-26,35,56.93
2010-03-05,34,59.48
2010-03-12,34,57.81
2010-03-19,35,59.25
2010-03-26,36,58.43
2010-04-02,32,
2010-04-09,33,57.99
2010-04-16,32,59.10
2010-04-23,35,49.32
2010-04-30,33,47.22
2010-05-07,37,45.12
2010-05-14,32,43.53
2010-05-21,33,40.67
2010-05-28,32,42.23
2010-06-04,34,41.37
2010-06-11,34,41.41
2010-06-18,33,42.01
2010-06-25,33,41.79
2010-07-02,33,41.65
2010-07-09,35,43.91
2010-07-16,33,42.45
2010-07-23,36,43.99
2010-07-30,33,43.77
2010-08-06,36,45.13
2010-08-13,36,45.71
2010-08-20,35,44.57
2010-08-27,33,43.75
2010-09-03,30,44.23
2010-09-10,37,43.07
2010-09-17,33,44.99
2010-09-24,34,48.02
2010-10-01,29,47.65
2010-10-08,31,49.16
2010-10-15,33,48.76
2010-10-22,36,51.12
2010-10-29,35,50.93
2010-11-05,34,51.52
2010-11-12,32,51.46
2010-11-19,37,51.39
2010-11-26,30,49.75
2010-12-03,33,49.84
2010-12-10,32,50.27
2010-12-17,32,51.27
2010-12-24,31,
2010-12-31,31,50.62
2011-01-07,29,49.41
2011-01-14,29,50.31
2011-01-21,32,49.49
2011-01-28,33,48.60
2011-02-04,30,48.52
2011-02-11,37,51.68
2011-02-18,35,53.03
2011-02-25,36,52.42
2011-03-04,33,53.80
2011-03-11,28,52.60
2011-03-18,32,51.78
2011-03-25,31,52.92
2011-04-01,30,53.91
2011-04-08,33,53.73
2011-04-15,34,54.96
2011-04-22,31,
2011-04-29,29,56.90
2011-05-06,30,57.79
2011-05-13,34,59.23
2011-05-20,33,60.33
2011-05-27,31,59.11
2011-06-03,33,57.94
2011-06-10,26,57.61
2011-06-17,32,58.34
2011-06-24,34,58.50
2011-07-01,32,60.23
2011-07-08,34,60.92
2011-07-15,33,60.80
2011-07-22,34,61.79
2011-07-29,36,58.17
2011-08-05,33,53.59
2011-08-12,29,53.29
2011-08-19,31,51.64
2011-08-26,31,53.73
2011-09-02,28,54.12
2011-09-09,29,53.16
2011-09-16,31,56.67
2011-09-23,29,53.47
2011-09-30,28,56.14
2011-10-07,29,55.65
2011-10-14,30,55.92
2011-10-21,32,54.81
2011-10-28,30,55.17
2011-11-04,31,53.69
2011-11-11,29,54.66
2011-11-18,29,50.42
2011-11-25,30,47.72
2011-12-02,29,51.46
2011-12-09,32,50.37
2011-12-16,34,48.08
2011-12-23,33,50.05
2011-12-30,40,49.48
2012-01-06,37,50.14
2012-01-13,35,51.30
2012-01-20,35,52.68
2012-01-27,33,55.87
2012-02-03,33,57.04
2012-02-10,33,56.84
2012-02-17,31,56.97
2012-02-24,31,57.64
2012-03-02,34,57.98
2012-03-09,39,58.89
2012-03-16,39,59.81
2012-03-23,39,59.31
2012-03-30,37,59.78
2012-04-06,35,
2012-04-13,33,58.03
2012-04-20,33,54.17
2012-04-27,30,55.09
2012-05-04,30,54.65
2012-05-11,32,54.08
2012-05-18,33,51.51
2012-05-25,34,51.99
2012-06-01,34,50.17
2012-06-08,35,50.62
2012-06-15,33,49.30
2012-06-22,36,51.87
2012-06-29,33,53.15
2012-07-06,33,53.58
2012-07-13,34,54.53
2012-07-20,33,56.21
2012-07-27,28,59.70
2012-08-03,31,58.93
2012-08-10,29,58.84
2012-08-17,31,58.90
2012-08-24,31,58.75
2012-08-31,33,58.68
2012-09-07,33,59.18
2012-09-14,31,60.48
2012-09-21,31,61.01
2012-09-28,31,60.27
2012-10-05,31,61.93
2012-10-12,30,60.69
2012-10-19,30,61.92
2012-10-26,33,61.16
2012-11-02,33,64.75
2012-11-09,32,64.27
2012-11-16,33,66.02
2012-11-23,33,68.81
2012-11-30,36,66.27
2012-12-07,35,65.07
2012-12-14,32,65.95
2012-12-21,34,67.25
2012-12-28,33,65.59
2013-01-04,34,68.43
2013-01-11,33,68.95
2013-01-18,33,67.05
2013-01-25,32,68.00
2013-02-01,32,68.77
2013-02-08,34,69.00
2013-02-15,32,68.17
2013-02-22,32,67.00
2013-03-01,32,68.90
2013-03-08,34,69.89
2013-03-15,34,69.41
2013-03-22,35,70.94
2013-03-29,33,
2013-04-05,31,70.50
2013-04-12,34,71.78
2013-04-19,32,69.09
2013-04-26,31,69.49
2013-05-03,32,70.25
2013-05-10,33,70.76
2013-05-17,36,72.94
2013-05-24,37,71.51
2013-05-31,39,70.33
2013-06-07,34,69.97
2013-06-14,36,70.60
2013-06-21,38,69.96
2013-06-28,46,69.27
2013-07-05,46,69.88
2013-07-12,43,72.50
2013-07-19,42,74.04
2013-07-26,39,73.02
2013-08-02,37,70.44
2013-08-09,37,73.79
2013-08-16,39,71.12
2013-08-23,39,71.94
2013-08-30,35,69.56
2013-09-06,34,70.01
2013-09-13,36,71.78
2013-09-20,34,71.58
2013-09-27,50,66.38
2013-10-04,36,65.01
2013-10-11,36,66.00
2013-10-18,38,66.00
2013-10-25,37,65.49
2013-11-01,44,65.75
2013-11-08,35,65.13
2013-11-15,36,68.66
2013-11-22,36,67.78
2013-11-29,45,68.45
2013-12-06,41,67.39
2013-12-13,38,66.27
2013-12-20,39,68.39
2013-12-27,38,69.47
2014-01-03,39,69.30
2014-01-10,40,70.01
2014-01-17,38,69.93
2014-01-24,38,67.64
2014-01-31,37,68.30
2014-02-07,34,67.90
2014-02-14,33,69.08
2014-02-21,35,69.29
2014-02-28,35,69.50
2014-03-07,36,67.50
2014-03-14,37,66.49
2014-03-21,37,67.71
2014-03-28,36,72.85
2014-04-04,33,72.93
2014-04-11,35,71.98
2014-04-18,36,
2014-04-25,35,72.32
2014-05-02,36,
