Date,EW,Price
2009-04-17,75,59.74
2009-04-24,74,57.08
2009-05-01,76,64.11
2009-05-08,77,63.27
2009-05-15,89,62.77
2009-05-22,84,62.86
2009-05-29,72,63.84
2009-06-05,72,64.62
2009-06-12,65,66.14
2009-06-19,64,67.36
2009-06-26,68,67.25
2009-07-03,60,
2009-07-10,64,65.93
2009-07-17,67,68.00
2009-07-24,64,67.25
2009-07-31,69,65.41
2009-08-07,66,63.84
2009-08-14,62,64.23
2009-08-21,65,64.05
2009-08-28,59,62.12
2009-09-04,63,63.63
2009-09-11,59,66.01
2009-09-18,66,67.26
2009-09-25,61,69.08
2009-10-02,59,68.40
2009-10-09,65,71.38
2009-10-16,60,71.58
2009-10-23,62,76.00
2009-10-30,61,76.94
2009-11-06,62,79.97
2009-11-13,64,80.64
2009-11-20,64,81.25
2009-11-27,62,82.52
2009-12-04,63,83.33
2009-12-11,65,85.94
2009-12-18,59,85.29
2009-12-25,61,
2010-01-01,64,
2010-01-08,60,89.48
2010-01-15,66,91.59
2010-01-22,63,90.92
2010-01-29,65,89.62
2010-02-05,75,89.72
2010-02-12,69,87.33
2010-02-19,73,90.50
2010-02-26,73,91.83
2010-03-05,76,96.93
2010-03-12,76,97.85
2010-03-19,72,99.90
2010-03-26,73,98.21
2010-04-02,73,
2010-04-09,79,104.02
2010-04-16,78,104.35
2010-04-23,80,102.74
2010-04-30,75,103.08
2010-05-07,79,97.47
2010-05-14,86,100.61
2010-05-21,88,98.40
2010-05-28,100,50.53
2010-06-04,70,52.46
2010-06-11,68,53.80
2010-06-18,66,55.05
2010-06-25,66,53.32
2010-07-02,64,55.41
2010-07-09,67,56.14
2010-07-16,66,54.75
2010-07-23,66,58.23
2010-07-30,67,57.80
2010-08-06,66,58.30
2010-08-13,70,57.31
2010-08-20,67,58.18
2010-08-27,65,58.10
2010-09-03,62,60.97
2010-09-10,60,59.03
2010-09-17,67,55.81
2010-09-24,69,67.91
2010-10-01,70,67.11
2010-10-08,69,68.02
2010-10-15,71,67.48
2010-10-22,74,66.24
2010-10-29,70,63.91
2010-11-05,70,65.63
2010-11-12,71,64.91
2010-11-19,72,66.89
2010-11-26,65,65.94
2010-12-03,72,68.17
2010-12-10,70,71.29
2010-12-17,68,84.75
2010-12-24,68,
2010-12-31,70,80.84
2011-01-07,70,79.05
2011-01-14,75,81.70
2011-01-21,76,82.69
2011-01-28,72,83.18
2011-02-04,72,85.94
2011-02-11,74,88.87
2011-02-18,74,89.50
2011-02-25,73,86.40
2011-03-04,74,89.51
2011-03-11,74,89.27
2011-03-18,75,86.21
2011-03-25,71,88.50
2011-04-01,73,86.07
2011-04-08,78,83.06
2011-04-15,73,83.95
2011-04-22,73,
2011-04-29,75,86.35
2011-05-06,73,88.20
2011-05-13,78,88.25
2011-05-20,82,88.43
2011-05-27,78,88.08
2011-06-03,69,86.44
2011-06-10,71,84.20
2011-06-17,71,84.01
2011-06-24,73,84.76
2011-07-01,73,88.07
2011-07-08,67,90.91
2011-07-15,72,88.94
2011-07-22,73,77.91
2011-07-29,74,71.35
2011-08-05,70,68.39
2011-08-12,75,69.15
2011-08-19,76,67.73
2011-08-26,72,73.58
2011-09-02,71,72.70
2011-09-09,70,70.44
2011-09-16,75,77.16
2011-09-23,74,74.54
2011-09-30,72,71.28
2011-10-07,75,72.03
2011-10-14,72,72.00
2011-10-21,74,73.38
2011-10-28,74,76.06
2011-11-04,74,76.44
2011-11-11,74,70.57
2011-11-18,79,63.02
2011-11-25,75,62.50
2011-12-02,75,64.99
2011-12-09,81,64.53
2011-12-16,77,67.39
2011-12-23,76,70.98
2011-12-30,78,70.70
2012-01-06,75,72.88
2012-01-13,76,73.21
2012-01-20,78,77.12
2012-01-27,80,79.18
2012-02-03,77,71.54
2012-02-10,85,73.87
2012-02-17,86,75.61
2012-02-24,80,74.26
2012-03-02,79,71.22
2012-03-09,78,68.92
2012-03-16,76,71.42
2012-03-23,76,71.28
2012-03-30,74,72.73
2012-04-06,75,
2012-04-13,77,68.55
2012-04-20,77,73.37
2012-04-27,77,82.69
2012-05-04,79,84.99
2012-05-11,81,84.68
2012-05-18,81,81.89
2012-05-25,83,87.40
2012-06-01,77,84.57
2012-06-08,75,88.23
2012-06-15,78,97.52
2012-06-22,73,101.56
2012-06-29,69,103.30
2012-07-06,75,101.92
2012-07-13,75,101.44
2012-07-20,74,101.09
2012-07-27,75,105.19
2012-08-03,65,101.32
2012-08-10,68,98.17
2012-08-17,72,100.43
2012-08-24,74,99.18
2012-08-31,70,102.11
2012-09-07,74,108.82
2012-09-14,72,105.10
2012-09-21,75,105.85
2012-09-28,77,107.37
2012-10-05,78,108.45
2012-10-12,76,87.10
2012-10-19,74,86.14
2012-10-26,73,87.15
2012-11-02,72,87.83
2012-11-09,75,87.70
2012-11-16,74,85.74
2012-11-23,70,85.60
2012-11-30,75,86.77
2012-12-07,72,91.36
2012-12-14,73,91.02
2012-12-21,73,92.11
2012-12-28,68,89.27
2013-01-04,70,92.65
2013-01-11,72,91.79
2013-01-18,73,94.56
2013-01-25,73,92.09
2013-02-01,74,93.41
2013-02-08,69,87.22
2013-02-15,73,86.36
2013-02-22,72,86.37
2013-03-01,72,86.10
2013-03-08,71,90.30
2013-03-15,73,82.19
2013-03-22,69,82.19
2013-03-29,71,
2013-04-05,76,81.40
2013-04-12,75,84.80
2013-04-19,74,83.12
2013-04-26,71,64.17
2013-05-03,74,63.21
2013-05-10,74,67.87
2013-05-17,78,67.06
2013-05-24,75,65.53
2013-05-31,68,66.46
2013-06-07,74,67.20
2013-06-14,70,70.00
2013-06-21,69,66.45
2013-06-28,68,67.20
2013-07-05,65,66.60
2013-07-12,69,67.85
2013-07-19,73,68.25
2013-07-26,69,71.80
2013-08-02,65,72.61
2013-08-09,65,72.67
2013-08-16,66,70.01
2013-08-23,64,72.94
2013-08-30,66,70.38
2013-09-06,65,71.47
2013-09-13,63,71.61
2013-09-20,65,70.03
2013-09-27,72,68.79
2013-10-04,70,72.81
2013-10-11,70,73.98
2013-10-18,73,77.20
2013-10-25,68,77.06
2013-11-01,67,64.27
2013-11-08,70,64.26
2013-11-15,71,64.99
2013-11-22,68,64.86
2013-11-29,67,65.53
2013-12-06,71,66.29
2013-12-13,66,61.44
2013-12-20,68,65.19
2013-12-27,62,66.01
2014-01-03,67,67.26
2014-01-10,69,68.48
2014-01-17,71,68.54
2014-01-24,71,68.81
2014-01-31,67,65.12
2014-02-07,68,66.94
2014-02-14,66,67.53
2014-02-21,78,68.24
2014-02-28,79,69.76
2014-03-07,78,72.07
2014-03-14,74,72.14
2014-03-21,70,72.13
2014-03-28,72,71.16
2014-04-04,73,74.25
2014-04-11,71,72.97
2014-04-18,74,
2014-04-25,73,80.50
2014-05-02,74,
