Date,Frontier Communications,Price
2008-01-25,16,10.75
2008-02-01,15,11.51
2008-02-08,14,10.94
2008-02-15,20,11.55
2008-02-22,17,10.95
2008-02-29,14,10.74
2008-03-07,15,10.64
2008-03-14,15,10.16
2008-03-21,17,
2008-03-28,14,10.45
2008-04-04,19,10.79
2008-04-11,18,10.20
2008-04-18,15,10.40
2008-04-25,14,10.61
2008-05-02,16,11.30
2008-05-09,13,10.66
2008-05-16,14,11.02
2008-05-23,14,11.02
2008-05-30,16,11.66
2008-06-06,16,11.20
2008-06-13,16,11.11
2008-06-20,17,11.06
2008-06-27,18,10.97
2008-07-04,14,
2008-07-11,13,11.46
2008-07-18,17,11.63
2008-07-25,17,11.90
2008-08-01,26,11.43
2008-08-08,21,12.19
2008-08-15,20,12.66
2008-08-22,16,12.65
2008-08-29,27,12.57
2008-09-05,26,12.09
2008-09-12,26,12.28
2008-09-19,22,11.86
2008-09-26,23,11.84
2008-10-03,29,11.15
2008-10-10,25,8.13
2008-10-17,19,8.53
2008-10-24,18,7.71
2008-10-31,29,7.61
2008-11-07,23,8.80
2008-11-14,26,8.49
2008-11-21,23,7.04
2008-11-28,25,8.72
2008-12-05,28,8.18
2008-12-12,23,8.32
2008-12-19,23,8.56
2008-12-26,21,8.54
2009-01-02,23,8.81
2009-01-09,22,8.40
2009-01-16,29,7.81
2009-01-23,22,8.34
2009-01-30,32,8.11
2009-02-06,28,8.53
2009-02-13,24,8.15
2009-02-20,22,7.54
2009-02-27,26,7.20
2009-03-06,27,5.86
2009-03-13,20,6.33
2009-03-20,25,6.61
2009-03-27,25,6.98
2009-04-03,27,7.65
2009-04-10,21,
2009-04-17,26,7.18
2009-04-24,23,7.17
2009-05-01,25,7.10
2009-05-08,24,7.99
2009-05-15,75,7.18
2009-05-22,37,7.01
2009-05-29,31,7.28
2009-06-05,27,7.17
2009-06-12,24,7.03
2009-06-19,34,6.65
2009-06-26,28,7.04
2009-07-03,28,
2009-07-10,32,6.52
2009-07-17,28,6.80
2009-07-24,34,7.00
2009-07-31,33,7.00
2009-08-07,33,7.07
2009-08-14,31,6.94
2009-08-21,27,7.04
2009-08-28,30,7.07
2009-09-04,25,7.01
2009-09-11,25,6.93
2009-09-18,26,7.31
2009-09-25,28,7.29
2009-10-02,33,7.27
2009-10-09,31,7.39
2009-10-16,26,7.37
2009-10-23,30,7.33
2009-10-30,31,7.17
2009-11-06,32,7.39
2009-11-13,23,7.27
2009-11-20,33,7.49
2009-11-27,20,7.91
2009-12-04,29,8.46
2009-12-11,29,7.94
2009-12-18,34,7.51
2009-12-25,23,
2010-01-01,36,
2010-01-08,33,7.68
2010-01-15,27,7.49
2010-01-22,28,7.53
2010-01-29,26,7.61
2010-02-05,27,7.62
2010-02-12,24,7.59
2010-02-19,31,7.64
2010-02-26,27,7.79
2010-03-05,33,7.31
2010-03-12,29,7.50
2010-03-19,32,7.49
2010-03-26,27,7.35
2010-04-02,32,
2010-04-09,27,7.45
2010-04-16,28,7.76
2010-04-23,26,7.82
2010-04-30,27,7.96
2010-05-07,24,7.50
2010-05-14,32,7.84
2010-05-21,33,7.71
2010-05-28,32,7.95
2010-06-04,34,8.34
2010-06-11,38,7.85
2010-06-18,40,7.83
2010-06-25,39,7.55
2010-07-02,68,7.35
2010-07-09,100,7.39
2010-07-16,68,7.39
2010-07-23,76,7.43
2010-07-30,74,7.64
2010-08-06,86,7.65
2010-08-13,86,7.60
2010-08-20,79,7.72
2010-08-27,80,7.70
2010-09-03,76,7.94
2010-09-10,77,7.72
2010-09-17,78,7.96
2010-09-24,76,8.07
2010-10-01,71,8.18
2010-10-08,71,8.39
2010-10-15,63,8.54
2010-10-22,68,8.79
2010-10-29,67,8.78
2010-11-05,66,9.00
2010-11-12,71,9.00
2010-11-19,67,9.17
2010-11-26,51,9.10
2010-12-03,68,9.46
2010-12-10,67,9.37
2010-12-17,61,9.25
2010-12-24,55,
2010-12-31,76,9.73
2011-01-07,76,9.59
2011-01-14,69,9.39
2011-01-21,69,9.18
2011-01-28,70,9.07
2011-02-04,71,9.39
2011-02-11,69,9.51
2011-02-18,62,9.46
2011-02-25,70,8.42
2011-03-04,61,8.13
2011-03-11,67,7.92
2011-03-18,56,8.13
2011-03-25,55,8.09
2011-04-01,54,8.10
2011-04-08,61,7.99
2011-04-15,58,8.07
2011-04-22,55,
2011-04-29,58,8.27
2011-05-06,51,8.43
2011-05-13,50,8.66
2011-05-20,42,8.81
2011-05-27,58,8.81
2011-06-03,52,8.52
2011-06-10,57,7.90
2011-06-17,54,7.87
2011-06-24,66,7.87
2011-07-01,64,8.20
2011-07-08,51,8.20
2011-07-15,61,7.71
2011-07-22,65,7.85
2011-07-29,65,7.49
2011-08-05,62,6.76
2011-08-12,67,6.95
2011-08-19,63,6.97
2011-08-26,56,7.22
2011-09-02,57,7.25
2011-09-09,55,6.82
2011-09-16,53,7.11
2011-09-23,53,6.28
2011-09-30,53,6.11
2011-10-07,53,5.88
2011-10-14,51,5.97
2011-10-21,37,6.13
2011-10-28,36,6.28
2011-11-04,40,5.66
2011-11-11,36,5.69
2011-11-18,38,5.30
2011-11-25,29,5.39
2011-12-02,41,5.55
2011-12-09,43,5.16
2011-12-16,39,4.92
2011-12-23,41,5.12
2011-12-30,59,5.15
2012-01-06,49,5.11
2012-01-13,55,5.10
2012-01-20,48,4.87
2012-01-27,48,4.31
2012-02-03,51,4.51
2012-02-10,49,4.04
2012-02-17,47,4.78
2012-02-24,40,4.64
2012-03-02,45,4.55
2012-03-09,41,4.42
2012-03-16,42,4.33
2012-03-23,43,4.19
2012-03-30,42,4.17
2012-04-06,47,
2012-04-13,46,4.12
2012-04-20,48,4.13
2012-04-27,43,4.06
2012-05-04,49,3.89
2012-05-11,45,3.47
2012-05-18,52,3.22
2012-05-25,47,3.50
2012-06-01,45,3.52
2012-06-08,45,3.45
2012-06-15,44,3.93
2012-06-22,43,4.02
2012-06-29,44,3.83
2012-07-06,43,4.01
2012-07-13,50,3.93
2012-07-20,45,3.74
2012-07-27,40,3.72
2012-08-03,45,4.40
2012-08-10,39,4.75
2012-08-17,35,4.63
2012-08-24,37,4.63
2012-08-31,36,4.62
2012-09-07,33,4.55
2012-09-14,39,4.65
2012-09-21,39,4.98
2012-09-28,42,4.92
2012-10-05,50,4.77
2012-10-12,40,4.81
2012-10-19,37,4.76
2012-10-26,34,4.74
2012-11-02,36,4.51
2012-11-09,33,4.35
2012-11-16,30,4.29
2012-11-23,28,4.49
2012-11-30,34,4.81
2012-12-07,42,4.71
2012-12-14,39,4.60
2012-12-21,40,4.28
2012-12-28,42,4.19
2013-01-04,51,4.36
2013-01-11,53,4.35
2013-01-18,52,4.48
2013-01-25,47,4.46
2013-02-01,45,4.40
2013-02-08,47,4.66
2013-02-15,43,4.10
2013-02-22,50,4.09
2013-03-01,47,4.19
2013-03-08,47,4.07
2013-03-15,49,4.09
2013-03-22,51,3.98
2013-03-29,47,
2013-04-05,47,4.12
2013-04-12,47,4.22
2013-04-19,47,4.03
2013-04-26,42,4.08
2013-05-03,47,4.03
2013-05-10,44,4.25
2013-05-17,41,4.42
2013-05-24,42,4.40
2013-05-31,39,4.15
2013-06-07,42,4.16
2013-06-14,45,4.22
2013-06-21,44,3.92
2013-06-28,46,4.05
2013-07-05,41,3.98
2013-07-12,46,4.03
2013-07-19,49,4.27
2013-07-26,40,4.27
2013-08-02,45,4.49
2013-08-09,44,4.55
2013-08-16,45,4.61
2013-08-23,46,4.55
2013-08-30,47,4.33
2013-09-06,45,4.28
2013-09-13,47,4.35
2013-09-20,44,4.18
2013-09-27,41,4.29
2013-10-04,46,4.28
2013-10-11,40,4.41
2013-10-18,42,4.47
2013-10-25,41,4.48
2013-11-01,47,4.45
2013-11-08,48,4.69
2013-11-15,45,4.90
2013-11-22,44,4.70
2013-11-29,37,4.68
2013-12-06,53,4.56
2013-12-13,43,4.44
2013-12-20,56,4.69
2013-12-27,40,4.70
2014-01-03,52,4.70
2014-01-10,51,4.73
2014-01-17,52,4.83
2014-01-24,45,4.80
2014-01-31,44,4.68
2014-02-07,39,4.54
2014-02-14,42,4.68
2014-02-21,39,4.63
2014-02-28,42,4.88
2014-03-07,40,4.91
2014-03-14,39,4.99
2014-03-21,38,5.41
2014-03-28,38,5.62
2014-04-04,42,5.55
2014-04-11,39,5.43
2014-04-18,40,
2014-04-25,39,5.74
2014-05-02,36,
