Date,TEG,Price
2008-06-20,49,51.50
2008-06-27,57,50.14
2008-07-04,50,
2008-07-11,56,52.22
2008-07-18,58,49.75
2008-07-25,58,49.68
2008-08-01,62,49.87
2008-08-08,62,50.68
2008-08-15,56,51.29
2008-08-22,79,52.60
2008-08-29,61,52.27
2008-09-05,45,50.92
2008-09-12,48,53.44
2008-09-19,53,52.86
2008-09-26,55,52.82
2008-10-03,53,50.03
2008-10-10,57,41.05
2008-10-17,62,43.08
2008-10-24,55,44.12
2008-10-31,58,47.67
2008-11-07,50,44.88
2008-11-14,53,43.38
2008-11-21,48,44.47
2008-11-28,54,44.18
2008-12-05,53,42.08
2008-12-12,56,41.96
2008-12-19,49,41.69
2008-12-26,58,41.13
2009-01-02,49,44.23
2009-01-09,55,44.00
2009-01-16,53,43.15
2009-01-23,59,40.98
2009-01-30,71,41.75
2009-02-06,62,44.03
2009-02-13,57,42.06
2009-02-20,57,37.39
2009-02-27,63,24.05
2009-03-06,58,21.01
2009-03-13,58,23.50
2009-03-20,53,26.21
2009-03-27,54,26.29
2009-04-03,57,26.65
2009-04-10,64,
2009-04-17,56,26.55
2009-04-24,50,25.34
2009-05-01,47,29.18
2009-05-08,53,29.76
2009-05-15,61,27.65
2009-05-22,54,27.91
2009-05-29,55,27.09
2009-06-05,44,28.27
2009-06-12,55,29.06
2009-06-19,49,28.77
2009-06-26,51,29.29
2009-07-03,51,
2009-07-10,57,28.70
2009-07-17,59,31.27
2009-07-24,58,33.54
2009-07-31,55,33.78
2009-08-07,58,33.87
2009-08-14,45,34.15
2009-08-21,51,35.46
2009-08-28,54,34.55
2009-09-04,63,33.90
2009-09-11,48,34.59
2009-09-18,71,35.68
2009-09-25,75,35.65
2009-10-02,63,34.97
2009-10-09,52,36.29
2009-10-16,56,35.41
2009-10-23,93,35.22
2009-10-30,62,34.60
2009-11-06,51,35.75
2009-11-13,47,38.31
2009-11-20,48,38.15
2009-11-27,51,38.15
2009-12-04,52,41.04
2009-12-11,49,42.46
2009-12-18,49,42.05
2009-12-25,42,
2010-01-01,41,
2010-01-08,52,40.89
2010-01-15,47,41.47
2010-01-22,49,41.67
2010-01-29,51,41.85
2010-02-05,52,41.28
2010-02-12,53,41.16
2010-02-19,55,45.72
2010-02-26,49,44.08
2010-03-05,100,45.92
2010-03-12,58,46.40
2010-03-19,55,46.24
2010-03-26,53,46.31
2010-04-02,47,
2010-04-09,51,47.73
2010-04-16,54,48.35
2010-04-23,50,50.18
2010-04-30,52,49.61
2010-05-07,48,46.27
2010-05-14,47,48.40
2010-05-21,46,45.98
2010-05-28,48,45.22
2010-06-04,49,43.34
2010-06-11,48,44.68
2010-06-18,49,46.76
2010-06-25,46,44.68
2010-07-02,52,43.61
2010-07-09,48,46.41
2010-07-16,48,45.60
2010-07-23,53,47.73
2010-07-30,52,47.35
2010-08-06,46,49.13
2010-08-13,53,48.44
2010-08-20,48,48.93
2010-08-27,51,49.25
2010-09-03,51,50.21
2010-09-10,46,49.72
2010-09-17,49,49.97
2010-09-24,46,51.40
2010-10-01,52,52.32
2010-10-08,43,53.07
2010-10-15,48,53.19
2010-10-22,52,53.39
2010-10-29,50,53.19
2010-11-05,56,53.32
2010-11-12,51,51.13
2010-11-19,46,50.40
2010-11-26,50,49.07
2010-12-03,47,47.81
2010-12-10,51,49.19
2010-12-17,45,49.24
2010-12-24,45,
2010-12-31,40,48.51
2011-01-07,53,48.30
2011-01-14,49,47.97
2011-01-21,53,48.01
2011-01-28,42,47.71
2011-02-04,51,48.22
2011-02-11,56,49.25
2011-02-18,48,49.34
2011-02-25,51,48.52
2011-03-04,47,49.72
2011-03-11,47,50.23
2011-03-18,47,49.13
2011-03-25,53,49.66
2011-04-01,53,50.92
2011-04-08,53,50.42
2011-04-15,52,50.63
2011-04-22,47,
2011-04-29,46,52.36
2011-05-06,47,52.85
2011-05-13,51,53.89
2011-05-20,46,53.67
2011-05-27,39,51.97
2011-06-03,47,50.81
2011-06-10,42,49.90
2011-06-17,46,50.34
2011-06-24,51,50.82
2011-07-01,45,52.56
2011-07-08,44,52.59
2011-07-15,43,51.73
2011-07-22,52,52.05
2011-07-29,43,50.21
2011-08-05,49,47.58
2011-08-12,48,46.97
2011-08-19,55,47.86
2011-08-26,50,49.42
2011-09-02,48,48.45
2011-09-09,48,47.22
2011-09-16,45,49.96
2011-09-23,49,47.84
2011-09-30,66,48.62
2011-10-07,49,48.42
2011-10-14,47,49.71
2011-10-21,50,51.61
2011-10-28,46,53.61
2011-11-04,47,52.94
2011-11-11,46,52.26
2011-11-18,49,51.52
2011-11-25,75,49.09
2011-12-02,64,50.76
2011-12-09,52,51.24
2011-12-16,47,51.70
2011-12-23,47,53.83
2011-12-30,44,54.18
2012-01-06,46,53.19
2012-01-13,49,52.07
2012-01-20,47,51.09
2012-01-27,52,51.95
2012-02-03,50,52.72
2012-02-10,56,53.36
2012-02-17,48,54.58
2012-02-24,49,54.41
2012-03-02,47,52.07
2012-03-09,46,53.53
2012-03-16,47,53.00
2012-03-23,42,52.70
2012-03-30,42,52.99
2012-04-06,44,
2012-04-13,46,51.75
2012-04-20,47,53.20
2012-04-27,51,54.42
2012-05-04,45,53.60
2012-05-11,44,53.94
2012-05-18,43,53.21
2012-05-25,48,54.73
2012-06-01,48,53.66
2012-06-08,50,55.48
2012-06-15,46,56.55
2012-06-22,50,55.89
2012-06-29,49,56.87
2012-07-06,46,57.53
2012-07-13,48,58.56
2012-07-20,47,60.05
2012-07-27,46,60.80
2012-08-03,44,61.16
2012-08-10,37,58.40
2012-08-17,45,56.78
2012-08-24,44,55.32
2012-08-31,41,53.99
2012-09-07,42,54.29
2012-09-14,45,53.48
2012-09-21,44,52.47
2012-09-28,45,52.20
2012-10-05,42,55.20
2012-10-12,44,54.48
2012-10-19,45,55.18
2012-10-26,45,53.57
2012-11-02,36,53.55
2012-11-09,42,52.00
2012-11-16,40,52.65
2012-11-23,55,52.60
2012-11-30,46,53.17
2012-12-07,45,53.37
2012-12-14,44,52.87
2012-12-21,43,53.26
2012-12-28,40,51.61
2013-01-04,44,54.29
2013-01-11,45,53.92
2013-01-18,40,54.29
2013-01-25,45,54.61
2013-02-01,45,55.46
2013-02-08,48,55.74
2013-02-15,43,56.16
2013-02-22,45,56.64
2013-03-01,41,56.10
2013-03-08,42,56.20
2013-03-15,50,55.99
2013-03-22,43,56.70
2013-03-29,45,
2013-04-05,45,59.35
2013-04-12,49,60.45
2013-04-19,46,60.47
2013-04-26,44,60.57
2013-05-03,41,62.45
2013-05-10,42,59.84
2013-05-17,46,61.57
2013-05-24,39,59.21
2013-05-31,46,57.53
2013-06-07,50,57.04
2013-06-14,49,57.49
2013-06-21,49,56.91
2013-06-28,53,58.53
2013-07-05,46,57.30
2013-07-12,43,60.40
2013-07-19,44,62.41
2013-07-26,44,62.81
2013-08-02,44,63.55
2013-08-09,42,62.19
2013-08-16,43,58.72
2013-08-23,51,57.53
2013-08-30,40,55.92
2013-09-06,41,54.69
2013-09-13,38,54.04
2013-09-20,40,55.99
2013-09-27,43,55.82
2013-10-04,40,55.34
2013-10-11,42,56.84
2013-10-18,39,57.39
2013-10-25,47,59.13
2013-11-01,46,59.11
2013-11-08,42,56.64
2013-11-15,40,57.07
2013-11-22,50,56.40
2013-11-29,56,53.74
2013-12-06,42,54.93
2013-12-13,43,53.11
2013-12-20,43,54.86
2013-12-27,52,54.42
2014-01-03,44,53.32
2014-01-10,50,53.96
2014-01-17,45,53.64
2014-01-24,47,53.61
2014-01-31,44,54.34
2014-02-07,49,53.19
2014-02-14,48,55.69
2014-02-21,47,56.73
2014-02-28,45,57.27
2014-03-07,44,56.25
2014-03-14,42,57.75
2014-03-21,46,57.86
2014-03-28,44,58.99
2014-04-04,47,59.82
2014-04-11,48,60.00
2014-04-18,52,
2014-04-25,47,61.41
2014-05-02,41,
