Date,LM,Price
2007-07-13,59,102.05
2007-07-20,60,99.66
2007-07-27,60,91.01
2007-08-03,59,86.20
2007-08-10,60,86.63
2007-08-17,60,88.80
2007-08-24,60,88.76
2007-08-31,62,86.82
2007-09-07,63,81.24
2007-09-14,60,79.72
2007-09-21,66,81.99
2007-09-28,60,84.29
2007-10-05,66,85.79
2007-10-12,66,86.57
2007-10-19,62,81.07
2007-10-26,71,80.85
2007-11-02,66,77.66
2007-11-09,70,72.49
2007-11-16,64,71.73
2007-11-23,70,70.04
2007-11-30,72,76.31
2007-12-07,72,76.05
2007-12-14,69,73.28
2007-12-21,58,72.69
2007-12-28,54,71.23
2008-01-04,57,69.79
2008-01-11,59,71.64
2008-01-18,64,69.11
2008-01-25,64,69.96
2008-02-01,59,73.44
2008-02-08,61,69.36
2008-02-15,60,69.08
2008-02-22,67,69.97
2008-02-29,62,66.04
2008-03-07,65,63.23
2008-03-14,64,58.73
2008-03-21,64,
2008-03-28,92,54.12
2008-04-04,71,59.24
2008-04-11,71,56.12
2008-04-18,69,58.65
2008-04-25,69,61.89
2008-05-02,62,64.87
2008-05-09,69,55.09
2008-05-16,67,56.61
2008-05-23,69,52.76
2008-05-30,64,53.81
2008-06-06,62,52.92
2008-06-13,59,53.51
2008-06-20,67,50.65
2008-06-27,65,44.11
2008-07-04,63,
2008-07-11,63,33.49
2008-07-18,62,35.59
2008-07-25,62,39.51
2008-08-01,61,40.76
2008-08-08,64,42.29
2008-08-15,60,43.76
2008-08-22,58,42.33
2008-08-29,67,44.53
2008-09-05,62,44.52
2008-09-12,62,40.40
2008-09-19,68,40.45
2008-09-26,65,44.89
2008-10-03,64,34.00
2008-10-10,63,19.12
2008-10-17,66,21.96
2008-10-24,69,15.78
2008-10-31,67,22.19
2008-11-07,100,18.17
2008-11-14,70,15.65
2008-11-21,70,14.03
2008-11-28,69,18.02
2008-12-05,65,18.15
2008-12-12,66,19.92
2008-12-19,60,21.41
2008-12-26,54,20.00
2009-01-02,54,22.75
2009-01-09,62,23.36
2009-01-16,68,21.06
2009-01-23,68,19.07
2009-01-30,66,16.06
2009-02-06,63,16.44
2009-02-13,66,16.10
2009-02-20,64,13.89
2009-02-27,69,12.83
2009-03-06,67,11.14
2009-03-13,73,14.70
2009-03-20,70,13.78
2009-03-27,69,16.17
2009-04-03,63,17.44
2009-04-10,69,
2009-04-17,70,20.20
2009-04-24,69,20.27
2009-05-01,68,20.71
2009-05-08,73,21.23
2009-05-15,66,18.53
2009-05-22,66,18.55
2009-05-29,72,19.28
2009-06-05,66,23.97
2009-06-12,65,23.94
2009-06-19,66,23.97
2009-06-26,66,25.37
2009-07-03,61,
2009-07-10,59,23.08
2009-07-17,63,24.21
2009-07-24,61,27.13
2009-07-31,64,28.14
2009-08-07,67,28.50
2009-08-14,64,27.71
2009-08-21,63,28.63
2009-08-28,71,28.92
2009-09-04,69,27.48
2009-09-11,66,28.73
2009-09-18,70,32.60
2009-09-25,63,28.88
2009-10-02,66,28.79
2009-10-09,70,31.71
2009-10-16,69,32.69
2009-10-23,70,31.90
2009-10-30,68,29.11
2009-11-06,71,30.20
2009-11-13,69,30.77
2009-11-20,73,29.53
2009-11-27,70,28.10
2009-12-04,62,28.99
2009-12-11,71,27.55
2009-12-18,66,28.82
2009-12-25,59,
2010-01-01,58,
2010-01-08,65,30.77
2010-01-15,69,30.46
2010-01-22,67,26.99
2010-01-29,66,25.78
2010-02-05,68,24.87
2010-02-12,65,25.76
2010-02-19,67,26.09
2010-02-26,67,25.85
2010-03-05,65,28.86
2010-03-12,70,28.92
2010-03-19,73,29.40
2010-03-26,66,29.50
2010-04-02,72,
2010-04-09,68,31.13
2010-04-16,67,32.29
2010-04-23,73,32.37
2010-04-30,70,31.69
2010-05-07,68,27.78
2010-05-14,69,33.57
2010-05-21,73,30.14
2010-05-28,71,29.72
2010-06-04,70,29.98
2010-06-11,67,32.37
2010-06-18,67,32.00
2010-06-25,66,30.70
2010-07-02,61,27.44
2010-07-09,60,29.52
2010-07-16,65,28.12
2010-07-23,64,29.09
2010-07-30,68,28.89
2010-08-06,63,29.27
2010-08-13,62,27.78
2010-08-20,68,27.22
2010-08-27,68,25.84
2010-09-03,65,27.93
2010-09-10,65,28.53
2010-09-17,75,29.88
2010-09-24,70,30.62
2010-10-01,72,30.60
2010-10-08,69,31.01
2010-10-15,70,30.95
2010-10-22,78,31.18
2010-10-29,73,31.03
2010-11-05,75,35.41
2010-11-12,75,33.05
2010-11-19,72,33.76
2010-11-26,79,33.31
2010-12-03,71,35.05
2010-12-10,79,35.14
2010-12-17,70,36.34
2010-12-24,67,
2010-12-31,65,36.27
2011-01-07,70,34.80
2011-01-14,74,36.10
2011-01-21,67,34.60
2011-01-28,72,33.20
2011-02-04,71,34.73
2011-02-11,72,35.58
2011-02-18,75,37.24
2011-02-25,74,36.12
2011-03-04,74,35.76
2011-03-11,78,34.20
2011-03-18,75,33.50
2011-03-25,75,35.03
2011-04-01,73,36.76
2011-04-08,77,36.01
2011-04-15,74,36.69
2011-04-22,71,
2011-04-29,77,37.15
2011-05-06,76,34.37
2011-05-13,77,33.97
2011-05-20,77,33.55
2011-05-27,82,33.36
2011-06-03,77,31.97
2011-06-10,74,31.25
2011-06-17,75,31.87
2011-06-24,74,31.25
2011-07-01,72,33.74
2011-07-08,71,33.33
2011-07-15,70,31.49
2011-07-22,71,32.43
2011-07-29,71,29.42
2011-08-05,69,27.02
2011-08-12,70,26.65
2011-08-19,69,25.50
2011-08-26,73,27.18
2011-09-02,70,26.40
2011-09-09,70,26.02
2011-09-16,73,28.83
2011-09-23,73,25.51
2011-09-30,75,25.71
2011-10-07,72,25.72
2011-10-14,73,25.87
2011-10-21,78,26.96
2011-10-28,74,29.08
2011-11-04,74,26.93
2011-11-11,72,26.36
2011-11-18,75,25.03
2011-11-25,82,23.31
2011-12-02,75,26.27
2011-12-09,78,26.12
2011-12-16,77,23.51
2011-12-23,68,24.45
2011-12-30,67,24.05
2012-01-06,69,23.90
2012-01-13,74,26.36
2012-01-20,72,27.50
2012-01-27,70,26.02
2012-02-03,73,27.38
2012-02-10,71,27.53
2012-02-17,74,27.32
2012-02-24,74,26.94
2012-03-02,73,27.73
2012-03-09,73,27.48
2012-03-16,79,29.12
2012-03-23,72,28.63
2012-03-30,76,27.93
2012-04-06,73,
2012-04-13,71,25.46
2012-04-20,77,25.76
2012-04-27,77,26.23
2012-05-04,72,23.68
2012-05-11,74,23.43
2012-05-18,77,24.11
2012-05-25,73,25.52
2012-06-01,78,24.27
2012-06-08,71,25.60
2012-06-15,74,25.46
2012-06-22,75,25.16
2012-06-29,70,26.37
2012-07-06,72,26.32
2012-07-13,74,26.75
2012-07-20,72,25.61
2012-07-27,76,24.86
2012-08-03,73,25.70
2012-08-10,71,25.75
2012-08-17,70,25.71
2012-08-24,72,25.53
2012-08-31,75,24.58
2012-09-07,73,25.89
2012-09-14,73,26.95
2012-09-21,77,25.42
2012-09-28,76,24.68
2012-10-05,79,24.35
2012-10-12,77,24.39
2012-10-19,76,25.28
2012-10-26,82,24.93
2012-11-02,78,24.99
2012-11-09,83,25.00
2012-11-16,77,25.08
2012-11-23,84,26.03
2012-11-30,82,25.53
2012-12-07,84,25.90
2012-12-14,81,25.08
2012-12-21,78,26.18
2012-12-28,71,25.52
2013-01-04,76,26.32
2013-01-11,79,26.52
2013-01-18,78,27.49
2013-01-25,79,27.62
2013-02-01,78,26.79
2013-02-08,74,27.23
2013-02-15,79,27.52
2013-02-22,78,28.13
2013-03-01,77,28.27
2013-03-08,81,30.16
2013-03-15,86,31.95
2013-03-22,82,31.70
2013-03-29,77,
2013-04-05,79,30.74
2013-04-12,85,32.10
2013-04-19,78,30.19
2013-04-26,81,31.08
2013-05-03,79,32.15
2013-05-10,75,34.16
2013-05-17,78,36.13
2013-05-24,82,35.01
2013-05-31,77,35.04
2013-06-07,73,34.06
2013-06-14,73,32.62
2013-06-21,76,30.53
2013-06-28,78,31.01
2013-07-05,73,31.00
2013-07-12,73,32.64
2013-07-19,74,34.18
2013-07-26,71,35.04
2013-08-02,69,34.75
2013-08-09,69,33.59
2013-08-16,66,32.76
2013-08-23,72,33.39
2013-08-30,77,32.52
2013-09-06,70,33.49
2013-09-13,72,33.99
2013-09-20,74,34.55
2013-09-27,72,33.89
2013-10-04,72,34.06
2013-10-11,72,34.69
2013-10-18,76,36.75
2013-10-25,75,37.91
2013-11-01,72,38.61
2013-11-08,77,39.55
2013-11-15,75,39.52
2013-11-22,76,39.15
2013-11-29,80,39.11
2013-12-06,75,39.90
2013-12-13,79,41.38
2013-12-20,73,43.47
2013-12-27,66,43.68
2014-01-03,68,43.58
2014-01-10,69,43.85
2014-01-17,74,43.91
2014-01-24,73,42.23
2014-01-31,74,42.35
2014-02-07,73,41.85
2014-02-14,72,44.08
2014-02-21,74,44.03
2014-02-28,73,45.96
2014-03-07,72,46.79
2014-03-14,74,45.25
2014-03-21,76,47.40
2014-03-28,76,48.35
2014-04-04,77,47.27
2014-04-11,80,43.36
2014-04-18,74,
2014-04-25,75,45.80
2014-05-02,78,
