Date,CB,Price
2005-12-23,57,97.27
2005-12-30,71,97.65
2006-01-06,63,98.45
2006-01-13,69,97.90
2006-01-20,65,96.64
2006-01-27,66,94.71
2006-02-03,70,94.96
2006-02-10,68,94.09
2006-02-17,66,94.50
2006-02-24,70,95.42
2006-03-03,69,95.65
2006-03-10,67,95.77
2006-03-17,67,98.29
2006-03-24,73,95.42
2006-03-31,69,95.44
2006-04-07,67,95.56
2006-04-14,71,
2006-04-21,72,48.87
2006-04-28,70,51.54
2006-05-05,68,52.55
2006-05-12,72,51.70
2006-05-19,72,50.36
2006-05-26,75,51.04
2006-06-02,72,50.17
2006-06-09,68,49.93
2006-06-16,68,50.27
2006-06-23,65,49.29
2006-06-30,64,49.90
2006-07-07,66,49.29
2006-07-14,70,49.21
2006-07-21,67,50.97
2006-07-28,67,50.12
2006-08-04,71,48.08
2006-08-11,67,47.74
2006-08-18,65,49.15
2006-08-25,66,48.88
2006-09-01,70,50.31
2006-09-08,68,50.41
2006-09-15,72,51.88
2006-09-22,69,51.45
2006-09-29,67,51.96
2006-10-06,66,53.09
2006-10-13,67,54.06
2006-10-20,68,53.71
2006-10-27,68,52.44
2006-11-03,70,52.22
2006-11-10,65,52.76
2006-11-17,64,52.20
2006-11-24,64,52.00
2006-12-01,63,51.35
2006-12-08,62,52.43
2006-12-15,64,52.24
2006-12-22,65,52.75
2006-12-29,67,52.91
2007-01-05,67,52.29
2007-01-12,67,52.34
2007-01-19,65,52.91
2007-01-26,70,52.24
2007-02-02,67,52.77
2007-02-09,65,52.60
2007-02-16,66,52.81
2007-02-23,68,53.02
2007-03-02,65,50.64
2007-03-09,71,50.20
2007-03-16,71,49.67
2007-03-23,70,51.37
2007-03-30,68,51.67
2007-04-06,74,
2007-04-13,71,52.00
2007-04-20,74,53.53
2007-04-27,70,54.10
2007-05-04,71,54.05
2007-05-11,71,55.91
2007-05-18,68,54.97
2007-05-25,71,53.99
2007-06-01,70,55.10
2007-06-08,71,53.95
2007-06-15,71,53.96
2007-06-22,70,53.85
2007-06-29,69,54.14
2007-07-06,70,54.55
2007-07-13,71,53.81
2007-07-20,73,51.17
2007-07-27,70,50.90
2007-08-03,72,49.21
2007-08-10,69,48.78
2007-08-17,66,51.35
2007-08-24,69,51.90
2007-08-31,69,51.13
2007-09-07,71,50.15
2007-09-14,69,50.89
2007-09-21,65,52.24
2007-09-28,69,53.64
2007-10-05,70,55.52
2007-10-12,66,54.71
2007-10-19,66,52.13
2007-10-26,63,53.05
2007-11-02,67,51.37
2007-11-09,68,51.63
2007-11-16,68,53.31
2007-11-23,75,52.17
2007-11-30,77,54.55
2007-12-07,72,54.37
2007-12-14,66,52.68
2007-12-21,70,53.66
2007-12-28,72,54.46
2008-01-04,69,53.01
2008-01-11,67,53.16
2008-01-18,67,48.02
2008-01-25,71,48.27
2008-02-01,70,52.79
2008-02-08,72,51.94
2008-02-15,78,51.98
2008-02-22,80,52.81
2008-02-29,76,50.90
2008-03-07,93,49.62
2008-03-14,71,49.00
2008-03-21,75,
2008-03-28,69,49.55
2008-04-04,71,50.22
2008-04-11,73,49.39
2008-04-18,75,51.90
2008-04-25,72,52.40
2008-05-02,76,53.97
2008-05-09,70,52.74
2008-05-16,74,53.76
2008-05-23,74,52.32
2008-05-30,74,53.76
2008-06-06,75,53.12
2008-06-13,74,52.94
2008-06-20,71,51.44
2008-06-27,77,50.03
2008-07-04,74,
2008-07-11,73,47.56
2008-07-18,73,47.83
2008-07-25,73,45.61
2008-08-01,74,48.00
2008-08-08,73,48.93
2008-08-15,73,48.61
2008-08-22,70,47.95
2008-08-29,73,48.01
2008-09-05,71,47.49
2008-09-12,72,49.57
2008-09-19,70,64.50
2008-09-26,70,53.75
2008-10-03,68,49.90
2008-10-10,69,40.61
2008-10-17,70,44.29
2008-10-24,67,48.84
2008-10-31,66,52.09
2008-11-07,66,49.36
2008-11-14,67,49.60
2008-11-21,64,42.76
2008-11-28,64,51.36
2008-12-05,67,51.85
2008-12-12,65,49.07
2008-12-19,65,49.25
2008-12-26,64,48.21
2009-01-02,68,50.32
2009-01-09,63,45.25
2009-01-16,66,43.80
2009-01-23,69,40.88
2009-01-30,69,42.58
2009-02-06,67,43.09
2009-02-13,70,41.52
2009-02-20,67,38.89
2009-02-27,70,39.04
2009-03-06,70,35.73
2009-03-13,69,37.66
2009-03-20,68,40.70
2009-03-27,69,41.63
2009-04-03,69,43.03
2009-04-10,71,
2009-04-17,70,42.19
2009-04-24,70,40.36
2009-05-01,65,38.55
2009-05-08,70,40.88
2009-05-15,70,38.94
2009-05-22,70,38.95
2009-05-29,76,39.65
2009-06-05,100,41.20
2009-06-12,96,40.82
2009-06-19,91,40.18
2009-06-26,92,39.51
2009-07-03,82,
2009-07-10,80,39.18
2009-07-17,78,40.64
2009-07-24,78,45.37
2009-07-31,77,46.18
2009-08-07,80,48.15
2009-08-14,76,48.76
2009-08-21,73,49.04
2009-08-28,76,49.07
2009-09-04,74,48.84
2009-09-11,72,48.77
2009-09-18,73,49.16
2009-09-25,73,48.82
2009-10-02,70,49.47
2009-10-09,71,50.62
2009-10-16,72,51.31
2009-10-23,69,50.64
2009-10-30,67,48.52
2009-11-06,64,49.76
2009-11-13,66,50.62
2009-11-20,66,50.04
2009-11-27,67,49.54
2009-12-04,65,48.69
2009-12-11,67,48.68
2009-12-18,66,48.06
2009-12-25,62,
2010-01-01,65,
2010-01-08,65,48.84
2010-01-15,65,49.57
2010-01-22,67,48.02
2010-01-29,65,50.00
2010-02-05,68,48.53
2010-02-12,68,49.07
2010-02-19,67,51.49
2010-02-26,67,50.46
2010-03-05,70,51.62
2010-03-12,70,50.73
2010-03-19,70,51.71
2010-03-26,72,52.23
2010-04-02,72,
2010-04-09,72,51.61
2010-04-16,71,51.90
2010-04-23,72,53.75
2010-04-30,71,52.87
2010-05-07,70,50.22
2010-05-14,70,51.35
2010-05-21,71,50.39
2010-05-28,69,50.24
2010-06-04,72,49.30
2010-06-11,70,51.88
2010-06-18,68,52.97
2010-06-25,66,52.40
2010-07-02,67,49.37
2010-07-09,64,52.13
2010-07-16,65,51.55
2010-07-23,69,52.88
2010-07-30,69,52.63
2010-08-06,68,53.76
2010-08-13,67,53.10
2010-08-20,69,53.39
2010-08-27,67,54.48
2010-09-03,68,56.45
2010-09-10,67,56.05
2010-09-17,67,57.66
2010-09-24,68,57.16
2010-10-01,67,56.37
2010-10-08,67,56.33
2010-10-15,65,57.59
2010-10-22,66,57.92
2010-10-29,66,58.02
2010-11-05,65,59.47
2010-11-12,65,57.85
2010-11-19,68,57.79
2010-11-26,65,56.81
2010-12-03,61,58.63
2010-12-10,66,59.11
2010-12-17,65,59.20
2010-12-24,63,
2010-12-31,63,59.64
2011-01-07,66,58.30
2011-01-14,65,57.32
2011-01-21,66,57.42
2011-01-28,66,57.97
2011-02-04,66,58.70
2011-02-11,68,59.17
2011-02-18,66,61.31
2011-02-25,67,60.11
2011-03-04,67,59.40
2011-03-11,64,59.06
2011-03-18,66,58.07
2011-03-25,66,60.28
2011-04-01,69,61.43
2011-04-08,70,62.12
2011-04-15,70,61.87
2011-04-22,71,
2011-04-29,71,65.19
2011-05-06,66,65.41
2011-05-13,67,64.87
2011-05-20,68,65.58
2011-05-27,70,64.93
2011-06-03,66,65.12
2011-06-10,65,63.60
2011-06-17,67,62.66
2011-06-24,68,60.93
2011-07-01,67,63.03
2011-07-08,63,62.75
2011-07-15,66,62.22
2011-07-22,65,64.45
2011-07-29,66,62.48
2011-08-05,67,59.62
2011-08-12,65,60.17
2011-08-19,65,58.84
2011-08-26,63,59.38
2011-09-02,64,60.38
2011-09-09,64,59.24
2011-09-16,64,60.39
2011-09-23,65,57.89
2011-09-30,65,59.99
2011-10-07,67,59.77
2011-10-14,64,62.87
2011-10-21,64,68.71
2011-10-28,66,68.62
2011-11-04,65,67.53
2011-11-11,65,67.78
2011-11-18,65,65.70
2011-11-25,65,63.82
2011-12-02,61,66.22
2011-12-09,62,68.82
2011-12-16,63,67.38
2011-12-23,61,69.87
2011-12-30,61,69.22
2012-01-06,61,69.28
2012-01-13,61,69.09
2012-01-20,63,70.97
2012-01-27,63,67.42
2012-02-03,62,68.58
2012-02-10,67,68.80
2012-02-17,72,69.09
2012-02-24,75,68.60
2012-03-02,95,67.37
2012-03-09,75,67.23
2012-03-16,66,68.39
2012-03-23,66,67.76
2012-03-30,66,69.11
2012-04-06,66,
2012-04-13,65,69.66
2012-04-20,68,71.92
2012-04-27,68,73.24
2012-05-04,65,73.39
2012-05-11,64,73.42
2012-05-18,64,70.80
2012-05-25,67,71.75
2012-06-01,67,69.99
2012-06-08,63,71.54
2012-06-15,63,71.52
2012-06-22,66,71.33
2012-06-29,61,72.82
2012-07-06,63,72.23
2012-07-13,64,71.81
2012-07-20,66,70.59
2012-07-27,64,72.32
2012-08-03,65,72.88
2012-08-10,64,72.45
2012-08-17,62,73.42
2012-08-24,68,73.66
2012-08-31,64,73.89
2012-09-07,64,74.91
2012-09-14,67,76.08
2012-09-21,64,75.43
2012-09-28,63,76.28
2012-10-05,65,78.18
2012-10-12,61,76.99
2012-10-19,63,80.30
2012-10-26,63,77.96
2012-11-02,64,74.48
2012-11-09,65,74.75
2012-11-16,66,75.41
2012-11-23,65,77.23
2012-11-30,65,76.99
2012-12-07,61,77.54
2012-12-14,62,76.12
2012-12-21,67,75.41
2012-12-28,65,74.40
2013-01-04,65,78.06
2013-01-11,66,77.78
2013-01-18,65,79.03
2013-01-25,66,81.01
2013-02-01,68,82.89
2013-02-08,65,83.44
2013-02-15,65,83.77
2013-02-22,65,84.57
2013-03-01,68,84.68
2013-03-08,69,85.74
2013-03-15,69,85.52
2013-03-22,70,86.41
2013-03-29,68,
2013-04-05,68,87.63
2013-04-12,67,89.14
2013-04-19,70,87.89
2013-04-26,70,87.81
2013-05-03,68,88.12
2013-05-10,67,89.14
2013-05-17,67,89.88
2013-05-24,65,88.02
2013-05-31,68,87.10
2013-06-07,65,86.96
2013-06-14,67,86.30
2013-06-21,67,83.15
2013-06-28,65,84.65
2013-07-05,65,85.94
2013-07-12,66,87.76
2013-07-19,69,88.64
2013-07-26,70,87.23
2013-08-02,67,87.07
2013-08-09,66,85.49
2013-08-16,65,84.98
2013-08-23,66,85.15
2013-08-30,68,83.17
2013-09-06,67,84.30
2013-09-13,66,87.61
2013-09-20,63,89.98
2013-09-27,68,89.65
2013-10-04,67,88.87
2013-10-11,71,90.16
2013-10-18,71,92.71
2013-10-25,70,92.20
2013-11-01,70,92.09
2013-11-08,69,94.32
2013-11-15,67,94.82
2013-11-22,66,96.84
2013-11-29,66,96.45
2013-12-06,68,94.85
2013-12-13,66,92.98
2013-12-20,69,94.44
2013-12-27,68,95.75
2014-01-03,67,93.84
2014-01-10,68,91.80
2014-01-17,72,89.77
2014-01-24,71,85.93
2014-01-31,70,84.54
2014-02-07,67,84.37
2014-02-14,69,86.12
2014-02-21,70,87.05
2014-02-28,70,87.48
2014-03-07,70,87.42
2014-03-14,71,86.13
2014-03-21,73,86.23
2014-03-28,72,88.14
2014-04-04,73,89.25
2014-04-11,72,88.69
2014-04-18,74,
2014-04-25,73,90.03
2014-05-02,74,
