Date,CCL,Price
2005-12-30,16,53.47
2006-01-06,18,53.98
2006-01-13,15,55.90
2006-01-20,19,53.55
2006-01-27,16,52.40
2006-02-03,17,52.11
2006-02-10,16,52.20
2006-02-17,12,53.55
2006-02-24,15,51.83
2006-03-03,15,51.78
2006-03-10,14,49.55
2006-03-17,14,50.97
2006-03-24,14,47.84
2006-03-31,15,47.37
2006-04-07,16,47.82
2006-04-14,16,
2006-04-21,13,47.63
2006-04-28,12,46.82
2006-05-05,15,48.27
2006-05-12,13,46.66
2006-05-19,13,40.71
2006-05-26,15,40.10
2006-06-02,13,40.14
2006-06-09,14,37.27
2006-06-16,13,40.19
2006-06-23,14,40.79
2006-06-30,13,41.74
2006-07-07,16,41.71
2006-07-14,14,39.72
2006-07-21,14,39.57
2006-07-28,13,39.70
2006-08-04,15,38.50
2006-08-11,16,37.59
2006-08-18,15,39.88
2006-08-25,15,39.02
2006-09-01,14,42.03
2006-09-08,15,42.69
2006-09-15,16,43.81
2006-09-22,16,44.70
2006-09-29,16,47.03
2006-10-06,17,48.37
2006-10-13,17,47.95
2006-10-20,15,48.08
2006-10-27,16,48.81
2006-11-03,16,47.37
2006-11-10,15,48.28
2006-11-17,16,49.86
2006-11-24,16,50.51
2006-12-01,14,47.09
2006-12-08,15,47.29
2006-12-15,17,47.69
2006-12-22,14,48.87
2006-12-29,15,49.05
2007-01-05,17,49.88
2007-01-12,17,50.91
2007-01-19,15,52.39
2007-01-26,16,51.96
2007-02-02,15,51.77
2007-02-09,14,48.45
2007-02-16,15,48.36
2007-02-23,16,47.61
2007-03-02,16,45.70
2007-03-09,15,46.26
2007-03-16,14,45.55
2007-03-23,14,48.12
2007-03-30,15,46.86
2007-04-06,13,
2007-04-13,14,45.25
2007-04-20,14,47.20
2007-04-27,14,48.68
2007-05-04,14,47.95
2007-05-11,13,48.79
2007-05-18,13,49.18
2007-05-25,15,49.95
2007-06-01,16,50.54
2007-06-08,13,49.00
2007-06-15,14,49.71
2007-06-22,13,49.32
2007-06-29,15,48.77
2007-07-06,13,48.15
2007-07-13,15,47.73
2007-07-20,14,46.86
2007-07-27,14,44.32
2007-08-03,13,43.61
2007-08-10,15,47.67
2007-08-17,13,45.10
2007-08-24,13,45.85
2007-08-31,16,45.59
2007-09-07,13,44.72
2007-09-14,13,44.54
2007-09-21,15,49.21
2007-09-28,14,48.43
2007-10-05,13,50.80
2007-10-12,13,50.23
2007-10-19,13,47.25
2007-10-26,13,47.67
2007-11-02,14,46.10
2007-11-09,14,43.89
2007-11-16,14,44.91
2007-11-23,17,42.73
2007-11-30,17,45.12
2007-12-07,16,45.00
2007-12-14,15,45.02
2007-12-21,15,45.33
2007-12-28,14,44.61
2008-01-04,16,41.71
2008-01-11,17,39.56
2008-01-18,14,38.26
2008-01-25,14,41.41
2008-02-01,14,44.78
2008-02-08,14,40.81
2008-02-15,14,41.35
2008-02-22,13,41.85
2008-02-29,14,39.35
2008-03-07,14,38.42
2008-03-14,14,37.85
2008-03-21,13,
2008-03-28,14,39.70
2008-04-04,13,41.66
2008-04-11,14,39.72
2008-04-18,14,42.48
2008-04-25,13,39.45
2008-05-02,11,41.94
2008-05-09,12,39.72
2008-05-16,12,39.65
2008-05-23,12,36.99
2008-05-30,12,40.06
2008-06-06,12,37.23
2008-06-13,11,36.99
2008-06-20,12,35.47
2008-06-27,13,32.93
2008-07-04,12,
2008-07-11,12,30.29
2008-07-18,13,36.64
2008-07-25,13,37.91
2008-08-01,12,36.56
2008-08-08,12,39.90
2008-08-15,13,39.47
2008-08-22,13,37.26
2008-08-29,12,37.06
2008-09-05,12,38.99
2008-09-12,12,41.10
2008-09-19,13,39.76
2008-09-26,14,35.50
2008-10-03,13,32.74
2008-10-10,14,28.02
2008-10-17,13,29.59
2008-10-24,14,26.52
2008-10-31,13,25.40
2008-11-07,13,22.03
2008-11-14,13,18.97
2008-11-21,12,15.77
2008-11-28,12,21.00
2008-12-05,12,21.48
2008-12-12,13,21.72
2008-12-19,13,24.20
2008-12-26,11,23.34
2009-01-02,12,25.55
2009-01-09,13,23.61
2009-01-16,15,21.11
2009-01-23,13,19.38
2009-01-30,14,18.19
2009-02-06,13,20.70
2009-02-13,13,20.87
2009-02-20,12,19.40
2009-02-27,13,19.56
2009-03-06,12,17.30
2009-03-13,12,20.54
2009-03-20,11,21.30
2009-03-27,12,22.17
2009-04-03,12,25.52
2009-04-10,13,
2009-04-17,12,27.25
2009-04-24,10,28.43
2009-05-01,11,26.14
2009-05-08,11,27.87
2009-05-15,12,25.00
2009-05-22,12,24.95
2009-05-29,10,25.44
2009-06-05,10,25.56
2009-06-12,10,24.17
2009-06-19,11,26.60
2009-06-26,11,25.35
2009-07-03,11,
2009-07-10,11,24.68
2009-07-17,11,26.34
2009-07-24,11,28.50
2009-07-31,12,27.99
2009-08-07,10,30.35
2009-08-14,11,29.85
2009-08-21,12,30.88
2009-08-28,11,30.34
2009-09-04,11,29.35
2009-09-11,11,32.65
2009-09-18,12,32.26
2009-09-25,12,33.01
2009-10-02,11,32.45
2009-10-09,12,32.65
2009-10-16,11,33.07
2009-10-23,12,32.03
2009-10-30,12,29.12
2009-11-06,13,30.57
2009-11-13,11,32.28
2009-11-20,12,32.09
2009-11-27,12,32.02
2009-12-04,12,32.86
2009-12-11,11,32.43
2009-12-18,10,32.22
2009-12-25,9,
2010-01-01,10,
2010-01-08,10,33.22
2010-01-15,11,34.23
2010-01-22,11,33.30
2010-01-29,13,33.33
2010-02-05,10,32.53
2010-02-12,10,32.82
2010-02-19,10,33.89
2010-02-26,10,35.96
2010-03-05,10,37.04
2010-03-12,9,37.49
2010-03-19,10,37.62
2010-03-26,11,38.80
2010-04-02,10,
2010-04-09,10,38.98
2010-04-16,10,38.97
2010-04-23,10,42.77
2010-04-30,10,41.70
2010-05-07,10,36.68
2010-05-14,10,37.57
2010-05-21,10,35.61
2010-05-28,9,36.23
2010-06-04,9,35.29
2010-06-11,10,36.31
2010-06-18,8,35.41
2010-06-25,9,32.58
2010-07-02,9,30.62
2010-07-09,8,32.12
2010-07-16,9,31.41
2010-07-23,9,34.19
2010-07-30,10,34.68
2010-08-06,10,35.63
2010-08-13,9,32.51
2010-08-20,10,31.79
2010-08-27,11,31.46
2010-09-03,9,34.67
2010-09-10,10,35.28
2010-09-17,11,35.92
2010-09-24,11,37.79
2010-10-01,11,38.39
2010-10-08,11,40.28
2010-10-15,10,39.33
2010-10-22,11,40.14
2010-10-29,10,43.17
2010-11-05,10,44.70
2010-11-12,10,42.54
2010-11-19,11,41.92
2010-11-26,9,41.76
2010-12-03,8,43.29
2010-12-10,10,43.97
2010-12-17,9,42.51
2010-12-24,9,
2010-12-31,9,46.11
2011-01-07,10,47.14
2011-01-14,10,47.85
2011-01-21,11,46.12
2011-01-28,10,44.61
2011-02-04,9,45.79
2011-02-11,10,47.63
2011-02-18,10,45.70
2011-02-25,10,42.78
2011-03-04,13,40.36
2011-03-11,12,39.94
2011-03-18,9,39.63
2011-03-25,9,38.78
2011-04-01,10,38.25
2011-04-08,10,37.40
2011-04-15,10,37.98
2011-04-22,10,
2011-04-29,9,38.07
2011-05-06,9,40.18
2011-05-13,10,41.02
2011-05-20,9,39.56
2011-05-27,11,38.40
2011-06-03,28,36.65
2011-06-10,44,35.80
2011-06-17,32,35.27
2011-06-24,11,37.30
2011-07-01,10,38.79
2011-07-08,9,37.38
2011-07-15,9,35.19
2011-07-22,9,36.55
2011-07-29,10,33.30
2011-08-05,9,32.22
2011-08-12,10,31.10
2011-08-19,9,29.52
2011-08-26,9,30.91
2011-09-02,8,30.86
2011-09-09,10,30.68
2011-09-16,9,33.52
2011-09-23,11,31.32
2011-09-30,10,30.30
2011-10-07,10,31.61
2011-10-14,10,34.03
2011-10-21,9,35.08
2011-10-28,9,36.12
2011-11-04,9,34.08
2011-11-11,9,33.47
2011-11-18,9,32.22
2011-11-25,10,30.47
2011-12-02,10,33.43
2011-12-09,9,34.00
2011-12-16,9,33.87
2011-12-23,19,33.19
2011-12-30,13,32.64
2012-01-06,20,32.91
2012-01-13,48,34.28
2012-01-20,83,31.56
2012-01-27,92,30.48
2012-02-03,77,32.00
2012-02-10,99,31.05
2012-02-17,100,30.97
2012-02-24,20,29.97
2012-03-02,22,30.57
2012-03-09,17,30.57
2012-03-16,14,32.32
2012-03-23,13,31.91
2012-03-30,13,32.08
2012-04-06,12,
2012-04-13,11,31.22
2012-04-20,12,31.68
2012-04-27,11,32.84
2012-05-04,10,32.26
2012-05-11,11,31.46
2012-05-18,11,30.86
2012-05-25,10,31.95
2012-06-01,11,31.08
2012-06-08,10,33.03
2012-06-15,11,34.76
2012-06-22,11,33.66
2012-06-29,10,34.27
2012-07-06,11,33.68
2012-07-13,10,32.44
2012-07-20,10,32.91
2012-07-27,10,33.80
2012-08-03,9,34.03
2012-08-10,10,34.05
2012-08-17,10,34.14
2012-08-24,10,33.27
2012-08-31,10,34.68
2012-09-07,10,37.05
2012-09-14,10,37.96
2012-09-21,10,37.39
2012-09-28,10,36.43
2012-10-05,10,37.13
2012-10-12,11,36.76
2012-10-19,12,38.19
2012-10-26,11,37.85
2012-11-02,8,38.75
2012-11-09,10,39.16
2012-11-16,10,37.25
2012-11-23,9,39.08
2012-11-30,10,38.66
2012-12-07,10,37.91
2012-12-14,10,37.72
2012-12-21,10,37.02
2012-12-28,9,36.03
2013-01-04,9,37.06
2013-01-11,10,37.03
2013-01-18,11,38.58
2013-01-25,14,39.12
2013-02-01,16,39.15
2013-02-08,68,39.01
2013-02-15,99,36.92
2013-02-22,79,34.99
2013-03-01,74,35.85
2013-03-08,79,35.67
2013-03-15,50,34.95
2013-03-22,14,34.04
2013-03-29,12,
2013-04-05,10,33.55
2013-04-12,11,34.13
2013-04-19,11,33.39
2013-04-26,11,34.46
2013-05-03,10,35.34
2013-05-10,10,35.12
2013-05-17,10,35.00
2013-05-24,10,32.88
2013-05-31,10,33.10
2013-06-07,10,32.71
2013-06-14,11,33.84
2013-06-21,10,33.43
2013-06-28,10,34.29
2013-07-05,9,35.19
2013-07-12,9,36.06
2013-07-19,9,36.63
2013-07-26,9,37.36
2013-08-02,9,37.70
2013-08-09,9,36.51
2013-08-16,9,36.52
2013-08-23,10,37.37
2013-08-30,10,36.09
2013-09-06,10,35.86
2013-09-13,10,37.43
2013-09-20,12,37.08
2013-09-27,13,32.88
2013-10-04,12,32.43
2013-10-11,11,32.25
2013-10-18,10,32.74
2013-10-25,10,34.63
2013-11-01,10,34.84
2013-11-08,12,36.27
2013-11-15,12,36.00
2013-11-22,11,36.12
2013-11-29,10,36.11
2013-12-06,12,35.34
2013-12-13,10,35.99
2013-12-20,12,38.85
2013-12-27,11,39.89
2014-01-03,10,39.85
2014-01-10,12,41.25
2014-01-17,14,41.36
2014-01-24,42,39.15
2014-01-31,98,39.19
2014-02-07,80,39.91
2014-02-14,79,40.76
2014-02-21,81,39.42
2014-02-28,56,39.66
2014-03-07,14,39.50
2014-03-14,12,38.42
2014-03-21,12,39.98
2014-03-28,14,37.24
2014-04-04,13,37.90
2014-04-11,12,37.03
2014-04-18,11,
2014-04-25,10,38.06
2014-05-02,10,
