Date,LH,Price
2008-04-04,72,73.88
2008-04-11,75,74.18
2008-04-18,80,74.75
2008-04-25,69,74.89
2008-05-02,65,76.08
2008-05-09,71,77.04
2008-05-16,70,75.93
2008-05-23,67,75.46
2008-05-30,66,73.79
2008-06-06,73,73.88
2008-06-13,71,73.75
2008-06-20,64,69.92
2008-06-27,71,69.28
2008-07-04,70,
2008-07-11,72,67.40
2008-07-18,72,70.03
2008-07-25,67,67.92
2008-08-01,73,67.83
2008-08-08,74,71.68
2008-08-15,67,73.13
2008-08-22,74,72.40
2008-08-29,80,73.15
2008-09-05,74,72.99
2008-09-12,83,74.08
2008-09-19,76,73.55
2008-09-26,70,69.53
2008-10-03,69,66.33
2008-10-10,66,54.34
2008-10-17,70,59.62
2008-10-24,74,60.15
2008-10-31,70,61.49
2008-11-07,70,63.66
2008-11-14,79,64.62
2008-11-21,75,59.71
2008-11-28,71,63.36
2008-12-05,72,63.78
2008-12-12,69,62.20
2008-12-19,68,63.10
2008-12-26,62,62.93
2009-01-02,58,64.93
2009-01-09,64,60.85
2009-01-16,65,60.80
2009-01-23,66,57.56
2009-01-30,69,59.20
2009-02-06,73,61.75
2009-02-13,73,62.85
2009-02-20,73,62.12
2009-02-27,77,55.01
2009-03-06,74,54.99
2009-03-13,71,57.14
2009-03-20,75,56.76
2009-03-27,78,58.11
2009-04-03,79,59.17
2009-04-10,75,
2009-04-17,78,62.43
2009-04-24,78,61.12
2009-05-01,77,62.95
2009-05-08,83,65.26
2009-05-15,90,61.66
2009-05-22,82,59.81
2009-05-29,81,60.96
2009-06-05,91,61.25
2009-06-12,86,62.36
2009-06-19,85,66.76
2009-06-26,85,67.03
2009-07-03,82,
2009-07-10,85,66.26
2009-07-17,83,66.97
2009-07-24,81,68.59
2009-07-31,83,67.19
2009-08-07,81,67.29
2009-08-14,78,68.36
2009-08-21,79,69.84
2009-08-28,88,70.46
2009-09-04,81,69.50
2009-09-11,97,69.23
2009-09-18,89,63.50
2009-09-25,87,65.82
2009-10-02,86,64.35
2009-10-09,90,67.53
2009-10-16,83,67.56
2009-10-23,88,70.73
2009-10-30,93,68.89
2009-11-06,91,71.75
2009-11-13,94,72.78
2009-11-20,91,73.66
2009-11-27,91,73.29
2009-12-04,98,73.05
2009-12-11,90,73.81
2009-12-18,93,74.44
2009-12-25,86,
2010-01-01,90,
2010-01-08,91,74.06
2010-01-15,94,75.75
2010-01-22,92,72.27
2010-01-29,88,71.10
2010-02-05,94,70.64
2010-02-12,89,71.76
2010-02-19,92,73.98
2010-02-26,94,73.31
2010-03-05,92,72.45
2010-03-12,90,73.70
2010-03-19,87,75.51
2010-03-26,88,75.58
2010-04-02,84,
2010-04-09,87,76.16
2010-04-16,95,76.98
2010-04-23,99,79.99
2010-04-30,83,78.57
2010-05-07,90,75.23
2010-05-14,87,77.47
2010-05-21,86,76.00
2010-05-28,82,75.61
2010-06-04,83,75.05
2010-06-11,86,78.24
2010-06-18,83,80.25
2010-06-25,80,77.19
2010-07-02,76,74.50
2010-07-09,73,74.33
2010-07-16,72,75.03
2010-07-23,73,72.96
2010-07-30,76,72.98
2010-08-06,79,75.50
2010-08-13,78,75.01
2010-08-20,80,75.76
2010-08-27,76,75.22
2010-09-03,76,75.05
2010-09-10,74,76.65
2010-09-17,77,74.96
2010-09-24,78,76.83
2010-10-01,77,78.03
2010-10-08,77,79.39
2010-10-15,73,79.12
2010-10-22,76,79.16
2010-10-29,76,81.32
2010-11-05,74,82.99
2010-11-12,76,82.17
2010-11-19,77,83.01
2010-11-26,78,80.87
2010-12-03,78,83.73
2010-12-10,75,84.62
2010-12-17,73,88.92
2010-12-24,76,
2010-12-31,68,87.92
2011-01-07,75,89.67
2011-01-14,70,91.15
2011-01-21,72,89.76
2011-01-28,72,90.57
2011-02-04,73,90.40
2011-02-11,74,87.79
2011-02-18,76,89.01
2011-02-25,70,89.68
2011-03-04,70,92.38
2011-03-11,67,90.06
2011-03-18,77,87.00
2011-03-25,74,88.85
2011-04-01,77,92.86
2011-04-08,79,92.82
2011-04-15,74,95.79
2011-04-22,75,
2011-04-29,75,96.47
2011-05-06,75,97.59
2011-05-13,77,99.73
2011-05-20,79,100.60
2011-05-27,80,99.98
2011-06-03,73,97.11
2011-06-10,74,95.54
2011-06-17,76,96.50
2011-06-24,75,94.51
2011-07-01,74,98.42
2011-07-08,70,98.27
2011-07-15,73,95.73
2011-07-22,73,93.10
2011-07-29,73,90.76
2011-08-05,69,86.03
2011-08-12,73,83.04
2011-08-19,75,79.09
2011-08-26,72,80.64
2011-09-02,71,81.23
2011-09-09,72,81.02
2011-09-16,71,83.42
2011-09-23,76,79.66
2011-09-30,75,79.05
2011-10-07,75,78.33
2011-10-14,73,80.46
2011-10-21,76,82.24
2011-10-28,73,86.87
2011-11-04,71,81.83
2011-11-11,77,83.81
2011-11-18,75,80.99
2011-11-25,73,80.70
2011-12-02,73,86.23
2011-12-09,77,83.43
2011-12-16,76,81.63
2011-12-23,64,87.32
2011-12-30,63,85.97
2012-01-06,73,87.41
2012-01-13,77,86.94
2012-01-20,74,88.64
2012-01-27,76,91.32
2012-02-03,78,93.09
2012-02-10,78,90.03
2012-02-17,77,87.94
2012-02-24,80,89.08
2012-03-02,81,89.32
2012-03-09,78,88.74
2012-03-16,80,90.33
2012-03-23,75,89.47
2012-03-30,77,91.54
2012-04-06,69,
2012-04-13,73,88.52
2012-04-20,80,87.59
2012-04-27,79,87.49
2012-05-04,73,86.71
2012-05-11,75,86.72
2012-05-18,78,84.22
2012-05-25,77,85.73
2012-06-01,78,82.37
2012-06-08,77,85.69
2012-06-15,78,87.50
2012-06-22,78,89.19
2012-06-29,75,92.61
2012-07-06,72,91.97
2012-07-13,74,95.25
2012-07-20,72,85.26
2012-07-27,74,85.21
2012-08-03,75,87.45
2012-08-10,71,88.50
2012-08-17,70,89.01
2012-08-24,73,88.84
2012-08-31,79,87.95
2012-09-07,81,88.79
2012-09-14,76,90.99
2012-09-21,81,91.58
2012-09-28,80,92.47
2012-10-05,78,93.46
2012-10-12,74,92.73
2012-10-19,73,86.63
2012-10-26,73,84.95
2012-11-02,73,85.27
2012-11-09,73,84.44
2012-11-16,71,82.40
2012-11-23,74,83.75
2012-11-30,73,84.59
2012-12-07,73,85.00
2012-12-14,76,87.10
2012-12-21,69,86.72
2012-12-28,59,85.89
2013-01-04,63,87.87
2013-01-11,74,86.41
2013-01-18,72,88.53
2013-01-25,76,88.66
2013-02-01,73,90.47
2013-02-08,71,90.24
2013-02-15,75,89.84
2013-02-22,72,88.98
2013-03-01,73,89.05
2013-03-08,71,89.45
2013-03-15,80,89.19
2013-03-22,76,88.25
2013-03-29,72,
2013-04-05,75,93.05
2013-04-12,76,94.36
2013-04-19,76,93.86
2013-04-26,77,93.67
2013-05-03,75,92.81
2013-05-10,73,94.36
2013-05-17,79,98.97
2013-05-24,73,100.37
2013-05-31,75,99.49
2013-06-07,76,99.87
2013-06-14,78,100.00
2013-06-21,75,99.46
2013-06-28,76,100.10
2013-07-05,72,99.90
2013-07-12,74,96.70
2013-07-19,76,96.88
2013-07-26,77,98.35
2013-08-02,75,97.46
2013-08-09,76,97.77
2013-08-16,78,96.86
2013-08-23,75,96.50
2013-08-30,77,95.72
2013-09-06,80,98.17
2013-09-13,77,100.70
2013-09-20,73,99.57
2013-09-27,78,98.63
2013-10-04,79,100.47
2013-10-11,76,100.48
2013-10-18,75,100.20
2013-10-25,78,100.22
2013-11-01,75,101.14
2013-11-08,74,104.97
2013-11-15,78,106.33
2013-11-22,75,105.16
2013-11-29,76,101.85
2013-12-06,76,100.00
2013-12-13,74,89.13
2013-12-20,70,90.00
2013-12-27,57,90.97
2014-01-03,64,90.77
2014-01-10,70,91.98
2014-01-17,75,91.80
2014-01-24,75,90.10
2014-01-31,72,89.83
2014-02-07,72,89.15
2014-02-14,74,91.94
2014-02-21,76,93.56
2014-02-28,77,93.54
2014-03-07,72,95.32
2014-03-14,77,95.63
2014-03-21,78,97.03
2014-03-28,78,98.04
2014-04-04,82,101.48
2014-04-11,100,99.45
2014-04-18,80,
2014-04-25,84,99.49
2014-05-02,80,
