Date,HP,Price
2008-10-17,69,25.75
2008-10-24,70,27.42
2008-10-31,72,34.31
2008-11-07,69,29.08
2008-11-14,73,26.00
2008-11-21,71,20.72
2008-11-28,74,25.36
2008-12-05,73,18.85
2008-12-12,71,22.27
2008-12-19,72,21.05
2008-12-26,71,20.53
2009-01-02,67,25.06
2009-01-09,74,24.68
2009-01-16,72,23.34
2009-01-23,73,24.65
2009-01-30,72,22.46
2009-02-06,74,23.22
2009-02-13,69,22.82
2009-02-20,72,22.71
2009-02-27,69,23.66
2009-03-06,70,20.30
2009-03-13,69,22.25
2009-03-20,71,22.95
2009-03-27,69,24.39
2009-04-03,70,28.56
2009-04-10,67,
2009-04-17,68,32.92
2009-04-24,68,32.76
2009-05-01,63,31.33
2009-05-08,67,34.72
2009-05-15,67,29.72
2009-05-22,67,31.89
2009-05-29,65,34.97
2009-06-05,66,33.60
2009-06-12,65,34.92
2009-06-19,66,30.89
2009-06-26,64,31.53
2009-07-03,65,
2009-07-10,68,28.10
2009-07-17,68,32.07
2009-07-24,67,34.13
2009-07-31,68,34.36
2009-08-07,68,34.86
2009-08-14,69,33.05
2009-08-21,71,34.81
2009-08-28,72,34.18
2009-09-04,72,34.36
2009-09-11,71,37.68
2009-09-18,72,38.30
2009-09-25,70,36.95
2009-10-02,68,37.43
2009-10-09,71,41.52
2009-10-16,70,44.28
2009-10-23,73,43.07
2009-10-30,74,38.02
2009-11-06,72,38.08
2009-11-13,72,37.86
2009-11-20,72,37.41
2009-11-27,76,37.91
2009-12-04,73,36.80
2009-12-11,72,38.28
2009-12-18,72,40.23
2009-12-25,69,
2010-01-01,68,
2010-01-08,72,48.00
2010-01-15,73,47.49
2010-01-22,72,44.46
2010-01-29,74,41.83
2010-02-05,72,40.34
2010-02-12,69,41.64
2010-02-19,68,43.91
2010-02-26,68,40.52
2010-03-05,70,40.24
2010-03-12,69,40.88
2010-03-19,69,38.03
2010-03-26,66,36.50
2010-04-02,64,
2010-04-09,68,39.00
2010-04-16,69,39.75
2010-04-23,65,43.21
2010-04-30,63,40.62
2010-05-07,62,35.67
2010-05-14,62,37.56
2010-05-21,62,34.53
2010-05-28,62,37.68
2010-06-04,63,38.74
2010-06-11,61,41.97
2010-06-18,60,42.51
2010-06-25,59,39.07
2010-07-02,60,36.53
2010-07-09,61,40.45
2010-07-16,62,38.36
2010-07-23,64,41.00
2010-07-30,63,40.53
2010-08-06,67,40.62
2010-08-13,66,37.42
2010-08-20,66,36.33
2010-08-27,68,37.80
2010-09-03,66,39.39
2010-09-10,65,40.27
2010-09-17,65,38.56
2010-09-24,65,39.90
2010-10-01,64,40.26
2010-10-08,63,41.88
2010-10-15,63,44.14
2010-10-22,64,41.57
2010-10-29,65,42.78
2010-11-05,62,43.70
2010-11-12,62,45.69
2010-11-19,61,46.56
2010-11-26,65,45.39
2010-12-03,63,48.29
2010-12-10,62,47.74
2010-12-17,60,48.74
2010-12-24,61,
2010-12-31,60,48.48
2011-01-07,63,48.89
2011-01-14,62,50.76
2011-01-21,62,50.63
2011-01-28,62,56.37
2011-02-04,63,59.10
2011-02-11,63,59.24
2011-02-18,61,62.15
2011-02-25,62,64.78
2011-03-04,60,64.06
2011-03-11,59,61.65
2011-03-18,58,61.18
2011-03-25,59,65.43
2011-04-01,59,68.94
2011-04-08,59,68.94
2011-04-15,57,67.84
2011-04-22,55,
2011-04-29,57,66.34
2011-05-06,57,57.67
2011-05-13,58,59.03
2011-05-20,58,60.31
2011-05-27,57,62.57
2011-06-03,57,63.33
2011-06-10,56,60.54
2011-06-17,57,58.35
2011-06-24,56,60.68
2011-07-01,56,67.47
2011-07-08,57,68.45
2011-07-15,58,70.05
2011-07-22,57,72.56
2011-07-29,59,69.05
2011-08-05,58,56.84
2011-08-12,60,58.90
2011-08-19,65,49.34
2011-08-26,100,53.81
2011-09-02,68,54.71
2011-09-09,65,52.79
2011-09-16,63,53.50
2011-09-23,63,44.61
2011-09-30,61,40.60
2011-10-07,60,41.97
2011-10-14,57,48.52
2011-10-21,60,48.06
2011-10-28,56,56.89
2011-11-04,56,54.80
2011-11-11,55,55.34
2011-11-18,57,54.50
2011-11-25,60,50.70
2011-12-02,59,58.31
2011-12-09,57,60.58
2011-12-16,58,55.78
2011-12-23,53,59.00
2011-12-30,55,58.36
2012-01-06,56,63.62
2012-01-13,57,58.51
2012-01-20,55,59.54
2012-01-27,54,60.57
2012-02-03,54,61.62
2012-02-10,54,59.27
2012-02-17,53,63.28
2012-02-24,52,62.72
2012-03-02,54,60.77
2012-03-09,55,60.85
2012-03-16,53,59.32
2012-03-23,52,55.52
2012-03-30,51,53.95
2012-04-06,49,
2012-04-13,50,52.22
2012-04-20,51,51.50
2012-04-27,49,50.99
2012-05-04,48,47.47
2012-05-11,50,45.94
2012-05-18,51,43.47
2012-05-25,51,46.25
2012-06-01,49,44.32
2012-06-08,49,46.09
2012-06-15,49,44.52
2012-06-22,49,41.83
2012-06-29,49,43.48
2012-07-06,50,44.00
2012-07-13,50,43.19
2012-07-20,50,45.59
2012-07-27,50,48.59
2012-08-03,50,46.99
2012-08-10,50,49.92
2012-08-17,50,49.31
2012-08-24,52,46.87
2012-08-31,52,45.64
2012-09-07,52,48.00
2012-09-14,52,51.49
2012-09-21,52,49.15
2012-09-28,51,47.61
2012-10-05,50,47.05
2012-10-12,49,49.60
2012-10-19,50,50.17
2012-10-26,48,48.09
2012-11-02,48,47.65
2012-11-09,50,45.92
2012-11-16,47,49.92
2012-11-23,51,51.59
2012-11-30,52,52.20
2012-12-07,50,55.46
2012-12-14,49,53.67
2012-12-21,49,56.43
2012-12-28,48,54.56
2013-01-04,46,57.66
2013-01-11,51,58.54
2013-01-18,50,61.00
2013-01-25,50,62.20
2013-02-01,50,64.73
2013-02-08,49,64.39
2013-02-15,47,67.83
2013-02-22,49,65.54
2013-03-01,50,66.10
2013-03-08,49,64.28
2013-03-15,50,66.26
2013-03-22,49,60.57
2013-03-29,47,
2013-04-05,47,60.92
2013-04-12,47,61.35
2013-04-19,47,57.28
2013-04-26,46,57.99
2013-05-03,44,61.75
2013-05-10,46,62.46
2013-05-17,47,65.39
2013-05-24,46,63.02
2013-05-31,47,61.74
2013-06-07,46,64.12
2013-06-14,48,60.82
2013-06-21,45,61.69
2013-06-28,46,62.45
2013-07-05,45,65.48
2013-07-12,47,65.48
2013-07-19,48,67.39
2013-07-26,46,64.73
2013-08-02,48,65.59
2013-08-09,45,67.91
2013-08-16,47,64.76
2013-08-23,49,64.67
2013-08-30,49,63.04
2013-09-06,48,64.36
2013-09-13,50,68.99
2013-09-20,48,70.32
2013-09-27,48,69.07
2013-10-04,48,73.70
2013-10-11,49,73.98
2013-10-18,48,76.76
2013-10-25,49,76.57
2013-11-01,50,77.43
2013-11-08,48,78.02
2013-11-15,50,79.27
2013-11-22,49,78.97
2013-11-29,51,77.00
2013-12-06,50,79.83
2013-12-13,49,79.52
2013-12-20,49,82.03
2013-12-27,46,83.96
2014-01-03,46,83.05
2014-01-10,49,85.55
2014-01-17,50,85.65
2014-01-24,51,86.01
2014-01-31,50,88.04
2014-02-07,50,87.17
2014-02-14,48,90.59
2014-02-21,50,94.34
2014-02-28,49,98.75
2014-03-07,48,100.50
2014-03-14,50,97.95
2014-03-21,48,106.64
2014-03-28,49,107.70
2014-04-04,50,107.29
2014-04-11,49,105.91
2014-04-18,48,
2014-04-25,48,107.00
2014-05-02,44,
