Date,HIG,Price
2008-03-07,59,67.01
2008-03-14,60,67.00
2008-03-21,59,
2008-03-28,58,74.45
2008-04-04,60,77.91
2008-04-11,60,73.15
2008-04-18,57,75.71
2008-04-25,63,72.16
2008-05-02,64,75.42
2008-05-09,58,68.35
2008-05-16,55,70.57
2008-05-23,55,69.71
2008-05-30,57,71.07
2008-06-06,46,70.93
2008-06-13,58,73.89
2008-06-20,52,69.07
2008-06-27,53,67.00
2008-07-04,48,
2008-07-11,50,57.62
2008-07-18,56,59.72
2008-07-25,61,60.60
2008-08-01,57,62.94
2008-08-08,59,66.72
2008-08-15,55,64.41
2008-08-22,61,61.42
2008-08-29,60,63.08
2008-09-05,58,61.90
2008-09-12,59,60.38
2008-09-19,63,63.15
2008-09-26,60,56.64
2008-10-03,70,27.40
2008-10-10,75,19.23
2008-10-17,67,28.69
2008-10-24,81,24.30
2008-10-31,98,10.32
2008-11-07,91,14.79
2008-11-14,90,12.65
2008-11-21,90,4.95
2008-11-28,75,8.45
2008-12-05,79,14.59
2008-12-12,77,14.48
2008-12-19,71,17.07
2008-12-26,64,15.56
2009-01-02,61,17.09
2009-01-09,62,18.16
2009-01-16,64,13.80
2009-01-23,59,14.10
2009-01-30,62,13.16
2009-02-06,63,12.68
2009-02-13,57,12.46
2009-02-20,60,6.79
2009-02-27,64,6.10
2009-03-06,69,3.62
2009-03-13,64,7.04
2009-03-20,58,7.62
2009-03-27,56,9.41
2009-04-03,54,8.74
2009-04-10,52,
2009-04-17,47,11.18
2009-04-24,50,9.59
2009-05-01,55,10.56
2009-05-08,52,18.16
2009-05-15,48,14.60
2009-05-22,47,15.02
2009-05-29,45,14.34
2009-06-05,43,14.90
2009-06-12,42,12.95
2009-06-19,41,12.35
2009-06-26,41,11.87
2009-07-03,35,
2009-07-10,39,10.52
2009-07-17,37,11.86
2009-07-24,44,15.02
2009-07-31,42,16.49
2009-08-07,41,19.14
2009-08-14,42,19.47
2009-08-21,43,20.56
2009-08-28,45,24.16
2009-09-04,46,22.21
2009-09-11,38,24.62
2009-09-18,42,27.21
2009-09-25,40,25.84
2009-10-02,38,25.11
2009-10-09,39,29.19
2009-10-16,40,27.45
2009-10-23,37,25.90
2009-10-30,34,24.52
2009-11-06,37,24.09
2009-11-13,36,24.68
2009-11-20,34,25.00
2009-11-27,32,23.72
2009-12-04,31,24.67
2009-12-11,32,24.12
2009-12-18,28,23.49
2009-12-25,29,
2010-01-01,29,
2010-01-08,32,26.22
2010-01-15,35,26.78
2010-01-22,33,24.61
2010-01-29,30,23.99
2010-02-05,35,23.53
2010-02-12,32,23.45
2010-02-19,33,24.34
2010-02-26,31,24.37
2010-03-05,31,26.86
2010-03-12,30,26.75
2010-03-19,32,27.26
2010-03-26,33,27.97
2010-04-02,32,
2010-04-09,29,28.00
2010-04-16,29,27.02
2010-04-23,29,29.56
2010-04-30,32,28.57
2010-05-07,36,25.30
2010-05-14,32,26.21
2010-05-21,30,24.31
2010-05-28,29,25.07
2010-06-04,30,23.57
2010-06-11,28,24.01
2010-06-18,31,25.12
2010-06-25,27,24.07
2010-07-02,25,21.71
2010-07-09,28,23.53
2010-07-16,30,21.77
2010-07-23,29,23.43
2010-07-30,28,23.41
2010-08-06,30,22.51
2010-08-13,33,20.88
2010-08-20,32,20.13
2010-08-27,32,20.32
2010-09-03,33,22.51
2010-09-10,35,22.95
2010-09-17,36,22.50
2010-09-24,36,22.69
2010-10-01,35,23.42
2010-10-08,31,23.91
2010-10-15,32,23.73
2010-10-22,34,23.95
2010-10-29,35,23.95
2010-11-05,37,26.42
2010-11-12,37,24.40
2010-11-19,35,23.57
2010-11-26,33,22.77
2010-12-03,39,23.94
2010-12-10,38,25.74
2010-12-17,35,26.17
2010-12-24,32,
2010-12-31,31,26.49
2011-01-07,40,27.76
2011-01-14,38,28.48
2011-01-21,36,27.87
2011-01-28,37,27.69
2011-02-04,36,29.23
2011-02-11,35,29.75
2011-02-18,37,30.80
2011-02-25,36,29.42
2011-03-04,33,28.61
2011-03-11,31,27.60
2011-03-18,33,25.49
2011-03-25,32,26.72
2011-04-01,34,27.75
2011-04-08,32,27.17
2011-04-15,30,26.80
2011-04-22,33,
2011-04-29,30,28.97
2011-05-06,30,27.48
2011-05-13,32,27.57
2011-05-20,30,27.09
2011-05-27,31,26.53
2011-06-03,30,25.43
2011-06-10,30,24.26
2011-06-17,32,24.44
2011-06-24,29,24.72
2011-07-01,30,27.05
2011-07-08,26,26.27
2011-07-15,28,24.38
2011-07-22,27,23.87
2011-07-29,32,23.42
2011-08-05,30,20.57
2011-08-12,34,19.87
2011-08-19,31,17.72
2011-08-26,34,17.19
2011-09-02,31,17.23
2011-09-09,33,16.64
2011-09-16,36,18.94
2011-09-23,32,16.07
2011-09-30,32,16.14
2011-10-07,34,16.96
2011-10-14,35,18.47
2011-10-21,33,19.19
2011-10-28,36,20.26
2011-11-04,37,17.83
2011-11-11,36,17.59
2011-11-18,39,17.27
2011-11-25,37,15.46
2011-12-02,39,17.91
2011-12-09,39,17.49
2011-12-16,36,15.66
2011-12-23,35,16.80
2011-12-30,34,16.25
2012-01-06,38,16.37
2012-01-13,37,17.82
2012-01-20,35,18.53
2012-01-27,39,17.57
2012-02-03,38,19.37
2012-02-10,38,19.90
2012-02-17,41,21.65
2012-02-24,39,20.48
2012-03-02,38,20.42
2012-03-09,35,20.07
2012-03-16,35,21.83
2012-03-23,36,21.41
2012-03-30,33,21.08
2012-04-06,33,
2012-04-13,32,20.15
2012-04-20,34,20.04
2012-04-27,34,20.77
2012-05-04,33,19.66
2012-05-11,34,19.73
2012-05-18,33,17.07
2012-05-25,32,17.33
2012-06-01,30,16.18
2012-06-08,31,17.17
2012-06-15,31,17.01
2012-06-22,31,17.02
2012-06-29,30,17.63
2012-07-06,32,17.01
2012-07-13,32,16.88
2012-07-20,31,16.27
2012-07-27,31,16.45
2012-08-03,30,16.91
2012-08-10,33,17.41
2012-08-17,32,17.71
2012-08-24,34,18.15
2012-08-31,35,17.93
2012-09-07,35,19.47
2012-09-14,34,20.34
2012-09-21,35,19.39
2012-09-28,34,19.44
2012-10-05,33,21.20
2012-10-12,34,21.33
2012-10-19,34,22.08
2012-10-26,36,21.71
2012-11-02,39,21.26
2012-11-09,35,20.81
2012-11-16,34,20.36
2012-11-23,33,21.31
2012-11-30,35,21.18
2012-12-07,35,21.89
2012-12-14,34,21.29
2012-12-21,34,22.24
2012-12-28,32,22.16
2013-01-04,32,24.52
2013-01-11,35,23.90
2013-01-18,33,24.39
2013-01-25,36,24.82
2013-02-01,34,25.21
2013-02-08,33,24.17
2013-02-15,34,24.20
2013-02-22,32,24.09
2013-03-01,34,23.68
2013-03-08,32,25.45
2013-03-15,35,26.30
2013-03-22,33,26.40
2013-03-29,33,
2013-04-05,33,25.17
2013-04-12,32,27.49
2013-04-19,34,26.84
2013-04-26,33,27.12
2013-05-03,33,28.80
2013-05-10,31,29.66
2013-05-17,30,31.16
2013-05-24,31,30.24
2013-05-31,30,30.63
2013-06-07,30,30.50
2013-06-14,29,29.20
2013-06-21,31,29.37
2013-06-28,29,30.92
2013-07-05,28,31.36
2013-07-12,30,32.21
2013-07-19,33,31.74
2013-07-26,30,31.36
2013-08-02,30,32.03
2013-08-09,33,31.31
2013-08-16,31,30.84
2013-08-23,32,30.65
2013-08-30,32,29.60
2013-09-06,32,30.87
2013-09-13,33,31.62
2013-09-20,33,31.02
2013-09-27,32,31.27
2013-10-04,31,31.57
2013-10-11,32,32.83
2013-10-18,35,34.00
2013-10-25,33,33.57
2013-11-01,35,33.65
2013-11-08,33,34.30
2013-11-15,34,35.44
2013-11-22,35,35.56
2013-11-29,31,35.63
2013-12-06,33,35.94
2013-12-13,33,35.02
2013-12-20,32,36.07
2013-12-27,30,36.33
2014-01-03,29,35.53
2014-01-10,32,35.94
2014-01-17,32,35.26
2014-01-24,32,32.77
2014-01-31,34,33.25
2014-02-07,31,34.41
2014-02-14,32,34.67
2014-02-21,31,34.31
2014-02-28,30,35.19
2014-03-07,32,35.97
2014-03-14,31,35.25
2014-03-21,31,35.42
2014-03-28,30,34.88
2014-04-04,30,35.37
2014-04-11,30,33.30
2014-04-18,29,
2014-04-25,29,34.98
2014-05-02,30,
