Date,COP,Price
2009-05-08,50,46.91
2009-05-15,51,43.93
2009-05-22,61,44.38
2009-05-29,78,45.84
2009-06-05,70,45.00
2009-06-12,62,44.37
2009-06-19,76,42.97
2009-06-26,62,41.62
2009-07-03,50,
2009-07-10,50,39.72
2009-07-17,49,42.38
2009-07-24,50,44.95
2009-07-31,53,43.71
2009-08-07,49,44.07
2009-08-14,49,43.77
2009-08-21,46,44.20
2009-08-28,47,45.70
2009-09-04,46,44.97
2009-09-11,46,45.96
2009-09-18,51,46.80
2009-09-25,61,45.06
2009-10-02,49,46.80
2009-10-09,53,50.78
2009-10-16,52,51.96
2009-10-23,53,51.97
2009-10-30,54,50.18
2009-11-06,48,52.11
2009-11-13,47,52.83
2009-11-20,49,52.08
2009-11-27,47,51.92
2009-12-04,55,50.66
2009-12-11,58,50.92
2009-12-18,57,49.80
2009-12-25,53,
2010-01-01,50,
2010-01-08,52,53.26
2010-01-15,51,53.02
2010-01-22,48,50.60
2010-01-29,47,48.00
2010-02-05,54,47.98
2010-02-12,55,48.67
2010-02-19,59,48.90
2010-02-26,80,48.00
2010-03-05,77,50.41
2010-03-12,68,51.68
2010-03-19,67,52.37
2010-03-26,61,51.02
2010-04-02,60,
2010-04-09,62,55.32
2010-04-16,69,56.05
2010-04-23,61,58.09
2010-04-30,57,59.19
2010-05-07,56,54.68
2010-05-14,53,55.84
2010-05-21,52,51.47
2010-05-28,52,51.86
2010-06-04,53,50.06
2010-06-11,55,53.50
2010-06-18,87,56.01
2010-06-25,58,51.92
2010-07-02,62,48.82
2010-07-09,75,52.30
2010-07-16,63,51.85
2010-07-23,70,53.79
2010-07-30,67,55.22
2010-08-06,62,56.93
2010-08-13,59,55.02
2010-08-20,62,53.89
2010-08-27,60,53.42
2010-09-03,58,55.05
2010-09-10,57,54.75
2010-09-17,54,55.27
2010-09-24,60,56.36
2010-10-01,81,57.86
2010-10-08,57,59.61
2010-10-15,55,60.78
2010-10-22,56,61.67
2010-10-29,60,59.39
2010-11-05,53,61.81
2010-11-12,52,62.42
2010-11-19,50,61.92
2010-11-26,50,60.81
2010-12-03,52,63.92
2010-12-10,51,64.58
2010-12-17,52,65.06
2010-12-24,50,
2010-12-31,50,68.10
2011-01-07,54,67.11
2011-01-14,56,67.72
2011-01-21,56,67.66
2011-01-28,54,70.56
2011-02-04,50,71.67
2011-02-11,54,71.58
2011-02-18,50,76.62
2011-02-25,51,77.28
2011-03-04,48,79.98
2011-03-11,46,76.30
2011-03-18,48,75.35
2011-03-25,61,80.24
2011-04-01,51,79.68
2011-04-08,50,80.79
2011-04-15,47,79.12
2011-04-22,51,
2011-04-29,49,78.89
2011-05-06,48,72.94
2011-05-13,50,71.43
2011-05-20,48,72.61
2011-05-27,50,72.64
2011-06-03,49,72.39
2011-06-10,47,71.49
2011-06-17,48,71.93
2011-06-24,51,71.43
2011-07-01,51,75.88
2011-07-08,50,75.91
2011-07-15,49,76.42
2011-07-22,48,75.26
2011-07-29,47,71.99
2011-08-05,51,67.75
2011-08-12,49,66.05
2011-08-19,52,63.59
2011-08-26,49,65.51
2011-09-02,58,66.44
2011-09-09,50,64.23
2011-09-16,50,67.29
2011-09-23,49,62.51
2011-09-30,50,63.32
2011-10-07,50,64.16
2011-10-14,52,68.99
2011-10-21,56,71.83
2011-10-28,59,71.74
2011-11-04,62,70.71
2011-11-11,50,72.14
2011-11-18,48,69.27
2011-11-25,65,66.14
2011-12-02,56,72.55
2011-12-09,53,71.95
2011-12-16,54,68.40
2011-12-23,50,72.43
2011-12-30,49,72.87
2012-01-06,55,72.66
2012-01-13,52,70.34
2012-01-20,53,71.20
2012-01-27,52,69.40
2012-02-03,51,70.46
2012-02-10,50,72.25
2012-02-17,47,73.36
2012-02-24,51,75.95
2012-03-02,48,77.65
2012-03-09,49,77.16
2012-03-16,47,77.18
2012-03-23,48,76.51
2012-03-30,48,76.01
2012-04-06,49,
2012-04-13,50,73.63
2012-04-20,49,72.88
2012-04-27,47,71.98
2012-05-04,48,53.17
2012-05-11,45,53.50
2012-05-18,48,50.82
2012-05-25,46,52.11
2012-06-01,50,51.19
2012-06-08,46,53.97
2012-06-15,47,55.46
2012-06-22,47,53.41
2012-06-29,51,55.88
2012-07-06,50,54.75
2012-07-13,52,54.98
2012-07-20,48,55.99
2012-07-27,50,54.97
2012-08-03,52,55.71
2012-08-10,54,57.28
2012-08-17,54,57.39
2012-08-24,54,56.36
2012-08-31,58,56.79
2012-09-07,61,56.64
2012-09-14,59,58.21
2012-09-21,70,57.36
2012-09-28,70,57.18
2012-10-05,65,57.58
2012-10-12,57,56.17
2012-10-19,59,57.45
2012-10-26,69,57.31
2012-11-02,52,57.65
2012-11-09,48,55.67
2012-11-16,48,55.03
2012-11-23,49,56.67
2012-11-30,54,56.94
2012-12-07,53,57.94
2012-12-14,50,57.69
2012-12-21,51,58.61
2012-12-28,51,57.07
2013-01-04,57,59.83
2013-01-11,52,58.27
2013-01-18,49,59.27
2013-01-25,51,61.06
2013-02-01,52,58.82
2013-02-08,80,57.87
2013-02-15,100,57.02
2013-02-22,52,58.20
2013-03-01,56,58.28
2013-03-08,53,58.39
2013-03-15,56,59.07
2013-03-22,51,60.91
2013-03-29,49,
2013-04-05,49,58.54
2013-04-12,47,59.36
2013-04-19,49,57.49
2013-04-26,48,58.91
2013-05-03,47,61.92
2013-05-10,49,62.23
2013-05-17,47,63.31
2013-05-24,51,62.53
2013-05-31,48,61.34
2013-06-07,48,62.32
2013-06-14,49,61.03
2013-06-21,47,60.36
2013-06-28,50,60.50
2013-07-05,71,62.31
2013-07-12,56,64.84
2013-07-19,58,66.00
2013-07-26,58,65.72
2013-08-02,56,67.23
2013-08-09,54,66.83
2013-08-16,52,67.38
2013-08-23,51,66.55
2013-08-30,50,66.30
2013-09-06,52,68.20
2013-09-13,50,69.19
2013-09-20,53,71.00
2013-09-27,51,70.31
2013-10-04,50,70.97
2013-10-11,52,71.71
2013-10-18,55,73.43
2013-10-25,54,74.06
2013-11-01,55,73.09
2013-11-08,53,73.69
2013-11-15,56,73.30
2013-11-22,58,74.02
2013-11-29,52,72.80
2013-12-06,52,70.77
2013-12-13,54,69.43
2013-12-20,54,69.88
2013-12-27,51,70.39
2014-01-03,54,69.96
2014-01-10,55,68.87
2014-01-17,56,67.51
2014-01-24,54,66.57
2014-01-31,62,64.95
2014-02-07,62,64.97
2014-02-14,60,65.53
2014-02-21,60,64.68
2014-02-28,62,66.50
2014-03-07,62,66.51
2014-03-14,59,66.60
2014-03-21,57,67.48
2014-03-28,58,70.35
2014-04-04,58,70.22
2014-04-11,57,70.87
2014-04-18,56,
2014-04-25,57,74.40
2014-05-02,57,
