Date,AFL,Price
2005-08-26,60,43.93
2005-09-02,62,43.68
2005-09-09,54,45.07
2005-09-16,53,45.75
2005-09-23,89,44.41
2005-09-30,36,45.30
2005-10-07,33,45.02
2005-10-14,24,45.07
2005-10-21,20,45.87
2005-10-28,18,47.51
2005-11-04,16,47.77
2005-11-11,17,49.26
2005-11-18,15,48.64
2005-11-25,20,48.55
2005-12-02,16,48.00
2005-12-09,13,46.87
2005-12-16,16,47.57
2005-12-23,16,46.88
2005-12-30,12,46.42
2006-01-06,15,48.90
2006-01-13,15,48.72
2006-01-20,17,47.17
2006-01-27,15,47.50
2006-02-03,20,47.16
2006-02-10,23,46.95
2006-02-17,23,47.00
2006-02-24,29,47.00
2006-03-03,32,45.97
2006-03-10,28,45.90
2006-03-17,27,46.84
2006-03-24,33,46.44
2006-03-31,70,45.13
2006-04-07,80,45.02
2006-04-14,63,
2006-04-21,65,46.06
2006-04-28,68,47.54
2006-05-05,78,48.68
2006-05-12,66,47.28
2006-05-19,62,46.94
2006-05-26,67,46.78
2006-06-02,70,47.27
2006-06-09,65,47.31
2006-06-16,63,46.46
2006-06-23,42,45.34
2006-06-30,46,46.35
2006-07-07,57,45.93
2006-07-14,53,44.57
2006-07-21,57,44.92
2006-07-28,63,44.17
2006-08-04,60,43.38
2006-08-11,59,43.23
2006-08-18,59,43.31
2006-08-25,60,43.75
2006-09-01,66,44.73
2006-09-08,71,44.58
2006-09-15,58,44.89
2006-09-22,54,45.23
2006-09-29,73,45.76
2006-10-06,31,45.85
2006-10-13,35,45.30
2006-10-20,24,45.23
2006-10-27,21,45.08
2006-11-03,19,44.76
2006-11-10,17,44.45
2006-11-17,16,44.47
2006-11-24,21,44.31
2006-12-01,15,43.75
2006-12-08,13,44.25
2006-12-15,16,45.01
2006-12-22,12,45.50
2006-12-29,10,46.00
2007-01-05,12,45.80
2007-01-12,14,48.39
2007-01-19,14,47.77
2007-01-26,15,46.95
2007-02-02,18,48.70
2007-02-09,21,47.71
2007-02-16,20,47.99
2007-02-23,29,48.59
2007-03-02,37,46.71
2007-03-09,39,46.23
2007-03-16,36,45.79
2007-03-23,44,47.64
2007-03-30,89,47.06
2007-04-06,92,
2007-04-13,82,47.78
2007-04-20,83,49.10
2007-04-27,74,51.25
2007-05-04,78,52.66
2007-05-11,76,52.08
2007-05-18,71,51.80
2007-05-25,83,52.30
2007-06-01,90,53.04
2007-06-08,76,52.32
2007-06-15,74,52.74
2007-06-22,53,52.68
2007-06-29,68,51.40
2007-07-06,75,52.18
2007-07-13,70,52.48
2007-07-20,72,51.26
2007-07-27,71,52.87
2007-08-03,74,51.38
2007-08-10,76,53.90
2007-08-17,72,53.12
2007-08-24,76,54.27
2007-08-31,100,53.31
2007-09-07,75,53.09
2007-09-14,59,54.20
2007-09-21,60,55.22
2007-09-28,75,57.04
2007-10-05,32,57.83
2007-10-12,34,57.84
2007-10-19,22,56.67
2007-10-26,20,61.86
2007-11-02,18,62.35
2007-11-09,14,59.13
2007-11-16,14,60.66
2007-11-23,24,61.82
2007-11-30,17,62.64
2007-12-07,13,61.70
2007-12-14,15,60.17
2007-12-21,12,62.26
2007-12-28,10,62.49
2008-01-04,11,62.36
2008-01-11,14,65.28
2008-01-18,14,59.60
2008-01-25,14,60.90
2008-02-01,16,60.70
2008-02-08,22,60.00
2008-02-15,27,62.18
2008-02-22,34,63.20
2008-02-29,30,62.41
2008-03-07,30,61.69
2008-03-14,36,61.21
2008-03-21,84,
2008-03-28,83,64.32
2008-04-04,82,65.10
2008-04-11,81,66.21
2008-04-18,80,67.88
2008-04-25,79,67.72
2008-05-02,83,67.14
2008-05-09,59,65.71
2008-05-16,57,67.47
2008-05-23,73,66.16
2008-05-30,72,67.13
2008-06-06,66,65.44
2008-06-13,76,67.41
2008-06-20,74,65.50
2008-06-27,73,63.05
2008-07-04,54,
2008-07-11,57,60.72
2008-07-18,69,60.41
2008-07-25,72,54.90
2008-08-01,73,55.00
2008-08-08,69,55.59
2008-08-15,63,55.31
2008-08-22,61,55.28
2008-08-29,68,56.70
2008-09-05,71,57.68
2008-09-12,53,58.60
2008-09-19,50,63.58
2008-09-26,71,59.88
2008-10-03,29,52.12
2008-10-10,31,39.50
2008-10-17,20,43.14
2008-10-24,19,38.87
2008-10-31,16,44.28
2008-11-07,14,46.29
2008-11-14,15,41.77
2008-11-21,15,33.71
2008-11-28,25,46.30
2008-12-05,17,44.36
2008-12-12,17,41.44
2008-12-19,24,45.35
2008-12-26,11,43.89
2009-01-02,11,46.28
2009-01-09,12,43.74
2009-01-16,14,39.80
2009-01-23,15,24.49
2009-01-30,14,23.21
2009-02-06,23,21.80
2009-02-13,27,20.51
2009-02-20,30,17.01
2009-02-27,33,16.76
2009-03-06,32,13.44
2009-03-13,31,14.58
2009-03-20,33,18.38
2009-03-27,79,19.81
2009-04-03,77,21.05
2009-04-10,70,
2009-04-17,71,28.70
2009-04-24,74,28.62
2009-05-01,73,29.32
2009-05-08,71,37.66
2009-05-15,79,32.14
2009-05-22,76,34.48
2009-05-29,71,35.50
2009-06-05,70,33.52
2009-06-12,69,32.81
2009-06-19,47,31.10
2009-06-26,56,31.82
2009-07-03,64,
2009-07-10,68,28.65
2009-07-17,67,31.50
2009-07-24,69,35.87
2009-07-31,70,37.86
2009-08-07,75,41.70
2009-08-14,69,42.06
2009-08-21,77,41.87
2009-08-28,76,40.70
2009-09-04,78,38.20
2009-09-11,60,40.86
2009-09-18,62,42.75
2009-09-25,76,40.69
2009-10-02,30,41.10
2009-10-09,41,45.01
2009-10-16,23,45.20
2009-10-23,19,44.41
2009-10-30,18,41.49
2009-11-06,15,42.19
2009-11-13,16,44.64
2009-11-20,15,44.10
2009-11-27,26,43.65
2009-12-04,15,45.83
2009-12-11,14,46.55
2009-12-18,16,46.16
2009-12-25,11,
2010-01-01,11,
2010-01-08,12,49.41
2010-01-15,13,51.11
2010-01-22,15,49.10
2010-01-29,14,48.43
2010-02-05,23,47.65
2010-02-12,29,47.14
2010-02-19,29,49.04
2010-02-26,30,49.45
2010-03-05,27,51.51
2010-03-12,27,52.69
2010-03-19,30,54.10
2010-03-26,73,53.47
2010-04-02,74,
2010-04-09,77,55.76
2010-04-16,74,54.42
2010-04-23,69,55.47
2010-04-30,78,50.96
2010-05-07,71,44.27
2010-05-14,76,45.90
2010-05-21,76,43.39
2010-05-28,71,44.30
2010-06-04,69,41.33
2010-06-11,67,42.79
2010-06-18,67,44.40
2010-06-25,47,43.59
2010-07-02,62,43.12
2010-07-09,75,48.08
2010-07-16,73,46.26
2010-07-23,76,50.51
2010-07-30,72,49.19
2010-08-06,75,50.75
2010-08-13,74,47.76
2010-08-20,74,46.63
2010-08-27,75,47.82
2010-09-03,75,50.94
2010-09-10,61,50.77
2010-09-17,64,51.78
2010-09-24,98,52.35
2010-10-01,74,52.06
2010-10-08,39,54.35
2010-10-15,27,54.52
2010-10-22,19,55.46
2010-10-29,20,55.89
2010-11-05,17,57.76
2010-11-12,17,54.65
2010-11-19,25,54.65
2010-11-26,15,51.55
2010-12-03,14,54.42
2010-12-10,17,56.12
2010-12-17,13,55.56
2010-12-24,25,
2010-12-31,11,56.43
2011-01-07,13,55.85
2011-01-14,14,57.67
2011-01-21,15,58.11
2011-01-28,16,56.99
2011-02-04,23,57.47
2011-02-11,33,57.22
2011-02-18,34,59.08
2011-02-25,37,57.84
2011-03-04,35,57.42
2011-03-11,36,55.55
2011-03-18,31,50.67
2011-03-25,87,52.65
2011-04-01,95,53.50
2011-04-08,89,53.66
2011-04-15,85,52.25
2011-04-22,77,
2011-04-29,96,56.19
2011-05-06,80,55.09
2011-05-13,84,54.02
2011-05-20,81,49.57
2011-05-27,79,48.00
2011-06-03,73,46.47
2011-06-10,70,44.86
2011-06-17,74,45.02
2011-06-24,69,44.30
2011-07-01,71,47.43
2011-07-08,71,46.51
2011-07-15,71,45.35
2011-07-22,66,46.21
2011-07-29,72,46.06
2011-08-05,73,41.72
2011-08-12,71,37.35
2011-08-19,72,34.61
2011-08-26,66,35.54
2011-09-02,75,34.99
2011-09-09,78,33.83
2011-09-16,70,36.33
2011-09-23,68,31.46
2011-09-30,86,34.95
2011-10-07,36,36.63
2011-10-14,34,41.30
2011-10-21,27,42.72
2011-10-28,25,46.74
2011-11-04,20,45.29
2011-11-11,19,44.87
2011-11-18,17,41.98
2011-11-25,27,39.05
2011-12-02,17,43.71
2011-12-09,14,43.78
2011-12-16,17,40.91
2011-12-23,13,43.08
2011-12-30,11,43.26
2012-01-06,13,44.24
2012-01-13,14,43.18
2012-01-20,15,47.91
2012-01-27,15,49.04
2012-02-03,22,49.98
2012-02-10,21,48.33
2012-02-17,33,48.01
2012-02-24,31,46.90
2012-03-02,32,47.08
2012-03-09,36,45.16
2012-03-16,35,46.87
2012-03-23,55,45.72
2012-03-30,70,45.99
2012-04-06,76,
2012-04-13,83,42.88
2012-04-20,81,41.62
2012-04-27,85,45.17
2012-05-04,77,43.48
2012-05-11,77,43.36
2012-05-18,79,39.07
2012-05-25,77,39.22
2012-06-01,79,38.65
2012-06-08,72,40.64
2012-06-15,70,41.98
2012-06-22,63,41.11
2012-06-29,63,42.59
2012-07-06,69,42.63
2012-07-13,70,43.60
2012-07-20,77,43.28
2012-07-27,69,43.49
2012-08-03,68,44.58
2012-08-10,72,45.86
2012-08-17,74,46.12
2012-08-24,76,46.18
2012-08-31,77,46.18
2012-09-07,82,48.29
2012-09-14,84,49.66
2012-09-21,71,48.18
2012-09-28,98,47.88
2012-10-05,40,48.61
2012-10-12,33,48.14
2012-10-19,26,49.69
2012-10-26,26,49.58
2012-11-02,24,50.63
2012-11-09,17,49.62
2012-11-16,17,50.41
2012-11-23,25,51.89
2012-11-30,17,52.99
2012-12-07,16,53.58
2012-12-14,18,53.23
2012-12-21,13,53.81
2012-12-28,11,52.25
2013-01-04,12,52.04
2013-01-11,13,52.93
2013-01-18,14,51.47
2013-01-25,15,53.48
2013-02-01,18,53.06
2013-02-08,26,50.35
2013-02-15,30,49.34
2013-02-22,27,50.07
2013-03-01,27,50.19
2013-03-08,32,50.14
2013-03-15,31,51.08
2013-03-22,59,51.85
2013-03-29,56,
2013-04-05,77,49.49
2013-04-12,82,50.11
2013-04-19,81,49.39
2013-04-26,83,53.20
2013-05-03,72,55.36
2013-05-10,70,53.95
2013-05-17,74,55.24
2013-05-24,72,54.95
2013-05-31,69,55.69
2013-06-07,67,57.03
2013-06-14,61,57.51
2013-06-21,56,56.66
2013-06-28,67,58.12
2013-07-05,66,57.16
2013-07-12,62,59.14
2013-07-19,63,59.39
2013-07-26,66,61.09
2013-08-02,70,62.26
2013-08-09,72,61.52
2013-08-16,75,60.54
2013-08-23,69,59.83
2013-08-30,81,57.79
2013-09-06,82,58.38
2013-09-13,73,61.04
2013-09-20,69,62.32
2013-09-27,93,62.21
2013-10-04,39,63.73
2013-10-11,31,64.48
2013-10-18,28,65.78
2013-10-25,25,66.30
2013-11-01,23,65.10
2013-11-08,16,65.75
2013-11-15,17,67.48
2013-11-22,24,66.57
2013-11-29,17,66.37
2013-12-06,13,66.64
2013-12-13,13,65.96
2013-12-20,11,65.65
2013-12-27,10,67.25
2014-01-03,11,66.15
2014-01-10,11,65.17
2014-01-17,12,64.71
2014-01-24,14,62.29
2014-01-31,16,62.78
2014-02-07,19,62.68
2014-02-14,25,63.13
2014-02-21,26,62.32
2014-02-28,26,64.08
2014-03-07,29,65.61
2014-03-14,61,64.11
2014-03-21,56,62.98
2014-03-28,66,62.66
2014-04-04,65,63.28
2014-04-11,65,60.83
2014-04-18,65,
2014-04-25,74,61.84
2014-05-02,77,
