Date,SWK,Price
2008-03-28,36,47.12
2008-04-04,49,50.62
2008-04-11,39,48.10
2008-04-18,53,50.45
2008-04-25,33,48.93
2008-05-02,33,50.05
2008-05-09,26,48.64
2008-05-16,32,49.92
2008-05-23,31,48.33
2008-05-30,34,48.58
2008-06-06,25,47.44
2008-06-13,31,48.34
2008-06-20,35,45.77
2008-06-27,37,44.87
2008-07-04,28,
2008-07-11,33,42.43
2008-07-18,34,45.25
2008-07-25,30,45.16
2008-08-01,29,44.72
2008-08-08,30,47.50
2008-08-15,38,47.67
2008-08-22,30,47.93
2008-08-29,28,47.95
2008-09-05,28,47.60
2008-09-12,32,48.12
2008-09-19,29,47.27
2008-09-26,32,44.70
2008-10-03,28,39.73
2008-10-10,29,33.43
2008-10-17,38,34.81
2008-10-24,32,31.02
2008-10-31,28,32.74
2008-11-07,27,33.83
2008-11-14,28,31.12
2008-11-21,32,26.24
2008-11-28,39,31.79
2008-12-05,36,32.35
2008-12-12,34,31.40
2008-12-19,36,32.49
2008-12-26,24,32.44
2009-01-02,33,35.47
2009-01-09,48,35.04
2009-01-16,42,33.40
2009-01-23,32,30.06
2009-01-30,32,31.26
2009-02-06,39,34.65
2009-02-13,40,31.54
2009-02-20,46,28.76
2009-02-27,60,26.76
2009-03-06,48,23.56
2009-03-13,36,26.92
2009-03-20,41,27.35
2009-03-27,28,30.96
2009-04-03,24,32.34
2009-04-10,35,
2009-04-17,27,33.19
2009-04-24,32,37.59
2009-05-01,37,38.95
2009-05-08,35,38.08
2009-05-15,33,33.94
2009-05-22,30,34.54
2009-05-29,34,35.70
2009-06-05,29,35.89
2009-06-12,33,37.21
2009-06-19,34,34.66
2009-06-26,41,34.06
2009-07-03,44,
2009-07-10,31,33.67
2009-07-17,36,36.49
2009-07-24,34,39.14
2009-07-31,26,40.15
2009-08-07,36,42.38
2009-08-14,35,41.03
2009-08-21,36,42.02
2009-08-28,40,41.96
2009-09-04,33,40.45
2009-09-11,32,40.76
2009-09-18,31,42.43
2009-09-25,33,41.17
2009-10-02,34,40.97
2009-10-09,35,44.50
2009-10-16,35,45.75
2009-10-23,34,47.31
2009-10-30,27,45.23
2009-11-06,39,49.19
2009-11-13,37,50.28
2009-11-20,36,48.95
2009-11-27,38,48.73
2009-12-04,39,49.47
2009-12-11,39,49.43
2009-12-18,30,50.73
2009-12-25,35,
2010-01-01,28,
2010-01-08,34,57.42
2010-01-15,39,55.74
2010-01-22,28,53.33
2010-01-29,47,51.25
2010-02-05,53,54.43
2010-02-12,42,54.29
2010-02-19,34,55.92
2010-02-26,32,57.25
2010-03-05,34,59.09
2010-03-12,36,57.86
2010-03-19,32,58.07
2010-03-26,33,58.61
2010-04-02,33,
2010-04-09,35,60.42
2010-04-16,38,60.46
2010-04-23,38,62.84
2010-04-30,27,62.15
2010-05-07,31,56.12
2010-05-14,32,60.33
2010-05-21,29,55.38
2010-05-28,29,55.79
2010-06-04,28,55.07
2010-06-11,29,54.96
2010-06-18,31,55.99
2010-06-25,40,52.06
2010-07-02,27,49.58
2010-07-09,34,52.10
2010-07-16,36,51.06
2010-07-23,36,57.35
2010-07-30,34,58.02
2010-08-06,35,57.88
2010-08-13,35,54.93
2010-08-20,34,55.05
2010-08-27,37,54.51
2010-09-03,39,58.16
2010-09-10,41,59.29
2010-09-17,30,59.59
2010-09-24,32,60.51
2010-10-01,32,62.02
2010-10-08,33,62.70
2010-10-15,30,62.13
2010-10-22,29,61.11
2010-10-29,36,61.97
2010-11-05,31,63.02
2010-11-12,32,60.88
2010-11-19,32,59.63
2010-11-26,32,60.45
2010-12-03,32,62.37
2010-12-10,33,64.28
2010-12-17,33,63.37
2010-12-24,42,
2010-12-31,43,66.87
2011-01-07,44,65.50
2011-01-14,33,68.15
2011-01-21,27,66.46
2011-01-28,30,72.72
2011-02-04,32,72.52
2011-02-11,28,74.09
2011-02-18,31,76.09
2011-02-25,32,75.11
2011-03-04,27,75.86
2011-03-11,23,75.55
2011-03-18,30,74.47
2011-03-25,29,76.83
2011-04-01,31,76.68
2011-04-08,31,74.71
2011-04-15,32,77.04
2011-04-22,25,
2011-04-29,35,72.65
2011-05-06,31,73.59
2011-05-13,30,74.06
2011-05-20,30,75.37
2011-05-27,27,73.37
2011-06-03,27,68.93
2011-06-10,31,67.14
2011-06-17,31,68.29
2011-06-24,38,69.28
2011-07-01,36,73.67
2011-07-08,41,74.49
2011-07-15,34,69.69
2011-07-22,38,70.10
2011-07-29,32,65.77
2011-08-05,29,61.59
2011-08-12,34,61.26
2011-08-19,33,56.12
2011-08-26,37,59.85
2011-09-02,30,58.12
2011-09-09,33,54.91
2011-09-16,31,56.73
2011-09-23,34,50.53
2011-09-30,29,49.10
2011-10-07,27,53.53
2011-10-14,31,58.06
2011-10-21,30,62.26
2011-10-28,28,66.69
2011-11-04,29,66.77
2011-11-11,29,68.09
2011-11-18,34,63.66
2011-11-25,32,60.23
2011-12-02,32,65.03
2011-12-09,31,64.81
2011-12-16,27,63.10
2011-12-23,24,68.50
2011-12-30,29,67.60
2012-01-06,30,70.45
2012-01-13,31,71.60
2012-01-20,32,71.11
2012-01-27,32,71.84
2012-02-03,34,73.80
2012-02-10,33,75.08
2012-02-17,35,75.36
2012-02-24,36,74.85
2012-03-02,38,76.08
2012-03-09,46,77.63
2012-03-16,31,80.21
2012-03-23,40,78.20
2012-03-30,38,76.96
2012-04-06,35,
2012-04-13,27,76.66
2012-04-20,34,73.41
2012-04-27,28,74.44
2012-05-04,32,72.22
2012-05-11,33,70.77
2012-05-18,29,66.00
2012-05-25,26,68.53
2012-06-01,32,63.68
2012-06-08,31,64.67
2012-06-15,31,63.31
2012-06-22,32,61.65
2012-06-29,33,64.36
2012-07-06,34,62.55
2012-07-13,35,60.19
2012-07-20,36,66.45
2012-07-27,33,68.65
2012-08-03,35,68.01
2012-08-10,38,68.39
2012-08-17,33,68.38
2012-08-24,37,67.46
2012-08-31,32,65.78
2012-09-07,33,71.88
2012-09-14,34,76.70
2012-09-21,34,78.25
2012-09-28,33,76.25
2012-10-05,34,75.03
2012-10-12,30,70.06
2012-10-19,33,70.27
2012-10-26,30,67.54
2012-11-02,35,69.87
2012-11-09,29,68.73
2012-11-16,37,67.41
2012-11-23,33,71.39
2012-11-30,36,71.91
2012-12-07,39,71.19
2012-12-14,35,71.31
2012-12-21,35,73.44
2012-12-28,32,72.06
2013-01-04,39,74.76
2013-01-11,35,75.21
2013-01-18,44,76.95
2013-01-25,38,76.87
2013-02-01,35,77.37
2013-02-08,39,76.24
2013-02-15,34,78.46
2013-02-22,31,77.44
2013-03-01,33,77.59
2013-03-08,33,78.96
2013-03-15,32,81.17
2013-03-22,34,81.57
2013-03-29,33,
2013-04-05,34,77.56
2013-04-12,32,79.24
2013-04-19,32,76.40
2013-04-26,30,74.40
2013-05-03,28,76.65
2013-05-10,30,79.73
2013-05-17,31,80.94
2013-05-24,31,78.74
2013-05-31,27,79.22
2013-06-07,29,79.69
2013-06-14,26,79.42
2013-06-21,27,76.00
2013-06-28,30,77.30
2013-07-05,32,79.07
2013-07-12,32,82.30
2013-07-19,33,83.12
2013-07-26,33,84.02
2013-08-02,33,87.62
2013-08-09,27,85.60
2013-08-16,31,86.80
2013-08-23,33,87.60
2013-08-30,39,85.26
2013-09-06,32,87.27
2013-09-13,30,89.26
2013-09-20,32,90.13
2013-09-27,29,90.59
2013-10-04,30,91.14
2013-10-11,33,91.30
2013-10-18,34,77.16
2013-10-25,33,78.46
2013-11-01,33,79.05
2013-11-08,36,80.88
2013-11-15,33,82.64
2013-11-22,29,82.05
2013-11-29,34,81.39
2013-12-06,36,80.71
2013-12-13,34,80.48
2013-12-20,28,80.56
2013-12-27,24,81.01
2014-01-03,34,80.38
2014-01-10,36,81.42
2014-01-17,35,81.17
2014-01-24,37,77.81
2014-01-31,34,77.40
2014-02-07,40,78.80
2014-02-14,30,81.32
2014-02-21,30,81.74
2014-02-28,30,83.04
2014-03-07,36,82.51
2014-03-14,29,79.02
2014-03-21,44,79.71
2014-03-28,38,80.69
2014-04-04,29,80.75
2014-04-11,28,77.58
2014-04-18,27,
2014-04-25,27,85.23
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
