Date,CSC,Price
2005-07-15,87,45.62
2005-07-22,78,46.04
2005-07-29,64,45.78
2005-08-05,67,44.97
2005-08-12,60,44.26
2005-08-19,50,44.24
2005-08-26,55,43.80
2005-09-02,55,44.49
2005-09-09,62,45.00
2005-09-16,58,45.17
2005-09-23,56,44.96
2005-09-30,51,47.31
2005-10-07,61,46.25
2005-10-14,56,44.93
2005-10-21,49,45.35
2005-10-28,70,49.75
2005-11-04,66,54.20
2005-11-11,51,52.85
2005-11-18,53,54.85
2005-11-25,48,48.60
2005-12-02,50,49.52
2005-12-09,54,49.52
2005-12-16,51,49.19
2005-12-23,48,49.58
2005-12-30,41,50.64
2006-01-06,57,55.17
2006-01-13,65,53.77
2006-01-20,51,50.55
2006-01-27,56,50.80
2006-02-03,58,50.43
2006-02-10,59,51.34
2006-02-17,52,53.71
2006-02-24,52,53.79
2006-03-03,56,54.28
2006-03-10,54,55.85
2006-03-17,57,56.90
2006-03-24,52,56.57
2006-03-31,56,55.55
2006-04-07,77,58.27
2006-04-14,65,
2006-04-21,64,58.87
2006-04-28,58,58.55
2006-05-05,57,58.63
2006-05-12,60,57.81
2006-05-19,63,55.75
2006-05-26,61,56.45
2006-06-02,69,56.80
2006-06-09,59,56.34
2006-06-16,56,55.26
2006-06-23,60,55.06
2006-06-30,85,48.56
2006-07-07,64,52.54
2006-07-14,60,52.75
2006-07-21,71,51.24
2006-07-28,63,52.35
2006-08-04,60,50.33
2006-08-11,58,47.16
2006-08-18,56,47.07
2006-08-25,52,46.60
2006-09-01,52,47.09
2006-09-08,54,47.61
2006-09-15,57,48.45
2006-09-22,50,47.44
2006-09-29,52,49.12
2006-10-06,51,48.47
2006-10-13,48,49.33
2006-10-20,49,51.22
2006-10-27,48,52.77
2006-11-03,47,49.50
2006-11-10,50,50.73
2006-11-17,47,51.70
2006-11-24,42,51.72
2006-12-01,47,52.02
2006-12-08,46,53.55
2006-12-15,47,53.59
2006-12-22,44,53.58
2006-12-29,33,53.37
2007-01-05,43,51.83
2007-01-12,50,51.23
2007-01-19,47,51.79
2007-01-26,52,52.64
2007-02-02,51,53.87
2007-02-09,49,54.05
2007-02-16,48,54.69
2007-02-23,53,53.98
2007-03-02,50,51.79
2007-03-09,50,51.75
2007-03-16,52,50.64
2007-03-23,50,52.41
2007-03-30,49,52.13
2007-04-06,56,
2007-04-13,49,53.79
2007-04-20,51,54.80
2007-04-27,57,56.37
2007-05-04,55,55.66
2007-05-11,52,56.43
2007-05-18,54,57.33
2007-05-25,68,56.49
2007-06-01,57,56.05
2007-06-08,60,55.98
2007-06-15,48,55.15
2007-06-22,59,57.55
2007-06-29,56,59.15
2007-07-06,56,59.67
2007-07-13,63,60.16
2007-07-20,64,61.38
2007-07-27,56,56.55
2007-08-03,54,53.95
2007-08-10,51,52.79
2007-08-17,50,54.81
2007-08-24,48,57.61
2007-08-31,47,55.95
2007-09-07,49,55.34
2007-09-14,48,54.05
2007-09-21,51,55.53
2007-09-28,50,55.90
2007-10-05,48,56.71
2007-10-12,49,59.18
2007-10-19,51,56.95
2007-10-26,45,56.87
2007-11-02,45,56.29
2007-11-09,46,53.16
2007-11-16,46,52.00
2007-11-23,47,51.32
2007-11-30,49,52.82
2007-12-07,51,53.63
2007-12-14,47,51.53
2007-12-21,43,51.86
2007-12-28,31,49.84
2008-01-04,42,44.04
2008-01-11,48,41.13
2008-01-18,47,39.32
2008-01-25,48,39.65
2008-02-01,49,42.14
2008-02-08,47,43.67
2008-02-15,49,44.91
2008-02-22,53,45.19
2008-02-29,52,43.45
2008-03-07,45,41.51
2008-03-14,51,41.13
2008-03-21,44,
2008-03-28,49,40.80
2008-04-04,51,41.27
2008-04-11,48,41.27
2008-04-18,50,44.12
2008-04-25,53,44.25
2008-05-02,49,44.97
2008-05-09,53,43.54
2008-05-16,51,47.46
2008-05-23,52,47.90
2008-05-30,51,49.15
2008-06-06,54,48.92
2008-06-13,53,47.80
2008-06-20,54,47.78
2008-06-27,56,46.85
2008-07-04,53,
2008-07-11,57,46.38
2008-07-18,61,46.19
2008-07-25,76,46.84
2008-08-01,67,46.91
2008-08-08,53,46.52
2008-08-15,48,48.47
2008-08-22,48,47.94
2008-08-29,49,47.03
2008-09-05,51,44.22
2008-09-12,50,45.11
2008-09-19,53,43.53
2008-09-26,51,42.21
2008-10-03,54,36.91
2008-10-10,51,29.59
2008-10-17,51,31.61
2008-10-24,49,27.61
2008-10-31,47,30.16
2008-11-07,44,30.72
2008-11-14,45,28.53
2008-11-21,42,26.00
2008-11-28,45,27.86
2008-12-05,46,28.83
2008-12-12,48,31.33
2008-12-19,43,33.15
2008-12-26,30,32.45
2009-01-02,33,37.10
2009-01-09,47,36.36
2009-01-16,47,36.98
2009-01-23,47,35.95
2009-01-30,49,36.84
2009-02-06,49,40.41
2009-02-13,51,39.58
2009-02-20,48,36.64
2009-02-27,49,34.74
2009-03-06,47,32.84
2009-03-13,48,35.39
2009-03-20,46,34.89
2009-03-27,46,36.42
2009-04-03,48,40.15
2009-04-10,46,
2009-04-17,45,37.98
2009-04-24,48,37.07
2009-05-01,44,37.10
2009-05-08,45,37.48
2009-05-15,47,36.29
2009-05-22,45,39.76
2009-05-29,45,42.46
2009-06-05,45,43.93
2009-06-12,46,44.99
2009-06-19,45,43.89
2009-06-26,43,43.63
2009-07-03,43,
2009-07-10,47,42.67
2009-07-17,47,45.39
2009-07-24,42,46.83
2009-07-31,41,48.17
2009-08-07,44,49.45
2009-08-14,42,49.66
2009-08-21,46,49.68
2009-08-28,44,49.67
2009-09-04,46,48.54
2009-09-11,44,50.89
2009-09-18,47,52.40
2009-09-25,47,50.79
2009-10-02,45,50.74
2009-10-09,45,52.51
2009-10-16,43,53.07
2009-10-23,41,51.78
2009-10-30,44,50.71
2009-11-06,43,52.60
2009-11-13,42,53.96
2009-11-20,41,54.33
2009-11-27,41,54.26
2009-12-04,41,55.70
2009-12-11,44,55.78
2009-12-18,39,55.70
2009-12-25,32,
2010-01-01,29,
2010-01-08,40,57.20
2010-01-15,44,55.96
2010-01-22,43,53.23
2010-01-29,41,51.30
2010-02-05,47,51.36
2010-02-12,46,51.27
2010-02-19,42,52.45
2010-02-26,45,51.79
2010-03-05,45,52.96
2010-03-12,44,53.45
2010-03-19,43,54.56
2010-03-26,43,54.58
2010-04-02,44,
2010-04-09,45,54.51
2010-04-16,44,55.20
2010-04-23,45,55.61
2010-04-30,46,52.39
2010-05-07,45,49.58
2010-05-14,47,49.85
2010-05-21,46,49.74
2010-05-28,44,49.99
2010-06-04,44,47.78
2010-06-11,47,49.24
2010-06-18,44,50.53
2010-06-25,43,47.91
2010-07-02,45,44.10
2010-07-09,43,45.67
2010-07-16,44,45.30
2010-07-23,45,46.78
2010-07-30,45,45.33
2010-08-06,42,46.05
2010-08-13,41,42.04
2010-08-20,43,42.02
2010-08-27,44,40.77
2010-09-03,43,42.51
2010-09-10,43,42.87
2010-09-17,45,43.62
2010-09-24,44,45.38
2010-10-01,45,45.73
2010-10-08,44,46.37
2010-10-15,44,49.39
2010-10-22,44,49.79
2010-10-29,42,49.05
2010-11-05,41,49.74
2010-11-12,41,46.86
2010-11-19,42,46.00
2010-11-26,37,45.59
2010-12-03,40,47.10
2010-12-10,41,47.11
2010-12-17,39,48.40
2010-12-24,34,
2010-12-31,32,49.60
2011-01-07,41,52.05
2011-01-14,45,53.16
2011-01-21,45,53.03
2011-01-28,46,52.45
2011-02-04,44,55.76
2011-02-11,47,47.92
2011-02-18,46,48.94
2011-02-25,43,48.59
2011-03-04,44,47.74
2011-03-11,43,47.70
2011-03-18,41,47.29
2011-03-25,43,49.17
2011-04-01,44,49.38
2011-04-08,48,49.55
2011-04-15,43,50.05
2011-04-22,43,
2011-04-29,41,50.98
2011-05-06,45,43.51
2011-05-13,46,44.66
2011-05-20,46,44.58
2011-05-27,46,40.04
2011-06-03,44,38.47
2011-06-10,43,37.69
2011-06-17,46,38.50
2011-06-24,44,37.09
2011-07-01,42,38.36
2011-07-08,41,37.82
2011-07-15,44,36.65
2011-07-22,46,37.93
2011-07-29,42,35.28
2011-08-05,42,33.49
2011-08-12,41,29.24
2011-08-19,41,26.92
2011-08-26,42,28.83
2011-09-02,43,28.59
2011-09-09,42,27.63
2011-09-16,48,29.28
2011-09-23,48,26.04
2011-09-30,44,26.85
2011-10-07,44,28.59
2011-10-14,45,30.60
2011-10-21,45,30.03
2011-10-28,41,32.44
2011-11-04,41,32.40
2011-11-11,44,26.48
2011-11-18,43,25.21
2011-11-25,40,22.93
2011-12-02,43,24.67
2011-12-09,44,25.95
2011-12-16,41,25.93
2011-12-23,35,26.48
2011-12-30,30,23.70
2012-01-06,39,23.53
2012-01-13,43,24.15
2012-01-20,41,26.10
2012-01-27,44,26.18
2012-02-03,46,28.07
2012-02-10,46,32.47
2012-02-17,44,33.08
2012-02-24,42,32.09
2012-03-02,43,31.32
2012-03-09,45,31.47
2012-03-16,44,31.60
2012-03-23,42,30.69
2012-03-30,43,29.94
2012-04-06,41,
2012-04-13,41,27.02
2012-04-20,47,27.26
2012-04-27,44,28.48
2012-05-04,44,27.21
2012-05-11,44,27.11
2012-05-18,42,25.75
2012-05-25,44,26.62
2012-06-01,41,25.80
2012-06-08,40,26.15
2012-06-15,42,24.71
2012-06-22,40,23.90
2012-06-29,39,24.82
2012-07-06,36,24.23
2012-07-13,44,23.73
2012-07-20,39,23.35
2012-07-27,38,24.23
2012-08-03,42,24.83
2012-08-10,38,31.32
2012-08-17,39,32.68
2012-08-24,40,32.99
2012-08-31,43,32.21
2012-09-07,44,33.04
2012-09-14,44,34.68
2012-09-21,45,33.08
2012-09-28,45,32.21
2012-10-05,44,31.88
2012-10-12,41,31.42
2012-10-19,44,31.46
2012-10-26,43,30.59
2012-11-02,41,31.12
2012-11-09,42,35.22
2012-11-16,40,34.47
2012-11-23,38,37.90
2012-11-30,42,38.06
2012-12-07,43,38.87
2012-12-14,42,39.60
2012-12-21,38,39.05
2012-12-28,30,39.04
2013-01-04,35,41.66
2013-01-11,42,41.95
2013-01-18,42,41.87
2013-01-25,42,42.44
2013-02-01,43,42.70
2013-02-08,44,45.70
2013-02-15,41,48.07
2013-02-22,42,47.66
2013-03-01,46,48.27
2013-03-08,44,49.76
2013-03-15,42,48.58
2013-03-22,40,48.46
2013-03-29,44,
2013-04-05,42,47.26
2013-04-12,41,46.69
2013-04-19,41,44.23
2013-04-26,41,45.60
2013-05-03,39,47.28
2013-05-10,39,49.29
2013-05-17,41,44.60
2013-05-24,41,43.26
2013-05-31,46,44.61
2013-06-07,41,46.74
2013-06-14,40,44.86
2013-06-21,41,44.35
2013-06-28,39,43.77
2013-07-05,39,46.46
2013-07-12,40,47.79
2013-07-19,39,47.39
2013-07-26,39,47.76
2013-08-02,41,49.39
2013-08-09,41,52.08
2013-08-16,38,51.55
2013-08-23,40,51.53
2013-08-30,43,50.15
2013-09-06,44,50.49
2013-09-13,42,51.62
2013-09-20,41,52.01
2013-09-27,43,52.02
2013-10-04,45,51.92
2013-10-11,47,52.15
2013-10-18,41,52.55
2013-10-25,42,51.82
2013-11-01,42,50.39
2013-11-08,43,51.03
2013-11-15,43,53.59
2013-11-22,47,53.26
2013-11-29,46,52.62
2013-12-06,44,54.09
2013-12-13,43,52.32
2013-12-20,43,54.84
2013-12-27,30,55.63
2014-01-03,33,55.88
2014-01-10,46,55.84
2014-01-17,48,55.45
2014-01-24,47,54.27
2014-01-31,48,60.41
2014-02-07,45,60.06
2014-02-14,44,61.72
2014-02-21,45,62.20
2014-02-28,46,63.20
2014-03-07,45,62.96
2014-03-14,45,61.73
2014-03-21,44,63.16
2014-03-28,47,60.29
2014-04-04,47,60.82
2014-04-11,42,58.05
2014-04-18,40,
2014-04-25,41,58.25
2014-05-02,40,
