Date,buy DE,Price
2010-05-21,63,58.73
2010-05-28,61,57.68
2010-06-04,65,56.88
2010-06-11,61,58.86
2010-06-18,61,59.26
2010-06-25,61,59.74
2010-07-02,57,54.50
2010-07-09,64,58.01
2010-07-16,66,59.73
2010-07-23,62,64.50
2010-07-30,67,66.68
2010-08-06,63,68.04
2010-08-13,64,64.85
2010-08-20,63,65.13
2010-08-27,59,64.63
2010-09-03,63,68.63
2010-09-10,66,67.81
2010-09-17,61,72.45
2010-09-24,63,72.64
2010-10-01,59,68.57
2010-10-08,63,75.35
2010-10-15,57,76.16
2010-10-22,56,77.25
2010-10-29,62,76.80
2010-11-05,62,79.10
2010-11-12,64,76.86
2010-11-19,69,77.98
2010-11-26,85,76.00
2010-12-03,72,78.31
2010-12-10,72,82.14
2010-12-17,73,81.55
2010-12-24,84,
2010-12-31,76,83.05
2011-01-07,69,84.34
2011-01-14,66,89.52
2011-01-21,64,89.24
2011-01-28,60,88.91
2011-02-04,63,93.21
2011-02-11,65,95.42
2011-02-18,68,95.00
2011-02-25,63,90.49
2011-03-04,64,92.35
2011-03-11,63,87.79
2011-03-18,62,90.10
2011-03-25,67,94.24
2011-04-01,65,98.60
2011-04-08,62,95.93
2011-04-15,58,93.76
2011-04-22,61,
2011-04-29,63,97.50
2011-05-06,69,91.53
2011-05-13,66,87.72
2011-05-20,68,84.75
2011-05-27,67,85.74
2011-06-03,68,82.20
2011-06-10,62,81.80
2011-06-17,67,78.53
2011-06-24,68,79.98
2011-07-01,66,84.54
2011-07-08,68,86.11
2011-07-15,71,81.69
2011-07-22,68,81.24
2011-07-29,70,78.51
2011-08-05,66,72.66
2011-08-12,67,74.97
2011-08-19,71,69.01
2011-08-26,73,76.03
2011-09-02,71,78.03
2011-09-09,72,75.26
2011-09-16,67,78.02
2011-09-23,68,67.47
2011-09-30,71,64.57
2011-10-07,73,65.70
2011-10-14,68,71.39
2011-10-21,76,72.23
2011-10-28,72,78.67
2011-11-04,72,75.39
2011-11-11,77,75.79
2011-11-18,88,74.27
2011-11-25,100,73.64
2011-12-02,82,77.69
2011-12-09,79,78.34
2011-12-16,86,73.65
2011-12-23,90,78.69
2011-12-30,87,77.35
2012-01-06,84,82.30
2012-01-13,79,84.66
2012-01-20,75,87.04
2012-01-27,77,87.99
2012-02-03,71,88.40
2012-02-10,71,87.55
2012-02-17,73,83.87
2012-02-24,73,83.27
2012-03-02,72,82.28
2012-03-09,72,80.17
2012-03-16,71,83.22
2012-03-23,70,80.84
2012-03-30,63,80.90
2012-04-06,58,
2012-04-13,60,79.47
2012-04-20,63,80.91
2012-04-27,61,82.89
2012-05-04,67,80.69
2012-05-11,65,79.07
2012-05-18,63,73.19
2012-05-25,62,75.14
2012-06-01,62,71.52
2012-06-08,63,74.31
2012-06-15,62,75.35
2012-06-22,60,75.53
2012-06-29,65,80.87
2012-07-06,63,80.70
2012-07-13,64,77.48
2012-07-20,71,75.88
2012-07-27,71,78.10
2012-08-03,69,77.51
2012-08-10,65,79.37
2012-08-17,69,76.94
2012-08-24,70,76.67
2012-08-31,67,75.11
2012-09-07,65,78.22
2012-09-14,65,82.00
2012-09-21,68,82.70
2012-09-28,64,82.47
2012-10-05,66,82.78
2012-10-12,65,82.44
2012-10-19,64,84.99
2012-10-26,68,85.47
2012-11-02,64,85.60
2012-11-09,68,84.29
2012-11-16,83,85.25
2012-11-23,94,83.97
2012-11-30,78,84.05
2012-12-07,75,85.43
2012-12-14,80,85.93
2012-12-21,78,86.19
2012-12-28,84,84.55
2013-01-04,72,88.67
2013-01-11,74,89.62
2013-01-18,64,90.96
2013-01-25,66,93.47
2013-02-01,64,94.65
2013-02-08,60,92.81
2013-02-15,60,89.75
2013-02-22,59,87.13
2013-03-01,64,87.89
2013-03-08,60,90.88
2013-03-15,62,92.24
2013-03-22,60,87.72
2013-03-29,62,
2013-04-05,62,85.68
2013-04-12,64,86.14
2013-04-19,58,83.46
2013-04-26,59,85.49
2013-05-03,61,90.54
2013-05-10,63,92.30
2013-05-17,61,86.97
2013-05-24,61,86.29
2013-05-31,60,87.11
2013-06-07,61,86.81
2013-06-14,62,84.88
2013-06-21,59,82.47
2013-06-28,62,81.25
2013-07-05,65,81.44
2013-07-12,64,83.94
2013-07-19,67,84.05
2013-07-26,65,82.81
2013-08-02,62,83.40
2013-08-09,63,81.74
2013-08-16,60,84.11
2013-08-23,64,83.50
2013-08-30,62,83.64
2013-09-06,59,82.61
2013-09-13,61,82.49
2013-09-20,59,83.82
2013-09-27,58,82.37
2013-10-04,57,82.55
2013-10-11,59,82.31
2013-10-18,60,84.19
2013-10-25,59,83.55
2013-11-01,63,81.64
2013-11-08,64,81.50
2013-11-15,80,82.83
2013-11-22,72,84.77
2013-11-29,91,84.24
2013-12-06,74,85.32
2013-12-13,75,87.18
2013-12-20,77,90.08
2013-12-27,76,90.70
2014-01-03,68,90.66
2014-01-10,62,89.76
2014-01-17,65,89.35
2014-01-24,59,85.55
2014-01-31,60,85.96
2014-02-07,54,86.56
2014-02-14,56,85.84
2014-02-21,59,84.69
2014-02-28,61,85.93
2014-03-07,57,88.80
2014-03-14,57,87.20
2014-03-21,58,89.84
2014-03-28,58,88.75
2014-04-04,58,91.83
2014-04-11,54,92.01
2014-04-18,58,
2014-04-25,56,93.14
2014-05-02,59,
