Date,BEN,Price
2006-08-04,30,93.15
2006-08-11,31,92.17
2006-08-18,31,98.84
2006-08-25,34,97.13
2006-09-01,31,97.96
2006-09-08,33,99.26
2006-09-15,34,104.77
2006-09-22,36,103.62
2006-09-29,45,105.75
2006-10-06,35,107.67
2006-10-13,34,105.42
2006-10-20,32,105.72
2006-10-27,32,110.90
2006-11-03,33,108.45
2006-11-10,30,107.00
2006-11-17,31,108.50
2006-11-24,29,107.70
2006-12-01,31,106.79
2006-12-08,32,112.36
2006-12-15,31,113.24
2006-12-22,32,110.42
2006-12-29,30,110.17
2007-01-05,31,111.77
2007-01-12,33,119.92
2007-01-19,31,117.79
2007-01-26,32,118.10
2007-02-02,31,120.76
2007-02-09,31,121.90
2007-02-16,31,126.02
2007-02-23,32,123.75
2007-03-02,30,114.46
2007-03-09,32,119.72
2007-03-16,31,114.56
2007-03-23,32,122.88
2007-03-30,31,120.83
2007-04-06,32,
2007-04-13,31,126.54
2007-04-20,32,130.29
2007-04-27,31,131.34
2007-05-04,31,135.20
2007-05-11,32,136.02
2007-05-18,31,135.99
2007-05-25,31,133.95
2007-06-01,30,136.13
2007-06-08,32,128.27
2007-06-15,31,132.28
2007-06-22,31,132.60
2007-06-29,31,132.47
2007-07-06,31,135.42
2007-07-13,31,140.23
2007-07-20,32,137.94
2007-07-27,34,130.15
2007-08-03,31,120.49
2007-08-10,35,122.03
2007-08-17,36,131.50
2007-08-24,34,134.35
2007-08-31,38,131.77
2007-09-07,36,126.14
2007-09-14,37,126.12
2007-09-21,36,130.29
2007-09-28,34,127.50
2007-10-05,35,130.13
2007-10-12,35,140.32
2007-10-19,39,132.84
2007-10-26,35,131.98
2007-11-02,39,124.23
2007-11-09,38,117.23
2007-11-16,39,118.95
2007-11-23,44,119.06
2007-11-30,44,123.18
2007-12-07,42,121.04
2007-12-14,39,111.04
2007-12-21,37,115.12
2007-12-28,40,114.14
2008-01-04,40,106.75
2008-01-11,39,102.00
2008-01-18,38,90.54
2008-01-25,39,98.39
2008-02-01,39,106.65
2008-02-08,39,97.68
2008-02-15,40,96.92
2008-02-22,41,97.14
2008-02-29,47,94.37
2008-03-07,43,89.73
2008-03-14,44,90.45
2008-03-21,46,
2008-03-28,44,94.62
2008-04-04,42,101.21
2008-04-11,45,97.80
2008-04-18,47,99.96
2008-04-25,45,93.64
2008-05-02,48,101.84
2008-05-09,43,99.93
2008-05-16,47,103.17
2008-05-23,47,97.77
2008-05-30,47,101.22
2008-06-06,46,99.63
2008-06-13,45,106.78
2008-06-20,46,100.42
2008-06-27,47,95.77
2008-07-04,50,
2008-07-11,47,88.40
2008-07-18,47,92.68
2008-07-25,48,96.16
2008-08-01,48,100.38
2008-08-08,51,104.49
2008-08-15,50,105.48
2008-08-22,50,102.00
2008-08-29,50,104.50
2008-09-05,50,100.67
2008-09-12,48,95.75
2008-09-19,49,108.00
2008-09-26,51,98.80
2008-10-03,49,82.66
2008-10-10,47,65.01
2008-10-17,48,67.06
2008-10-24,49,55.48
2008-10-31,48,68.00
2008-11-07,51,64.42
2008-11-14,48,54.43
2008-11-21,50,52.10
2008-11-28,51,60.75
2008-12-05,50,61.81
2008-12-12,51,59.31
2008-12-19,52,62.74
2008-12-26,56,59.64
2009-01-02,59,66.60
2009-01-09,52,62.10
2009-01-16,52,54.80
2009-01-23,56,52.34
2009-01-30,56,48.42
2009-02-06,55,56.48
2009-02-13,55,55.32
2009-02-20,54,50.78
2009-02-27,57,45.80
2009-03-06,54,38.66
2009-03-13,54,49.04
2009-03-20,54,47.09
2009-03-27,57,54.20
2009-04-03,61,60.13
2009-04-10,70,
2009-04-17,67,60.94
2009-04-24,67,61.66
2009-05-01,67,61.06
2009-05-08,67,65.15
2009-05-15,68,60.10
2009-05-22,68,61.92
2009-05-29,67,66.85
2009-06-05,72,74.59
2009-06-12,71,75.99
2009-06-19,72,73.37
2009-06-26,74,71.85
2009-07-03,73,
2009-07-10,77,66.19
2009-07-17,72,72.57
2009-07-24,78,80.57
2009-07-31,75,88.68
2009-08-07,75,94.37
2009-08-14,75,94.55
2009-08-21,76,94.57
2009-08-28,77,93.71
2009-09-04,74,93.65
2009-09-11,73,97.80
2009-09-18,73,103.46
2009-09-25,71,99.21
2009-10-02,69,98.21
2009-10-09,72,106.44
2009-10-16,71,110.07
2009-10-23,71,112.93
2009-10-30,73,104.63
2009-11-06,70,110.23
2009-11-13,73,112.80
2009-11-20,73,111.36
2009-11-27,78,108.97
2009-12-04,74,108.87
2009-12-11,76,107.97
2009-12-18,78,103.99
2009-12-25,89,
2010-01-01,90,
2010-01-08,74,108.05
2010-01-15,75,108.31
2010-01-22,77,101.26
2010-01-29,77,99.03
2010-02-05,77,98.00
2010-02-12,72,97.86
2010-02-19,77,101.61
2010-02-26,73,101.72
2010-03-05,73,109.29
2010-03-12,80,108.34
2010-03-19,76,110.37
2010-03-26,80,110.96
2010-04-02,84,
2010-04-09,78,114.82
2010-04-16,78,118.45
2010-04-23,79,119.64
2010-04-30,74,115.64
2010-05-07,73,104.52
2010-05-14,74,106.09
2010-05-21,74,102.73
2010-05-28,72,98.09
2010-06-04,72,91.39
2010-06-11,72,93.50
2010-06-18,71,93.30
2010-06-25,71,91.00
2010-07-02,72,84.97
2010-07-09,70,92.24
2010-07-16,68,90.14
2010-07-23,67,95.52
2010-07-30,67,100.58
2010-08-06,67,102.70
2010-08-13,70,99.53
2010-08-20,68,98.92
2010-08-27,72,98.32
2010-09-03,71,102.64
2010-09-10,66,104.01
2010-09-17,67,105.76
2010-09-24,63,106.97
2010-10-01,67,107.91
2010-10-08,75,113.38
2010-10-15,79,116.41
2010-10-22,72,115.87
2010-10-29,71,114.70
2010-11-05,70,124.59
2010-11-12,69,118.33
2010-11-19,70,116.22
2010-11-26,68,114.03
2010-12-03,67,120.02
2010-12-10,72,118.06
2010-12-17,72,114.60
2010-12-24,78,
2010-12-31,74,111.21
2011-01-07,70,111.69
2011-01-14,71,121.21
2011-01-21,77,118.43
2011-01-28,73,120.84
2011-02-04,72,122.44
2011-02-11,74,128.55
2011-02-18,69,130.40
2011-02-25,69,124.94
2011-03-04,66,125.55
2011-03-11,63,121.01
2011-03-18,62,116.52
2011-03-25,64,121.18
2011-04-01,62,127.20
2011-04-08,63,124.60
2011-04-15,64,123.08
2011-04-22,67,
2011-04-29,65,129.12
2011-05-06,100,126.27
2011-05-13,66,127.27
2011-05-20,66,125.83
2011-05-27,61,126.76
2011-06-03,62,124.10
2011-06-10,62,121.90
2011-06-17,62,124.38
2011-06-24,61,123.14
2011-07-01,60,134.26
2011-07-08,60,137.08
2011-07-15,64,130.32
2011-07-22,64,133.51
2011-07-29,65,126.96
2011-08-05,64,117.66
2011-08-12,65,115.68
2011-08-19,63,110.63
2011-08-26,62,115.84
2011-09-02,60,113.71
2011-09-09,61,111.69
2011-09-16,62,119.33
2011-09-23,59,98.76
2011-09-30,58,95.64
2011-10-07,60,94.93
2011-10-14,61,101.12
2011-10-21,59,103.53
2011-10-28,60,110.92
2011-11-04,63,106.93
2011-11-11,60,107.59
2011-11-18,59,99.36
2011-11-25,59,91.63
2011-12-02,60,98.44
2011-12-09,58,99.93
2011-12-16,58,94.09
2011-12-23,63,95.92
2011-12-30,73,96.06
2012-01-06,67,98.26
2012-01-13,66,96.26
2012-01-20,63,102.40
2012-01-27,62,106.46
2012-02-03,66,116.41
2012-02-10,64,116.10
2012-02-17,61,117.04
2012-02-24,62,118.84
2012-03-02,65,118.09
2012-03-09,62,120.41
2012-03-16,68,125.46
2012-03-23,61,122.76
2012-03-30,60,124.03
2012-04-06,62,
2012-04-13,62,122.24
2012-04-20,57,122.70
2012-04-27,58,125.85
2012-05-04,58,117.57
2012-05-11,56,114.48
2012-05-18,56,107.46
2012-05-25,56,106.79
2012-06-01,57,102.05
2012-06-08,58,108.10
2012-06-15,57,109.18
2012-06-22,58,104.43
2012-06-29,60,110.99
2012-07-06,60,111.53
2012-07-13,58,113.88
2012-07-20,59,110.35
2012-07-27,61,112.21
2012-08-03,60,113.50
2012-08-10,62,116.23
2012-08-17,59,119.93
2012-08-24,58,119.10
2012-08-31,56,117.40
2012-09-07,57,121.36
2012-09-14,55,128.00
2012-09-21,55,125.12
2012-09-28,55,125.07
2012-10-05,56,129.32
2012-10-12,56,127.30
2012-10-19,54,130.53
2012-10-26,60,128.00
2012-11-02,56,131.95
2012-11-09,56,128.90
2012-11-16,56,128.12
2012-11-23,55,133.18
2012-11-30,54,132.02
2012-12-07,54,127.68
2012-12-14,55,126.99
2012-12-21,55,128.33
2012-12-28,58,124.66
2013-01-04,58,131.47
2013-01-11,54,135.66
2013-01-18,57,133.39
2013-01-25,53,134.48
2013-02-01,54,139.77
2013-02-08,52,140.20
2013-02-15,55,144.56
2013-02-22,57,143.24
2013-03-01,65,140.83
2013-03-08,53,146.84
2013-03-15,52,149.90
2013-03-22,54,148.64
2013-03-29,57,
2013-04-05,52,148.07
2013-04-12,53,155.27
2013-04-19,49,146.83
2013-04-26,52,153.61
2013-05-03,52,156.41
2013-05-10,49,161.21
2013-05-17,48,168.32
2013-05-24,49,162.94
2013-05-31,48,154.81
2013-06-07,50,150.46
2013-06-14,51,147.13
2013-06-21,49,137.02
2013-06-28,50,136.02
2013-07-05,49,136.95
2013-07-12,49,143.49
2013-07-19,50,145.83
2013-07-26,50,48.66
2013-08-02,48,49.89
2013-08-09,49,49.31
2013-08-16,48,46.68
2013-08-23,74,46.97
2013-08-30,61,46.16
2013-09-06,50,47.11
2013-09-13,48,48.55
2013-09-20,47,51.69
2013-09-27,48,50.82
2013-10-04,46,51.67
2013-10-11,46,51.27
2013-10-18,48,53.85
2013-10-25,47,54.50
2013-11-01,48,53.98
2013-11-08,45,52.27
2013-11-15,47,54.15
2013-11-22,46,55.65
2013-11-29,46,55.39
2013-12-06,46,54.58
2013-12-13,47,54.02
2013-12-20,50,56.25
2013-12-27,53,57.23
2014-01-03,53,57.08
2014-01-10,49,57.80
2014-01-17,49,58.51
2014-01-24,47,53.60
2014-01-31,48,52.01
2014-02-07,46,52.15
2014-02-14,46,52.81
2014-02-21,45,52.48
2014-02-28,46,53.25
2014-03-07,46,53.81
2014-03-14,46,51.12
2014-03-21,45,52.34
2014-03-28,44,53.67
2014-04-04,47,53.41
2014-04-11,49,51.80
2014-04-18,49,
2014-04-25,47,52.77
2014-05-02,47,
