Date,WYNN,Price
2009-05-15,10,37.90
2009-05-22,9,35.85
2009-05-29,9,37.06
2009-06-05,9,40.60
2009-06-12,9,37.41
2009-06-19,10,36.86
2009-06-26,10,36.72
2009-07-03,10,
2009-07-10,10,30.98
2009-07-17,10,36.17
2009-07-24,10,47.29
2009-07-31,11,51.17
2009-08-07,10,58.47
2009-08-14,10,57.15
2009-08-21,10,56.95
2009-08-28,10,56.27
2009-09-04,10,56.55
2009-09-11,9,64.50
2009-09-18,9,69.16
2009-09-25,9,70.25
2009-10-02,9,67.66
2009-10-09,9,67.82
2009-10-16,13,64.37
2009-10-23,12,62.46
2009-10-30,10,54.22
2009-11-06,9,59.73
2009-11-13,9,69.00
2009-11-20,9,63.88
2009-11-27,7,62.98
2009-12-04,8,66.80
2009-12-11,9,61.99
2009-12-18,9,60.02
2009-12-25,8,
2010-01-01,9,
2010-01-08,11,67.90
2010-01-15,11,70.50
2010-01-22,9,63.95
2010-01-29,9,61.88
2010-02-05,10,61.37
2010-02-12,8,63.04
2010-02-19,9,62.25
2010-02-26,11,63.57
2010-03-05,10,67.74
2010-03-12,10,71.47
2010-03-19,8,71.75
2010-03-26,9,76.63
2010-04-02,9,
2010-04-09,10,87.17
2010-04-16,10,83.82
2010-04-23,9,89.50
2010-04-30,9,88.24
2010-05-07,8,76.98
2010-05-14,8,82.21
2010-05-21,8,78.68
2010-05-28,9,83.88
2010-06-04,9,79.81
2010-06-11,9,82.83
2010-06-18,9,85.03
2010-06-25,9,89.04
2010-07-02,9,74.79
2010-07-09,9,79.60
2010-07-16,10,79.57
2010-07-23,10,87.68
2010-07-30,11,87.68
2010-08-06,10,91.52
2010-08-13,9,87.26
2010-08-20,10,87.60
2010-08-27,10,84.34
2010-09-03,11,87.81
2010-09-10,9,89.55
2010-09-17,8,91.91
2010-09-24,9,90.20
2010-10-01,8,87.09
2010-10-08,8,93.85
2010-10-15,8,101.94
2010-10-22,8,104.42
2010-10-29,8,107.16
2010-11-05,9,113.07
2010-11-12,9,111.00
2010-11-19,9,102.99
2010-11-26,8,102.09
2010-12-03,9,103.34
2010-12-10,8,101.00
2010-12-17,8,104.95
2010-12-24,8,
2010-12-31,9,103.84
2011-01-07,10,118.73
2011-01-14,12,118.82
2011-01-21,9,115.95
2011-01-28,9,114.51
2011-02-04,9,118.06
2011-02-11,10,129.10
2011-02-18,9,127.70
2011-02-25,9,121.84
2011-03-04,9,130.81
2011-03-11,9,123.79
2011-03-18,8,116.46
2011-03-25,9,127.03
2011-04-01,9,133.01
2011-04-08,9,132.57
2011-04-15,9,138.46
2011-04-22,10,
2011-04-29,10,147.15
2011-05-06,9,144.34
2011-05-13,8,146.27
2011-05-20,9,144.98
2011-05-27,9,146.40
2011-06-03,9,143.41
2011-06-10,9,131.99
2011-06-17,9,129.40
2011-06-24,8,131.33
2011-07-01,8,149.57
2011-07-08,9,161.15
2011-07-15,9,162.62
2011-07-22,12,165.25
2011-07-29,9,153.68
2011-08-05,9,139.91
2011-08-12,9,145.32
2011-08-19,9,131.34
2011-08-26,8,140.34
2011-09-02,8,147.90
2011-09-09,8,148.43
2011-09-16,7,152.12
2011-09-23,8,138.67
2011-09-30,8,115.08
2011-10-07,7,129.06
2011-10-14,7,134.48
2011-10-21,8,120.40
2011-10-28,8,138.03
2011-11-04,7,131.65
2011-11-11,7,125.46
2011-11-18,7,121.76
2011-11-25,7,107.02
2011-12-02,7,118.41
2011-12-09,7,110.86
2011-12-16,7,105.65
2011-12-23,6,110.00
2011-12-30,7,110.49
2012-01-06,8,106.94
2012-01-13,9,107.85
2012-01-20,8,115.47
2012-01-27,7,119.07
2012-02-03,8,114.98
2012-02-10,7,113.20
2012-02-17,8,112.69
2012-02-24,9,118.10
2012-03-02,9,127.27
2012-03-09,9,120.79
2012-03-16,8,126.96
2012-03-23,7,126.57
2012-03-30,8,124.88
2012-04-06,7,
2012-04-13,8,125.48
2012-04-20,8,128.99
2012-04-27,8,135.04
2012-05-04,8,127.40
2012-05-11,8,112.90
2012-05-18,7,101.94
2012-05-25,8,102.04
2012-06-01,7,97.38
2012-06-08,8,104.21
2012-06-15,8,99.53
2012-06-22,7,103.32
2012-06-29,8,103.72
2012-07-06,8,100.69
2012-07-13,8,96.22
2012-07-20,8,97.31
2012-07-27,7,94.61
2012-08-03,8,95.56
2012-08-10,7,101.83
2012-08-17,8,104.80
2012-08-24,9,105.33
2012-08-31,8,103.17
2012-09-07,8,102.74
2012-09-14,9,113.02
2012-09-21,8,114.37
2012-09-28,7,115.44
2012-10-05,7,113.81
2012-10-12,8,113.81
2012-10-19,7,115.62
2012-10-26,7,118.97
2012-11-02,6,120.80
2012-11-09,7,108.35
2012-11-16,6,104.33
2012-11-23,6,109.33
2012-11-30,6,112.40
2012-12-07,6,110.26
2012-12-14,5,113.75
2012-12-21,6,113.51
2012-12-28,6,109.67
2013-01-04,8,120.78
2013-01-11,7,122.99
2013-01-18,7,124.06
2013-01-25,7,123.93
2013-02-01,7,126.37
2013-02-08,7,126.52
2013-02-15,7,122.96
2013-02-22,7,117.34
2013-03-01,7,116.57
2013-03-08,7,117.35
2013-03-15,7,119.97
2013-03-22,7,122.08
2013-03-29,7,
2013-04-05,7,118.04
2013-04-12,7,128.54
2013-04-19,6,127.56
2013-04-26,7,135.50
2013-05-03,7,138.80
2013-05-10,7,139.10
2013-05-17,6,140.99
2013-05-24,7,137.90
2013-05-31,7,135.89
2013-06-07,7,137.50
2013-06-14,7,135.14
2013-06-21,6,129.69
2013-06-28,7,127.97
2013-07-05,6,127.08
2013-07-12,7,130.78
2013-07-19,7,133.09
2013-07-26,7,130.98
2013-08-02,7,139.85
2013-08-09,6,138.13
2013-08-16,7,138.57
2013-08-23,7,141.93
2013-08-30,6,141.04
2013-09-06,6,143.43
2013-09-13,6,150.35
2013-09-20,6,155.22
2013-09-27,6,158.00
2013-10-04,6,160.18
2013-10-11,6,166.61
2013-10-18,6,171.92
2013-10-25,6,168.18
2013-11-01,6,167.70
2013-11-08,6,163.71
2013-11-15,6,166.39
2013-11-22,6,162.45
2013-11-29,7,165.87
2013-12-06,6,173.16
2013-12-13,6,181.76
2013-12-20,5,185.35
2013-12-27,7,191.25
2014-01-03,7,196.00
2014-01-10,7,206.86
2014-01-17,7,215.70
2014-01-24,7,193.14
2014-01-31,7,217.42
2014-02-07,6,221.95
2014-02-14,6,222.34
2014-02-21,6,228.35
2014-02-28,6,242.49
2014-03-07,7,246.65
2014-03-14,6,229.65
2014-03-21,6,226.20
2014-03-28,6,217.51
2014-04-04,6,213.64
2014-04-11,6,211.33
2014-04-18,6,
2014-04-25,9,201.49
2014-05-02,7,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
