Date,Sigma-Aldrich,Price
2006-09-08,37,72.41
2006-09-15,49,73.22
2006-09-22,32,73.36
2006-09-29,38,75.67
2006-10-06,31,76.14
2006-10-13,36,75.35
2006-10-20,47,76.38
2006-10-27,51,74.32
2006-11-03,35,74.56
2006-11-10,35,76.63
2006-11-17,41,77.08
2006-11-24,30,77.07
2006-12-01,33,76.23
2006-12-08,38,77.73
2006-12-15,35,78.59
2006-12-22,30,77.74
2006-12-29,18,77.72
2007-01-05,26,38.00
2007-01-12,37,38.59
2007-01-19,45,38.76
2007-01-26,44,37.89
2007-02-02,34,37.92
2007-02-09,44,38.15
2007-02-16,34,41.62
2007-02-23,39,42.47
2007-03-02,36,40.37
2007-03-09,48,40.97
2007-03-16,42,39.99
2007-03-23,36,42.06
2007-03-30,41,41.52
2007-04-06,35,
2007-04-13,34,41.37
2007-04-20,36,42.00
2007-04-27,35,42.76
2007-05-04,36,43.24
2007-05-11,37,42.84
2007-05-18,33,42.91
2007-05-25,37,43.47
2007-06-01,35,43.08
2007-06-08,37,41.77
2007-06-15,40,42.68
2007-06-22,40,42.25
2007-06-29,39,42.67
2007-07-06,35,43.21
2007-07-13,28,44.25
2007-07-20,36,44.84
2007-07-27,27,44.44
2007-08-03,29,45.60
2007-08-10,30,47.41
2007-08-17,25,46.03
2007-08-24,29,46.18
2007-08-31,36,44.80
2007-09-07,41,44.15
2007-09-14,42,45.05
2007-09-21,36,47.14
2007-09-28,38,48.74
2007-10-05,37,49.59
2007-10-12,40,50.74
2007-10-19,38,48.45
2007-10-26,35,50.32
2007-11-02,36,51.36
2007-11-09,36,52.56
2007-11-16,41,51.02
2007-11-23,29,50.70
2007-11-30,32,52.65
2007-12-07,36,54.10
2007-12-14,25,53.00
2007-12-21,29,55.48
2007-12-28,14,55.55
2008-01-04,14,52.74
2008-01-11,38,52.23
2008-01-18,39,52.47
2008-01-25,31,48.10
2008-02-01,37,50.43
2008-02-08,36,50.10
2008-02-15,42,52.76
2008-02-22,34,55.16
2008-02-29,32,55.02
2008-03-07,28,53.83
2008-03-14,36,55.53
2008-03-21,26,
2008-03-28,20,58.52
2008-04-04,32,61.73
2008-04-11,33,60.61
2008-04-18,34,62.05
2008-04-25,31,59.03
2008-05-02,28,56.14
2008-05-09,36,57.78
2008-05-16,35,60.19
2008-05-23,33,57.27
2008-05-30,38,58.76
2008-06-06,25,58.12
2008-06-13,25,58.35
2008-06-20,29,56.53
2008-06-27,27,54.09
2008-07-04,32,
2008-07-11,27,55.38
2008-07-18,30,57.60
2008-07-25,26,59.38
2008-08-01,32,59.99
2008-08-08,27,62.56
2008-08-15,23,59.17
2008-08-22,26,59.02
2008-08-29,27,56.76
2008-09-05,21,53.80
2008-09-12,35,53.40
2008-09-19,34,54.65
2008-09-26,30,54.70
2008-10-03,27,49.08
2008-10-10,28,44.19
2008-10-17,29,43.91
2008-10-24,26,37.43
2008-10-31,32,43.86
2008-11-07,35,42.19
2008-11-14,23,40.84
2008-11-21,25,38.74
2008-11-28,23,43.11
2008-12-05,24,39.02
2008-12-12,22,39.56
2008-12-19,15,40.52
2008-12-26,10,41.10
2009-01-02,9,43.24
2009-01-09,26,38.25
2009-01-16,27,38.75
2009-01-23,28,37.11
2009-01-30,24,36.08
2009-02-06,27,39.97
2009-02-13,25,38.41
2009-02-20,26,37.33
2009-02-27,24,35.70
2009-03-06,24,32.67
2009-03-13,20,34.60
2009-03-20,25,35.91
2009-03-27,26,38.78
2009-04-03,23,39.91
2009-04-10,20,
2009-04-17,17,41.34
2009-04-24,22,42.10
2009-05-01,19,44.05
2009-05-08,18,44.84
2009-05-15,16,45.27
2009-05-22,14,45.67
2009-05-29,14,48.46
2009-06-05,17,49.58
2009-06-12,17,50.35
2009-06-19,19,48.28
2009-06-26,18,49.66
2009-07-03,15,
2009-07-10,16,46.66
2009-07-17,14,49.49
2009-07-24,16,49.89
2009-07-31,18,50.75
2009-08-07,14,52.37
2009-08-14,13,51.56
2009-08-21,14,52.09
2009-08-28,15,51.23
2009-09-04,17,50.19
2009-09-11,17,50.79
2009-09-18,20,53.25
2009-09-25,13,52.48
2009-10-02,15,51.96
2009-10-09,15,53.80
2009-10-16,13,55.06
2009-10-23,16,54.08
2009-10-30,15,51.93
2009-11-06,15,54.41
2009-11-13,16,55.15
2009-11-20,16,53.94
2009-11-27,15,53.06
2009-12-04,15,52.88
2009-12-11,9,52.26
2009-12-18,10,51.33
2009-12-25,6,
2010-01-01,4,
2010-01-08,17,50.99
2010-01-15,14,51.88
2010-01-22,14,49.91
2010-01-29,14,47.85
2010-02-05,17,47.46
2010-02-12,13,48.40
2010-02-19,13,48.45
2010-02-26,16,47.69
2010-03-05,15,52.95
2010-03-12,14,53.68
2010-03-19,15,54.71
2010-03-26,13,53.17
2010-04-02,10,
2010-04-09,11,55.47
2010-04-16,16,55.57
2010-04-23,15,59.41
2010-04-30,14,59.30
2010-05-07,17,54.42
2010-05-14,14,54.23
2010-05-21,14,52.87
2010-05-28,13,53.32
2010-06-04,14,50.69
2010-06-11,15,52.66
2010-06-18,15,53.21
2010-06-25,17,51.78
2010-07-02,15,49.30
2010-07-09,18,53.26
2010-07-16,16,53.16
2010-07-23,15,56.23
2010-07-30,18,56.10
2010-08-06,14,56.59
2010-08-13,17,53.84
2010-08-20,13,53.72
2010-08-27,14,53.49
2010-09-03,15,55.58
2010-09-10,17,56.97
2010-09-17,15,58.88
2010-09-24,15,60.67
2010-10-01,17,60.72
2010-10-08,15,60.65
2010-10-15,16,60.60
2010-10-22,13,62.29
2010-10-29,14,63.49
2010-11-05,13,65.34
2010-11-12,11,64.19
2010-11-19,15,64.52
2010-11-26,12,64.30
2010-12-03,13,65.52
2010-12-10,12,66.24
2010-12-17,11,66.75
2010-12-24,10,
2010-12-31,4,66.56
2011-01-07,8,64.83
2011-01-14,15,64.41
2011-01-21,12,63.30
2011-01-28,17,62.40
2011-02-04,12,63.53
2011-02-11,14,62.40
2011-02-18,15,63.83
2011-02-25,17,62.89
2011-03-04,14,64.34
2011-03-11,15,62.37
2011-03-18,17,62.00
2011-03-25,13,63.42
2011-04-01,14,63.94
2011-04-08,15,64.82
2011-04-15,14,65.24
2011-04-22,13,
2011-04-29,12,70.58
2011-05-06,14,68.72
2011-05-13,12,68.88
2011-05-20,13,69.70
2011-05-27,11,69.76
2011-06-03,13,67.41
2011-06-10,15,67.13
2011-06-17,12,66.57
2011-06-24,14,68.76
2011-07-01,10,74.24
2011-07-08,12,75.69
2011-07-15,18,73.22
2011-07-22,12,73.53
2011-07-29,13,67.10
2011-08-05,13,60.95
2011-08-12,13,63.17
2011-08-19,12,58.97
2011-08-26,12,61.73
2011-09-02,12,61.99
2011-09-09,12,59.18
2011-09-16,14,64.74
2011-09-23,12,60.41
2011-09-30,13,61.79
2011-10-07,12,62.51
2011-10-14,13,65.42
2011-10-21,13,68.29
2011-10-28,12,67.78
2011-11-04,12,63.58
2011-11-11,15,63.56
2011-11-18,13,60.00
2011-11-25,12,58.89
2011-12-02,13,64.42
2011-12-09,13,65.95
2011-12-16,12,63.15
2011-12-23,9,62.86
2011-12-30,5,62.46
2012-01-06,11,62.34
2012-01-13,15,64.17
2012-01-20,14,66.93
2012-01-27,12,68.26
2012-02-03,15,70.77
2012-02-10,14,69.52
2012-02-17,12,71.96
2012-02-24,15,72.60
2012-03-02,14,71.91
2012-03-09,14,71.61
2012-03-16,13,73.41
2012-03-23,14,72.54
2012-03-30,11,73.06
2012-04-06,11,
2012-04-13,13,70.96
2012-04-20,14,71.88
2012-04-27,11,71.38
2012-05-04,10,68.53
2012-05-11,11,70.63
2012-05-18,13,68.17
2012-05-25,12,71.10
2012-06-01,10,67.53
2012-06-08,14,70.70
2012-06-15,12,71.70
2012-06-22,11,71.77
2012-06-29,9,73.93
2012-07-06,10,73.25
2012-07-13,13,71.61
2012-07-20,13,71.42
2012-07-27,11,70.83
2012-08-03,14,70.22
2012-08-10,9,72.07
2012-08-17,14,71.74
2012-08-24,9,70.67
2012-08-31,12,71.03
2012-09-07,13,73.43
2012-09-14,12,73.72
2012-09-21,13,73.37
2012-09-28,11,71.97
2012-10-05,13,73.38
2012-10-12,12,71.90
2012-10-19,12,72.67
2012-10-26,10,70.56
2012-11-02,9,70.15
2012-11-09,12,69.56
2012-11-16,11,69.30
2012-11-23,11,72.20
2012-11-30,9,72.52
2012-12-07,9,73.06
2012-12-14,7,72.60
2012-12-21,8,73.70
2012-12-28,6,72.86
2013-01-04,6,75.27
2013-01-11,11,76.40
2013-01-18,10,76.93
2013-01-25,10,77.40
2013-02-01,12,78.04
2013-02-08,11,77.66
2013-02-15,11,77.15
2013-02-22,11,76.34
2013-03-01,10,77.38
2013-03-08,10,78.83
2013-03-15,12,78.95
2013-03-22,12,77.45
2013-03-29,9,
2013-04-05,10,75.94
2013-04-12,11,76.42
2013-04-19,10,76.91
2013-04-26,9,77.45
2013-05-03,7,78.89
2013-05-10,8,80.56
2013-05-17,9,84.19
2013-05-24,10,84.59
2013-05-31,11,83.70
2013-06-07,11,82.87
2013-06-14,9,81.48
2013-06-21,10,80.73
2013-06-28,10,80.42
2013-07-05,9,81.29
2013-07-12,10,84.35
2013-07-19,9,84.46
2013-07-26,9,82.71
2013-08-02,9,84.96
2013-08-09,8,85.68
2013-08-16,9,84.13
2013-08-23,8,83.93
2013-08-30,8,82.47
2013-09-06,10,83.11
2013-09-13,9,85.48
2013-09-20,6,85.93
2013-09-27,10,85.53
2013-10-04,8,85.28
2013-10-11,9,83.64
2013-10-18,9,83.77
2013-10-25,6,87.06
2013-11-01,9,85.52
2013-11-08,10,84.78
2013-11-15,10,86.66
2013-11-22,11,87.46
2013-11-29,7,86.24
2013-12-06,9,89.18
2013-12-13,7,89.44
2013-12-20,8,90.56
2013-12-27,4,94.19
2014-01-03,4,92.57
2014-01-10,8,93.42
2014-01-17,7,92.51
2014-01-24,7,91.43
2014-01-31,7,92.97
2014-02-07,7,92.78
2014-02-14,9,96.61
2014-02-21,9,93.02
2014-02-28,10,94.41
2014-03-07,8,94.38
2014-03-14,9,95.08
2014-03-21,9,94.38
2014-03-28,7,92.37
2014-04-04,8,93.32
2014-04-11,7,92.10
2014-04-18,7,
2014-04-25,7,94.99
2014-05-02,8,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
